﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,安贞街道_110105008000,116.382475,39.960236,12957186.89832184,4833578.029153013
1,安贞街道_110105008000,116.382401,39.960664,12957178.76017109,4833639.830137837
2,安贞街道_110105008000,116.382407,39.961114,12957179.47135122,4833705.007751254
3,安贞街道_110105008000,116.382474,39.961558,12957186.95237057,4833769.372906365
4,安贞街道_110105008000,116.382486,39.961586,12957188.279461494,4833773.434120352
5,安贞街道_110105008000,116.383052,39.961682,12957251.127404215,4833788.225262931
6,安贞街道_110105008000,116.383618,39.961787,12957314.016323261,4833804.23543998
7,安贞街道_110105008000,116.383675,39.961803,12957320.369577736,4833806.628146195
8,安贞街道_110105008000,116.384384,39.962059,12957399.152820403,4833844.681929465
9,安贞街道_110105008000,116.384949,39.962716,12957461.974746134,4833940.530710878
10,安贞街道_110105008000,116.384394,39.962861,12957400.353225783,4833960.783421974
11,安贞街道_110105008000,116.384384,39.962059,12957399.152820403,4833844.681929465
12,安贞街道_110105008000,116.385079,39.966092,12957476.84335273,4834429.311194088
13,安贞街道_110105008000,116.384556,39.966291,12957418.746957855,4834457.464530707
14,安贞街道_110105008000,116.385325,39.963564,12957503.895173898,4834063.729199973
15,安贞街道_110105008000,116.384839,39.963814,12957449.896126963,4834099.283422907
16,安贞街道_110105008000,116.384822,39.96226,12957447.802742492,4833874.385525634
17,安贞街道_110105008000,116.384944,39.9627,12957461.430986824,4833938.208673639
18,安贞街道_110105008000,116.3873,39.962117,12957723.206203595,4833856.501169493
19,安贞街道_110105008000,116.386817,39.961867,12957669.482788598,4833819.826248177
20,安贞街道_110105008000,116.386252,39.96177,12957606.655838592,4833805.141062263
21,安贞街道_110105008000,116.385674,39.961821,12957542.440147892,4833811.875659285
22,安贞街道_110105008000,116.38516,39.962033,12957485.33007541,4833841.961356814
23,安贞街道_110105008000,116.384949,39.962716,12957461.974746134,4833940.530710878
24,安贞街道_110105008000,116.385269,39.963093,12957497.580754416,4833995.510909233
25,安贞街道_110105008000,116.386009,39.967065,12957580.27843261,4834571.243145888
26,安贞街道_110105008000,116.385636,39.966719,12957538.797088807,4834520.708999364
27,安贞街道_110105008000,116.385305,39.966347,12957501.985563755,4834466.514639887
28,安贞街道_110105008000,116.385079,39.966092,12957476.84335273,4834429.311194088
29,安贞街道_110105008000,116.38523,39.965685,12957493.545895748,4834370.594292281
30,安贞街道_110105008000,116.38523,39.965685,12957493.545895748,4834370.594292281
31,安贞街道_110105008000,116.385235,39.965564,12957494.105688447,4834353.090098593
32,安贞街道_110105008000,116.385285,39.965485,12957499.638918167,4834341.682910236
33,安贞街道_110105008000,116.385373,39.96504,12957509.380938705,4834277.435101428
34,安贞街道_110105008000,116.385525,39.964606,12957526.231850795,4834214.788683626
35,安贞街道_110105008000,116.385325,39.963564,12957503.895173898,4834063.729199973
36,安贞街道_110105008000,116.385567,39.963973,12957530.833749875,4834123.241921442
37,安贞街道_110105008000,116.385325,39.963564,12957503.895173898,4834063.729199973
38,安贞街道_110105008000,116.385331,39.963166,12957504.48523194,4834006.142048158
39,安贞街道_110105008000,116.385839,39.962943,12957560.904558677,4833974.467864436
40,安贞街道_110105008000,116.386316,39.962683,12957613.894165227,4833937.390760246
41,安贞街道_110105008000,116.386805,39.962437,12957668.188495852,4833902.297755001
42,安贞街道_110105008000,116.387257,39.962151,12957718.418454695,4833861.37059931
43,安贞街道_110105008000,116.386009,39.967065,12957580.27843261,4834571.243145888
44,安贞街道_110105008000,116.385489,39.96727,12957522.527483659,4834600.324981128
45,安贞街道_110105008000,116.386012,39.966197,12957580.522700522,4834445.612412755
46,安贞街道_110105008000,116.385627,39.965857,12957537.716001052,4834395.968710479
47,安贞街道_110105008000,116.386009,39.967065,12957580.27843261,4834571.243145888
48,安贞街道_110105008000,116.386547,39.967016,12957640.072504133,4834564.758777883
49,安贞街道_110105008000,116.386547,39.967016,12957640.072504133,4834564.758777883
50,安贞街道_110105008000,116.386891,39.967726,12957678.376760138,4834667.910577065
51,安贞街道_110105008000,116.387183,39.967336,12957710.8212391,4834611.719890454
52,安贞街道_110105008000,116.386917,39.966421,12957681.139848245,4834479.051493209
53,安贞街道_110105008000,116.387055,39.966859,12957696.520944413,4834542.58403605
54,安贞街道_110105008000,116.387317,39.967104,12957725.684727205,4834578.309562919
55,安贞街道_110105008000,116.3873,39.962117,12957723.206203595,4833856.501169493
56,安贞街道_110105008000,116.387883,39.962154,12957788.006089386,4833862.368643451
57,安贞街道_110105008000,116.388452,39.962256,12957851.31760136,4833877.642815815
58,安贞街道_110105008000,116.388975,39.962456,12957909.495218698,4833906.976820596
59,安贞街道_110105008000,116.388439,39.967122,12957850.437363068,4834581.878159987
60,安贞街道_110105008000,116.387853,39.967116,12957785.267876863,4834580.526396108
61,安贞街道_110105008000,116.388075,39.972547,12957810.50843933,4835366.792399297
62,安贞街道_110105008000,116.388642,39.972436,12957873.562461715,4835351.191800461
63,安贞街道_110105008000,116.388733,39.973461,12957883.804575112,4835499.625561747
64,安贞街道_110105008000,116.388353,39.973804,12957841.565538278,4835548.981675286
65,安贞街道_110105008000,116.388245,39.971558,12957829.325352987,4835223.774027243
66,安贞街道_110105008000,116.388569,39.971933,12957865.380856209,4835278.309724482
67,安贞街道_110105008000,116.388245,39.971558,12957829.325352987,4835223.774027243
68,安贞街道_110105008000,116.388193,39.971112,12957823.499308756,4835159.188581543
69,安贞街道_110105008000,116.388227,39.970662,12957827.257843252,4835094.079539021
70,安贞街道_110105008000,116.388406,39.970236,12957847.085000236,4835032.571765718
71,安贞街道_110105008000,116.38873,39.969861,12957883.106679508,4834978.542538918
72,安贞街道_110105008000,116.388683,39.967241,12957877.581313498,4834599.326221
73,安贞街道_110105008000,116.388439,39.967122,12957850.437363068,4834581.878159987
74,安贞街道_110105008000,116.388444,39.966672,12957850.935129354,4834516.748263665
75,安贞街道_110105008000,116.38845,39.966221,12957851.552917091,4834451.501587926
76,安贞街道_110105008000,116.388478,39.965833,12957854.618471697,4834395.340150666
77,安贞街道_110105008000,116.388467,39.965775,12957853.37655588,4834386.930411668
78,安贞街道_110105008000,116.388477,39.965325,12957854.445767531,4834321.8441645345
79,安贞街道_110105008000,116.388497,39.964875,12957856.629959233,4834256.726114795
80,安贞街道_110105008000,116.388516,39.964425,12957858.693201888,4834191.607498642
81,安贞街道_110105008000,116.388536,39.963975,12957860.876692062,4834126.489884294
82,安贞街道_110105008000,116.38862,39.963531,12957870.145069169,4834062.281242962
83,安贞街道_110105008000,116.388869,39.963124,12957897.778132541,4834003.602058165
84,安贞街道_110105008000,116.389196,39.962751,12957934.130864533,4833949.832352083
85,安贞街道_110105008000,116.388602,39.969129,12957868.779100185,4834872.5262687085
86,安贞街道_110105008000,116.388615,39.968679,12957870.183755111,4834807.401147534
87,安贞街道_110105008000,116.388683,39.967241,12957877.581313498,4834599.326221
88,安贞街道_110105008000,116.388655,39.967691,12957874.520296926,4834664.440489612
89,安贞街道_110105008000,116.388626,39.968141,12957871.338155875,4834729.514825372
90,安贞街道_110105008000,116.388607,39.968591,12957869.27095743,4834794.635563038
91,安贞街道_110105008000,116.388841,39.969764,12957895.428777795,4834964.640932458
92,安贞街道_110105008000,116.388647,39.96934,12957873.803228555,4834903.063842554
93,安贞街道_110105008000,116.388683,39.967241,12957877.581313498,4834599.326221
94,安贞街道_110105008000,116.389265,39.967191,12957942.310112778,4834592.483518843
95,安贞街道_110105008000,116.388733,39.973461,12957883.804575112,4835499.625561747
96,安贞街道_110105008000,116.388656,39.973016,12957875.177191924,4835435.182627135
97,安贞街道_110105008000,116.388703,39.972568,12957880.356563577,4835370.354705076
98,安贞街道_110105008000,116.388722,39.972424,12957882.455133457,4835349.519802247
99,安贞街道_110105008000,116.390563,39.973538,12958087.372550528,4835511.964772965
100,安贞街道_110105008000,116.389992,39.973632,12958023.825468492,4835525.236816409
