﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,宛平街道_110106014000,116.211057,39.842446,12938109.765701191,4816437.408997637
1,宛平街道_110106014000,116.211246,39.842021,12938130.725860031,4816375.927458058
2,宛平街道_110106014000,116.211568,39.841648,12938166.498782491,4816321.852539109
3,宛平街道_110106014000,116.211694,39.841556,12938180.48074095,4816308.527726002
4,宛平街道_110106014000,116.211852,39.841123,12938197.990440948,4816245.857183932
5,宛平街道_110106014000,116.21201,39.84069,12938215.499135653,4816183.229579038
6,宛平街道_110106014000,116.212223,39.840273,12938239.11197325,4816122.904728249
7,宛平街道_110106014000,116.212318,39.840166,12938249.67507763,4816107.4036288755
8,宛平街道_110106014000,116.213577,39.838158,12938389.343351083,4815816.891461032
9,宛平街道_110106014000,116.213395,39.838586,12938369.185527243,4815878.779288168
10,宛平街道_110106014000,116.213211,39.839013,12938348.784753771,4815940.515519633
11,宛平街道_110106014000,116.213028,39.83944,12938328.503563177,4816002.256649395
12,宛平街道_110106014000,116.212698,39.839805,12938291.87118287,4816055.130574783
13,宛平街道_110106014000,116.213859,39.837815,12938420.622608164,4815767.311512378
14,宛平街道_110106014000,116.213859,39.837815,12938420.622608164,4815767.311512378
15,宛平街道_110106014000,116.214198,39.837448,12938458.267533198,4815714.21779836
16,宛平街道_110106014000,116.216131,39.834141,12938672.525371043,4815236.480327831
17,宛平街道_110106014000,116.215839,39.834531,12938640.156818567,4815292.784769891
18,宛平街道_110106014000,116.215599,39.834941,12938613.582372606,4815351.973515307
19,宛平街道_110106014000,116.215396,39.835363,12938591.05194666,4815412.941125922
20,宛平街道_110106014000,116.216131,39.834141,12938672.525371043,4815236.480327831
21,宛平街道_110106014000,116.216336,39.83372,12938695.262385104,4815175.691903595
22,宛平街道_110106014000,116.216651,39.833341,12938730.191881359,4815121.023238993
23,宛平街道_110106014000,116.217144,39.847752,12938786.648299914,4817203.091224555
24,宛平街道_110106014000,116.216609,39.847933,12938727.29419394,4817229.133722846
25,宛平街道_110106014000,116.217004,39.833111,12938769.327057581,4815087.856840785
26,宛平街道_110106014000,116.217495,39.833355,12938823.86116432,4815123.2272620415
27,宛平街道_110106014000,116.217976,39.83361,12938877.272094375,4815160.231437158
28,宛平街道_110106014000,116.218491,39.833818,12938934.469192242,4815190.509222538
29,宛平街道_110106014000,116.217004,39.833111,12938769.327057581,4815087.856840785
30,宛平街道_110106014000,116.217161,39.83268,12938786.717939058,4815025.622852738
31,宛平街道_110106014000,116.217433,39.832281,12938816.870924369,4814968.070422165
32,宛平街道_110106014000,116.217704,39.831883,12938846.90104235,4814910.684643693
33,宛平街道_110106014000,116.217979,39.831486,12938877.351164006,4814853.428890506
34,宛平街道_110106014000,116.216945,39.843539,12938764.070452569,4816594.377520231
35,宛平街道_110106014000,116.217525,39.843575,12938828.446753131,4816599.694941198
36,宛平街道_110106014000,116.217144,39.847752,12938786.648299914,4817203.091224555
37,宛平街道_110106014000,116.217575,39.848055,12938834.51808844,4817246.991405718
38,宛平街道_110106014000,116.218101,39.848245,12938892.92507889,4817274.666665193
39,宛平街道_110106014000,116.21867,39.848344,12938956.07725783,4817289.238416245
40,宛平街道_110106014000,116.219241,39.84844,12939019.428703472,4817303.384440651
41,宛平街道_110106014000,116.219812,39.848535,12939082.76864778,4817317.456031619
42,宛平街道_110106014000,116.220372,39.848658,12939144.894550882,4817335.5976372855
43,宛平街道_110106014000,116.220877,39.848882,12939200.902872762,4817368.346661799
44,宛平街道_110106014000,116.217144,39.847752,12938786.648299914,4817203.091224555
45,宛平街道_110106014000,116.217309,39.84732,12938804.91577102,4817140.73412305
46,宛平街道_110106014000,116.217342,39.846472,12938808.480222652,4817018.23853437
47,宛平街道_110106014000,116.217342,39.846472,12938808.480222652,4817018.23853437
48,宛平街道_110106014000,116.217503,39.846042,12938826.32312664,4816956.158915395
49,宛平街道_110106014000,116.217835,39.845672,12938863.081333349,4816902.793768026
50,宛平街道_110106014000,116.218185,39.845312,12938901.917191748,4816850.943679998
51,宛平街道_110106014000,116.218535,39.844951,12938940.688001081,4816798.913926267
52,宛平街道_110106014000,116.218953,39.844637,12938987.056769438,4816753.766200601
53,宛平街道_110106014000,116.217417,39.846867,12938816.875570279,4817075.296723824
54,宛平街道_110106014000,116.217476,39.842008,12938822.817895891,4816373.31266254
55,宛平街道_110106014000,116.217892,39.842324,12938869.02849856,4816419.102856527
56,宛平街道_110106014000,116.217476,39.842008,12938822.817895891,4816373.31266254
57,宛平街道_110106014000,116.217632,39.841575,12938840.083632099,4816310.80499796
