﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,密云镇_110118100000,116.806629,40.374955,13004412.240132436,4893647.496319037
1,密云镇_110118100000,116.80626,40.374606,13004371.140004087,4893597.147538111
2,密云镇_110118100000,116.805937,40.37423,13004335.215084739,4893542.818855014
3,密云镇_110118100000,116.805614,40.373854,13004299.22587994,4893488.54375003
4,密云镇_110118100000,116.806363,40.384167,13004381.725085158,4894988.8436644655
5,密云镇_110118100000,116.806803,40.383869,13004430.762537565,4894944.899464241
6,密云镇_110118100000,116.807251,40.383577,13004480.700734101,4894901.841774164
7,密云镇_110118100000,116.807711,40.383296,13004531.932032824,4894860.419327951
8,密云镇_110118100000,116.808172,40.383015,13004583.307324814,4894819.023966528
9,密云镇_110118100000,116.808633,40.382735,13004634.644864462,4894777.815251086
10,密云镇_110118100000,116.809093,40.382454,13004685.854131212,4894736.438568887
11,密云镇_110118100000,116.80956,40.38218,13004737.8414116,4894696.152284216
12,密云镇_110118100000,116.81004,40.381919,13004791.30110666,4894657.783570404
13,密云镇_110118100000,116.81052,40.381659,13004844.722253894,4894619.52559746
14,密云镇_110118100000,116.811,40.381399,13004898.165275142,4894581.378240506
15,密云镇_110118100000,116.81149,40.381149,13004952.656682719,4894544.641307939
16,密云镇_110118100000,116.811982,40.380901,13005007.411056984,4894508.292321143
17,密云镇_110118100000,116.806629,40.374955,13004412.240132436,4893647.496319037
18,密云镇_110118100000,116.806952,40.375331,13004448.157147255,4893701.814760506
19,密云镇_110118100000,116.80722,40.37573,13004477.954774193,4893759.591701857
20,密云镇_110118100000,116.808771,40.40664,13004648.695175542,4898258.823315516
21,密云镇_110118100000,116.808553,40.406224,13004624.410230625,4898198.461258729
22,密云镇_110118100000,116.808381,40.405793,13004605.26775536,4898135.859010527
23,密云镇_110118100000,116.808208,40.405363,13004586.004261611,4898073.380955817
24,密云镇_110118100000,116.808036,40.404932,13004566.861801853,4898010.788390091
25,密云镇_110118100000,116.807864,40.404501,13004547.719358535,4897948.161133223
26,密云镇_110118100000,116.807692,40.40407,13004528.576917257,4897885.578174333
27,密云镇_110118100000,116.80752,40.40364,13004509.404197501,4897823.11873506
28,密云镇_110118100000,116.807348,40.403209,13004490.261760566,4897760.5453296555
29,密云镇_110118100000,116.807176,40.402778,13004471.119331902,4897697.937176878
30,密云镇_110118100000,116.807094,40.402336,13004462.02522727,4897633.66941034
31,密云镇_110118100000,116.807144,40.402115,13004467.571671939,4897601.432237538
32,密云镇_110118100000,116.807252,40.375806,13004481.517578322,4893770.615153275
33,密云镇_110118100000,116.807576,40.376182,13004517.578646218,4893824.9592291135
34,密云镇_110118100000,116.8079,40.376557,13004553.60577634,4893879.199210737
35,密云镇_110118100000,116.808224,40.376933,13004589.629049232,4893933.5717817815
36,密云镇_110118100000,116.808548,40.377309,13004625.709021116,4893987.99767595
37,密云镇_110118100000,116.808872,40.377685,13004661.724739868,4894042.398847453
38,密云镇_110118100000,116.809196,40.37806,13004697.767015254,4894096.695818609
39,密云镇_110118100000,116.809521,40.378436,13004733.896111142,4894151.164690385
40,密云镇_110118100000,116.809847,40.378811,13004770.112267427,4894205.450360381
41,密云镇_110118100000,116.810172,40.379186,13004806.264103891,4894259.790553434
42,密云镇_110118100000,116.810497,40.379561,13004842.381903457,4894314.145651647
43,密云镇_110118100000,116.810823,40.379936,13004878.586592846,4894368.515207106
44,密云镇_110118100000,116.811169,40.380299,13004917.055689666,4894421.115470082
45,密云镇_110118100000,116.811624,40.380584,13004967.617420152,4894462.327970556
46,密云镇_110118100000,116.808536,40.402064,13004622.582235798,4897592.493626843
47,密云镇_110118100000,116.807948,40.402076,13004557.113069057,4897594.807634812
48,密云镇_110118100000,116.807359,40.402057,13004491.542131178,4897592.704976387
49,密云镇_110118100000,116.810569,40.398527,13004848.919512784,4897075.573577072
50,密云镇_110118100000,116.810056,40.398746,13004791.856836392,4897107.897993599
51,密云镇_110118100000,116.809604,40.399032,13004741.555256654,4897149.898185532
52,密云镇_110118100000,116.809146,40.399316,13004690.551220149,4897191.654138477
53,密云镇_110118100000,116.808754,40.399651,13004646.918270798,4897240.816536801
54,密云镇_110118100000,116.808396,40.400008,13004607.060907776,4897293.173402321
55,密云镇_110118100000,116.808058,40.400376,13004569.438062087,4897347.151135905
56,密云镇_110118100000,116.807738,40.400754,13004533.77829153,4897402.512085458
57,密云镇_110118100000,116.807464,40.401151,13004503.259274451,4897460.6506712455
58,密云镇_110118100000,116.807235,40.401565,13004477.731260035,4897521.207704945
59,密云镇_110118100000,116.8072,40.40201,13004473.840207309,4897586.055257512
60,密云镇_110118100000,116.807802,40.391334,13004541.399534987,4896030.62477754
61,密云镇_110118100000,116.808389,40.391307,13004606.75266035,4896026.089519347
62,密云镇_110118100000,116.80911,40.406752,13004686.441928027,4898274.82732159
63,密云镇_110118100000,116.808849,40.389755,13004658.04442127,4895799.625242319
64,密云镇_110118100000,116.808778,40.390202,13004650.139049452,4895864.7844553515
65,密云镇_110118100000,116.808848,40.390649,13004657.902846787,4895929.806130838
66,密云镇_110118100000,116.808906,40.391097,13004664.33619802,4895994.9558938015
67,密云镇_110118100000,116.808849,40.389755,13004658.04442127,4895799.625242319
68,密云镇_110118100000,116.809411,40.389631,13004720.63284698,4895781.05255064
69,密云镇_110118100000,116.808916,40.391151,13004665.420343718,4896002.84624918
70,密云镇_110118100000,116.809469,40.391306,13004726.954227705,4896024.914267879
71,密云镇_110118100000,116.815007,40.406157,13005342.077508977,4898185.1449088715
72,密云镇_110118100000,116.814421,40.406129,13005276.989241008,4898181.128591913
73,密云镇_110118100000,116.813839,40.4062,13005212.339844976,4898191.618277063
74,密云镇_110118100000,116.813257,40.40627,13005147.647811769,4898201.99719161
75,密云镇_110118100000,116.812675,40.40634,13005082.973534744,4898212.423294267
76,密云镇_110118100000,116.812093,40.406411,13005018.256607603,4898223.015096203
77,密云镇_110118100000,116.811511,40.406481,13004953.557507921,4898233.535346474
78,密云镇_110118100000,116.810929,40.406552,13004888.81581543,4898244.26057197
79,密云镇_110118100000,116.810347,40.406622,13004824.092059318,4898254.874338691
80,密云镇_110118100000,116.809765,40.406693,13004759.295578394,4898265.692835001
81,密云镇_110118100000,116.809182,40.406754,13004694.426542815,4898275.056732594
82,密云镇_110118100000,116.809584,40.391339,13004739.743376119,4896029.622445509
83,密云镇_110118100000,116.80969,40.391781,13004751.52922696,4896093.882253471
84,密云镇_110118100000,116.809754,40.392229,13004758.627884204,4896159.037121086
85,密云镇_110118100000,116.809584,40.391339,13004739.743376119,4896029.622445509
86,密云镇_110118100000,116.809604,40.391328,13004741.982136922,4896027.991543839
87,密云镇_110118100000,116.810152,40.391162,13004802.986129446,4896003.362843852
88,密云镇_110118100000,116.810727,40.391097,13004866.963191723,4895993.491442138
89,密云镇_110118100000,116.809757,40.392251,13004758.958654054,4896162.273306577
90,密云镇_110118100000,116.809842,40.392692,13004768.356620882,4896226.3912645485
91,密云镇_110118100000,116.809848,40.392728,13004769.018908158,4896231.639689311
92,密云镇_110118100000,116.809848,40.392728,13004769.018908158,4896231.639689311
93,密云镇_110118100000,116.80978,40.393174,13004761.42326783,4896296.634870843
94,密云镇_110118100000,116.809497,40.393554,13004729.91323127,4896352.242696037
95,密云镇_110118100000,116.809376,40.393903,13004716.428387443,4896403.178182742
96,密云镇_110118100000,116.809437,40.394351,13004723.198839633,4896468.335920833
97,密云镇_110118100000,116.809423,40.394801,13004721.592850436,4896533.896628096
98,密云镇_110118100000,116.809429,40.395251,13004722.255907979,4896599.40607322
99,密云镇_110118100000,116.809261,40.395674,13004703.536015658,4896661.155962637
100,密云镇_110118100000,116.809014,40.396083,13004676.015340677,4896720.949319481
101,密云镇_110118100000,116.808722,40.396474,13004643.473157685,4896778.137771912
102,密云镇_110118100000,116.808384,40.39684,13004605.847898405,4896831.779117393
103,密云镇_110118100000,116.80817,40.397259,13004581.981897365,4896893.038837182
104,密云镇_110118100000,116.807955,40.397679,13004558.054556537,4896954.424349929
105,密云镇_110118100000,116.80774,40.398098,13004534.065981133,4897015.69873148
106,密云镇_110118100000,116.807559,40.398521,13004513.919498362,4897077.463370884
107,密云镇_110118100000,116.80761,40.39897,13004519.583706392,4897142.860694291
108,密云镇_110118100000,116.807662,40.399419,13004525.369903736,4897208.179341936
