﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,小关街道_110105010000,116.401004,39.975447,12959250.953217404,4835785.777846979
1,小关街道_110105010000,116.401514,39.975227,12959307.815845631,4835753.419379199
2,小关街道_110105010000,116.402056,39.975058,12959368.293661108,4835728.373174675
3,小关街道_110105010000,116.402101,39.97495,12959373.31204474,4835712.696560448
4,小关街道_110105010000,116.401572,39.974756,12959314.260491677,4835685.1996262
5,小关街道_110105010000,116.40108,39.974514,12959259.331158718,4835650.681291857
6,小关街道_110105010000,116.401562,39.97411,12959313.092505047,4835591.727543781
7,小关街道_110105010000,116.401856,39.974498,12959345.908754593,4835647.557282583
8,小关街道_110105010000,116.402082,39.974913,12959371.189931976,4835707.378198638
9,小关街道_110105010000,116.402101,39.97495,12959373.31204474,4835712.696560448
10,小关街道_110105010000,116.40219,39.975021,12959383.248473404,4835722.882952391
11,小关街道_110105010000,116.404329,39.981772,12959622.537022434,4836697.330599523
12,小关街道_110105010000,116.403877,39.981489,12959572.053531682,4836656.997791036
13,小关街道_110105010000,116.403586,39.9811,12959539.53389975,4836601.080946369
14,小关街道_110105010000,116.403344,39.98069,12959512.497512538,4836542.028973484
15,小关街道_110105010000,116.403111,39.980278,12959486.431211682,4836482.684202029
16,小关街道_110105010000,116.402912,39.979855,12959464.181181967,4836421.720569814
17,小关街道_110105010000,116.402714,39.979431,12959442.05259359,4836360.593683364
18,小关街道_110105010000,116.402516,39.979008,12959419.924422937,4836299.61896961
19,小关街道_110105010000,116.402345,39.978578,12959400.824245144,4836237.548091016
20,小关街道_110105010000,116.402204,39.978142,12959385.054453772,4836174.615263317
21,小关街道_110105010000,116.402063,39.977705,12959369.314581802,4836111.483317477
22,小关街道_110105010000,116.401923,39.977268,12959353.604732133,4836048.387837313
23,小关街道_110105010000,116.401782,39.976831,12959337.864351198,4835985.290159487
24,小关街道_110105010000,116.40167,39.97639,12959325.332531001,4835921.60969078
25,小关街道_110105010000,116.401786,39.975953,12959338.230787953,4835858.234191118
26,小关街道_110105010000,116.402001,39.975534,12959362.211135445,4835797.338871296
27,小关街道_110105010000,116.402263,39.975131,12959391.401409362,4835738.701097447
28,小关街道_110105010000,116.404818,39.975145,12959676.680010926,4835737.428216705
29,小关街道_110105010000,116.404235,39.975107,12959611.534151979,4835732.757103388
30,小关街道_110105010000,116.40365,39.975098,12959546.249516383,4835732.248601583
31,小关街道_110105010000,116.403065,39.975088,12959480.915091498,4835731.542604325
32,小关街道_110105010000,116.40248,39.975068,12959415.621298289,4835729.341700087
33,小关街道_110105010000,116.405296,39.98379,12959730.6280687,4836987.997336636
34,小关街道_110105010000,116.404986,39.983409,12959695.979533188,4836933.29577996
35,小关街道_110105010000,116.404738,39.983001,12959668.271131605,4836874.606915306
36,小关街道_110105010000,116.404489,39.982594,12959640.442540664,4836816.069423905
37,小关街道_110105010000,116.404303,39.98217,12959619.6432569,4836754.963896559
38,小关街道_110105010000,116.404329,39.981772,12959622.537022434,4836697.330599523
39,小关街道_110105010000,116.404901,39.981682,12959686.405766174,4836683.480176256
40,小关街道_110105010000,116.405832,39.976702,12959790.068085877,4835961.22397623
41,小关街道_110105010000,116.405409,39.976391,12959742.76724483,4835916.881952866
42,小关街道_110105010000,116.405113,39.976004,12959709.678574355,4835861.338430771
43,小关街道_110105010000,116.404937,39.975575,12959689.982469501,4835799.485383744
44,小关街道_110105010000,116.404818,39.975145,12959676.680010926,4835737.428216705
45,小关街道_110105010000,116.40538,39.975019,12959739.43038372,4835718.338895294
46,小关街道_110105010000,116.405296,39.98379,12959730.6280687,4836987.997336636
47,小关街道_110105010000,116.408335,39.981845,12960070.059818778,4836701.296458551
48,小关街道_110105010000,116.40775,39.981856,12960004.675718056,4836703.95952875
49,小关街道_110105010000,116.407165,39.981835,12959939.330027137,4836701.9540261645
50,小关街道_110105010000,116.406581,39.981814,12959874.084836593,4836699.950306487
51,小关街道_110105010000,116.405996,39.981793,12959808.697827598,4836697.833258167
52,小关街道_110105010000,116.405423,39.981713,12959744.712696034,4836687.139436069
53,小关街道_110105010000,116.405521,39.983937,12959755.756057719,4837008.935866038
54,小关街道_110105010000,116.405592,39.984382,12959763.707816463,4837073.215843441
55,小关街道_110105010000,116.405831,39.984792,12959790.419266662,4837132.208456565
56,小关街道_110105010000,116.406079,39.9852,12959818.131701194,4837190.866271387
57,小关街道_110105010000,116.406327,39.985607,12959845.844970852,4837249.360165549
58,小关街道_110105010000,116.406579,39.986014,12959874.013814414,4837307.840547502
59,小关街道_110105010000,116.406947,39.986359,12959915.128623743,4837357.128407502
60,小关街道_110105010000,116.408297,39.983704,12960065.905091276,4836970.465190526
61,小关街道_110105010000,116.407731,39.983801,12960002.646516886,4836985.538399335
62,小关街道_110105010000,116.407146,39.983801,12959937.301912917,4836986.594203711
63,小关街道_110105010000,116.406561,39.983801,12959871.906223519,4836987.575470909
64,小关街道_110105010000,116.405976,39.983815,12959806.551033532,4836990.521496406
65,小关街道_110105010000,116.405747,39.974976,12959780.403282657,4835711.53336644
66,小关街道_110105010000,116.40677,39.974147,12959894.623083472,4835589.900438422
67,小关街道_110105010000,116.406307,39.974412,12959842.92480997,4835629.019519003
68,小关街道_110105010000,116.405934,39.974759,12959801.301434632,4835679.830727122
69,小关街道_110105010000,116.406004,39.977173,12959809.314588929,4836029.11199171
70,小关街道_110105010000,116.405844,39.976741,12959791.40421825,4835966.859015613
71,小关街道_110105010000,116.406004,39.977173,12959809.314588929,4836029.11199171
72,小关街道_110105010000,116.406148,39.975127,12959825.21340145,4835732.769687359
73,小关街道_110105010000,116.406142,39.975577,12959824.578109821,4835797.914817259
74,小关街道_110105010000,116.406135,39.976028,12959823.851028813,4835863.1790577425
75,小关街道_110105010000,116.406148,39.975127,12959825.21340145,4835732.769687359
76,小关街道_110105010000,116.4067,39.975274,12959886.883567099,4835753.150165881
77,小关街道_110105010000,116.407279,39.975342,12959951.619166171,4835761.9469088
78,小关街道_110105010000,116.406254,39.977297,12959837.239765892,4836046.65548281
79,小关街道_110105010000,116.406352,39.977738,12959848.23980719,4836110.336678232
80,小关街道_110105010000,116.406433,39.978047,12959857.291482324,4836154.924561821
81,小关街道_110105010000,116.406994,39.978168,12959919.963212041,4836171.503645827
82,小关街道_110105010000,116.407577,39.978214,12959985.125991082,4836177.173952094
83,小关街道_110105010000,116.407011,39.986396,12959922.284339743,4837362.3989821505
84,小关街道_110105010000,116.407088,39.986839,12959930.89996709,4837426.381900351
85,小关街道_110105010000,116.407011,39.986396,12959922.284339743,4837362.3989821505
86,小关街道_110105010000,116.407568,39.986268,12959984.501844477,4837342.908308175
87,小关街道_110105010000,116.407608,39.975387,12959988.37299049,4835767.892596473
88,小关街道_110105010000,116.4076,39.975838,12959987.494423795,4835833.199517154
89,小关街道_110105010000,116.407577,39.976288,12959984.977401823,4835898.375097755
90,小关街道_110105010000,116.407625,39.976734,12959990.373613438,4835962.837496123
91,小关街道_110105010000,116.407608,39.975387,12959988.37299049,4835767.892596473
92,小关街道_110105010000,116.408187,39.975325,12960053.053341353,4835757.907468451
93,小关街道_110105010000,116.408772,39.975326,12960118.444618164,4835756.907151287
94,小关街道_110105010000,116.409357,39.975319,12960183.844180593,4835754.7347685695
95,小关街道_110105010000,116.409938,39.975363,12960248.800830482,4835759.99779923
96,小关街道_110105010000,116.410487,39.975518,12960310.192803213,4835781.274644962
97,小关街道_110105010000,116.407684,39.976862,12959996.992365578,4835981.26500329
98,小关街道_110105010000,116.408077,39.978195,12960041.014212037,4836173.496984333
99,小关街道_110105010000,116.408409,39.978566,12960078.126353037,4836226.56389314
100,小关街道_110105010000,116.408104,39.977011,12960043.915549511,4836002.070442232
101,小关街道_110105010000,116.408207,39.97745,12960055.467033783,4836065.409506802
102,小关街道_110105010000,116.40819,39.977899,12960053.613366857,4836130.418635215
103,小关街道_110105010000,116.408128,39.986274,12960047.12380941,4837342.734925521
104,小关街道_110105010000,116.408364,39.986686,12960073.483980486,4837401.943422742
105,小关街道_110105010000,116.408297,39.983704,12960065.905091276,4836970.465190526
106,小关街道_110105010000,116.408702,39.984029,12960111.196570192,4837016.713290196
107,小关街道_110105010000,116.408297,39.983704,12960065.905091276,4836970.465190526
108,小关街道_110105010000,116.408387,39.983262,12960075.93121057,4836906.343528657
109,小关街道_110105010000,116.408384,39.982812,12960075.58347775,4836841.2138621025
110,小关街道_110105010000,116.40838,39.982362,12960075.113302747,4836776.046858513
111,小关街道_110105010000,116.408406,39.981912,12960077.978251418,4836710.864263022
112,小关街道_110105010000,116.408407,39.981897,12960078.099008597,4836708.702870793
113,小关街道_110105010000,116.408335,39.981845,12960070.059818778,4836701.296458551
114,小关街道_110105010000,116.408348,39.981395,12960071.498011496,4836636.13727658
115,小关街道_110105010000,116.408341,39.980945,12960070.690775264,4836571.014803632
116,小关街道_110105010000,116.408326,39.980495,12960068.972598223,4836505.90717037
117,小关街道_110105010000,116.408319,39.980045,12960068.163223863,4836440.784590292
118,小关街道_110105010000,116.408313,39.979594,12960067.474071154,4836375.542197696
119,小关街道_110105010000,116.408311,39.979144,12960067.208517885,4836310.410612975
120,小关街道_110105010000,116.408394,39.978701,12960076.465623021,4836246.143758089
121,小关街道_110105010000,116.411029,39.981952,12960371.230064938,4836711.37234284
122,小关街道_110105010000,116.410443,39.981935,12960305.714563172,4836710.181290252
123,小关街道_110105010000,116.409858,39.981918,12960240.298122201,4836708.918868715
124,小关街道_110105010000,116.409273,39.981905,12960174.89014472,4836708.174599952
125,小关街道_110105010000,116.408688,39.981899,12960109.521377988,4836708.457312412
126,小关街道_110105010000,116.411184,39.978618,12960388.34371946,4836228.521816675
127,小关街道_110105010000,116.410599,39.978595,12960322.94690222,4836226.394039651
128,小关街道_110105010000,116.410014,39.978588,12960257.528581955,4836226.592432022
129,小关街道_110105010000,116.409429,39.978584,12960192.149021816,4836227.230221364
130,小关街道_110105010000,116.408844,39.97858,12960126.747620892,4836227.7577296365
131,小关街道_110105010000,116.409142,39.987075,12960160.449175445,4837456.748920951
132,小关街道_110105010000,116.408804,39.984106,12960122.603325028,4837027.672638045
133,小关街道_110105010000,116.409388,39.984127,12960187.85281195,4837029.584067632
134,小关街道_110105010000,116.409973,39.98414,12960253.262302661,4837030.282730241
135,小关街道_110105010000,116.410557,39.984172,12960318.55915977,4837033.700617383
136,小关街道_110105010000,116.409142,39.987075,12960160.449175445,4837456.748920951
137,小关街道_110105010000,116.409214,39.987105,12960168.488154782,4837460.930119092
138,小关街道_110105010000,116.409678,39.98711,12960220.36386054,4837460.776772858
139,小关街道_110105010000,116.410261,39.987098,12960285.534352181,4837457.852035664
140,小关街道_110105010000,116.41067,39.975583,12960330.618829472,4835790.32478504
141,小关街道_110105010000,116.410364,39.975967,12960296.447811808,4835846.502921661
142,小关街道_110105010000,116.410067,39.976355,12960263.279870696,4835903.322319474
143,小关街道_110105010000,116.41067,39.975583,12960330.618829472,4835790.32478504
144,小关街道_110105010000,116.410808,39.986956,12960346.675791273,4837436.125824932
145,小关街道_110105010000,116.414129,39.987235,12960718.102518868,4837469.041534386
146,小关街道_110105010000,116.413544,39.987219,12960652.64108311,4837468.108440491
147,小关街道_110105010000,116.412959,39.987202,12960587.246728498,4837466.992945299
148,小关街道_110105010000,116.412374,39.987186,12960521.79836095,4837466.010350828
149,小关街道_110105010000,116.411788,39.987169,12960456.26595183,4837464.845863221
150,小关街道_110105010000,116.411213,39.987099,12960391.984728713,4837455.97425787
151,小关街道_110105010000,116.410808,39.986956,12960346.675791273,4837436.125824932
152,小关街道_110105010000,116.410839,39.986506,12960350.130462218,4837370.927546375
153,小关街道_110105010000,116.410921,39.975586,12960358.718819605,4835790.199795605
154,小关街道_110105010000,116.411087,39.976018,12960377.32043154,4835852.359712003
155,小关街道_110105010000,116.411252,39.97645,12960395.770091327,4835914.559401746
156,小关街道_110105010000,116.411322,39.976897,12960403.65902528,4835979.115367618
157,小关街道_110105010000,116.410921,39.975586,12960358.718819605,4835790.199795605
158,小关街道_110105010000,116.411415,39.975344,12960413.934662089,4835754.145061508
159,小关街道_110105010000,116.411901,39.975093,12960468.214018792,4835716.713959532
160,小关街道_110105010000,116.41091,39.98476,12960358.021440282,4837118.094732701
161,小关街道_110105010000,116.410903,39.98521,12960357.241655797,4837183.2441268405
162,小关街道_110105010000,116.410889,39.98566,12960355.732417317,4837248.406908535
163,小关街道_110105010000,116.410876,39.986111,12960354.282730734,4837313.686253544
164,小关街道_110105010000,116.410994,39.984337,12960367.419105368,4837056.672305004
165,小关街道_110105010000,116.411098,39.983256,12960378.98226061,4836899.959775105
166,小关街道_110105010000,116.410957,39.983692,12960363.214555074,4836963.425270693
167,小关街道_110105010000,116.410895,39.984139,12960356.337814264,4837028.255970432
168,小关街道_110105010000,116.410923,39.984721,12960359.477201669,4837112.414104086
169,小关街道_110105010000,116.410994,39.984337,12960367.419105368,4837056.672305004
170,小关街道_110105010000,116.410994,39.984337,12960367.419105368,4837056.672305004
171,小关街道_110105010000,116.411578,39.984308,12960432.697807241,4837051.244321016
