﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,小红门地区_110105027000,116.419235,39.831081,12961284.171301253,4814879.684948481
1,小红门地区_110105027000,116.419819,39.831071,12961349.491504515,4814876.733029829
2,小红门地区_110105027000,116.420403,39.831061,12961414.84458438,4814873.692366143
3,小红门地区_110105027000,116.420986,39.831047,12961480.077889979,4814870.058530893
4,小红门地区_110105027000,116.42157,39.831036,12961545.404480627,4814866.885917971
5,小红门地区_110105027000,116.42194,39.83109,12961586.825465085,4814873.673085021
6,小红门地区_110105027000,116.422524,39.831069,12961652.153142171,4814869.003417088
7,小红门地区_110105027000,116.423739,39.831056,12961788.100804508,4814863.763286171
8,小红门地区_110105027000,116.423161,39.831088,12961723.411087515,4814869.990023101
9,小红门地区_110105027000,116.423739,39.831056,12961788.100804508,4814863.763286171
10,小红门地区_110105027000,116.424323,39.831048,12961853.431119928,4814861.008631819
11,小红门地区_110105027000,116.424887,39.830943,12961916.502620947,4814844.281015074
12,小红门地区_110105027000,116.425127,39.830844,12961943.353968645,4814829.308406656
13,小红门地区_110105027000,116.425711,39.830847,12962008.683921194,4814828.126558735
14,小红门地区_110105027000,116.426111,39.830899,12962053.416506754,4814834.523207395
15,小红门地区_110105027000,116.426695,39.8309,12962118.743910702,4814833.036707256
16,小红门地区_110105027000,116.427279,39.830902,12962184.069565602,4814831.753255607
17,小红门地区_110105027000,116.427863,39.830903,12962249.362412838,4814830.24396589
18,小红门地区_110105027000,116.427543,39.835609,12962214.130392523,4815510.988399906
19,小红门地区_110105027000,116.428017,39.835346,12962267.119148767,4815471.677129021
20,小红门地区_110105027000,116.428469,39.835061,12962317.642930571,4815429.255130462
21,小红门地区_110105027000,116.428908,39.834764,12962366.675114784,4815385.189080176
22,小红门地区_110105027000,116.42822,39.830903,12962289.284241349,4814829.286746678
23,小红门地区_110105027000,116.428483,39.830884,12962318.69131674,4814825.831087085
24,小红门地区_110105027000,116.429057,39.830962,12962382.892533135,4814835.535548521
25,小红门地区_110105027000,116.429641,39.830965,12962448.176479826,4814834.413541201
26,小红门地区_110105027000,116.430098,39.830888,12962499.293255229,4814822.062423249
27,小红门地区_110105027000,116.430682,39.830885,12962564.569644911,4814820.065452026
28,小红门地区_110105027000,116.431266,39.830881,12962629.811173372,4814817.929003456
29,小红门地区_110105027000,116.431846,39.830833,12962694.679076854,4814809.470823315
30,小红门地区_110105027000,116.432993,39.830966,12962822.843819877,4814825.793711517
31,小红门地区_110105027000,116.43244,39.830821,12962761.033666102,4814806.250458269
32,小红门地区_110105027000,116.434101,39.828202,12962946.329415979,4814423.758714538
33,小红门地区_110105027000,116.433736,39.828554,12962905.58855646,4814475.522453446
34,小红门地区_110105027000,116.433382,39.828913,12962866.091169836,4814528.210324709
