﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,展览路街道_110102009000,116.323601,39.938762,12950640.896862805,4830372.145106914
1,展览路街道_110102009000,116.323518,39.939198,12950631.621073639,4830435.315012238
2,展览路街道_110102009000,116.323497,39.939648,12950629.314889366,4830500.441575431
3,展览路街道_110102009000,116.323466,39.940098,12950625.888712334,4830565.543560179
4,展览路街道_110102009000,116.323436,39.940547,12950622.554306505,4830630.527681493
5,展览路街道_110102009000,116.323601,39.938762,12950640.896862805,4830372.145106914
6,展览路街道_110102009000,116.323019,39.938801,12950575.760127667,4830378.447966052
7,展览路街道_110102009000,116.322883,39.939223,12950560.543172697,4830439.620278887
8,展览路街道_110102009000,116.322743,39.93966,12950544.90320626,4830502.998464255
9,展览路街道_110102009000,116.322584,39.940093,12950527.142089302,4830565.819084259
10,展览路街道_110102009000,116.322431,39.940528,12950510.04793338,4830628.948448004
11,展览路街道_110102009000,116.322185,39.94093,12950482.526459778,4830687.435067231
12,展览路街道_110102009000,116.322202,39.941243,12950484.456708191,4830732.693550969
13,展览路街道_110102009000,116.322696,39.941484,12950539.80889117,4830766.920692853
14,展览路街道_110102009000,116.323217,39.941689,12950598.150889037,4830795.998063368
15,展览路街道_110102009000,116.323759,39.941857,12950658.844884774,4830819.703174922
16,展览路街道_110102009000,116.324188,39.941946,12950706.832922399,4830832.1299528945
17,展览路街道_110102009000,116.324753,39.942065,12950770.081034368,4830848.807133065
18,展览路街道_110102009000,116.325278,39.942253,12950828.842340272,4830875.537417373
19,展览路街道_110102009000,116.325723,39.942545,12950878.64068689,4830917.380457126
20,展览路街道_110102009000,116.326238,39.942733,12950936.265391372,4830944.14627322
21,展览路街道_110102009000,116.326812,39.942745,12951000.46622557,4830945.538480411
22,展览路街道_110102009000,116.327319,39.942527,12951057.13398647,4830913.637052663
23,展览路街道_110102009000,116.327742,39.942216,12951104.40671091,4830868.4180275835
24,展览路街道_110102009000,116.328281,39.94214,12951164.668775106,4830857.117387891
25,展览路街道_110102009000,116.328842,39.942158,12951227.377400434,4830859.496710267
26,展览路街道_110102009000,116.329363,39.941953,12951285.552912977,4830829.646633308
27,展览路街道_110102009000,116.329909,39.941798,12951346.564666394,4830807.040045239
28,展览路街道_110102009000,116.330493,39.941829,12951411.811161108,4830811.3764666105
29,展览路街道_110102009000,116.33106,39.941739,12951475.102410467,4830798.264289836
30,展览路街道_110102009000,116.331629,39.941635,12951538.653054744,4830783.233475034
31,展览路街道_110102009000,116.33218,39.941491,12951600.16477403,4830762.365345878
32,展览路街道_110102009000,116.33266,39.941244,12951653.71349475,4830726.67820748
33,展览路街道_110102009000,116.333044,39.941557,12951696.599445553,4830771.988448092
34,展览路街道_110102009000,116.333542,39.941758,12951752.18730035,4830801.185374086
35,展览路街道_110102009000,116.334041,39.941546,12951807.827859517,4830770.651397342
36,展览路街道_110102009000,116.334355,39.941171,12951842.85766904,4830716.474178381
37,展览路街道_110102009000,116.334802,39.940912,12951892.684706582,4830679.201284402
38,展览路街道_110102009000,116.335381,39.94089,12951957.249615218,4830676.279873554
39,展览路街道_110102009000,116.335902,39.94107,12952015.387993174,4830702.583621385
40,展览路街道_110102009000,116.336263,39.941422,12952055.635810742,4830753.748639629
41,展览路街道_110102009000,116.336635,39.941768,12952097.146154055,4830804.033942865
42,展览路街道_110102009000,116.337177,39.941896,12952157.580432143,4830822.903566995
43,展览路街道_110102009000,116.337755,39.941968,12952222.011350332,4830833.748922425
44,展览路街道_110102009000,116.338333,39.942036,12952286.369694488,4830844.090061495
45,展览路街道_110102009000,116.338913,39.942095,12952350.986833135,4830853.183013459
46,展览路街道_110102009000,116.339494,39.942143,12952415.711814772,4830860.6737603415
47,展览路街道_110102009000,116.340078,39.942122,12952480.751513453,4830858.283602367
48,展览路街道_110102009000,116.340662,39.942109,12952545.779911363,4830857.076388719
49,展览路街道_110102009000,116.341247,39.942123,12952610.888895303,4830859.83865805
50,展览路街道_110102009000,116.341825,39.942097,12952675.200235263,4830856.829481999
51,展览路街道_110102009000,116.34238,39.941955,12952736.962394733,4830837.040890736
52,展览路街道_110102009000,116.342934,39.94181,12952798.563696722,4830816.896928992
53,展览路街道_110102009000,116.34349,39.941668,12952860.426226854,4830797.1864739945
54,展览路街道_110102009000,116.34405,39.941541,12952922.671253629,4830779.676771638
55,展览路街道_110102009000,116.344623,39.941616,12952986.425240893,4830791.498165876
56,展览路街道_110102009000,116.345192,39.941715,12953049.659178376,4830806.804619039
57,展览路街道_110102009000,116.345729,39.941893,12953109.398819156,4830833.519183705
58,展览路街道_110102009000,116.34609,39.942242,12953149.557941813,4830884.629316183
59,展览路街道_110102009000,116.346219,39.942655,12953163.90799075,4830944.64085144
60,展览路街道_110102009000,116.346056,39.943088,12953145.830030933,4831006.974388744
61,展览路街道_110102009000,116.345895,39.943521,12953127.992762454,4831069.315022364
62,展览路街道_110102009000,116.34566,39.943884,12953101.906016193,4831121.3805190455
63,展览路街道_110102009000,116.34529,39.94413,12953060.793830447,4831156.335052049
64,展览路街道_110102009000,116.345105,39.944556,12953040.275955524,4831217.674699453
65,展览路街道_110102009000,116.345036,39.945001,12953032.639172228,4831281.896205284
66,展览路街道_110102009000,116.344964,39.945447,12953024.67208156,4831346.310900693
67,展览路街道_110102009000,116.344968,39.945897,12953025.192295462,4831411.4267507475
68,展览路街道_110102009000,116.345018,39.946345,12953030.76868788,4831476.335165501
69,展览路街道_110102009000,116.345102,39.946791,12953040.167245315,4831541.020531287
70,展览路街道_110102009000,116.345202,39.947235,12953051.311379211,4831605.456037453
71,展览路街道_110102009000,116.345305,39.947678,12953062.816834928,4831669.741276194
72,展览路街道_110102009000,116.345406,39.948121,12953074.081841502,4831733.985910845
73,展览路街道_110102009000,116.345496,39.948564,12953084.143605584,4831798.255172312
74,展览路街道_110102009000,116.345599,39.949007,12953095.649924045,4831862.545936455
75,展览路街道_110102009000,116.345768,39.949392,12953114.491998952,4831918.541334864
76,展览路街道_110102009000,116.346322,39.949537,12953176.059113279,4831940.573501983
