﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,崔各庄地区_110105038000,116.452835,40.039012,12965035.705982173,4844881.531671427
1,崔各庄地区_110105038000,116.45225,40.039,12964970.754521903,4844880.102133439
2,崔各庄地区_110105038000,116.451665,40.038989,12964905.760358293,4844878.876838174
3,崔各庄地区_110105038000,116.45108,40.038975,12964840.784204824,4844877.187687889
4,崔各庄地区_110105038000,116.450495,40.038959,12964775.765580488,4844875.270382556
5,崔各庄地区_110105038000,116.452835,40.039012,12965035.705982173,4844881.531671427
6,崔各庄地区_110105038000,116.454162,40.03919,12965183.046329549,4844906.890389874
7,崔各庄地区_110105038000,116.453585,40.03911,12965119.002493529,4844895.493390557
8,崔各庄地区_110105038000,116.454181,40.036188,12965185.277947212,4844472.119044536
9,崔各庄地区_110105038000,116.454127,40.03574,12965179.299559664,4844407.26535349
10,崔各庄地区_110105038000,116.454129,40.043536,12965179.276789524,4845536.334575029
11,崔各庄地区_110105038000,116.454054,40.043981,12965170.930736719,4845600.805449206
12,崔各庄地区_110105038000,116.454051,40.044431,12965170.587317334,4845665.987249748
13,崔各庄地区_110105038000,116.454048,40.044881,12965170.275233613,4845731.170004364
14,崔各庄地区_110105038000,116.454048,40.045331,12965170.266249256,4845796.35379428
15,崔各庄地区_110105038000,116.454049,40.045782,12965170.379184453,4845861.656444084
16,崔各庄地区_110105038000,116.45423,40.037241,12965190.675490843,4844624.609694177
17,崔各庄地区_110105038000,116.45421,40.036791,12965188.469385449,4844559.441176755
18,崔各庄地区_110105038000,116.45419,40.036341,12965186.294410242,4844494.273587942
19,崔各庄地区_110105038000,116.454279,40.042716,12965195.939041398,4845417.534185027
20,崔各庄地区_110105038000,116.454129,40.042284,12965179.286987238,4845354.98002486
21,崔各庄地区_110105038000,116.454129,40.041834,12965179.303603306,4845289.802585622
22,崔各庄地区_110105038000,116.454132,40.041384,12965179.65345435,4845224.626200822
23,崔各庄地区_110105038000,116.454136,40.040934,12965180.09496234,4845159.490058419
24,崔各庄地区_110105038000,116.454139,40.040483,12965180.477228548,4845094.119095359
25,崔各庄地区_110105038000,116.454139,40.040033,12965180.467972815,4845028.94531259
