﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,左家庄街道_110105005000,116.432507,39.945279,12962769.643345127,4831347.728061877
1,左家庄街道_110105005000,116.432993,39.945028,12962823.94804239,4831310.202471139
2,左家庄街道_110105005000,116.433436,39.944734,12962873.417620178,4831266.512756571
3,左家庄街道_110105005000,116.433905,39.944469,12962925.77076374,4831227.016129565
4,左家庄街道_110105005000,116.433692,39.958084,12962903.54470941,4833197.639766566
5,左家庄街道_110105005000,116.434161,39.956402,12962955.732247999,4832953.067670086
6,左家庄街道_110105005000,116.43379,39.95675,12962914.328018254,4833004.354385772
7,左家庄街道_110105005000,116.433568,39.957163,12962889.59784189,4833064.649665588
8,左家庄街道_110105005000,116.433554,39.957613,12962888.068595547,4833129.847252956
9,左家庄街道_110105005000,116.43367,39.95805,12962901.08162149,4833192.783203756
10,左家庄街道_110105005000,116.434161,39.956402,12962955.732247999,4832953.067670086
11,左家庄街道_110105005000,116.433808,39.956044,12962916.254440902,4832902.131534343
12,左家庄街道_110105005000,116.433589,39.955628,12962891.737107916,4832842.49499794
13,左家庄街道_110105005000,116.433562,39.955179,12962888.651920563,4832777.551671689
14,左家庄街道_110105005000,116.433559,39.954729,12962888.269140951,4832712.435453849
15,左家庄街道_110105005000,116.433556,39.954279,12962887.856263464,4832647.359654037
16,左家庄街道_110105005000,116.433592,39.953831,12962891.846428491,4832582.429244082
17,左家庄街道_110105005000,116.43448,39.953548,12962991.034123356,4832539.276473608
18,左家庄街道_110105005000,116.433897,39.953534,12962925.880765615,4832538.67006478
19,左家庄街道_110105005000,116.433732,39.958125,12962908.01249442,4833203.515197194
20,左家庄街道_110105005000,116.434308,39.958192,12962972.384216784,4833211.746518083
21,左家庄街道_110105005000,116.434892,39.958192,12963037.59220154,4833210.327934091
22,左家庄街道_110105005000,116.434063,39.944422,12962943.406501345,4831219.828655182
23,左家庄街道_110105005000,116.434647,39.944442,12963008.64915279,4831221.264086683
24,左家庄街道_110105005000,116.434161,39.956402,12962955.732247999,4832953.067670086
25,左家庄街道_110105005000,116.434873,39.947552,12963034.207317725,4831670.686047173
26,左家庄街道_110105005000,116.434458,39.947234,12962987.822694253,4831625.688469758
27,左家庄街道_110105005000,116.434873,39.947552,12963034.207317725,4831670.686047173
28,左家庄街道_110105005000,116.43444,39.947854,12962985.87636448,4831715.450007986
29,左家庄街道_110105005000,116.435696,39.95402,12963126.86187174,4832604.6786036715
30,左家庄街道_110105005000,116.435237,39.95374,12963075.596433328,4832565.239104357
31,左家庄街道_110105005000,116.434701,39.953566,12963015.686387813,4832541.336055585
32,左家庄街道_110105005000,116.434581,39.956399,12963002.636176327,4832951.614653622
33,左家庄街道_110105005000,116.43448,39.956843,12962991.42218454,4833016.140455133
34,左家庄街道_110105005000,116.434664,39.943984,12963010.524769614,4831154.98074031
35,左家庄街道_110105005000,116.434695,39.944432,12963014.021574508,4831219.744339316
36,左家庄街道_110105005000,116.434581,39.956399,12963002.636176327,4832951.614653622
37,左家庄街道_110105005000,116.435156,39.956316,12963066.860548066,4832938.2148894295
38,左家庄街道_110105005000,116.434693,39.944443,12963013.809959019,4831221.318367276
39,左家庄街道_110105005000,116.435071,39.944787,12963056.06338758,4831270.168560387
40,左家庄街道_110105005000,116.435015,39.947549,12963050.083069034,4831669.941287015
41,左家庄街道_110105005000,116.434879,39.954395,12963035.658776816,4832660.861991314
42,左家庄街道_110105005000,116.43542,39.954567,12963096.143561533,4832684.447535315
43,左家庄街道_110105005000,116.435015,39.947549,12963050.083069034,4831669.941287015
44,左家庄街道_110105005000,116.435393,39.947892,12963092.337700788,4831718.686980684
45,左家庄街道_110105005000,116.435844,39.948177,12963142.748554401,4831758.810560732
46,左家庄街道_110105005000,116.435015,39.947549,12963050.083069034,4831669.941287015
47,左家庄街道_110105005000,116.43539,39.947203,12963091.909758126,4831619.003651611
48,左家庄街道_110105005000,116.435765,39.946861,12963133.794930065,4831568.586576704
49,左家庄街道_110105005000,116.435413,39.945104,12963094.275165645,4831315.223091502
50,左家庄街道_110105005000,116.435413,39.945104,12963094.275165645,4831315.223091502
51,左家庄街道_110105005000,116.435785,39.945452,12963135.856485816,4831364.69679926
52,左家庄街道_110105005000,116.436119,39.94582,12963173.21851083,4831417.126773933
53,左家庄街道_110105005000,116.435329,39.9581,12963086.392489295,4833195.94526454
54,左家庄街道_110105005000,116.435889,39.95822,12963148.961123334,4833212.013571195
55,左家庄街道_110105005000,116.436464,39.958157,12963213.141469011,4833201.53958444
56,左家庄街道_110105005000,116.435477,39.956453,12963102.72318135,4832957.26267204
57,左家庄街道_110105005000,116.435415,39.956901,12963095.851958478,4833022.246961315
58,左家庄街道_110105005000,116.435356,39.957349,12963089.314646319,4833087.225541355
59,左家庄街道_110105005000,116.435333,39.957799,12963086.814585192,4833152.401077056
60,左家庄街道_110105005000,116.43536,39.956285,12963089.65296819,4832933.2559334375
61,左家庄街道_110105005000,116.435683,39.954761,12963125.515188083,4832711.908667728
62,左家庄街道_110105005000,116.435598,39.955206,12963116.09373987,4832776.546577849
63,左家庄街道_110105005000,116.435575,39.955656,12963113.562831,4832841.719921585
64,左家庄街道_110105005000,116.435447,39.956095,12963099.314762285,4832905.510877969
65,左家庄街道_110105005000,116.436221,39.956462,12963185.823957399,4832956.815353086
66,左家庄街道_110105005000,116.435639,39.95641,12963120.808409229,4832950.672059966
67,左家庄街道_110105005000,116.435477,39.956453,12963102.72318135,4832957.26267204
68,左家庄街道_110105005000,116.435477,39.956453,12963102.72318135,4832957.26267204
69,左家庄街道_110105005000,116.435937,39.956732,12963154.138710115,4832996.552995839
70,左家庄街道_110105005000,116.436424,39.956981,12963208.550762758,4833031.447383337
71,左家庄街道_110105005000,116.436868,39.957267,12963258.167262219,4833071.867082188
72,左家庄街道_110105005000,116.435637,39.954622,12963120.370732475,4832691.909091077
73,左家庄街道_110105005000,116.435637,39.954622,12963120.370732475,4832691.909091077
74,左家庄街道_110105005000,116.435681,39.954173,12963125.239319406,4832626.84920507
75,左家庄街道_110105005000,116.435683,39.954761,12963125.515188083,4832711.908667728
76,左家庄街道_110105005000,116.436268,39.95474,12963190.856053922,4832707.527454989
77,左家庄街道_110105005000,116.435696,39.95402,12963126.86187174,4832604.6786036715
78,左家庄街道_110105005000,116.436327,39.946101,12963196.42911413,4831457.310979383
79,左家庄街道_110105005000,116.435972,39.946459,12963156.85559584,4831509.942414583
80,左家庄街道_110105005000,116.436066,39.953726,12963168.167572865,4832561.261312403
81,左家庄街道_110105005000,116.436123,39.953277,12963174.46268558,4832496.137892334
82,左家庄街道_110105005000,116.437712,39.953933,12963351.954168115,4832587.496651196
83,左家庄街道_110105005000,116.437191,39.95373,12963293.739099683,4832559.291690283
84,左家庄街道_110105005000,116.436613,39.953691,12963229.253596304,4832554.936261188
85,左家庄街道_110105005000,116.436327,39.946101,12963196.42911413,4831457.310979383
86,左家庄街道_110105005000,116.43656,39.948937,12963222.758938413,4831867.125105735
87,左家庄街道_110105005000,116.436406,39.948504,12963205.541122936,4831804.84216852
88,左家庄街道_110105005000,116.436985,39.949528,12963270.276048845,4831951.699065378
89,左家庄街道_110105005000,116.436741,39.94912,12963243.017241053,4831893.165947796
90,左家庄街道_110105005000,116.436703,39.958083,12963239.80759542,4833190.328120587
91,左家庄街道_110105005000,116.437211,39.958304,12963296.54457689,4833221.130305396
92,左家庄街道_110105005000,116.437031,39.95743,12963276.361176988,4833095.049655519
93,左家庄街道_110105005000,116.436805,39.957845,12963251.160696661,4833155.612317829
94,左家庄街道_110105005000,116.437712,39.953933,12963351.954168115,4832587.496651196
95,左家庄街道_110105005000,116.43746,39.954338,12963323.872714227,4832646.640893103
96,左家庄街道_110105005000,116.437027,39.954634,12963275.569882173,4832690.4558423115
97,左家庄街道_110105005000,116.436794,39.949819,12963249.00307589,4831994.204267733
98,左家庄街道_110105005000,116.436958,39.950251,12963267.343704598,4832056.355995174
99,左家庄街道_110105005000,116.436979,39.950698,12963269.75549608,4832120.998235378
100,左家庄街道_110105005000,116.436931,39.951146,12963264.430185612,4832185.939286783
101,左家庄街道_110105005000,116.436794,39.949819,12963249.00307589,4831994.204267733
102,左家庄街道_110105005000,116.438746,39.947786,12963466.637833048,4831695.807202202
103,左家庄街道_110105005000,116.438364,39.947446,12963423.988109056,4831647.390072795
104,左家庄街道_110105005000,116.43798,39.947106,12963381.06207297,4831599.031256739
105,左家庄街道_110105005000,116.437595,39.946767,12963338.07216933,4831550.80545234
106,左家庄街道_110105005000,116.437213,39.946426,12963295.412678435,4831502.312824516
107,左家庄街道_110105005000,116.437405,39.945729,12963316.742458297,4831401.064417102
108,左家庄街道_110105005000,116.436964,39.946025,12963267.583225967,4831444.888680033
109,左家庄街道_110105005000,116.436985,39.949528,12963270.276048845,4831951.699065378
110,左家庄街道_110105005000,116.439067,39.949603,12963502.632746149,4831958.024432508
111,左家庄街道_110105005000,116.438483,39.949621,12963437.482039504,4831961.862768071
112,左家庄街道_110105005000,116.437897,39.949618,12963372.077906325,4831962.676557479
113,左家庄街道_110105005000,116.437318,39.94956,12963307.479150996,4831955.5397691
114,左家庄街道_110105005000,116.438412,39.956507,12963430.380973127,4832958.470241976
115,左家庄街道_110105005000,116.438094,39.956881,12963394.929780114,4833013.292364035
116,左家庄街道_110105005000,116.437663,39.957185,12963346.87774372,4833058.179100966
117,左家庄街道_110105005000,116.437156,39.957403,12963290.285623899,4833090.871403954
118,左家庄街道_110105005000,116.437405,39.945729,12963316.742458297,4831401.064417102
119,左家庄街道_110105005000,116.437802,39.945401,12963361.040558798,4831352.751404869
120,左家庄街道_110105005000,116.438294,39.958943,12963417.54510576,4833311.2544603115
121,左家庄街道_110105005000,116.437825,39.958679,12963365.154931245,4833274.083997529
122,左家庄街道_110105005000,116.437856,39.953892,12963368.029158322,4832581.247380012
