﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,巨各庄镇_110118105000,116.885183,40.373917,13013120.229566984,4893568.472829407
1,巨各庄镇_110118105000,116.884819,40.373566,13013079.60177552,4893517.963255081
2,巨各庄镇_110118105000,116.884588,40.373152,13013053.860835634,4893458.054860024
3,巨各庄镇_110118105000,116.884361,40.372737,13013028.545544622,4893397.97723301
4,巨各庄镇_110118105000,116.884134,40.372322,13013003.231573574,4893337.893653124
5,巨各庄镇_110118105000,116.883907,40.371907,13012977.918913603,4893277.804067497
6,巨各庄镇_110118105000,116.88368,40.371492,13012952.637818512,4893217.747545213
7,巨各庄镇_110118105000,116.883453,40.371076,13012927.358123034,4893157.527039886
8,巨各庄镇_110118105000,116.883226,40.370661,13012902.049337663,4893097.419144893
9,巨各庄镇_110118105000,116.882999,40.370246,13012876.741827074,4893037.305042411
10,巨各庄镇_110118105000,116.882772,40.369831,13012851.435582077,4892977.184684429
11,巨各庄镇_110118105000,116.882545,40.369416,13012826.130567083,4892917.097495817
12,巨各庄镇_110118105000,116.882317,40.369001,13012800.766269173,4892856.965097484
13,巨各庄镇_110118105000,116.88209,40.368586,13012775.463744266,4892796.865150966
14,巨各庄镇_110118105000,116.881862,40.368171,13012750.071651421,4892736.720164083
15,巨各庄镇_110118105000,116.881635,40.367756,13012724.7716068,4892676.567804231
16,巨各庄镇_110118105000,116.881407,40.367341,13012699.351692252,4892616.410016864
17,巨各庄镇_110118105000,116.88118,40.366926,13012674.084310528,4892556.283745258
18,巨各庄镇_110118105000,116.885183,40.373917,13013120.229566984,4893568.472829407
19,巨各庄镇_110118105000,116.885249,40.374362,13013127.545670321,4893633.190680441
20,巨各庄镇_110118105000,116.885469,40.374779,13013152.078048807,4893693.53251531
21,巨各庄镇_110118105000,116.885693,40.375195,13013177.06642417,4893753.704897631
22,巨各庄镇_110118105000,116.885917,40.375611,13013202.05609989,4893813.911285882
23,巨各庄镇_110118105000,116.886142,40.376027,13013227.138077637,4893874.071499119
24,巨各庄镇_110118105000,116.88637,40.376442,13013252.585260333,4893934.102651257
25,巨各庄镇_110118105000,116.886609,40.376853,13013279.246930383,4893993.478945533
26,巨各庄镇_110118105000,116.885815,40.3737,13013190.835509334,4893535.899453549
27,巨各庄镇_110118105000,116.885279,40.373886,13013130.960422078,4893563.830648179
28,巨各庄镇_110118105000,116.887464,40.370663,13013375.345798422,4893090.983353372
29,巨各庄镇_110118105000,116.88692,40.370494,13013314.571936315,4893067.356867175
30,巨各庄镇_110118105000,116.886336,40.370489,13013249.334149273,4893067.642903911
31,巨各庄镇_110118105000,116.885757,40.370569,13013184.643474499,4893080.238091451
32,巨各庄镇_110118105000,116.886797,40.37359,13013300.54861049,4893518.220054846
33,巨各庄镇_110118105000,116.886217,40.373664,13013235.759214506,4893529.978405397
34,巨各庄镇_110118105000,116.885923,40.371768,13013203.070674295,4893254.487809096
35,巨各庄镇_110118105000,116.886497,40.371668,13013267.190528885,4893238.969074345
36,巨各庄镇_110118105000,116.887069,40.371563,13013331.138635047,4893222.6665528165
37,巨各庄镇_110118105000,116.88764,40.371454,13013394.944839804,4893205.817763467
38,巨各庄镇_110118105000,116.886797,40.37359,13013300.54861049,4893518.220054846
39,巨各庄镇_110118105000,116.887376,40.373506,13013365.257839255,4893504.965724124
40,巨各庄镇_110118105000,116.887954,40.373422,13013429.8552584,4893491.637984399
41,巨各庄镇_110118105000,116.888532,40.373337,13013494.492247295,4893478.1959897885
42,巨各庄镇_110118105000,116.889059,40.373142,13013553.416748282,4893448.791315186
43,巨各庄镇_110118105000,116.887949,40.37084,13013429.546485398,4893115.8280560905
44,巨各庄镇_110118105000,116.887517,40.37785,13013380.583208784,4894137.057358939
45,巨各庄镇_110118105000,116.88797,40.378137,13013431.192367708,4894177.98535126
46,巨各庄镇_110118105000,116.888423,40.378424,13013481.807160156,4894218.892115965
47,巨各庄镇_110118105000,116.888875,40.378711,13013532.306113113,4894259.819628082
48,巨各庄镇_110118105000,116.889327,40.379,13013582.840597605,4894300.963282366
49,巨各庄镇_110118105000,116.889778,40.379288,13013633.228712311,4894342.010918592
50,巨各庄镇_110118105000,116.89023,40.379577,13013683.74324249,4894383.116209307
51,巨各庄镇_110118105000,116.890739,40.379796,13013740.673182502,4894413.940015725
52,巨各庄镇_110118105000,116.887612,40.37216,13013391.748883894,4893308.613599123
53,巨各庄镇_110118105000,116.887995,40.37182,13013434.571586318,4893258.399447581
54,巨各庄镇_110118105000,116.887949,40.37084,13013429.546485398,4893115.8280560905
55,巨各庄镇_110118105000,116.888059,40.371281,13013441.783701982,4893179.853126341
56,巨各庄镇_110118105000,116.888792,40.369474,13013523.882108988,4892915.390989995
57,巨各庄镇_110118105000,116.888581,40.369892,13013500.243842512,4892976.648561342
58,巨各庄镇_110118105000,116.888386,40.370314,13013478.425611967,4893038.464169272
59,巨各庄镇_110118105000,116.888068,40.370693,13013442.843975302,4893094.221720606
60,巨各庄镇_110118105000,116.888193,40.371571,13013456.735456169,4893221.8079346325
61,巨各庄镇_110118105000,116.888193,40.371571,13013456.735456169,4893221.8079346325
62,巨各庄镇_110118105000,116.888668,40.371836,13013509.814163629,4893259.463331656
63,巨各庄镇_110118105000,116.889118,40.372127,13013560.105311764,4893300.932900276
