﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,平房地区_110105029000,116.50399,39.927373,12970683.726527583,4828798.542727656
1,平房地区_110105029000,116.50384,39.926941,12970667.144368725,4828735.937503793
2,平房地区_110105029000,116.503835,39.926491,12970666.608033367,4828670.858765231
3,平房地区_110105029000,116.503835,39.926041,12970666.614687406,4828605.787532543
4,平房地区_110105029000,116.503836,39.92559,12970666.742925294,4828540.561814496
5,平房地区_110105029000,116.503837,39.92514,12970666.812089954,4828475.532425308
6,平房地区_110105029000,116.506409,39.937559,12970951.614330275,4830273.525059175
7,平房地区_110105029000,116.505825,39.937541,12970887.002679681,4830270.552265231
8,平房地区_110105029000,116.505249,39.937476,12970823.273312865,4830260.71873501
9,平房地区_110105029000,116.5047,39.93732,12970762.591442298,4830237.733848276
10,平房地区_110105029000,116.504152,39.937164,12970701.949452883,4830214.712842456
11,平房地区_110105029000,116.503839,39.937038,12970667.38552482,4830196.212289349
12,平房地区_110105029000,116.503806,39.936588,12970663.693036139,4830131.113748672
13,平房地区_110105029000,116.503797,39.936139,12970662.680675453,4830066.1270344285
14,平房地区_110105029000,116.503801,39.935689,12970663.114223236,4830001.0410710145
15,平房地区_110105029000,116.503835,39.93524,12970666.829959588,4829936.152735774
16,平房地区_110105029000,116.50399,39.927373,12970683.726527583,4828798.542727656
17,平房地区_110105029000,116.504574,39.927373,12970748.302608434,4828799.018640689
18,平房地区_110105029000,116.505159,39.927372,12970813.010044634,4828799.376086572
19,平房地区_110105029000,116.505721,39.927261,12970875.139405195,4828783.701112323
20,平房地区_110105029000,116.50399,39.927373,12970683.726527583,4828798.542727656
21,平房地区_110105029000,116.503833,39.927803,12970666.384559317,4828860.584085115
22,平房地区_110105029000,116.503831,39.928253,12970666.171755122,4828925.656485029
23,平房地区_110105029000,116.503828,39.928703,12970665.839713983,4828990.72837771
24,平房地区_110105029000,116.503826,39.929153,12970665.629248416,4829055.802680074
25,平房地区_110105029000,116.503825,39.929603,12970665.540357996,4829120.879392824
26,平房地区_110105029000,116.503909,39.930048,12970674.84436706,4829185.285873132
27,平房地区_110105029000,116.50397,39.930229,12970681.588676488,4829211.531884247
28,平房地区_110105029000,116.503962,39.934985,12970680.848439092,4829899.362827354
29,平房地区_110105029000,116.503808,39.934554,12970663.79621039,4829836.893222691
30,平房地区_110105029000,116.503809,39.934104,12970663.902537582,4829771.806490715
31,平房地区_110105029000,116.503811,39.933654,12970664.100300582,4829706.761019027
32,平房地区_110105029000,116.503812,39.933204,12970664.178781664,4829641.675788701
33,平房地区_110105029000,116.503813,39.932754,12970664.288502304,4829576.591861823
34,平房地区_110105029000,116.503815,39.932304,12970664.489665894,4829511.470740202
35,平房地区_110105029000,116.503816,39.931854,12970664.601681078,4829446.388697923
36,平房地区_110105029000,116.503817,39.931405,12970664.684765244,4829381.464154807
37,平房地区_110105029000,116.503818,39.930955,12970664.768988965,4829316.383637747
38,平房地区_110105029000,116.503915,39.930513,12970675.510496816,4829252.570333568
39,平房地区_110105029000,116.503962,39.934985,12970680.848439092,4829899.362827354
40,平房地区_110105029000,116.504547,39.934987,12970745.544417096,4829900.195119527
41,平房地区_110105029000,116.505132,39.934984,12970810.221026454,4829900.20097567
42,平房地区_110105029000,116.505717,39.934991,12970874.939201795,4829901.616744834
43,平房地区_110105029000,116.504006,39.930255,12970685.532362541,4829215.344883687
44,平房地区_110105029000,116.504591,39.930246,12970750.229059214,4829214.526483893
45,平房地区_110105029000,116.505176,39.930241,12970814.906621665,4829214.254709871
46,平房地区_110105029000,116.507549,39.930235,12971077.436221205,4829214.809887512
47,平房地区_110105029000,116.506964,39.93022,12971012.71245668,4829212.392491906
48,平房地区_110105029000,116.50638,39.930218,12970948.090739934,4829211.736559793
49,平房地区_110105029000,116.505795,39.930218,12970883.359968364,4829211.350042206
50,平房地区_110105029000,116.505758,39.927247,12970879.23561191,4828781.70241542
51,平房地区_110105029000,116.506317,39.927367,12970941.07277466,4828799.401917868
52,平房地区_110105029000,116.506902,39.927364,12971005.813806918,4828799.31831722
53,平房地区_110105029000,116.505869,39.924661,12970891.536946071,4828407.874076456
54,平房地区_110105029000,116.505759,39.925099,12970879.328841614,4828471.095673605
55,平房地区_110105029000,116.505756,39.925549,12970879.018564284,4828536.161924434
56,平房地区_110105029000,116.505754,39.926,12970878.799777104,4828601.3869121885
57,平房地区_110105029000,116.505751,39.92645,12970878.46169423,4828666.454753137
58,平房地区_110105029000,116.505748,39.926901,12970878.124763194,4828731.6412126925
59,平房地区_110105029000,116.505869,39.924661,12970891.536946071,4828407.874076456
60,平房地区_110105029000,116.50644,39.924575,12970954.704830933,4828395.768456912
61,平房地区_110105029000,116.507025,39.924578,12971019.418088311,4828396.538338355
62,平房地区_110105029000,116.506706,39.937266,12970984.4371993,4830231.289743443
63,平房地区_110105029000,116.506372,39.936896,12970947.456280591,4830177.591723154
64,平房地区_110105029000,116.506147,39.936482,12970922.55657011,4830117.561438772
65,平房地区_110105029000,116.506113,39.936034,12970918.772669068,4830052.747181944
66,平房地区_110105029000,116.506119,39.935584,12970919.417652445,4829987.662289536
67,平房地区_110105029000,116.506124,39.935133,12970919.943207787,4829922.420222349
68,平房地区_110105029000,116.506578,39.934812,12970970.178391164,4829876.238350908
69,平房地区_110105029000,116.506295,39.943518,12970939.428579856,4831135.489999983
70,平房地区_110105029000,116.506105,39.943942,12970918.466164721,4831196.708486886
71,平房地区_110105029000,116.506078,39.944392,12970915.519787213,4831261.787104497
72,平房地区_110105029000,116.506239,39.940616,12970933.01936653,4830715.614488876
73,平房地区_110105029000,116.506225,39.940599,12970931.45191819,4830713.166759958
74,平房地区_110105029000,116.506092,39.940163,12970916.725125361,4830650.006190623
75,平房地区_110105029000,116.506171,39.93972,12970925.403498964,4830585.970947366
76,平房地区_110105029000,116.506409,39.937559,12970951.614330275,4830273.525059175
77,平房地区_110105029000,116.506217,39.937984,12970930.39847568,4830334.890311651
78,平房地区_110105029000,116.506099,39.938424,12970917.378495257,4830398.449533314
79,平房地区_110105029000,116.506095,39.938874,12970916.951030735,4830463.542128379
80,平房地区_110105029000,116.506119,39.939323,12970919.657150514,4830528.50867994
81,平房地区_110105029000,116.506238,39.939597,12970932.806329267,4830568.226262796
82,平房地区_110105029000,116.506822,39.939617,12970997.426308066,4830571.443371123
83,平房地区_110105029000,116.507406,39.939641,12971062.058042122,4830575.205448266
84,平房地区_110105029000,116.506239,39.940616,12970933.01936653,4830715.614488876
85,平房地区_110105029000,116.506096,39.941051,12970917.233473858,4830778.485366674
86,平房地区_110105029000,116.506099,39.941501,12970917.594853355,4830843.590532219
87,平房地区_110105029000,116.5061,39.941951,12970917.746302648,4830908.694515928
88,平房地区_110105029000,116.506101,39.942401,12970917.898654448,4830973.799333616
89,平房地区_110105029000,116.506104,39.942851,12970918.262721343,4831038.867755964
90,平房地区_110105029000,116.506174,39.943296,12970926.03725182,4831103.301347561
91,平房地区_110105029000,116.507502,39.940616,12971072.755096614,4830716.281544566
92,平房地区_110105029000,116.506917,39.94062,12971008.002633829,4830716.606612064
93,平房地区_110105029000,116.506332,39.940616,12970943.321462125,4830715.671892856
94,平房地区_110105029000,116.506295,39.943518,12970939.428579856,4831135.489999983
95,平房地区_110105029000,116.50688,39.943522,12971004.169280784,4831136.388809212
96,平房地区_110105029000,116.507465,39.943504,12971068.889759045,4831134.103994148
97,平房地区_110105029000,116.508049,39.943482,12971133.531203616,4831131.185544548
98,平房地区_110105029000,116.506606,39.93746,12970973.390012844,4830259.323745497
99,平房地区_110105029000,116.508433,39.946312,12971176.322461393,4831540.741110307
100,平房地区_110105029000,116.507848,39.946322,12971111.551946163,4831541.961354546
101,平房地区_110105029000,116.507264,39.946342,12971046.944778852,4831544.629570045
102,平房地区_110105029000,116.50668,39.946362,12970982.319046164,4831547.175042864
103,平房地区_110105029000,116.511158,39.934976,12971477.231424997,4829901.224623438
104,平房地区_110105029000,116.510573,39.934985,12971412.434223311,4829902.539709615
105,平房地区_110105029000,116.509988,39.934984,12971347.618726643,4829902.35669922
106,平房地区_110105029000,116.509404,39.934984,12971282.936025836,4829902.285270598
107,平房地区_110105029000,116.508819,39.934983,12971218.205003398,4829901.971734487
108,平房地区_110105029000,116.508235,39.934982,12971153.546208661,4829901.613356479
109,平房地区_110105029000,116.50765,39.934981,12971088.778696623,4829901.248492997
110,平房地区_110105029000,116.507068,39.934954,12971024.383585703,4829897.075716361
111,平房地区_110105029000,116.506578,39.934812,12970970.178391164,4829876.238350908
112,平房地区_110105029000,116.506723,39.934378,12970986.161361635,4829813.607749907
113,平房地区_110105029000,116.507062,39.934012,12971023.660391882,4829760.811603049
