﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,庙城地区_110116005000,116.573732,40.269951,12978456.336712107,4878348.620140902
1,庙城地区_110116005000,116.573348,40.269617,12978413.68958223,4878300.174764394
2,庙城地区_110116005000,116.5731,40.269208,12978386.088475626,4878240.811752829
3,庙城地区_110116005000,116.572853,40.2688,12978358.666756757,4878181.615251084
4,庙城地区_110116005000,116.572605,40.268392,12978331.122449957,4878122.388597518
5,庙城地区_110116005000,116.57235,40.267989,12978302.790236907,4878063.921617238
6,庙城地区_110116005000,116.572223,40.267706,12978288.67670821,4878022.88789438
7,庙城地区_110116005000,116.57164,40.267764,12978223.819191491,4878031.580715614
8,庙城地区_110116005000,116.571056,40.267823,12978158.798049105,4878040.4785858765
9,庙城地区_110116005000,116.570473,40.267881,12978093.915805943,4878049.264945447
10,庙城地区_110116005000,116.570135,40.267606,12978056.32937879,4878009.521001676
11,庙城地区_110116005000,116.569896,40.267194,12978029.76015125,4877949.831556024
12,庙城地区_110116005000,116.569604,40.266881,12977997.282030951,4877904.607687237
13,庙城地区_110116005000,116.569052,40.267038,12977935.807638368,4877927.871848034
14,庙城地区_110116005000,116.568501,40.267194,12977874.443593832,4877951.057848534
15,庙城地区_110116005000,116.56795,40.267351,12977813.068854159,4877974.402497954
16,庙城地区_110116005000,116.567398,40.267507,12977751.562625179,4877997.669959689
17,庙城地区_110116005000,116.566826,40.267592,12977687.843289904,4878010.71056212
18,庙城地区_110116005000,116.56624,40.26763,12977622.573478535,4878016.95055064
19,庙城地区_110116005000,116.565654,40.267667,12977557.231672317,4878023.077148581
20,庙城地区_110116005000,116.565068,40.267705,12977491.938926805,4878029.403836163
21,庙城地区_110116005000,116.564482,40.267742,12977426.604761114,4878035.655016552
22,庙城地区_110116005000,116.564369,40.268094,12977413.96938006,4878086.95751325
23,庙城地区_110116005000,116.564402,40.268543,12977417.621421222,4878152.180584596
24,庙城地区_110116005000,116.564436,40.268993,12977421.364785263,4878217.521662567
25,庙城地区_110116005000,116.564469,40.269443,12977425.017830752,4878282.864634391
26,庙城地区_110116005000,116.564501,40.269893,12977428.55029381,4878348.209850245
27,庙城地区_110116005000,116.564533,40.270342,12977432.08345853,4878413.3982600765
28,庙城地区_110116005000,116.564565,40.270792,12977435.617149346,4878478.745183355
29,庙城地区_110116005000,116.564596,40.27124,12977439.030474601,4878543.857872466
30,庙城地区_110116005000,116.564635,40.271688,12977443.353181664,4878608.882250645
31,庙城地区_110116005000,116.564865,40.271975,12977468.982463663,4878650.255494124
32,庙城地区_110116005000,116.56545,40.271952,12977534.15621,4878646.082574363
33,庙城地区_110116005000,116.566037,40.27193,12977599.591090305,4878642.067869593
34,庙城地区_110116005000,116.566625,40.271909,12977665.105123697,4878638.293039864
35,庙城地区_110116005000,116.567212,40.271887,12977730.516698385,4878634.445070967
36,庙城地区_110116005000,116.567799,40.271866,12977795.886124054,4878630.720926899
37,庙城地区_110116005000,116.568387,40.271844,12977861.364672925,4878626.922896117
38,庙城地区_110116005000,116.568974,40.271823,12977926.740252556,4878623.32895238
39,庙城地区_110116005000,116.569562,40.2718,12977992.224784259,4878619.465133274
40,庙城地区_110116005000,116.570149,40.271776,12978057.576062927,4878615.56976425
41,庙城地区_110116005000,116.570736,40.271752,12978122.914997187,4878611.642400589
42,庙城地区_110116005000,116.571323,40.271728,12978188.241442243,4878607.801572203
43,庙城地区_110116005000,116.571911,40.271704,12978253.646018239,4878604.007849648
44,庙城地区_110116005000,116.572498,40.27168,12978318.947336016,4878600.262002018
45,庙城地区_110116005000,116.572782,40.272042,12978350.518980771,4878652.78220147
46,庙城地区_110116005000,116.573016,40.272455,12978376.5254751,4878712.732037067
47,庙城地区_110116005000,116.573251,40.272868,12978402.62123981,4878772.650616803
48,庙城地区_110116005000,116.573486,40.273281,12978428.745793216,4878832.656332675
49,庙城地区_110116005000,116.57372,40.273695,12978454.748135498,4878892.749307498
50,庙城地区_110116005000,116.573963,40.274105,12978481.746052438,4878952.259068372
51,庙城地区_110116005000,116.574206,40.274515,12978508.712249514,4879011.856552635
52,庙城地区_110116005000,116.574442,40.274928,12978534.92193747,4879071.817411956
53,庙城地区_110116005000,116.574678,40.27534,12978561.130345754,4879131.707874553
54,庙城地区_110116005000,116.574916,40.275752,12978587.60917761,4879191.567619238
55,庙城地区_110116005000,116.575154,40.276164,12978614.026298901,4879251.435896012
56,庙城地区_110116005000,116.575408,40.27657,12978642.25361647,4879310.448309849
57,庙城地区_110116005000,116.575675,40.276972,12978671.898160955,4879368.881754789
58,庙城地区_110116005000,116.575907,40.277385,12978697.646916905,4879428.972869794
59,庙城地区_110116005000,116.576151,40.277793,12978724.783018531,4879488.287178689
60,庙城地区_110116005000,116.576397,40.278202,12978752.068548068,4879547.76858325
61,庙城地区_110116005000,116.576647,40.27861,12978779.835512944,4879607.102868954
62,庙城地区_110116005000,116.576946,40.278995,12978813.032859555,4879663.193104955
63,庙城地区_110116005000,116.577334,40.279327,12978856.15528581,4879711.529147283
64,庙城地区_110116005000,116.577857,40.279522,12978914.2399573,4879740.044867349
65,庙城地区_110116005000,116.578425,40.279624,12978977.2953493,4879755.101848898
66,庙城地区_110116005000,116.579002,40.2797,12979041.395773046,4879766.4636373585
67,庙城地区_110116005000,116.579565,40.27983,12979103.914138554,4879785.70527135
68,庙城地区_110116005000,116.580141,40.27992,12979167.839898333,4879799.164961468
69,庙城地区_110116005000,116.580719,40.280004,12979232.02557882,4879811.803432048
70,庙城地区_110116005000,116.581242,40.279896,12979290.063026143,4879796.519609485
71,庙城地区_110116005000,116.581296,40.279452,12979296.081159342,4879732.034486482
72,庙城地区_110116005000,116.581352,40.279003,12979302.311365584,4879666.803433375
73,庙城地区_110116005000,116.581427,40.278557,12979310.651168179,4879602.06549185
74,庙城地区_110116005000,116.581835,40.278392,12979355.938215367,4879578.431243742
75,庙城地区_110116005000,116.582117,40.27803,12979387.255731568,4879526.06129963
76,庙城地区_110116005000,116.582557,40.277861,12979436.087671762,4879501.947658895
77,庙城地区_110116005000,116.583137,40.277933,12979500.436453069,4879513.072106089
78,庙城地区_110116005000,116.583695,40.278073,12979562.301498655,4879534.06553033
79,庙城地区_110116005000,116.584236,40.278248,12979622.288251285,4879560.160025256
80,庙城地区_110116005000,116.584462,40.278637,12979647.339755997,4879616.997933439
81,庙城地区_110116005000,116.58476,40.27902,12979680.396617355,4879673.036747855
82,庙城地区_110116005000,116.585265,40.279242,12979736.361172715,4879705.968240188
83,庙城地区_110116005000,116.585753,40.279493,12979790.4511086,4879743.161859023
84,庙城地区_110116005000,116.585923,40.279887,12979809.296221524,4879800.705042028
85,庙城地区_110116005000,116.586437,40.280001,12979866.272006383,4879818.028641608
86,庙城地区_110116005000,116.586672,40.280262,12979892.31052403,4879856.293624111
87,庙城地区_110116005000,116.586467,40.280684,12979869.548653005,4879917.348455607
88,庙城地区_110116005000,116.586266,40.281107,12979847.267795876,4879978.5338967275
89,庙城地区_110116005000,116.586071,40.281532,12979825.64849604,4880040.049360936
90,庙城地区_110116005000,116.585897,40.281962,12979806.345594479,4880102.272226043
91,庙城地区_110116005000,116.585732,40.282394,12979788.03562427,4880164.867792132
92,庙城地区_110116005000,116.585574,40.282828,12979770.508127201,4880227.753890937
93,庙城地区_110116005000,116.585783,40.283095,12979793.698042192,4880266.8275542185
94,庙城地区_110116005000,116.586295,40.28295,12979850.44574612,4880246.487205805
95,庙城地区_110116005000,116.586864,40.28292,12979913.528743343,4880243.027116998
96,庙城地区_110116005000,116.587451,40.282942,12979978.585570905,4880247.163848255
97,庙城地区_110116005000,116.588038,40.282972,12980043.63239121,4880252.480845706
98,庙城地区_110116005000,116.588624,40.283008,12980108.579308419,4880258.778521778
99,庙城地区_110116005000,116.588645,40.283434,12980110.880718732,4880320.7590679675
100,庙城地区_110116005000,116.588582,40.28388,12980103.892032046,4880385.465601159
101,庙城地区_110116005000,116.58855,40.284328,12980100.33193716,4880450.545165223
102,庙城地区_110116005000,116.588391,40.28476,12980082.731721248,4880513.069936959
103,庙城地区_110116005000,116.58896,40.284801,12980145.779264065,4880520.066948833
104,庙城地区_110116005000,116.589547,40.284832,12980210.832540905,4880525.632721954
105,庙城地区_110116005000,116.589779,40.285105,12980236.52691917,4880565.787411081
106,庙城地区_110116005000,116.589752,40.285555,12980233.511928856,4880631.111853908
107,庙城地区_110116005000,116.589725,40.286005,12980230.52811885,4880696.516712879
108,庙城地区_110116005000,116.589698,40.286455,12980227.51539207,4880761.882643899
109,庙城地区_110116005000,116.590048,40.286658,12980266.28700543,4880792.100574524
110,庙城地区_110116005000,116.590633,40.286708,12980331.11389542,4880800.483955963
111,庙城地区_110116005000,116.591066,40.286857,12980379.073743079,4880823.016409772
