﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,康庄镇_110119101000,115.829551,40.409893,12895637.461986864,4898758.1608925415
1,康庄镇_110119101000,115.828968,40.409852,12895572.384137256,4898753.831515991
2,康庄镇_110119101000,115.828388,40.409773,12895507.606608436,4898743.976427752
3,康庄镇_110119101000,115.827805,40.409711,12895442.492048359,4898736.589524516
4,康庄镇_110119101000,115.828506,40.418759,12895521.191696161,4900053.041233907
5,康庄镇_110119101000,115.829009,40.418987,12895577.38260251,4900084.833596211
6,康庄镇_110119101000,115.82958,40.419099,12895641.129530266,4900099.549842084
7,康庄镇_110119101000,115.830154,40.4192,12895705.236904599,4900112.690455866
8,康庄镇_110119101000,115.830727,40.419301,12895769.249267394,4900125.847856642
9,康庄镇_110119101000,115.831301,40.419403,12895833.348592758,4900139.137826487
10,康庄镇_110119101000,115.831884,40.419432,12895898.44139685,4900141.792488721
11,康庄镇_110119101000,115.832465,40.419501,12895963.258098422,4900150.281597094
12,康庄镇_110119101000,115.833042,40.41959,12896027.706191353,4900161.72313426
13,康庄镇_110119101000,115.833575,40.419779,12896087.205144208,4900187.910874188
14,康庄镇_110119101000,115.834108,40.419971,12896146.699361783,4900214.552573606
15,康庄镇_110119101000,115.828506,40.418759,12895521.191696161,4900053.041233907
16,康庄镇_110119101000,115.828652,40.418326,12895537.453956863,4899989.515929286
17,康庄镇_110119101000,115.828952,40.417938,12895570.946272999,4899932.1191655
18,康庄镇_110119101000,115.829252,40.417551,12895604.408166992,4899874.924654031
19,康庄镇_110119101000,115.829552,40.417164,12895637.900264408,4899817.654571943
20,康庄镇_110119101000,115.829852,40.416776,12895671.361751767,4899760.270972056
21,康庄镇_110119101000,115.830152,40.416389,12895704.853433812,4899703.049292457
22,康庄镇_110119101000,115.830452,40.416002,12895738.314447671,4899645.79349821
23,康庄镇_110119101000,115.830752,40.415614,12895771.805499416,4899588.46290507
24,康庄镇_110119101000,115.831052,40.415227,12895805.296210568,4899531.216441841
25,康庄镇_110119101000,115.831352,40.414839,12895838.756114047,4899473.857381017
26,康庄镇_110119101000,115.831652,40.414452,12895872.21561079,4899416.661835558
27,康庄镇_110119101000,115.831968,40.414072,12895907.466800198,4899360.460625652
28,康庄镇_110119101000,115.829606,40.409875,12895643.62917492,4898755.413941196
29,康庄镇_110119101000,115.830966,40.407936,12895795.459838945,4898469.154333664
30,康庄镇_110119101000,115.83066,40.408318,12895761.314898549,4898525.612549378
31,康庄镇_110119101000,115.830403,40.408723,12895732.607293017,4898585.352318273
32,康庄镇_110119101000,115.830146,40.409128,12895703.9301935,4898645.055765361
33,康庄镇_110119101000,115.829888,40.409533,12895675.13173314,4898704.765688169
34,康庄镇_110119101000,115.831254,40.407796,12895827.598049376,4898447.944661319
35,康庄镇_110119101000,115.831254,40.407796,12895827.598049376,4898447.944661319
36,康庄镇_110119101000,115.83176,40.408024,12895884.123187773,4898479.779067603
37,康庄镇_110119101000,115.832236,40.408289,12895937.24315567,4898517.113118491
38,康庄镇_110119101000,115.832737,40.408525,12895993.153986428,4898550.174436651
39,康庄镇_110119101000,115.83324,40.408759,12896049.303935533,4898582.969902666
40,康庄镇_110119101000,115.833743,40.408992,12896105.480173904,4898615.623426999
41,康庄镇_110119101000,115.83425,40.409222,12896162.04681035,4898647.812397185
42,康庄镇_110119101000,115.834818,40.409337,12896225.439200252,4898663.13275644
43,康庄镇_110119101000,115.835396,40.409381,12896289.917767694,4898668.144547724
44,康庄镇_110119101000,115.835978,40.409312,12896354.874629017,4898656.659105694
45,康庄镇_110119101000,115.83656,40.409243,12896419.793781785,4898645.241458516
46,康庄镇_110119101000,115.837145,40.4092,12896485.039131746,4898637.599747951
47,康庄镇_110119101000,115.837733,40.409169,12896550.6102095,4898631.760173275
48,康庄镇_110119101000,115.838321,40.409137,12896616.203188641,4898625.793691137
49,康庄镇_110119101000,115.838908,40.409103,12896681.635770412,4898619.585951845
50,康庄镇_110119101000,115.839494,40.409063,12896746.968389932,4898612.504673765
51,康庄镇_110119101000,115.840081,40.409032,12896812.41311269,4898606.799295168
52,康庄镇_110119101000,115.840663,40.409098,12896877.302714793,4898615.241838383
53,康庄镇_110119101000,115.84122,40.409243,12896939.363587111,4898635.337118014
54,康庄镇_110119101000,115.841773,40.409396,12897000.960947774,4898656.578805551
55,康庄镇_110119101000,115.842327,40.409549,12897062.731228204,4898677.891611693
56,康庄镇_110119101000,115.842862,40.409734,12897122.310758095,4898703.929551373
57,康庄镇_110119101000,115.843378,40.409951,12897179.791327024,4898734.649089895
58,康庄镇_110119101000,115.843914,40.410133,12897239.474958973,4898760.316879754
59,康庄镇_110119101000,115.844472,40.410278,12897301.632958714,4898780.5785438195
60,康庄镇_110119101000,115.845029,40.410424,12897363.629573956,4898801.037815839
61,康庄镇_110119101000,115.845607,40.410501,12897427.977125475,4898811.437067975
62,康庄镇_110119101000,115.846189,40.410568,12897492.76754703,4898820.412111314
63,康庄镇_110119101000,115.831254,40.407796,12895827.598049376,4898447.944661319
64,康庄镇_110119101000,115.831341,40.407355,12895837.321139464,4898383.456972793
65,康庄镇_110119101000,115.831598,40.406949,12895865.99832531,4898323.614203405
66,康庄镇_110119101000,115.831855,40.406544,12895894.705857696,4898263.933180511
67,康庄镇_110119101000,115.832112,40.406139,12895923.382971222,4898204.217809394
68,康庄镇_110119101000,115.832368,40.405734,12895951.96888801,4898144.548492319
69,康庄镇_110119101000,115.832527,40.405302,12895969.71324927,4898081.203493562
70,康庄镇_110119101000,115.832651,40.404865,12895983.540731749,4898017.232923813
71,康庄镇_110119101000,115.832685,40.404416,12895987.347564127,4897951.738236513
72,康庄镇_110119101000,115.8328,40.403979,12896000.174738245,4897887.791878252
73,康庄镇_110119101000,115.833007,40.403557,12896023.327428592,4897825.763078291
74,康庄镇_110119101000,115.833213,40.403136,12896046.328509321,4897763.8990260875
75,康庄镇_110119101000,115.833419,40.402714,12896069.29950406,4897701.881200198
76,康庄镇_110119101000,115.833626,40.402293,12896092.422510777,4897640.021873238
77,康庄镇_110119101000,115.833832,40.401871,12896115.454648592,4897578.049647487
78,康庄镇_110119101000,115.834066,40.401459,12896141.55319117,4897517.440571647
79,康庄镇_110119101000,115.834312,40.401051,12896169.017701654,4897457.400943859
80,康庄镇_110119101000,115.834553,40.400641,12896195.935552966,4897397.061421631
81,康庄镇_110119101000,115.832314,40.413843,12895946.092718713,4899326.123475966
82,康庄镇_110119101000,115.832799,40.414099,12896000.249624915,4899362.154535591
83,康庄镇_110119101000,115.833251,40.414386,12896050.699256293,4899402.821922286
84,康庄镇_110119101000,115.833704,40.414674,12896101.297646048,4899443.618398415
85,康庄镇_110119101000,115.834157,40.414962,12896151.86239544,4899484.390319966
86,康庄镇_110119101000,115.83461,40.41525,12896202.42374303,4899525.256175112
87,康庄镇_110119101000,115.835064,40.415536,12896253.102852594,4899565.779470619
88,康庄镇_110119101000,115.83409,40.411428,12896144.243725367,4898969.656871329
89,康庄镇_110119101000,115.833732,40.411783,12896104.291213436,4899022.27307511
90,康庄镇_110119101000,115.833431,40.412169,12896070.744897375,4899079.309261239
91,康庄镇_110119101000,115.833129,40.412555,12896037.015620042,4899136.316461217
92,康庄镇_110119101000,115.832828,40.412942,12896003.4374906,4899193.524614515
93,康庄镇_110119101000,115.832527,40.413328,12895969.858661557,4899250.541579068
94,康庄镇_110119101000,115.832332,40.413749,12895948.094517779,4899312.409033375
95,康庄镇_110119101000,115.83409,40.411428,12896144.243725367,4898969.656871329
96,康庄镇_110119101000,115.837838,40.412619,12896562.45444732,4899134.1903588055
97,康庄镇_110119101000,115.837302,40.412433,12896502.646176577,4899108.311347602
98,康庄镇_110119101000,115.836767,40.412247,12896442.952649975,4899082.455896158
99,康庄镇_110119101000,115.836231,40.41206,12896383.13130592,4899056.430032209
100,康庄镇_110119101000,115.835696,40.411874,12896323.455579784,4899030.662380285
101,康庄镇_110119101000,115.83516,40.411687,12896263.652485905,4899004.683114742
102,康庄镇_110119101000,115.834624,40.411501,12896203.81336192,4898978.924254496
103,康庄镇_110119101000,115.834377,40.420014,12896176.72971804,4900220.109241943
104,康庄镇_110119101000,115.834965,40.419985,12896242.334742023,4900214.4109670175
105,康庄镇_110119101000,115.835552,40.419955,12896307.811317641,4900208.6226665545
106,康庄镇_110119101000,115.83614,40.419924,12896373.43229126,4900202.661174737
107,康庄镇_110119101000,115.836728,40.419926,12896439.047660619,4900201.589343404
108,康庄镇_110119101000,115.837315,40.419955,12896504.53534674,4900204.462023483
109,康庄镇_110119101000,115.837903,40.419984,12896570.075507252,4900207.364413396
110,康庄镇_110119101000,115.838483,40.420057,12896634.760436084,4900216.715646024
111,康庄镇_110119101000,115.835031,40.400153,12896249.29881727,4897324.827953686
112,康庄镇_110119101000,115.835259,40.378732,12896276.30043807,4894205.230919783
113,康庄镇_110119101000,115.835836,40.37865,12896340.691430459,4894191.903554444
114,康庄镇_110119101000,115.836414,40.378562,12896405.197327532,4894177.692910087
115,康庄镇_110119101000,115.836991,40.378471,12896469.574636893,4894163.117883092
116,康庄镇_110119101000,115.837567,40.37838,12896533.792472815,4894148.574689202
117,康庄镇_110119101000,115.838133,40.378255,12896596.944217216,4894129.106133787
118,康庄镇_110119101000,115.838695,40.378122,12896659.63383441,4894108.491063663
119,康庄镇_110119101000,115.839258,40.37799,12896722.406156195,4894088.102413358
120,康庄镇_110119101000,115.839821,40.377858,12896785.200431384,4894067.705335897
121,康庄镇_110119101000,115.840391,40.377748,12896848.741672978,4894050.565960249
122,康庄镇_110119101000,115.84097,40.377671,12896913.270708522,4894038.222269233
123,康庄镇_110119101000,115.84155,40.377595,12896977.91126555,4894026.070798876
124,康庄镇_110119101000,115.842133,40.377532,12897042.904217832,4894015.846180615
125,康庄镇_110119101000,115.842715,40.37747,12897107.735321501,4894005.819752296
126,康庄镇_110119101000,115.843299,40.37742,12897172.766829543,4893997.566484529
127,康庄镇_110119101000,115.843887,40.377443,12897238.264422774,4893999.926594245
128,康庄镇_110119101000,115.844474,40.377479,12897303.598108778,4894004.263959466
129,康庄镇_110119101000,115.84506,40.377515,12897368.860080348,4894008.643785808
130,康庄镇_110119101000,115.845648,40.377534,12897434.294255648,4894010.616791322
131,康庄镇_110119101000,115.846236,40.377553,12897499.747196352,4894012.5933197625
132,康庄镇_110119101000,115.846824,40.377566,12897565.158818206,4894013.745578796
133,康庄镇_110119101000,115.847412,40.377564,12897630.590523908,4894012.731442273
134,康庄镇_110119101000,115.848001,40.377563,12897696.100860776,4894011.9589958405
135,康庄镇_110119101000,115.84859,40.377562,12897761.629301596,4894011.231919446
136,康庄镇_110119101000,115.849179,40.377561,12897827.115256343,4894010.511581319
137,康庄镇_110119101000,115.849767,40.377554,12897892.498756507,4894009.009118036
138,康庄镇_110119101000,115.850356,40.377543,12897957.991217237,4894006.960590437
139,康庄镇_110119101000,115.850944,40.377547,12898023.318366008,4894007.130775734
140,康庄镇_110119101000,115.851528,40.377602,12898088.204249496,4894014.809999731
141,康庄镇_110119101000,115.852111,40.377659,12898152.95664925,4894022.773028149
142,康庄镇_110119101000,115.852698,40.3777,12898218.181692954,4894028.492459054
143,康庄镇_110119101000,115.841045,40.401571,12896919.896786753,4897518.066640157
144,康庄镇_110119101000,115.840597,40.401279,12896869.973904816,4897476.355202039
145,康庄镇_110119101000,115.840146,40.40099,12896819.742416184,4897435.183596837
146,康庄镇_110119101000,115.839642,40.400757,12896763.55904639,4897402.265114698
147,康庄镇_110119101000,115.839138,40.400525,12896707.369044563,4897369.5306103425
148,康庄镇_110119101000,115.838633,40.400294,12896651.05124782,4897336.942007557
