﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,延庆镇_110119100000,115.877955,40.452304,12901016.525498781,4904929.186557272
1,延庆镇_110119100000,115.877955,40.452304,12901016.525498781,4904929.186557272
2,延庆镇_110119100000,115.877944,40.451857,12901015.256931871,4904863.991761148
3,延庆镇_110119100000,115.878025,40.451411,12901024.162839713,4904799.147762529
4,延庆镇_110119100000,115.878033,40.452372,12901025.115525749,4904939.307670044
5,延庆镇_110119100000,115.878599,40.452485,12901087.674336474,4904957.11293054
6,延庆镇_110119100000,115.879184,40.452535,12901152.26541402,4904965.843488031
7,延庆镇_110119100000,115.87977,40.452586,12901217.033507116,4904974.748174873
8,延庆镇_110119100000,115.880355,40.452636,12901281.618656252,4904983.461296511
9,延庆镇_110119100000,115.880941,40.452682,12901346.351127442,4904991.593741968
10,延庆镇_110119100000,115.88153,40.452694,12901411.408895783,4904994.838223845
11,延庆镇_110119100000,115.879175,40.454359,12901151.450278716,4905231.827605322
12,延庆镇_110119100000,115.879764,40.454357,12901216.544092812,4905232.94991883
13,延庆镇_110119100000,115.880349,40.454334,12901281.123366324,4905231.025898761
14,延庆镇_110119100000,115.880903,40.454181,12901342.299412727,4905210.089331633
15,延庆镇_110119100000,115.881419,40.453974,12901399.268355321,4905181.230152211
16,延庆镇_110119100000,115.881867,40.453682,12901448.72740812,4905139.780487835
17,延庆镇_110119100000,115.882316,40.45339,12901498.275304364,4905098.296512126
18,延庆镇_110119100000,115.88265,40.453024,12901535.123614948,4905045.755514439
19,延庆镇_110119100000,115.881568,40.452694,12901415.609920736,4904994.938163642
20,延庆镇_110119100000,115.882149,40.452619,12901479.78855404,4904985.435488412
21,延庆镇_110119100000,115.882717,40.452729,12901542.481021196,4905002.9488184685
22,延庆镇_110119100000,115.882764,40.452744,12901547.703325285,4905005.248644266
23,延庆镇_110119100000,115.883385,40.452578,12901616.283285389,4904982.612424459
24,延庆镇_110119100000,115.897763,40.452177,12903205.668721048,4904958.195963697
25,延庆镇_110119100000,115.897175,40.452188,12903140.577768642,4904958.591172472
26,延庆镇_110119100000,115.896586,40.452197,12903075.404707337,4904958.75642582
27,延庆镇_110119100000,115.895996,40.452205,12903010.119196838,4904958.652630866
28,延庆镇_110119100000,115.895407,40.452214,12902944.931487,4904958.719957822
29,延庆镇_110119100000,115.894818,40.452223,12902879.781015119,4904958.721262063
30,延庆镇_110119100000,115.894229,40.452232,12902814.607444601,4904958.77520957
31,延庆镇_110119100000,115.89364,40.452241,12902749.470439065,4904958.76565927
32,延庆镇_110119100000,115.893051,40.45225,12902684.339620119,4904958.693289335
33,延庆镇_110119100000,115.892461,40.452259,12902619.124611743,4904958.636543339
34,延庆镇_110119100000,115.891872,40.452268,12902553.975168863,4904958.560419417
35,延庆镇_110119100000,115.891283,40.452277,12902488.860897342,4904958.465654655
36,延庆镇_110119100000,115.890694,40.452286,12902423.781448932,4904958.393183927
37,延庆镇_110119100000,115.890105,40.452295,12902358.67637242,4904958.263959953
38,延庆镇_110119100000,115.889516,40.452304,12902293.545323553,4904958.118902648
39,延庆镇_110119100000,115.888926,40.452313,12902228.357918244,4904957.958711379
40,延庆镇_110119100000,115.888337,40.452322,12902163.293848896,4904957.788988426
41,延庆镇_110119100000,115.887748,40.452331,12902098.202690795,4904957.6472481415
42,延庆镇_110119100000,115.887159,40.45234,12902033.114047315,4904957.49609123
43,延庆镇_110119100000,115.88657,40.452349,12901968.057514837,4904957.298144685
44,延庆镇_110119100000,115.885981,40.45236,12901903.002898365,4904957.410052759
45,延庆镇_110119100000,115.885392,40.452374,12901837.949874215,4904957.951913119
46,延庆镇_110119100000,115.884804,40.452397,12901772.98858874,4904959.836845896
47,延庆镇_110119100000,115.884216,40.452417,12901708.027585013,4904961.245194476
48,延庆镇_110119100000,115.883637,40.452492,12901644.091531336,4904970.704648688
49,延庆镇_110119100000,115.885366,40.461093,12901835.754224453,4906229.439883644
