﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,建国门街道_110101008000,116.411371,39.91416,12960404.998379257,4826902.928828599
1,建国门街道_110101008000,116.411924,39.914306,12960466.810794814,4826922.807087366
2,建国门街道_110101008000,116.412146,39.910547,12960491.889094915,4826378.997778298
3,建国门街道_110101008000,116.411576,39.910647,12960428.142068788,4826394.726821607
4,建国门街道_110101008000,116.411641,39.909417,12960435.507982459,4826216.79605868
5,建国门街道_110101008000,116.411669,39.909865,12960438.592594665,4826281.501917113
6,建国门街道_110101008000,116.411891,39.910279,12960463.381998332,4826340.814001422
7,建国门街道_110101008000,116.412282,39.908667,12960507.239889322,4826107.017671837
8,建国门街道_110101008000,116.411933,39.909027,12960468.17193212,4826159.796573201
9,建国门街道_110101008000,116.411981,39.912818,12960473.270824851,4826707.627917851
10,建国门街道_110101008000,116.41188,39.911307,12960462.076705212,4826489.464801314
11,建国门街道_110101008000,116.411723,39.911741,12960444.496371293,4826552.530448882
12,建国门街道_110101008000,116.41171,39.91219,12960443.00159562,4826617.44506784
13,建国门街道_110101008000,116.411769,39.907617,12960449.975684514,4825956.371083367
14,建国门街道_110101008000,116.411888,39.907524,12960463.27870129,4825942.669897431
15,建国门街道_110101008000,116.412282,39.908667,12960507.239889322,4826107.017671837
16,建国门街道_110101008000,116.411994,39.908277,12960475.07278339,4826051.267915152
17,建国门街道_110101008000,116.411723,39.915278,12960444.279797781,4827063.725318707
18,建国门街道_110101008000,116.412217,39.915516,12960499.50384685,4827097.087392553
19,建国门街道_110101008000,116.412788,39.915593,12960563.335258601,4827106.930087164
20,建国门街道_110101008000,116.413361,39.915515,12960627.42682985,4827094.315059395
21,建国门街道_110101008000,116.411997,39.914328,12960474.9738449,4826925.825738647
22,建国门街道_110101008000,116.411793,39.91475,12960452.118063735,4826987.273953803
23,建国门街道_110101008000,116.411718,39.915195,12960443.739394192,4827051.737479071
24,建国门街道_110101008000,116.412636,39.904204,12960547.212981753,4825461.184638603
25,建国门街道_110101008000,116.412251,39.904541,12960504.134429555,4825510.75329271
26,建国门街道_110101008000,116.411978,39.904938,12960473.557808569,4825568.733390847
27,建国门街道_110101008000,116.411886,39.905381,12960463.252781548,4825632.983984475
28,建国门街道_110101008000,116.411833,39.91351,12960456.704193093,4826807.9643928055
29,建国门街道_110101008000,116.412029,39.913934,12960478.554979615,4826868.82599797
30,建国门街道_110101008000,116.411833,39.91351,12960456.704193093,4826807.9643928055
31,建国门街道_110101008000,116.411892,39.913062,12960463.29569878,4826743.0670978855
32,建国门街道_110101008000,116.411888,39.907524,12960463.27870129,4825942.669897431
33,建国门街道_110101008000,116.412178,39.907132,12960495.733954765,4825885.396847458
34,建国门街道_110101008000,116.41194,39.903764,12960469.43236605,4825399.159305852
35,建国门街道_110101008000,116.412522,39.903722,12960534.514843313,4825391.778509529
36,建国门街道_110101008000,116.41188,39.911307,12960462.076705212,4826489.464801314
37,建国门街道_110101008000,116.412209,39.910936,12960498.92682678,4826435.080858964
38,建国门街道_110101008000,116.412636,39.904204,12960547.212981753,4825461.184638603
39,建国门街道_110101008000,116.412056,39.904147,12960482.382457083,4825454.258179173
40,建国门街道_110101008000,116.411981,39.912818,12960473.270824851,4826707.627917851
41,建国门街道_110101008000,116.412563,39.912775,12960538.383263726,4826700.086321741
42,建国门街道_110101008000,116.413142,39.912827,12960603.100139165,4826706.288512106
43,建国门街道_110101008000,116.411997,39.914328,12960474.9738449,4826925.825738647
44,建国门街道_110101008000,116.412405,39.914651,12960520.57100515,4826971.598142365
45,建国门街道_110101008000,116.412813,39.914974,12960566.171998946,4827017.397279881
46,建国门街道_110101008000,116.412151,39.914181,12960492.194912724,4826904.241582768
47,建国门街道_110101008000,116.412125,39.901122,12960490.357720068,4825017.0095860865
48,建国门街道_110101008000,116.412116,39.901573,12960489.30678758,4825082.175095801
49,建国门街道_110101008000,116.412105,39.902022,12960488.043775722,4825147.070840792
50,建国门街道_110101008000,116.412158,39.902469,12960493.944473285,4825211.553912389
51,建国门街道_110101008000,116.412415,39.902871,12960522.615835682,4825269.047052359
52,建国门街道_110101008000,116.412782,39.903221,12960563.649309905,4825318.804055308
53,建国门街道_110101008000,116.412125,39.901122,12960490.357720068,4825017.0095860865
54,建国门街道_110101008000,116.412074,39.900676,12960484.700302858,4824952.679982068
55,建国门街道_110101008000,116.412112,39.900227,12960488.999105725,4824887.648608017
56,建国门街道_110101008000,116.412159,39.900073,12960494.267106228,4824865.322341671
57,建国门街道_110101008000,116.412146,39.910547,12960491.889094915,4826378.997778298
58,建国门街道_110101008000,116.413203,39.914118,12960609.85969831,4826892.742033151
59,建国门街道_110101008000,116.41262,39.914153,12960544.649530977,4826899.13785062
60,建国门街道_110101008000,116.412282,39.908667,12960507.239889322,4826107.017671837
61,建国门街道_110101008000,116.412305,39.906968,12960509.955855215,4825861.364108771
62,建国门街道_110101008000,116.41244,39.910726,12960524.746405328,4826404.232315253
63,建国门街道_110101008000,116.413025,39.910721,12960590.164773978,4826402.153239529
64,建国门街道_110101008000,116.413598,39.910637,12960654.260925077,4826388.706640065
65,建国门街道_110101008000,116.414143,39.910474,12960715.2124629,4826363.854520992
66,建国门街道_110101008000,116.412592,39.899895,12960542.701888567,4824838.623770895
67,建国门街道_110101008000,116.413161,39.899986,12960606.32025607,4824850.48918696
68,建国门街道_110101008000,116.412843,39.904084,12960570.387559194,4825443.399918557
69,建国门街道_110101008000,116.412939,39.906872,12960580.876436677,4825846.049175386
70,建国门街道_110101008000,116.412843,39.904084,12960570.387559194,4825443.399918557
71,建国门街道_110101008000,116.412965,39.904524,12960584.001864597,4825506.709652605
72,建国门街道_110101008000,116.413087,39.904965,12960597.586361539,4825570.137049847
73,建国门街道_110101008000,116.412843,39.904084,12960570.387559194,4825443.399918557
74,建国门街道_110101008000,116.412866,39.908702,12960572.561518978,4826110.749604946
75,建国门街道_110101008000,116.413234,39.909052,12960613.66346776,4826160.459975577
76,建国门街道_110101008000,116.413602,39.909402,12960654.798732808,4826210.160349373
77,建国门街道_110101008000,116.412866,39.908702,12960572.561518978,4826110.749604946
78,建国门街道_110101008000,116.413351,39.908453,12960626.835703304,4826073.6344868075
79,建国门街道_110101008000,116.413913,39.908343,12960689.66323975,4826056.398875083
80,建国门街道_110101008000,116.412939,39.906872,12960580.876436677,4825846.049175386
81,建国门街道_110101008000,116.413523,39.906885,12960646.177260282,4825846.577657242
82,建国门街道_110101008000,116.414108,39.906898,12960711.60588799,4825847.0795603935
83,建国门街道_110101008000,116.413018,39.903876,12960589.959776375,4825412.944500292
84,建国门街道_110101008000,116.413004,39.903704,12960588.399469795,4825388.123766497
85,建国门街道_110101008000,116.413176,39.903258,12960607.724613903,4825323.255397298
86,建国门街道_110101008000,116.413767,39.904227,12960673.715584148,4825461.895489469
87,建国门街道_110101008000,116.413269,39.90399,12960618.029308101,4825428.805546089
88,建国门街道_110101008000,116.413176,39.903258,12960607.724613903,4825323.255397298
89,建国门街道_110101008000,116.41376,39.903286,12960672.995971227,4825325.93045863
90,建国门街道_110101008000,116.414344,39.903313,12960738.334357144,4825328.463118541
91,建国门街道_110101008000,116.413176,39.903258,12960607.724613903,4825323.255397298
92,建国门街道_110101008000,116.413208,39.900003,12960611.570425475,4824852.853054566
93,建国门街道_110101008000,116.413411,39.900423,12960634.263380023,4824913.031632859
94,建国门街道_110101008000,116.413203,39.914118,12960609.85969831,4826892.742033151
95,建国门街道_110101008000,116.413737,39.914302,12960669.564354714,4826918.075534542
96,建国门街道_110101008000,116.414271,39.914487,12960729.27428636,4826943.546254104
97,建国门街道_110101008000,116.413203,39.914118,12960609.85969831,4826892.742033151
98,建国门街道_110101008000,116.413241,39.913668,12960614.114204949,4826827.6101515405
99,建国门街道_110101008000,116.413325,39.902396,12960624.454251744,4825198.347774429
100,建国门街道_110101008000,116.413442,39.902837,12960637.491651157,4825261.819636118
101,建国门街道_110101008000,116.413272,39.912864,12960617.639039017,4826711.328296437
102,建国门街道_110101008000,116.41327,39.913315,12960617.390355965,4826776.534966333
103,建国门街道_110101008000,116.413272,39.912864,12960617.639039017,4826711.328296437
104,建国门街道_110101008000,116.413843,39.912787,12960681.4937586,4826698.856063298
105,建国门街道_110101008000,116.41441,39.912879,12960744.94591232,4826710.795919395
106,建国门街道_110101008000,116.414894,39.913128,12960799.068262631,4826745.652402291
107,建国门街道_110101008000,116.415297,39.913454,12960844.1083536,4826791.745206674
108,建国门街道_110101008000,116.413484,39.902964,12960642.183803985,4825280.069150285
109,建国门街道_110101008000,116.413954,39.902695,12960694.768429175,4825240.071474556
110,建国门街道_110101008000,116.414423,39.902426,12960747.23560632,4825200.100739761
111,建国门街道_110101008000,116.414099,39.915115,12960710.008166257,4827034.71444788
112,建国门街道_110101008000,116.413515,39.91509,12960644.67112461,4827032.4849209385
113,建国门街道_110101008000,116.414471,39.902399,12960752.613131473,4825196.068797318
114,建国门街道_110101008000,116.414167,39.902014,12960718.646856263,4825141.153819769
115,建国门街道_110101008000,116.413888,39.901619,12960687.47674566,4825084.76462101
116,建国门街道_110101008000,116.413649,39.901208,12960660.773025319,4825025.927726994
117,建国门街道_110101008000,116.413526,39.900769,12960647.09809168,4824962.7467362555
118,建国门街道_110101008000,116.414676,39.900539,12960775.71175085,4824926.773160097
119,建国门街道_110101008000,116.414099,39.900605,12960711.179637048,4824937.720252047
120,建国门街道_110101008000,116.413636,39.915409,12960658.189340608,4827078.320435394
121,建国门街道_110101008000,116.414087,39.915122,12960708.671675565,4827035.761506451
122,建国门街道_110101008000,116.414958,39.904269,12960806.920255255,4825465.120755855
123,建国门街道_110101008000,116.414374,39.904262,12960741.60388277,4825465.511609378
124,建国门街道_110101008000,116.413791,39.904228,12960676.38730075,4825461.997605176
125,建国门街道_110101008000,116.414043,39.904718,12960704.542402504,4825532.212586263
126,建国门街道_110101008000,116.413811,39.904305,12960678.595606308,4825473.04567999
127,建国门街道_110101008000,116.413939,39.909705,12960692.479852388,4826253.179723264
128,建国门街道_110101008000,116.413939,39.909705,12960692.479852388,4826253.179723264
129,建国门街道_110101008000,116.413944,39.909255,12960693.068231784,4826188.1289599445
130,建国门街道_110101008000,116.414958,39.90517,12960806.856217612,4825595.302895208
131,建国门街道_110101008000,116.414454,39.904942,12960750.49007133,4825563.598753563
132,建国门街道_110101008000,116.414136,39.908331,12960714.592386957,4826054.120814483
133,建国门街道_110101008000,116.41406,39.908849,12960706.07145969,4826129.173979222
134,建国门街道_110101008000,116.41407,39.909299,12960707.15248293,4826194.189673634
135,建国门街道_110101008000,116.414081,39.90975,12960708.355482683,4826259.360377156
136,建国门街道_110101008000,116.414083,39.909838,12960708.559938382,4826272.058197685
137,建国门街道_110101008000,116.414136,39.908331,12960714.592386957,4826054.120814483
