﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,建外街道_110105001000,116.429346,39.911268,12962415.903183404,4826437.845479056
1,建外街道_110105001000,116.429701,39.910913,12962455.578191392,4826385.5531950435
2,建外街道_110105001000,116.429634,39.909614,12962448.192030102,4826198.010186521
3,建外街道_110105001000,116.429584,39.910061,12962442.59186813,4826262.70472358
4,建外街道_110105001000,116.429716,39.910499,12962457.316103663,4826325.688013912
5,建外街道_110105001000,116.429634,39.909614,12962448.192030102,4826198.010186521
6,建外街道_110105001000,116.429731,39.90917,12962459.07829638,4826133.589664391
7,建外街道_110105001000,116.429891,39.908737,12962477.011592295,4826070.580326989
8,建外街道_110105001000,116.429886,39.910788,12962476.276445499,4826366.975981974
9,建外街道_110105001000,116.430247,39.911141,12962516.616209915,4826417.080115953
10,建外街道_110105001000,116.430458,39.911559,12962540.182123894,4826476.932299617
11,建外街道_110105001000,116.429886,39.910788,12962476.276445499,4826366.975981974
12,建外街道_110105001000,116.430382,39.910549,12962531.76538795,4826331.120160886
13,建外街道_110105001000,116.429978,39.908357,12962486.768648794,4826015.400030513
14,建外街道_110105001000,116.429978,39.908357,12962486.768648794,4826015.400030513
15,建外街道_110105001000,116.430354,39.907035,12962528.908799024,4825823.313044562
16,建外街道_110105001000,116.430124,39.907448,12962503.1695136,4825883.668188355
17,建外街道_110105001000,116.430035,39.907892,12962493.192804003,4825948.064073028
18,建外街道_110105001000,116.430419,39.90373,12962536.479187708,4825345.575750042
19,建外街道_110105001000,116.430195,39.903315,12962511.463177826,4825286.19824746
20,建外街道_110105001000,116.430463,39.901883,12962541.568180319,4825078.527140457
21,建外街道_110105001000,116.430172,39.902271,12962509.023820518,4825135.381099174
22,建外街道_110105001000,116.430103,39.902716,12962501.229772659,4825199.877889729
23,建外街道_110105001000,116.430354,39.907035,12962528.908799024,4825823.313044562
24,建外街道_110105001000,116.430166,39.90661,12962507.93099726,4825762.430760521
25,建外街道_110105001000,116.430123,39.906162,12962503.176830659,4825697.777653276
26,建外街道_110105001000,116.430273,39.905014,12962520.032299938,4825531.508449357
27,建外街道_110105001000,116.430104,39.905444,12962501.093637876,4825594.061833306
28,建外街道_110105001000,116.430099,39.905893,12962500.50074354,4825658.950834418
29,建外街道_110105001000,116.430273,39.905014,12962520.032299938,4825531.508449357
30,建外街道_110105001000,116.430298,39.904988,12962522.82963647,4825527.643867614
31,建外街道_110105001000,116.430864,39.9051,12962586.119688315,4825542.354283872
32,建外街道_110105001000,116.43144,39.905168,12962650.473133454,4825550.668039252
33,建外街道_110105001000,116.432024,39.905162,12962715.740637507,4825548.2784895105
34,建外街道_110105001000,116.430298,39.904988,12962522.82963647,4825527.643867614
35,建外街道_110105001000,116.430328,39.904538,12962526.248392617,4825462.5365042705
36,建外街道_110105001000,116.430334,39.904449,12962526.926002707,4825449.664200977
37,建外街道_110105001000,116.430354,39.907035,12962528.908799024,4825823.313044562
38,建外街道_110105001000,116.430938,39.907059,12962594.182004163,4825825.280926081
39,建外街道_110105001000,116.431523,39.907068,12962659.57368803,4825825.028893328
40,建外街道_110105001000,116.432108,39.907069,12962724.961237615,4825823.658628198
41,建外街道_110105001000,116.430415,39.904237,12962535.969901705,4825418.849037738
42,建外街道_110105001000,116.430408,39.903788,12962535.257998323,4825353.991300161
43,建外街道_110105001000,116.432394,39.903433,12962757.254629374,4825297.4607942775
44,建外街道_110105001000,116.431809,39.90343,12962691.86984471,4825298.54703013
45,建外街道_110105001000,116.431226,39.903451,12962626.72040915,4825303.0967054935
46,建外街道_110105001000,116.430688,39.903622,12962566.562133405,4825329.230397234
47,建外街道_110105001000,116.430415,39.904237,12962535.969901705,4825418.849037738
48,建外街道_110105001000,116.430998,39.904274,12962601.150052246,4825422.623670303
49,建外街道_110105001000,116.43056,39.901841,12962552.416727576,4825072.211235239
50,建外街道_110105001000,116.430494,39.901393,12962545.084267827,4825007.659820911
51,建外街道_110105001000,116.43056,39.901841,12962552.416727576,4825072.211235239
52,建外街道_110105001000,116.43056,39.901841,12962552.416727576,4825072.211235239
53,建外街道_110105001000,116.430561,39.910462,12962551.790612169,4826318.091470393
54,建外街道_110105001000,116.431129,39.910368,12962615.250757283,4826302.972916204
55,建外街道_110105001000,116.431713,39.910371,12962680.550380567,4826301.9055174785
56,建外街道_110105001000,116.432295,39.91035,12962745.604209326,4826297.37307191
57,建外街道_110105001000,116.431783,39.901947,12962689.083492622,4825084.31426939
58,建外街道_110105001000,116.431201,39.901914,12962624.061158387,4825081.061680217
59,建外街道_110105001000,116.431783,39.901947,12962689.083492622,4825084.31426939
60,建外街道_110105001000,116.43212,39.901971,12962726.769983865,4825086.875471296
61,建外街道_110105001000,116.432394,39.903433,12962757.254629374,4825297.4607942775
62,建外街道_110105001000,116.432564,39.90386,12962776.18904861,4825358.718020212
63,建外街道_110105001000,116.432568,39.90431,12962776.596992798,4825423.779027365
64,建外街道_110105001000,116.432552,39.902042,12962775.04788004,4825096.039058016
65,建外街道_110105001000,116.432575,39.902492,12962777.580444321,4825161.013642028
