﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,张山营镇_110119105000,115.75321,40.533352,12887161.848015383,4916765.7440528525
1,张山营镇_110119105000,115.75269,40.533563,12887104.336984443,4916795.413540175
2,张山营镇_110119105000,115.752919,40.532135,12887129.592618212,4916587.437985803
3,张山营镇_110119105000,115.753396,40.531871,12887182.3869544,4916549.962986899
4,张山营镇_110119105000,115.757077,40.530806,12887589.497597873,4916403.216139045
5,张山营镇_110119105000,115.756514,40.530939,12887527.242493045,4916421.253550597
6,张山营镇_110119105000,115.757011,40.523208,12887582.154749842,4915293.975245077
7,张山营镇_110119105000,115.757548,40.523392,12887641.521046255,4915322.188248257
8,张山营镇_110119105000,115.75757,40.528492,12887643.963210406,4916066.6017243285
9,张山营镇_110119105000,115.758158,40.528492,12887708.944075897,4916068.088187782
10,张山营镇_110119105000,115.759168,40.523423,12887820.607131278,4915330.747566513
11,张山营镇_110119105000,115.759743,40.523513,12887884.16592949,4915345.332701913
12,张山营镇_110119105000,115.759947,40.526998,12887906.695027215,4915854.542655708
13,张山营镇_110119105000,115.760147,40.526576,12887928.786117036,4915793.443604092
14,张山营镇_110119105000,115.76646,40.445352,12888628.012127528,4903962.423037175
15,张山营镇_110119105000,115.765926,40.445167,12888568.998313485,4903934.0941882115
16,张山营镇_110119105000,115.765933,40.446106,12888569.875136673,4904071.084651592
17,张山营镇_110119105000,115.766239,40.445723,12888603.654159548,4904015.976577813
18,张山营镇_110119105000,115.767014,40.445277,12888689.22119036,4903952.917920989
19,张山营镇_110119105000,115.767014,40.445277,12888689.22119036,4903952.917920989
20,张山营镇_110119105000,115.767513,40.445078,12888744.297330221,4903925.151831236
21,张山营镇_110119105000,115.768093,40.445152,12888808.43686025,4903937.368335407
22,张山营镇_110119105000,115.768677,40.445103,12888872.926617753,4903931.6703016125
23,张山营镇_110119105000,115.766615,40.522804,12888643.53390058,4915259.487736087
24,张山营镇_110119105000,115.766534,40.522358,12888634.57702759,4915194.221587776
25,张山营镇_110119105000,115.766455,40.521912,12888625.861343438,4915128.922367671
26,张山营镇_110119105000,115.768058,40.520418,12888803.036800792,4914914.914462279
27,张山营镇_110119105000,115.767615,40.520715,12888754.047005197,4914957.133745726
28,张山营镇_110119105000,115.768569,40.447851,12888861.31919265,4904332.111979808
29,张山营镇_110119105000,115.769107,40.448031,12888920.791905796,4904359.701338613
30,张山营镇_110119105000,115.76875,40.445087,12888880.998290895,4903929.524107356
31,张山营镇_110119105000,115.769336,40.445036,12888945.76162166,4903923.502174679
32,张山营镇_110119105000,115.76992,40.444974,12889010.287412489,4903915.918861703
33,张山营镇_110119105000,115.769438,40.44807,12888957.382646218,4904366.195166642
34,张山营镇_110119105000,115.769851,40.448387,12889003.036094507,4904413.420833083
35,张山营镇_110119105000,115.770363,40.448608,12889059.638372023,4904446.887937938
36,张山营镇_110119105000,115.770875,40.44883,12889116.213875564,4904480.460658786
37,张山营镇_110119105000,115.771392,40.449046,12889173.39266812,4904513.202977672
38,张山营镇_110119105000,115.771934,40.449222,12889233.303502917,4904540.058912106
39,张山营镇_110119105000,115.772487,40.449377,12889294.447933841,4904563.958627411
40,张山营镇_110119105000,115.773021,40.449567,12889353.468516488,4904592.855972943
41,张山营镇_110119105000,115.769438,40.44807,12888957.382646218,4904366.195166642
42,张山营镇_110119105000,115.769739,40.447683,12888990.571325175,4904310.487108332
43,张山营镇_110119105000,115.770055,40.447303,12889025.442267219,4904255.841452577
44,张山营镇_110119105000,115.770371,40.446923,12889060.31402798,4904201.151888612
45,张山营镇_110119105000,115.77069,40.446545,12889095.517156236,4904146.821012101
46,张山营镇_110119105000,115.771002,40.446163,12889129.970370915,4904091.835914298
47,张山营镇_110119105000,115.771288,40.44577,12889161.541501243,4904035.200667425
48,张山营镇_110119105000,115.769597,40.442803,12888974.30910221,4903598.501228338
49,张山营镇_110119105000,115.76988,40.44241,12889005.54277306,4903541.9191179285
50,张山营镇_110119105000,115.769979,40.442273,12889016.453759933,4903522.159609128
51,张山营镇_110119105000,115.770503,40.442067,12889074.334196007,4903493.375634869
52,张山营镇_110119105000,115.77106,40.441923,12889135.857234221,4903473.67425848
53,张山营镇_110119105000,115.770027,40.444962,12889022.08243429,4903914.367373843
54,张山营镇_110119105000,115.770615,40.44497,12889087.070587976,4903916.977819107
55,张山营镇_110119105000,115.771203,40.444987,12889152.034148704,4903920.835985665
56,张山营镇_110119105000,115.771373,40.445438,12889170.873858036,4903986.968864157
57,张山营镇_110119105000,115.771857,40.444818,12889224.278776225,4903897.709635517
58,张山营镇_110119105000,115.773678,40.44235,12889425.257855024,4903541.895314736
59,张山营镇_110119105000,115.773096,40.442308,12889360.929172784,4903534.499506479
60,张山营镇_110119105000,115.772547,40.442146,12889300.22654611,4903509.643132215
61,张山营镇_110119105000,115.772001,40.441977,12889239.858357651,4903483.7473223265
62,张山营镇_110119105000,115.771442,40.441843,12889178.057570424,4903462.942714311
63,张山营镇_110119105000,115.771217,40.458923,12889154.927407315,4905953.139845783
64,张山营镇_110119105000,115.771753,40.458738,12889214.179772673,4905927.434750475
65,张山营镇_110119105000,115.77229,40.458554,12889273.496412402,4905901.833293343
66,张山营镇_110119105000,115.772733,40.458262,12889322.422024066,4905860.254996948
67,张山营镇_110119105000,115.773293,40.444488,12889382.962566532,4903852.786909163
68,张山营镇_110119105000,115.77277,40.444693,12889325.179696994,4903881.537086413
69,张山营镇_110119105000,115.772198,40.444799,12889261.956594093,4903895.7200561715
70,张山营镇_110119105000,115.771692,40.460608,12889207.54825591,4906200.018449915
71,张山营镇_110119105000,115.772263,40.460715,12889270.66242723,4906216.891141191
72,张山营镇_110119105000,115.771914,40.451332,12889231.30244113,4904847.772936861
73,张山营镇_110119105000,115.772041,40.450893,12889245.284972612,4904784.018060963
74,张山营镇_110119105000,115.773084,40.450787,12889360.545708803,4904770.906285262
75,张山营镇_110119105000,115.772495,40.450801,12889295.478224155,4904771.617125089
76,张山营镇_110119105000,115.77227,40.457735,12889271.227337243,4905782.364164872
77,张山营镇_110119105000,115.772753,40.457987,12889324.628124505,4905820.205299123
78,张山营镇_110119105000,115.772376,40.45309,12889282.52049497,4905105.157313475
79,张山营镇_110119105000,115.77243,40.453538,12889288.531084934,4905170.650802276
80,张山营镇_110119105000,115.772532,40.453981,12889299.85506502,4905235.467292084
81,张山营镇_110119105000,115.772568,40.45443,12889303.88249512,4905301.036602259
82,张山营镇_110119105000,115.772585,40.454657,12889305.790987894,4905334.174888515
83,张山营镇_110119105000,115.772741,40.455091,12889323.057797229,4905397.812412807
84,张山营镇_110119105000,115.772853,40.45009,12889334.959361332,4904668.740526794
85,张山营镇_110119105000,115.773002,40.450526,12889351.483951868,4904732.674969489
86,张山营镇_110119105000,115.773059,40.44958,12889357.673680877,4904594.842887591
87,张山营镇_110119105000,115.772897,40.450013,12889339.816801764,4904657.613674007
88,张山营镇_110119105000,115.773374,40.444432,12889391.905552277,4903844.829004064
89,张山营镇_110119105000,115.773118,40.444026,12889363.575195553,4903785.041537885
90,张山营镇_110119105000,115.773025,40.443863,12889353.258190015,4903761.059889622
91,张山营镇_110119105000,115.772821,40.455314,12889331.93168819,4905430.505681699
92,张山营镇_110119105000,115.772936,40.455755,12889344.694192637,4905495.113168944
93,张山营镇_110119105000,115.772788,40.458208,12889328.514390357,4905852.476162529
94,张山营镇_110119105000,115.77454,40.457945,12889522.141116034,4905817.939997349
95,张山营镇_110119105000,115.773957,40.457999,12889457.720763162,4905824.575043706
96,张山营镇_110119105000,115.773369,40.457988,12889392.702421641,4905821.683060606
97,张山营镇_110119105000,115.773059,40.44958,12889357.673680877,4904594.842887591
98,张山营镇_110119105000,115.773087,40.450787,12889360.876022175,4904770.913258826
99,张山营镇_110119105000,115.773631,40.450958,12889421.040793845,4904797.045708103
100,张山营镇_110119105000,115.774495,40.519641,12889514.39834421,4914816.454739305
101,张山营镇_110119105000,115.773921,40.519743,12889450.961688846,4914830.115385549
102,张山营镇_110119105000,115.773355,40.519868,12889388.370994333,4914847.133636739
103,张山营镇_110119105000,115.772789,40.519995,12889325.816063287,4914864.408064607
104,张山营镇_110119105000,115.772224,40.520123,12889263.356670337,4914881.822456537
105,张山营镇_110119105000,115.773293,40.444488,12889382.962566532,4903852.786909163
106,张山营镇_110119105000,115.773459,40.44492,12889401.356005508,4903916.160304081
107,张山营镇_110119105000,115.773293,40.444488,12889382.962566532,4903852.786909163
108,张山营镇_110119105000,115.773374,40.444432,12889391.905552277,4903844.829004064
109,张山营镇_110119105000,115.773963,40.444411,12889457.011251237,4903843.016946259
110,张山营镇_110119105000,115.773299,40.449494,12889384.211268222,4904582.827247874
111,张山营镇_110119105000,115.77385,40.449654,12889445.098603593,4904607.345338805
112,张山营镇_110119105000,115.774428,40.44974,12889509.018300904,4904621.148083221
113,张山营镇_110119105000,115.775007,40.449821,12889573.034186704,4904634.176707108
114,张山营镇_110119105000,115.775577,40.449932,12889636.068306688,4904651.509904465
115,张山营镇_110119105000,115.776155,40.450016,12889699.978207717,4904664.879254279
116,张山营镇_110119105000,115.776738,40.450053,12889764.432198018,4904671.429282721
117,张山营镇_110119105000,115.777311,40.449946,12889827.829103075,4904656.8938775975
118,张山营镇_110119105000,115.777883,40.449839,12889891.053588856,4904642.3651421955
119,张山营镇_110119105000,115.778466,40.449773,12889955.552488869,4904633.7984655695
120,张山营镇_110119105000,115.775357,40.446273,12889611.35110892,4904117.449407003
121,张山营镇_110119105000,115.774968,40.446607,12889568.368616637,4904165.394285226
122,张山营镇_110119105000,115.774716,40.447014,12889540.5646341,4904224.230018403
123,张山营镇_110119105000,115.774467,40.447422,12889513.091998765,4904283.186456049
124,张山营镇_110119105000,115.774218,40.447829,12889485.59002491,4904341.979702269
125,张山营镇_110119105000,115.773969,40.448237,12889458.11897771,4904400.966944204
126,张山营镇_110119105000,115.77372,40.448645,12889430.648618463,4904459.910407667
127,张山营镇_110119105000,115.773471,40.449053,12889403.148925278,4904518.8886384135
128,张山营镇_110119105000,115.773303,40.449484,12889384.660779357,4904581.373620161
129,张山营镇_110119105000,115.77388,40.442302,12889447.596386315,4903535.319308065
130,张山营镇_110119105000,115.773688,40.450977,12889427.34903379,4904799.944650491
131,张山营镇_110119105000,115.774105,40.45129,12889473.476232616,4904846.487892422
132,张山营镇_110119105000,115.774506,40.451618,12889517.835581394,4904895.157801992
133,张山营镇_110119105000,115.774967,40.451899,12889568.832156014,4904937.107113448
134,张山营镇_110119105000,115.775418,40.452188,12889618.69191022,4904980.164538704
135,张山营镇_110119105000,115.775782,40.452542,12889658.977268193,4905032.511482201
136,张山营镇_110119105000,115.776146,40.452896,12889699.265059095,4905084.887200741
137,张山营镇_110119105000,115.776503,40.453254,12889738.774397433,4905137.790820275
138,张山营镇_110119105000,115.776859,40.453613,12889778.196060555,4905190.800514922
139,张山营镇_110119105000,115.777211,40.453973,12889817.139471816,4905244.02762447
140,张山营镇_110119105000,115.777511,40.454361,12889850.347069254,4905301.134648116
141,张山营镇_110119105000,115.777891,40.454699,12889892.419091873,4905351.114094545
142,张山营镇_110119105000,115.778319,40.455007,12889939.812513968,4905396.78268186
143,张山营镇_110119105000,115.77388,40.442302,12889447.596386315,4903535.319308065
144,张山营镇_110119105000,115.774181,40.442689,12889480.884808043,4903592.38621908
145,张山营镇_110119105000,115.774392,40.443109,12889504.266701737,4903654.109590869
146,张山营镇_110119105000,115.77388,40.442302,12889447.596386315,4903535.319308065
147,张山营镇_110119105000,115.77392,40.442245,12889452.004987111,4903527.067287462
148,张山营镇_110119105000,115.774398,40.441986,12889504.806515194,4903490.346650945
149,张山营镇_110119105000,115.774946,40.441821,12889565.342352703,4903467.404541252
150,张山营镇_110119105000,115.775494,40.441656,12889625.944426345,4903444.480162997
151,张山营镇_110119105000,115.776042,40.44149,12889686.522737328,4903421.373042702
152,张山营镇_110119105000,115.774013,40.444409,12889462.53711809,4903842.853726566
153,张山营镇_110119105000,115.774272,40.444813,12889491.231614737,4903902.316621444
154,张山营镇_110119105000,115.774652,40.445154,12889533.286655523,4903952.8310559895
155,张山营镇_110119105000,115.774013,40.444409,12889462.53711809,4903842.853726566
156,张山营镇_110119105000,115.77449,40.444144,12889515.219441833,4903805.217147168
157,张山营镇_110119105000,115.773156,40.502516,12889367.61570112,4912315.078003012
158,张山营镇_110119105000,115.773695,40.5027,12889427.175277304,4912343.138723021
159,张山营镇_110119105000,115.774233,40.502883,12889486.620270833,4912370.979244602
160,张山营镇_110119105000,115.774772,40.503067,12889546.190941382,4912398.959485323
161,张山营镇_110119105000,115.77531,40.50325,12889605.61745456,4912426.756645973
162,张山营镇_110119105000,115.775849,40.503434,12889665.200214364,4912454.692150823
163,张山营镇_110119105000,115.776387,40.503617,12889724.699376907,4912482.443970309
164,张山营镇_110119105000,115.776926,40.503801,12889784.295221562,4912510.331040338
165,张山营镇_110119105000,115.777465,40.503983,12889843.868149336,4912537.8755984865
166,张山营镇_110119105000,115.778011,40.504153,12889904.23095048,4912563.667232337
167,张山营镇_110119105000,115.778557,40.504324,12889964.63127148,4912589.55004045
168,张山营镇_110119105000,115.779103,40.504494,12890025.00936668,4912615.324379635
169,张山营镇_110119105000,115.779649,40.504665,12890085.425441204,4912641.188187156
170,张山营镇_110119105000,115.780195,40.504835,12890145.789732633,4912666.822803625
171,张山营镇_110119105000,115.780741,40.505006,12890206.192371892,4912692.624410999
172,张山营镇_110119105000,115.781287,40.505176,12890266.63385742,4912718.196698218
173,张山营镇_110119105000,115.781832,40.505346,12890326.933713287,4912743.7736807875
174,张山营镇_110119105000,115.782385,40.505504,12890388.14650975,4912767.549618951
175,张山营镇_110119105000,115.782943,40.505648,12890449.911861392,4912789.280333223
176,张山营镇_110119105000,115.783502,40.505792,12890511.77727446,4912810.9758152645
177,张山营镇_110119105000,115.784064,40.505929,12890574.01463382,4912831.610028467
178,张山营镇_110119105000,115.78463,40.506054,12890636.715109264,4912850.470715734
179,张山营镇_110119105000,115.785202,40.506166,12890700.059882237,4912867.400052909
180,张山营镇_110119105000,115.785776,40.506267,12890763.627581583,4912882.629454604
181,张山营镇_110119105000,115.774442,40.443213,12889509.804289574,4903669.365687474
182,张山营镇_110119105000,115.774496,40.443661,12889515.859098935,4903734.769084156
183,张山营镇_110119105000,115.774574,40.444101,12889524.526000272,4903799.118129501
184,张山营镇_110119105000,115.775163,40.444085,12889589.615901286,4903798.005430885
185,张山营镇_110119105000,115.77574,40.443992,12889653.41308105,4903785.650587907
186,张山营镇_110119105000,115.77454,40.457945,12889522.141116034,4905817.939997349
187,张山营镇_110119105000,115.773537,40.522298,12889408.41716094,4915202.166774152
188,张山营镇_110119105000,115.773785,40.521889,12889435.850807386,4915142.986283356
189,张山营镇_110119105000,115.774727,40.457944,12889542.806037122,4905818.158191913
190,张山营镇_110119105000,115.775078,40.458304,12889581.635680718,4905871.406264142
191,张山营镇_110119105000,115.775576,40.458539,12889636.712595563,4905906.692848016
192,张山营镇_110119105000,115.774918,40.457786,12889563.91297861,4905795.526604308
193,张山营镇_110119105000,115.775516,40.445678,12889628.864316516,4904031.038548764
194,张山营镇_110119105000,115.775094,40.445363,12889582.149563223,4903984.252812505
195,张山营镇_110119105000,115.775208,40.438911,12889593.95141366,4903043.641734665
196,张山营镇_110119105000,115.775792,40.438968,12889658.54635118,4903053.125967469
197,张山营镇_110119105000,115.774918,40.457786,12889563.91297861,4905795.526604308
198,张山营镇_110119105000,115.775445,40.457585,12889622.177321823,4905767.296431415
199,张山营镇_110119105000,115.775357,40.446273,12889611.35110892,4904117.449407003
200,张山营镇_110119105000,115.775516,40.445678,12889628.864316516,4904031.038548764
201,张山营镇_110119105000,115.775369,40.446114,12889612.65674893,4904094.303825167
202,张山营镇_110119105000,115.775516,40.445678,12889628.864316516,4904031.038548764
203,张山营镇_110119105000,115.776059,40.445506,12889688.842332046,4904007.048075901
204,张山营镇_110119105000,115.776481,40.445196,12889735.50150272,4903962.657201993
205,张山营镇_110119105000,115.776268,40.444957,12889711.920246761,4903927.376994309
206,张山营镇_110119105000,115.775709,40.4451,12889650.104311224,4903947.110298358
207,张山营镇_110119105000,115.776581,40.443487,12889746.349266978,4903713.635814769
208,张山营镇_110119105000,115.776105,40.443221,12889693.679798022,4903673.891980286
209,张山营镇_110119105000,115.775789,40.519466,12889657.45295927,4914793.605850658
210,张山营镇_110119105000,115.775208,40.519544,12889593.22125498,4914803.825827537
211,张山营镇_110119105000,115.774627,40.519623,12889528.966580516,4914814.137448851
212,张山营镇_110119105000,115.775747,40.45806,12889655.581850264,4905837.186082097
213,张山营镇_110119105000,115.775652,40.457615,12889645.070739139,4905772.092148905
214,张山营镇_110119105000,115.775632,40.457522,12889642.842021782,4905758.525124296
215,张山营镇_110119105000,115.775653,40.457514,12889645.184807435,4905757.384306298
216,张山营镇_110119105000,115.776237,40.457475,12889709.74662348,4905752.849668083
217,张山营镇_110119105000,115.783119,40.447686,12890470.25594987,4904336.377707714
218,张山营镇_110119105000,115.782655,40.447412,12890418.857620243,4904295.859568582
219,张山营镇_110119105000,115.78209,40.447292,12890356.288139703,4904277.624157062
220,张山营镇_110119105000,115.781505,40.447242,12890291.539114488,4904269.483601917
221,张山营镇_110119105000,115.780918,40.447207,12890226.561113656,4904263.555444222
222,张山营镇_110119105000,115.780331,40.447171,12890161.592966376,4904257.4317908
223,张山营镇_110119105000,115.779745,40.447126,12890096.72382585,4904249.9287443515
224,张山营镇_110119105000,115.77916,40.447072,12890032.013551414,4904241.087947029
225,张山营镇_110119105000,115.778574,40.447017,12889967.192047022,4904232.052737085
226,张山营镇_110119105000,115.777989,40.446963,12889902.46970567,4904223.143974267
227,张山营镇_110119105000,115.77742,40.446847,12889839.522869773,4904205.179883629
228,张山营镇_110119105000,115.776852,40.446729,12889776.703867428,4904186.911799483
229,张山营镇_110119105000,115.7763,40.446573,12889715.631236183,4904163.11251714
230,张山营镇_110119105000,115.782938,40.46196,12890451.439894054,4906417.801186905
231,张山营镇_110119105000,115.782598,40.462325,12890413.836402688,4906470.578358475
232,张山营镇_110119105000,115.782104,40.462565,12890359.171198739,4906504.920629837
233,张山营镇_110119105000,115.781544,40.462692,12890297.168849029,4906522.6810250245
234,张山营镇_110119105000,115.78096,40.462677,12890232.524003418,4906519.646714223
235,张山营镇_110119105000,115.780379,40.4626,12890168.247808041,4906507.525516649
236,张山营镇_110119105000,115.779801,40.462512,12890104.251376769,4906493.83072108
237,张山营镇_110119105000,115.779223,40.462428,12890040.294305336,4906480.6159788985
238,张山营镇_110119105000,115.778659,40.462298,12889977.907700159,4906460.711420264
239,张山营镇_110119105000,115.778106,40.462143,12889916.700591182,4906437.079244366
240,张山营镇_110119105000,115.777553,40.461987,12889855.561171586,4906413.340089982
241,张山营镇_110119105000,115.777017,40.461801,12889796.261020638,4906385.256815157
242,张山营镇_110119105000,115.77651,40.461571,12889740.18076921,4906350.723256506
243,张山营镇_110119105000,115.776003,40.461341,12889684.106128743,4906316.167605624
244,张山营镇_110119105000,115.775791,40.458607,12889660.479804724,4905917.039285964
245,张山营镇_110119105000,115.776519,40.444899,12889739.647195805,4903919.398137077
246,张山营镇_110119105000,115.776365,40.444464,12889722.565148534,4903855.6930689905
247,张山营镇_110119105000,115.776206,40.44403,12889704.942582926,4903792.094608564
248,张山营镇_110119105000,115.776166,40.443926,12889700.514907887,4903776.826931308
249,张山营镇_110119105000,115.776511,40.443561,12889738.634922259,4903724.285882651
250,张山营镇_110119105000,115.7759,40.458642,12889672.559120873,4905922.3730196515
251,张山营镇_110119105000,115.776471,40.458733,12889735.689263256,4905936.780160079
252,张山营镇_110119105000,115.778652,40.439796,12889974.934457637,4903179.188118693
253,张山营镇_110119105000,115.778111,40.439618,12889915.096183639,4903152.300590267
254,张山营镇_110119105000,115.777567,40.439443,12889854.874907585,4903125.813400696
255,张山营镇_110119105000,115.777021,40.439275,12889794.481316127,4903100.284273069
256,张山营镇_110119105000,115.776475,40.439107,12889734.094805732,4903074.768308823
257,张山营镇_110119105000,115.776527,40.444936,12889740.552486772,4903924.832201246
258,张山营镇_110119105000,115.776509,40.457815,12889739.813480256,4905802.964333001
259,张山营镇_110119105000,115.776154,40.458174,12889700.62418058,4905854.618683463
260,张山营镇_110119105000,115.776528,40.441398,12889740.204797253,4903408.906039311
261,张山营镇_110119105000,115.776254,40.457476,12889711.609520447,4905753.043158234
262,张山营镇_110119105000,115.776254,40.457476,12889711.609520447,4905753.043158234
263,张山营镇_110119105000,115.776527,40.444936,12889740.552486772,4903924.832201246
264,张山营镇_110119105000,115.776527,40.444936,12889740.552486772,4903924.832201246
265,张山营镇_110119105000,115.77631,40.457431,12889717.796210036,4905746.556564899
266,张山营镇_110119105000,115.77679,40.457169,12889770.843974553,4905709.27193137
267,张山营镇_110119105000,115.777232,40.456873,12889819.717404453,4905666.948348501
268,张山营镇_110119105000,115.777589,40.443221,12889857.809996353,4903676.727484193
269,张山营镇_110119105000,115.777026,40.443355,12889795.525650032,4903695.21134605
270,张山营镇_110119105000,115.777316,40.445146,12889827.80920759,4903956.965468855
271,张山营镇_110119105000,115.776733,40.445099,12889763.345844794,4903948.982004389
272,张山营镇_110119105000,115.777075,40.45833,12889802.465576367,4905879.138776307
273,张山营镇_110119105000,115.776719,40.457974,12889763.049893884,4905826.570519104
274,张山营镇_110119105000,115.77695,40.441491,12889786.910687672,4903423.295847626
275,张山营镇_110119105000,115.779616,40.459771,12890083.628404949,4906093.758440094
276,张山营镇_110119105000,115.779051,40.459653,12890021.11439229,4906075.613879928
277,张山营镇_110119105000,115.778508,40.459479,12889961.040844731,4906049.333262112
278,张山营镇_110119105000,115.777965,40.459305,12889900.974726126,4906022.945045543
279,张山营镇_110119105000,115.777425,40.459125,12889841.216086075,4905995.743702338
280,张山营镇_110119105000,115.776991,40.458825,12889793.207420345,4905951.17488106
281,张山营镇_110119105000,115.777075,40.45833,12889802.465576367,4905879.138776307
282,张山营镇_110119105000,115.777962,40.442982,12889899.020587394,4903642.543890668
283,张山营镇_110119105000,115.777727,40.442569,12889872.947789876,4903581.942951231
284,张山营镇_110119105000,115.777501,40.442153,12889847.92765979,4903520.842038465
285,张山营镇_110119105000,115.77732,40.441718,12889827.865203492,4903457.098359695
286,张山营镇_110119105000,115.777763,40.441421,12889876.820877858,4903414.600806186
287,张山营镇_110119105000,115.777075,40.45833,12889802.465576367,4905879.138776307
288,张山营镇_110119105000,115.77766,40.458298,12889867.1373322,4905875.561896069
289,张山营镇_110119105000,115.777589,40.443221,12889857.809996353,4903676.727484193
290,张山营镇_110119105000,115.777693,40.443664,12889869.338037157,4903741.502416479
291,张山营镇_110119105000,115.777962,40.442982,12889899.020587394,4903642.543890668
292,张山营镇_110119105000,115.777999,40.456097,12889904.480120145,4905555.170905739
293,张山营镇_110119105000,115.777622,40.456441,12889862.815735329,4905604.692996314
294,张山营镇_110119105000,115.777962,40.442982,12889899.020587394,4903642.543890668
295,张山营镇_110119105000,115.778536,40.442881,12889962.493858475,4903628.855111377
296,张山营镇_110119105000,115.779084,40.442715,12890023.112488277,4903605.597404295
297,张山营镇_110119105000,115.779629,40.442543,12890083.37760968,4903581.434118837
298,张山营镇_110119105000,115.780173,40.442371,12890143.530486092,4903557.199093589
299,张山营镇_110119105000,115.780703,40.442174,12890202.185101422,4903529.312294041
300,张山营镇_110119105000,115.778335,40.440585,12889940.000450417,4903293.687910112
301,张山营镇_110119105000,115.778099,40.440998,12889913.924725927,4903353.532690643
302,张山营镇_110119105000,115.778687,40.455281,12889980.503975485,4905437.377445281
303,张山营镇_110119105000,115.778427,40.455682,12889951.793909935,4905495.451289092
304,张山营镇_110119105000,115.778062,40.456036,12889911.449301466,4905546.435258587
305,张山营镇_110119105000,115.778652,40.439796,12889974.934457637,4903179.188118693
306,张山营镇_110119105000,115.778544,40.440237,12889963.048510721,4903243.315316455
307,张山营镇_110119105000,115.778921,40.439683,12890004.68398183,4903163.20170949
308,张山营镇_110119105000,115.781495,40.449305,12890290.654778251,4904570.30712266
309,张山营镇_110119105000,115.780914,40.449383,12890226.379505742,4904580.877823832
310,张山营镇_110119105000,115.780334,40.44946,12890162.204063747,4904591.215670402
311,张山营镇_110119105000,115.779754,40.449538,12890098.038191859,4904601.676151058
312,张山营镇_110119105000,115.779184,40.44965,12890034.936960049,4904617.062220728
313,张山营镇_110119105000,115.778921,40.439683,12890004.68398183,4903163.20170949
314,张山营镇_110119105000,115.779457,40.439871,12890064.02367216,4903191.500952234
315,张山营镇_110119105000,115.780002,40.440042,12890124.331547426,4903217.295276086
316,张山营镇_110119105000,115.78055,40.440206,12890185.00782304,4903242.075766986
317,张山营镇_110119105000,115.781098,40.440371,12890245.662676562,4903266.981988092
318,张山营镇_110119105000,115.781643,40.44054,12890305.99574505,4903292.4043907095
319,张山营镇_110119105000,115.782189,40.440709,12890366.48807555,4903317.795790607
320,张山营镇_110119105000,115.778921,40.439683,12890004.68398183,4903163.20170949
321,张山营镇_110119105000,115.779101,40.439255,12890024.539456557,4903101.101099487
322,张山营镇_110119105000,115.779346,40.438845,12890051.6136566,4903041.725313171
323,张山营镇_110119105000,115.779599,40.438439,12890079.531834045,4902982.950461923
324,张山营镇_110119105000,115.779719,40.454517,12890094.637300408,4905327.706200837
325,张山营镇_110119105000,115.779385,40.454885,12890057.710713461,4905380.848833866
326,张山营镇_110119105000,115.778949,40.455184,12890009.507610982,4905423.708840459
327,张山营镇_110119105000,115.778254,40.519573,12889930.065421173,4914813.840341789
328,张山营镇_110119105000,115.778784,40.519378,12889988.69334947,4914786.354515267
329,张山营镇_110119105000,115.779616,40.459771,12890083.628404949,4906093.758440094
330,张山营镇_110119105000,115.779719,40.454517,12890094.637300408,4905327.706200837
331,张山营镇_110119105000,115.780156,40.454215,12890142.968751794,4905284.3789110165
332,张山营镇_110119105000,115.779801,40.459713,12890104.102670532,4906085.623931633
333,张山营镇_110119105000,115.778966,40.519337,12890008.837708574,4914780.638818077
334,张山营镇_110119105000,115.779422,40.519051,12890059.302385027,4914739.68891739
335,张山营镇_110119105000,115.781765,40.45967,12890321.470405966,4906082.275221964
336,张山营镇_110119105000,115.781231,40.459484,12890262.317660205,4906054.383401428
337,张山营镇_110119105000,115.780664,40.459361,12890199.567171011,4906035.6194498
338,张山营镇_110119105000,115.781764,40.452456,12890320.745964995,4905030.218219761
339,张山营镇_110119105000,115.781438,40.452831,12890284.736127852,4905084.475020814
340,张山营镇_110119105000,115.781112,40.453205,12890248.668608217,4905138.521547939
341,张山营镇_110119105000,115.780785,40.45358,12890212.4834326,4905192.752421095
