﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,张镇_110113110000,116.867114,40.183307,13011104.198629165,4865863.019054928
1,张镇_110113110000,116.86757,40.183024,13011154.769703995,4865822.240153645
2,张镇_110113110000,116.868094,40.182826,13011212.88931547,4865793.856043536
3,张镇_110113110000,116.868396,40.182775,13011246.432357427,4865786.6131096175
4,张镇_110113110000,116.868854,40.182173,13011297.21289501,4865699.484524202
5,张镇_110113110000,116.868504,40.18253,13011258.381344717,4865751.1330757905
6,张镇_110113110000,116.878772,40.182614,13012400.31731267,4865762.282282738
7,张镇_110113110000,116.878188,40.18258,13012335.265063737,4865757.757479093
8,张镇_110113110000,116.877602,40.182604,13012269.987381047,4865761.654641962
9,张镇_110113110000,116.877016,40.182629,13012204.72215841,4865765.622929593
10,张镇_110113110000,116.87643,40.182653,13012139.469344538,4865769.425795683
11,张镇_110113110000,116.875844,40.182678,13012074.259327145,4865773.299262725
12,张镇_110113110000,116.875258,40.182702,13012009.031574106,4865776.967649339
13,张镇_110113110000,116.874672,40.182726,13011943.816435935,4865780.627662824
14,张镇_110113110000,116.874086,40.182751,13011878.644189114,4865784.397378627
15,张镇_110113110000,116.873501,40.182775,13011813.605223011,4865787.922451416
16,张镇_110113110000,116.872915,40.1828,13011748.427981097,4865791.596614505
17,张镇_110113110000,116.872329,40.182824,13011683.293440912,4865795.065539208
18,张镇_110113110000,116.871743,40.182849,13011618.171520216,4865798.604994406
19,张镇_110113110000,116.871157,40.182873,13011553.062079724,4865802.018218408
20,张镇_110113110000,116.870571,40.182897,13011487.934923833,4865805.344661654
21,张镇_110113110000,116.869985,40.182922,13011422.85040104,4865808.742336996
22,张镇_110113110000,116.869405,40.182986,13011358.444449222,4865817.807638653
23,张镇_110113110000,116.868822,40.182978,13011293.71356532,4865816.349421992
24,张镇_110113110000,116.868854,40.182173,13011297.21289501,4865699.484524202
25,张镇_110113110000,116.86929,40.181872,13011345.580745587,4865655.98930278
26,张镇_110113110000,116.869725,40.18157,13011393.86524636,4865612.3501932705
27,张镇_110113110000,116.870148,40.181259,13011440.829335557,4865567.379797413
28,张镇_110113110000,116.871183,40.17488,13011555.404300027,4864641.548076011
29,张镇_110113110000,116.871014,40.175309,13011536.654363032,4864703.808024951
30,张镇_110113110000,116.870951,40.175757,13011529.641987903,4864768.827641267
31,张镇_110113110000,116.870888,40.176204,13011522.691132272,4864833.690363057
32,张镇_110113110000,116.870825,40.176652,13011515.711359004,4864898.671461497
33,张镇_110113110000,116.870762,40.177099,13011508.732768858,4864963.574171967
34,张镇_110113110000,116.870699,40.177547,13011501.755411824,4865028.595370581
35,张镇_110113110000,116.870637,40.177994,13011494.899856431,4865093.499304256
36,张镇_110113110000,116.870574,40.178442,13011487.92484128,4865158.481839997
37,张镇_110113110000,116.870511,40.178889,13011480.950956538,4865223.385963548
38,张镇_110113110000,116.870448,40.179337,13011474.008409156,4865288.36931664
39,张镇_110113110000,116.870385,40.179784,13011467.036799747,4865353.274111611
40,张镇_110113110000,116.870322,40.180232,13011460.066356223,4865418.297371631
41,张镇_110113110000,116.870259,40.180679,13011453.096965678,4865483.202811968
42,张镇_110113110000,116.870194,40.181127,13011445.917578338,4865548.186317835
43,张镇_110113110000,116.871183,40.17488,13011555.404300027,4864641.548076011
44,张镇_110113110000,116.871761,40.174831,13011619.609197674,4864634.548132683
45,张镇_110113110000,116.872346,40.174864,13011684.64388524,4864639.394543003
46,张镇_110113110000,116.872931,40.174898,13011749.66094909,4864644.350924245
47,张镇_110113110000,116.873516,40.174931,13011814.720712055,4864649.102286893
48,张镇_110113110000,116.874102,40.174965,13011879.883677825,4864653.963485494
49,张镇_110113110000,116.874687,40.174998,13011944.998817943,4864658.658811905
50,张镇_110113110000,116.875272,40.175032,13012010.06614556,4864663.42466774
51,张镇_110113110000,116.875857,40.175065,13012075.17618913,4864667.985434747
52,张镇_110113110000,116.876443,40.175099,13012140.419675022,4864672.655880021
53,张镇_110113110000,116.877024,40.175156,13012205.102177465,4864680.667149206
54,张镇_110113110000,116.877599,40.175243,13012269.132860618,4864692.926703482
55,张镇_110113110000,116.878174,40.175331,13012333.175564164,4864705.337907505
56,张镇_110113110000,116.874615,40.189127,13011938.10825943,4866710.147361433
57,张镇_110113110000,116.87516,40.18923,13011998.772231732,4866724.971538536
58,张镇_110113110000,116.875746,40.189266,13012064.00308698,4866730.01553148
59,张镇_110113110000,116.876331,40.189301,13012129.09528213,4866734.815345376
60,张镇_110113110000,116.876917,40.189336,13012194.351109937,4866739.606712394
61,张镇_110113110000,116.877503,40.189371,13012259.619418018,4866744.350764795
62,张镇_110113110000,116.878087,40.189414,13012324.658998674,4866750.191263877
63,张镇_110113110000,116.878432,40.190333,13012363.213522665,4866883.403670538
64,张镇_110113110000,116.878372,40.190781,13012356.574899534,4866948.552722653
65,张镇_110113110000,116.878326,40.191229,13012351.479076039,4867013.614949624
66,张镇_110113110000,116.878281,40.191678,13012346.565359231,4867078.873526276
67,张镇_110113110000,116.878236,40.192127,13012341.59163774,4867144.093386985
68,张镇_110113110000,116.878194,40.192576,13012336.951049926,4867209.35126333
69,张镇_110113110000,116.878153,40.193025,13012332.4620977,4867274.608731953
70,张镇_110113110000,116.878111,40.193474,13012327.82233937,4867339.827943068
71,张镇_110113110000,116.87807,40.193923,13012323.303951178,4867405.086282626
72,张镇_110113110000,116.878027,40.194371,13012318.543910092,4867470.188590665
73,张镇_110113110000,116.877984,40.19482,13012313.844770266,4867535.409087283
74,张镇_110113110000,116.87794,40.195269,13012308.99479032,4867600.670012406
75,张镇_110113110000,116.877897,40.195718,13012304.23577959,4867665.89137882
76,张镇_110113110000,116.878479,40.189514,13012368.33487335,4866764.456332125
77,张镇_110113110000,116.878515,40.189959,13012372.400376359,4866829.033603914
78,张镇_110113110000,116.878648,40.187215,13012386.930816276,4866430.452890286
79,张镇_110113110000,116.87873,40.18766,13012396.13495762,4866494.995992505
80,张镇_110113110000,116.878648,40.187215,13012386.930816276,4866430.452890286
81,张镇_110113110000,116.878655,40.186764,13012387.646707036,4866364.947418576
82,张镇_110113110000,116.878651,40.186315,13012387.18399376,4866299.764543408
83,张镇_110113110000,116.878673,40.185867,13012389.595188634,4866234.684108171
84,张镇_110113110000,116.878853,40.185515,13012409.587235568,4866183.443775731
85,张镇_110113110000,116.878678,40.185088,13012390.074353768,4866121.56496484
86,张镇_110113110000,116.878709,40.184639,13012393.455361007,4866056.362804001
87,张镇_110113110000,116.878759,40.184191,13012399.014823604,4865991.227356517
88,张镇_110113110000,116.878808,40.183742,13012404.423918743,4865926.014491851
