﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,斋堂镇_110109106000,115.549833,40.077646,12864484.570388814,4850538.660888124
1,斋堂镇_110109106000,115.553452,40.081635,12864886.526116189,4851117.077810088
2,斋堂镇_110109106000,115.552973,40.081376,12864833.300888892,4851079.595165817
3,斋堂镇_110109106000,115.553169,40.072221,12864853.957537014,4849752.304078802
4,斋堂镇_110109106000,115.553451,40.071828,12864885.196331047,4849695.268928318
5,斋堂镇_110109106000,115.553452,40.081635,12864886.526116189,4851117.077810088
6,斋堂镇_110109106000,115.553564,40.082077,12864899.014074799,4851181.109817365
7,斋堂镇_110109106000,115.553621,40.082355,12864905.354929822,4851221.423674963
8,斋堂镇_110109106000,115.553631,40.082805,12864906.550867122,4851286.670427348
9,斋堂镇_110109106000,115.553681,40.083252,12864912.124643035,4851351.485916725
10,斋堂镇_110109106000,115.553749,40.08363,12864919.744226268,4851406.233384362
11,斋堂镇_110109106000,115.554054,40.084014,12864953.637120124,4851461.843026513
12,斋堂镇_110109106000,115.554154,40.085752,12864964.962538037,4851713.824999592
13,斋堂镇_110109106000,115.554449,40.08614,12864997.74135577,4851769.970261017
14,斋堂镇_110109106000,115.554142,40.088868,12864963.973196745,4852165.6147230845
15,斋堂镇_110109106000,115.554461,40.089245,12864999.435971826,4852220.186473194
16,斋堂镇_110109106000,115.554677,40.070372,12865021.159911968,4849483.843179531
17,斋堂镇_110109106000,115.555132,40.070089,12865071.670107994,4849442.648659556
18,斋堂镇_110109106000,115.554687,40.089568,12865024.566413334,4852266.928733369
19,斋堂镇_110109106000,115.554719,40.090017,12865028.172247816,4852332.017962543
20,斋堂镇_110109106000,115.55533,40.091807,12865096.211495837,4852591.34917515
21,斋堂镇_110109106000,115.554972,40.091451,12865056.393451061,4852539.8493509935
22,斋堂镇_110109106000,115.55533,40.091807,12865096.211495837,4852591.34917515
23,斋堂镇_110109106000,115.555844,40.092022,12865153.335898066,4852622.220374789
24,斋堂镇_110109106000,115.556481,40.088199,12865223.702823415,4852067.529053388
25,斋堂镇_110109106000,115.556765,40.087825,12865255.251531543,4852013.145212508
26,斋堂镇_110109106000,115.556534,40.088355,12865229.611610675,4852090.12500711
27,斋堂镇_110109106000,115.55708,40.088509,12865290.322021032,4852112.087396411
28,斋堂镇_110109106000,115.556765,40.087825,12865255.251531543,4852013.145212508
