﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,新华街道_110112002000,116.650117,39.921105,12986939.624970108,4827865.218288774
1,新华街道_110112002000,116.650464,39.921467,12986978.504586667,4827916.96117065
2,新华街道_110112002000,116.650117,39.921105,12986939.624970108,4827865.218288774
3,新华街道_110112002000,116.649997,39.920668,12986926.174676524,4827802.237979108
4,新华街道_110112002000,116.650033,39.920219,12986930.230897436,4827737.3044792395
5,新华街道_110112002000,116.650074,39.91977,12986934.834292859,4827672.322948566
6,新华街道_110112002000,116.650116,39.919321,12986939.560130104,4827607.300801272
7,新华街道_110112002000,116.650158,39.918872,12986944.28701679,4827542.318588009
8,新华街道_110112002000,116.650201,39.918423,12986949.136308756,4827477.334944671
9,新华街道_110112002000,116.650239,39.917974,12986953.440517452,4827412.400877851
10,新华街道_110112002000,116.650346,39.917534,12986965.45146301,4827348.585511011
11,新华街道_110112002000,116.650519,39.917285,12986984.854572484,4827312.2818247685
12,新华街道_110112002000,116.650519,39.917285,12986984.854572484,4827312.2818247685
13,新华街道_110112002000,116.650362,39.916853,12986967.254555576,4827250.093079708
14,新华街道_110112002000,116.650394,39.916404,12986970.894798718,4827185.134124238
15,新华街道_110112002000,116.650518,39.915969,12986984.820477724,4827122.070114999
16,新华街道_110112002000,116.6505,39.921507,12986982.568562075,4827922.692533804
17,新华街道_110112002000,116.650732,39.923378,12987008.532803003,4828192.790116353
18,新华街道_110112002000,116.650484,39.922974,12986980.722842118,4828134.815188659
19,新华街道_110112002000,116.650365,39.922533,12986967.388574945,4828071.244849634
20,新华街道_110112002000,116.65032,39.922087,12986962.338564005,4828006.860514549
21,新华街道_110112002000,116.650452,39.92165,12986977.161984285,4827943.456576255
22,新华街道_110112002000,116.651894,39.921525,12987138.906561384,4827922.748098373
23,新华街道_110112002000,116.651327,39.921424,12987075.301774751,4827909.196934707
24,新华街道_110112002000,116.650746,39.921462,12987010.151015146,4827915.725036158
25,新华街道_110112002000,116.650654,39.915782,12987000.064898258,4827094.780317951
26,新华街道_110112002000,116.650833,39.914309,12987020.229307149,4826881.54882658
27,新华街道_110112002000,116.650602,39.914719,12986994.316378452,4826941.2223003805
28,新华街道_110112002000,116.650522,39.915164,12986985.302514821,4827005.686978394
29,新华街道_110112002000,116.650549,39.915611,12986988.304472005,4827070.25044571
30,新华街道_110112002000,116.650654,39.915782,12987000.064898258,4827094.780317951
31,新华街道_110112002000,116.651226,39.91587,12987064.205154566,4827106.509316047
32,新华街道_110112002000,116.651776,39.916024,12987125.9205255,4827127.70546788
33,新华街道_110112002000,116.652345,39.916127,12987189.710105278,4827141.54321974
34,新华街道_110112002000,116.650732,39.923378,12987008.532803003,4828192.790116353
35,新华街道_110112002000,116.650723,39.923826,12987007.51786803,4828257.599050305
36,新华街道_110112002000,116.650863,39.924263,12987023.223194188,4828320.536766674
37,新华街道_110112002000,116.651046,39.924689,12987043.724716067,4828381.777673202
38,新华街道_110112002000,116.650732,39.923378,12987008.532803003,4828192.790116353
39,新华街道_110112002000,116.651305,39.923287,12987072.774328649,4828178.592279703
40,新华街道_110112002000,116.651876,39.92319,12987136.841491837,4828163.506658468
41,新华街道_110112002000,116.651635,39.914391,12987110.197338143,4826891.922567387
42,新华街道_110112002000,116.651055,39.914333,12987045.13960591,4826884.6226729285
43,新华街道_110112002000,116.65103,39.913101,12987042.38450515,4826706.591934945
44,新华街道_110112002000,116.65079,39.913508,12987015.46743995,4826765.8151853755
45,新华街道_110112002000,116.650742,39.913955,12987010.061535614,4826830.527426589
46,新华街道_110112002000,116.651673,39.913236,12987114.506416976,4826724.934059414
47,新华街道_110112002000,116.651112,39.913113,12987051.608255923,4826708.147687087
48,新华街道_110112002000,116.651654,39.908496,12987112.744792448,4826039.864861423
49,新华街道_110112002000,116.651492,39.908924,12987094.555767117,4826102.028320018
50,新华街道_110112002000,116.651437,39.909372,12987088.322449781,4826166.868829553
