﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,新城子镇_110118115000,117.267032,40.606587,13055697.727442078,4927487.925765194
1,新城子镇_110118115000,117.267587,40.606443,13055760.00213967,4927465.464369377
2,新城子镇_110118115000,117.267893,40.592469,13055794.935755212,4925422.842790899
3,新城子镇_110118115000,117.268447,40.592312,13055857.07551283,4925398.497942063
4,新城子镇_110118115000,117.2693,40.604827,13055952.257610401,4927225.065631496
5,新城子镇_110118115000,117.269862,40.604688,13056015.30886533,4927203.344862057
6,新城子镇_110118115000,117.270978,40.611602,13056139.909645574,4928210.963716077
7,新城子镇_110118115000,117.271263,40.611208,13056171.874305066,4928152.73588523
8,新城子镇_110118115000,117.271583,40.610865,13056207.811219243,4928101.833456492
9,新城子镇_110118115000,117.272104,40.610654,13056266.268681934,4928069.780046821
10,新城子镇_110118115000,117.271822,40.604983,13056235.055983089,4927241.787134115
11,新城子镇_110118115000,117.271786,40.605432,13056230.978675472,4927307.474914578
12,新城子镇_110118115000,117.271751,40.605882,13056227.022004213,4927373.318682827
13,新城子镇_110118115000,117.271735,40.606331,13056225.190778824,4927438.957746229
14,新城子镇_110118115000,117.27179,40.606779,13056231.346922645,4927504.303742747
15,新城子镇_110118115000,117.271899,40.60722,13056243.547040496,4927568.488539686
16,新城子镇_110118115000,117.272048,40.607656,13056260.211394586,4927631.864335638
17,新城子镇_110118115000,117.272163,40.608097,13056273.078018835,4927695.997071253
18,新城子镇_110118115000,117.272264,40.608541,13056284.36424826,4927760.67980054
19,新城子镇_110118115000,117.27243,40.608972,13056302.939772114,4927823.26568685
20,新城子镇_110118115000,117.272605,40.609402,13056322.54693897,4927885.71259374
21,新城子镇_110118115000,117.272658,40.60985,13056328.424841259,4927951.068536328
22,新城子镇_110118115000,117.271918,40.604608,13056245.869051449,4927186.767248842
23,新城子镇_110118115000,117.271918,40.604608,13056245.869051449,4927186.767248842
24,新城子镇_110118115000,117.272333,40.604288,13056292.42338985,4927139.0568538
25,新城子镇_110118115000,117.272729,40.603955,13056336.849717401,4927089.501165038
26,新城子镇_110118115000,117.273078,40.603592,13056375.991460372,4927035.670073306
