﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,新村街道_110106010000,116.244162,39.836715,12941776.035188312,4815656.008596661
1,新村街道_110106010000,116.243884,39.837109,12941745.349501232,4815712.174892247
2,新村街道_110106010000,116.245392,39.8366,12941912.052920807,4815642.593560805
3,新村街道_110106010000,116.244811,39.836608,12941847.804452527,4815642.240355926
4,新村街道_110106010000,116.244238,39.836693,12941784.435220612,4815653.034778346
5,新村街道_110106010000,116.245205,39.834694,12941891.109330283,4815366.7428966975
6,新村街道_110106010000,116.24567,39.834426,12941942.486416932,4815329.289119422
7,新村街道_110106010000,116.245899,39.838104,12941968.305846145,4815861.176887628
8,新村街道_110106010000,116.245771,39.837665,12941954.0929825,4815797.436093753
9,新村街道_110106010000,116.245645,39.837225,12941940.09018488,4815733.543771523
10,新村街道_110106010000,116.245502,39.836789,12941924.22736591,4815670.156116241
11,新村街道_110106010000,116.245392,39.8366,12941912.052920807,4815642.593560805
12,新村街道_110106010000,116.245713,39.836224,12941947.482845197,4815589.124147798
13,新村街道_110106010000,116.245986,39.835839,12941977.600487748,4815534.195574783
14,新村街道_110106010000,116.24611,39.835399,12941991.267136015,4815470.961439905
15,新村街道_110106010000,116.24614,39.834957,12941994.55038708,4815407.207424484
16,新村街道_110106010000,116.24599,39.834522,12941977.90801661,4815343.922259758
17,新村街道_110106010000,116.24595,39.834395,12941973.482945202,4815325.479187273
18,新村街道_110106010000,116.245887,39.834353,12941966.486202898,4815319.2789295325
19,新村街道_110106010000,116.245945,39.833906,12941972.860449124,4815254.855037959
20,新村街道_110106010000,116.24595,39.834395,12941973.482945202,4815325.479187273
21,新村街道_110106010000,116.246621,39.834381,12942047.666448416,4815325.236010235
22,新村街道_110106010000,116.246169,39.83439,12941997.670354456,4815325.346970575
23,新村街道_110106010000,116.246207,39.833941,12942001.823700804,4815260.595924022
24,新村街道_110106010000,116.246213,39.833491,12942002.436046382,4815195.604855276
25,新村街道_110106010000,116.246063,39.83335,12941985.825611945,4815174.836125719
26,新村街道_110106010000,116.245701,39.833699,12941945.859738125,4815224.278164154
27,新村街道_110106010000,116.245438,39.8341,12941916.823473152,4815281.58036382
28,新村街道_110106010000,116.245168,39.834499,12941887.00713216,4815338.511044818
29,新村街道_110106010000,116.244926,39.834908,12941860.313150123,4815396.926487838
30,新村街道_110106010000,116.244723,39.83533,12941837.91217943,4815457.364265466
31,新村街道_110106010000,116.24452,39.835753,12941815.511573793,4815517.95901834
32,新村街道_110106010000,116.244316,39.836175,12941793.021032749,4815578.395166634
33,新村街道_110106010000,116.244096,39.836592,12941768.729574721,4815638.0441898415
34,新村街道_110106010000,116.243904,39.837016,12941747.559925927,4815698.786828195
35,新村街道_110106010000,116.243636,39.837416,12941717.985332165,4815755.920385024
36,新村街道_110106010000,116.243536,39.837853,12941706.990224425,4815818.787356
37,新村街道_110106010000,116.24343,39.83829,12941695.334970506,4815881.639053818
38,新村街道_110106010000,116.24314,39.838674,12941663.297870765,4815936.325100178
39,新村街道_110106010000,116.242817,39.839047,12941627.628387101,4815989.397236922
40,新村街道_110106010000,116.242551,39.839449,12941598.293785227,4816046.774956136
41,新村街道_110106010000,116.242282,39.839848,12941568.59852168,4816103.7141012475
42,新村街道_110106010000,116.242595,39.840005,12941603.216536606,4816127.226219353
43,新村街道_110106010000,116.243171,39.839929,12941666.887277907,4816117.768941852
44,新村街道_110106010000,116.243747,39.839853,12941730.557483006,4816108.274413707
45,新村街道_110106010000,116.244149,39.839694,12941774.982821554,4816086.330369387
46,新村街道_110106010000,116.244506,39.839494,12941814.422270538,4816058.389265051
47,新村街道_110106010000,116.24479,39.83925,12941845.784580287,4816023.867881673
48,新村街道_110106010000,116.244824,39.83893,12941849.53040843,4815977.716312616
49,新村街道_110106010000,116.244954,39.838556,12941863.863431763,4815924.018851266
50,新村街道_110106010000,116.245408,39.838406,12941914.052083215,4815903.542545243
51,新村街道_110106010000,116.245834,39.838246,12941961.119198654,4815881.540185412
52,新村街道_110106010000,116.245863,39.837884,12941964.29033089,4815829.301415555
53,新村街道_110106010000,116.246277,39.837707,12942010.035867112,4815804.835777267
54,新村街道_110106010000,116.246834,39.837592,12942071.604616811,4815789.674968348
55,新村街道_110106010000,116.247398,39.837492,12942133.957005646,4815776.681394253
56,新村街道_110106010000,116.247944,39.837364,12942194.327522565,4815759.558404662
57,新村街道_110106010000,116.248452,39.837372,12942250.513334705,4815762.040533558
58,新村街道_110106010000,116.248686,39.837659,12942276.447099995,4815804.099878149
59,新村街道_110106010000,116.249263,39.837589,12942340.251607453,4815795.45866085
60,新村街道_110106010000,116.24984,39.837519,12942404.089452375,4815786.805592154
61,新村街道_110106010000,116.249822,39.837134,12942402.035962034,4815731.114627136
62,新村街道_110106010000,116.249712,39.836691,12942389.800353803,4815666.845807892
63,新村街道_110106010000,116.249615,39.836247,12942379.00568994,4815602.453079522
