﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,新镇街道_110111002000,116.028382,39.745063,12917764.970272837,4802488.321059882
1,新镇街道_110111002000,116.028965,39.745063,12917829.93873134,4802488.96283739
2,新镇街道_110111002000,116.029548,39.745061,12917894.91917991,4802489.206972
3,新镇街道_110111002000,116.030129,39.745041,12917959.730428742,4802486.900527155
4,新镇街道_110111002000,116.030662,39.744864,12918019.18069902,4802461.796992412
5,新镇街道_110111002000,116.030826,39.742716,12918037.342473187,4802152.124988501
6,新镇街道_110111002000,116.030322,39.742492,12917981.165417455,4802119.3908993425
7,新镇街道_110111002000,116.02975,39.742417,12917917.342295604,4802108.063394066
8,新镇街道_110111002000,116.030829,39.74477,12918037.792180007,4802448.408346184
9,新镇街道_110111002000,116.030817,39.74432,12918036.424014624,4802383.497706929
10,新镇街道_110111002000,116.030819,39.743869,12918036.65360649,4802318.397217052
11,新镇街道_110111002000,116.030821,39.743419,12918036.851931456,4802253.49215842
12,新镇街道_110111002000,116.030822,39.742969,12918036.928457433,4802188.586586671
13,新镇街道_110111002000,116.030826,39.742716,12918037.342473187,4802152.124988501
14,新镇街道_110111002000,116.031337,39.742502,12918094.358533368,4802121.6423927685
15,新镇街道_110111002000,116.03191,39.742435,12918158.300043967,4802112.345153399
16,新镇街道_110111002000,116.032494,39.742435,12918223.433089623,4802112.70719251
17,新镇街道_110111002000,116.030829,39.74477,12918037.792180007,4802448.408346184
18,新镇街道_110111002000,116.031331,39.744995,12918093.794578401,4802481.224146075
19,新镇街道_110111002000,116.031905,39.745055,12918157.830079982,4802490.237347426
20,新镇街道_110111002000,116.032488,39.745052,12918222.87237972,4802490.169280349
21,新镇街道_110111002000,116.03306,39.744984,12918286.718111502,4802480.702747177
22,新镇街道_110111002000,116.033086,39.742441,12918289.514700772,4802113.883707287
23,新镇街道_110111002000,116.033227,39.742874,12918305.289406601,4802176.376202698
24,新镇街道_110111002000,116.033224,39.743324,12918304.941298692,4802241.281873975
25,新镇街道_110111002000,116.03322,39.743774,12918304.531690933,4802306.226554515
26,新镇街道_110111002000,116.033216,39.744224,12918304.120944701,4802371.132035404
27,新镇街道_110111002000,116.03322,39.744674,12918304.584633349,4802436.038048254
28,新镇街道_110111002000,116.033363,39.741787,12918320.40737981,4802019.656212147
29,新镇街道_110111002000,116.033201,39.74222,12918302.33815099,4802082.047223581
30,新镇街道_110111002000,116.033226,39.74164,12918305.093815442,4801998.402871747
31,新镇街道_110111002000,116.03313,39.741199,12918294.357780857,4801934.740683475
32,新镇街道_110111002000,116.033125,39.740749,12918293.79495184,4801869.834041917
33,新镇街道_110111002000,116.033221,39.740309,12918304.46283832,4801806.422532551
34,新镇街道_110111002000,116.033237,39.740281,12918306.242865076,4801802.354880762
35,新镇街道_110111002000,116.033805,39.740196,12918369.648756625,4801790.364233611
