﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,方庄街道_110106013000,116.415143,39.871169,12960829.853673363,4820682.144906037
1,方庄街道_110106013000,116.415293,39.870738,12960846.65320597,4820619.473225228
2,方庄街道_110106013000,116.415637,39.870376,12960885.104801547,4820566.368774542
3,方庄街道_110106013000,116.415918,39.870142,12960916.540563362,4820531.829442578
4,方庄街道_110106013000,116.415342,39.870064,12960852.096299581,4820521.966455182
5,方庄街道_110106013000,116.415288,39.868421,12960846.028941996,4820284.751584928
6,方庄街道_110106013000,116.415248,39.868869,12960841.594964892,4820349.55151396
7,方庄街道_110106013000,116.415288,39.868421,12960846.028941996,4820284.751584928
8,方庄街道_110106013000,116.415555,39.867339,12960875.877388535,4820127.738041173
9,方庄街道_110106013000,116.415377,39.867765,12960855.988053216,4820189.734198687
10,方庄街道_110106013000,116.415342,39.868214,12960852.071989588,4820254.719405288
11,方庄街道_110106013000,116.415351,39.869204,12960853.103740519,4820397.70779717
12,方庄街道_110106013000,116.420075,39.867422,12961381.59873232,4820127.968871727
13,方庄街道_110106013000,116.419491,39.867422,12961316.245580127,4820129.555437158
14,方庄街道_110106013000,116.418907,39.867412,12961250.895116497,4820129.642246545
15,方庄街道_110106013000,116.418323,39.867403,12961185.547788592,4820129.913148951
16,方庄街道_110106013000,116.417739,39.867394,12961120.234328836,4820130.130925624
17,方庄街道_110106013000,116.417155,39.867385,12961054.894346822,4820130.373955645
18,方庄街道_110106013000,116.416571,39.867376,12960989.558575194,4820130.52261513
19,方庄街道_110106013000,116.415987,39.867368,12960924.22738226,4820130.849901173
20,方庄街道_110106013000,116.415555,39.867339,12960875.877388535,4820127.738041173
21,方庄街道_110106013000,116.415447,39.866899,12960863.786690272,4820064.427792193
22,方庄街道_110106013000,116.415481,39.86645,12960867.608300548,4819999.48325899
23,方庄街道_110106013000,116.415547,39.866003,12960874.982030401,4819934.736736683
24,方庄街道_110106013000,116.415651,39.864098,12960886.514397072,4819659.202957419
25,方庄街道_110106013000,116.415651,39.864098,12960886.514397072,4819659.202957419
26,方庄街道_110106013000,116.415579,39.863653,12960878.454449149,4819595.100597277
27,方庄街道_110106013000,116.415599,39.863203,12960880.688601855,4819530.032381675
28,方庄街道_110106013000,116.415618,39.862753,12960882.80015785,4819464.966684402
29,方庄街道_110106013000,116.415638,39.862303,12960885.001713563,4819399.898943535
30,方庄街道_110106013000,116.415657,39.861853,12960887.080688357,4819334.833731475
31,方庄街道_110106013000,116.415676,39.861403,12960889.219321882,4819269.806328442
32,方庄街道_110106013000,116.415755,39.860959,12960898.038575742,4819205.457999827
33,方庄街道_110106013000,116.417805,39.865709,12961127.566002902,4819886.505811022
34,方庄街道_110106013000,116.417244,39.865823,12961064.809436725,4819904.407910416
35,方庄街道_110106013000,116.416661,39.865808,12960999.594340827,4819903.733345367
36,方庄街道_110106013000,116.416079,39.865775,12960934.47456981,4819900.453066244
