﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,旧宫地区_110115006000,116.391147,39.784807,12958147.576697659,4808238.288110186
1,旧宫地区_110115006000,116.39113,39.784357,12958145.723281313,4808173.324646615
2,旧宫地区_110115006000,116.391111,39.783907,12958143.658993762,4808108.40016001
3,旧宫地区_110115006000,116.391099,39.783456,12958142.349410646,4808043.361303312
4,旧宫地区_110115006000,116.395118,39.783321,12958589.857159665,4808024.476926219
5,旧宫地区_110115006000,116.394544,39.783373,12958525.93110543,4808032.034767922
6,旧宫地区_110115006000,116.393966,39.783311,12958461.54606763,4808023.112678901
7,旧宫地区_110115006000,116.393388,39.783248,12958397.173334058,4808013.987881149
8,旧宫地区_110115006000,116.39281,39.783186,12958332.812699012,4808004.934291433
9,旧宫地区_110115006000,116.392233,39.783123,12958268.585054327,4807995.717411029
10,旧宫地区_110115006000,116.391658,39.7831,12958204.606636107,4807992.207368344
11,旧宫地区_110115006000,116.395239,39.780992,12958603.584662966,4807688.451935318
12,旧宫地区_110115006000,116.394658,39.780957,12958538.849908385,4807683.498885196
13,旧宫地区_110115006000,116.394076,39.780922,12958474.006676467,4807678.460126663
14,旧宫地区_110115006000,116.393495,39.780886,12958409.296667257,4807673.257180978
15,旧宫地区_110115006000,116.392913,39.780851,12958344.538497977,4807668.124885513
16,旧宫地区_110115006000,116.392332,39.780816,12958279.853015257,4807662.945983439
17,旧宫地区_110115006000,116.391751,39.78078,12958215.14974816,4807657.5639517605
18,旧宫地区_110115006000,116.398341,39.783811,12958949.050125979,4808093.952113127
19,旧宫地区_110115006000,116.397764,39.783749,12958884.706710162,4808085.369069262
20,旧宫地区_110115006000,116.397187,39.78368,12958820.40621511,4808075.64523339
21,旧宫地区_110115006000,116.396611,39.783612,12958756.177937053,4808066.11072466
22,旧宫地区_110115006000,116.396034,39.783544,12958691.901253283,4808056.452742492
23,旧宫地区_110115006000,116.395462,39.78346,12958628.18216058,4808044.478428374
24,旧宫地区_110115006000,116.395239,39.780992,12958603.584662966,4807688.451935318
25,旧宫地区_110115006000,116.395341,39.781433,12958614.896261187,4807752.092516509
26,旧宫地区_110115006000,116.3953,39.781882,12958610.254847124,4807816.859390516
27,旧宫地区_110115006000,116.395253,39.78233,12958604.979322614,4807881.510323834
28,旧宫地区_110115006000,116.395205,39.782778,12958599.613496894,4807946.12250914
29,旧宫地区_110115006000,116.395136,39.783225,12958591.89161231,4808010.621544182
30,旧宫地区_110115006000,116.395559,39.780449,12958639.266356178,4807610.123870148
31,旧宫地区_110115006000,116.395329,39.780863,12958613.599167727,4807669.886398628
32,旧宫地区_110115006000,116.400411,39.774633,12959180.789341848,4806768.5015021665
33,旧宫地区_110115006000,116.399864,39.774485,12959119.772075918,4806747.61166812
34,旧宫地区_110115006000,116.399281,39.774471,12959054.757459452,4806746.037177518
