﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,旺泉街道_110113013000,116.616819,40.132456,12983231.586135827,4858465.333954619
1,旺泉街道_110113013000,116.616965,40.132021,12983247.79707531,4858402.589941912
2,旺泉街道_110113013000,116.617111,40.131585,12983264.03830438,4858339.648222128
3,旺泉街道_110113013000,116.617226,40.131144,12983276.824282134,4858276.0113382535
4,旺泉街道_110113013000,116.6173,40.130697,12983285.07312095,4858211.345521517
5,旺泉街道_110113013000,116.617374,40.13025,12983293.321606362,4858146.679431712
6,旺泉街道_110113013000,116.617448,40.129803,12983301.56971458,4858082.013055632
7,旺泉街道_110113013000,116.617504,40.129355,12983307.804021114,4858017.191412936
8,旺泉街道_110113013000,116.617541,40.128906,12983311.964348854,4857952.174332286
9,旺泉街道_110113013000,116.617577,40.128457,12983315.973890413,4857887.115216178
10,旺泉街道_110113013000,116.617607,40.128008,12983319.351726394,4857822.0839364845
11,旺泉街道_110113013000,116.617616,40.127558,12983320.384945143,4857756.852574664
12,旺泉街道_110113013000,116.617624,40.127107,12983321.327449717,4857691.462377044
13,旺泉街道_110113013000,116.617632,40.126657,12983322.239125509,4857626.229077439
14,旺泉街道_110113013000,116.617641,40.126207,12983323.270313209,4857560.998087832
15,旺泉街道_110113013000,116.617649,40.125757,12983324.210621849,4857495.765556343
16,旺泉街道_110113013000,116.617657,40.125307,12983325.090082372,4857430.532023512
17,旺泉街道_110113013000,116.617665,40.124856,12983326.02895174,4857365.18168307
18,旺泉街道_110113013000,116.617674,40.124406,12983327.057128038,4857299.951053637
19,旺泉街道_110113013000,116.617682,40.123956,12983327.964288276,4857234.718299759
20,旺泉街道_110113013000,116.61769,40.123506,12983328.900698284,4857169.446822483
21,旺泉街道_110113013000,116.617698,40.123056,12983329.8061907,4857104.214178106
22,旺泉街道_110113013000,116.617706,40.122605,12983330.71088003,4857038.863585861
23,旺泉街道_110113013000,116.617715,40.122155,12983331.734841306,4856973.633205108
24,旺泉街道_110113013000,116.617728,40.121705,12983333.208704768,4856908.411047649
25,旺泉街道_110113013000,116.617746,40.121255,12983335.222617358,4856843.198729513
26,旺泉街道_110113013000,116.617763,40.120805,12983337.145443074,4856777.984761216
27,旺泉街道_110113013000,116.617781,40.120354,12983339.157554327,4856712.615091114
28,旺泉街道_110113013000,116.617798,40.119904,12983341.07845974,4856647.440408687
29,旺泉街道_110113013000,116.617816,40.119454,12983343.088585394,4856582.188667755
30,旺泉街道_110113013000,116.617833,40.119004,12983344.97749043,4856516.974039996
31,旺泉街道_110113013000,116.617851,40.118554,12983346.985608911,4856451.76154242
32,旺泉街道_110113013000,116.617868,40.118104,12983348.902548727,4856386.54736219
33,旺泉街道_110113013000,116.617886,40.117653,12983350.908661898,4856321.216763231
34,旺泉街道_110113013000,116.617903,40.117203,12983352.823528659,4856256.00246272
35,旺泉街道_110113013000,116.617923,40.116753,12983355.06794252,4856190.794053705
36,旺泉街道_110113013000,116.617948,40.116303,12983357.852280237,4856125.595302202
37,旺泉街道_110113013000,116.617974,40.115854,12983360.75572762,4856060.555924794
38,旺泉街道_110113013000,116.618004,40.115404,12983364.078916278,4855995.366665447
39,旺泉街道_110113013000,116.618012,40.114954,12983364.996600134,4855930.13412897
40,旺泉街道_110113013000,116.618019,40.114504,12983365.762897922,4855864.898826978
41,旺泉街道_110113013000,116.61806,40.114055,12983370.315030603,4855799.888649977
42,旺泉街道_110113013000,116.618209,40.112847,12983386.877307057,4855625.045783527
43,旺泉街道_110113013000,116.618023,40.11327,12983366.218813686,4855685.953657078
44,旺泉街道_110113013000,116.618015,40.11372,12983365.335382529,4855751.186994544
45,旺泉街道_110113013000,116.618209,40.112847,12983386.877307057,4855625.045783527
46,旺泉街道_110113013000,116.618041,40.112418,12983368.251793286,4855562.453069379
47,旺泉街道_110113013000,116.618048,40.111968,12983369.011696847,4855497.217333924
48,旺泉街道_110113013000,116.61808,40.111519,12983372.565602548,4855432.188873836
49,旺泉街道_110113013000,116.618137,40.111336,12983378.910055576,4855405.793411424
50,旺泉街道_110113013000,116.618111,40.110887,12983376.000352029,4855340.609947509
51,旺泉街道_110113013000,116.618099,40.110437,12983374.682469713,4855275.336827037
52,旺泉街道_110113013000,116.618112,40.109987,12983376.128561454,4855210.113033053
53,旺泉街道_110113013000,116.618125,40.109536,12983377.57349432,4855144.731812397
54,旺泉街道_110113013000,116.618238,40.109098,12983390.078004664,4855081.474578096
55,旺泉街道_110113013000,116.618209,40.112847,12983386.877307057,4855625.045783527
56,旺泉街道_110113013000,116.618794,40.11287,12983451.803203939,4855629.527183739
57,旺泉街道_110113013000,116.619369,40.112958,12983515.593866155,4855643.474296948
58,旺泉街道_110113013000,116.618294,40.109008,12983396.29987178,4855068.566419408
59,旺泉街道_110113013000,116.618881,40.109027,12983461.407919278,4855072.534880912
60,旺泉街道_110113013000,116.619459,40.109086,12983525.562665699,4855082.235497634
61,旺泉街道_110113013000,116.620026,40.109201,12983588.493289744,4855099.984893226
62,旺泉街道_110113013000,116.620598,40.109295,12983652.034095442,4855114.721462213
63,旺泉街道_110113013000,116.621181,40.10931,12983716.757248813,4855117.956483585
64,旺泉街道_110113013000,116.621767,40.109285,12983781.82113791,4855115.417152801
65,旺泉街道_110113013000,116.622352,40.109261,12983846.834919749,4855112.917514131
66,旺泉街道_110113013000,116.622938,40.109246,12983911.919146486,4855111.716989733
67,旺泉街道_110113013000,116.623524,40.109242,12983977.043968897,4855112.050240075
68,旺泉街道_110113013000,116.619754,40.088123,12983556.908037793,4852043.127571879
69,旺泉街道_110113013000,116.619578,40.088552,12983537.436274143,4852104.987396011
70,旺泉街道_110113013000,116.619438,40.088989,12983521.934174117,4852168.090545663
71,旺泉街道_110113013000,116.619301,40.089427,12983506.792859854,4852231.276627339
72,旺泉街道_110113013000,116.619165,40.089864,12983491.711536758,4852294.383359229
73,旺泉街道_110113013000,116.619043,40.090304,12983478.253735622,4852357.948743049
74,旺泉街道_110113013000,116.618946,40.090749,12983467.501693469,4852422.306512089
75,旺泉街道_110113013000,116.61885,40.091193,12983456.89939395,4852486.430089036
76,旺泉街道_110113013000,116.618753,40.091637,12983446.206517205,4852550.629992708
77,旺泉街道_110113013000,116.618701,40.092086,12983440.47345687,4852615.623252329
78,旺泉街道_110113013000,116.618662,40.092535,12983436.182611305,4852680.68078594
79,旺泉街道_110113013000,116.618622,40.092984,12983431.800843397,4852745.697363018
80,旺泉街道_110113013000,116.6186,40.093434,12983429.402328152,4852810.905821995
81,旺泉街道_110113013000,116.618583,40.093884,12983427.544063596,4852876.084426251
82,旺泉街道_110113013000,116.618567,40.094334,12983425.805239955,4852941.304501259
83,旺泉街道_110113013000,116.61855,40.094783,12983423.945283331,4853006.40451176
84,旺泉街道_110113013000,116.618533,40.095233,12983422.11459253,4853071.6230643
85,旺泉街道_110113013000,116.618517,40.095683,12983420.373204263,4853136.843210365
86,旺泉街道_110113013000,116.618511,40.096133,12983419.743092028,4853202.082857582
87,旺泉街道_110113013000,116.618499,40.096583,12983418.450776268,4853267.310934053
88,旺泉街道_110113013000,116.618485,40.097032,12983416.947052572,4853332.377996304
89,旺泉街道_110113013000,116.618472,40.097482,12983415.532631598,4853397.603960463
