﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,星城街道_110111007000,116.049131,39.71013,12920080.958797442,4797443.654886116
1,星城街道_110111007000,116.04993,39.708474,12920170.32049296,4797203.524517018
2,星城街道_110111007000,116.04951,39.708786,12920123.296619778,4797249.2059240155
3,星城街道_110111007000,116.049197,39.709164,12920088.235258747,4797304.250855942
4,星城街道_110111007000,116.049026,39.709594,12920069.136639636,4797366.489335138
5,星城街道_110111007000,116.049131,39.71013,12920080.958797442,4797443.654886116
6,星城街道_110111007000,116.049649,39.710334,12920139.040998414,4797472.227403425
7,星城街道_110111007000,116.050208,39.710463,12920201.703799816,4797489.859134291
8,星城街道_110111007000,116.050782,39.710528,12920266.066952998,4797498.240172706
9,星城街道_110111007000,116.049531,39.707727,12920125.53285265,4797096.437000649
10,星城街道_110111007000,116.049706,39.708156,12920145.200808316,4797158.047714376
11,星城街道_110111007000,116.049569,39.70724,12920129.735298537,4797026.160535483
12,星城街道_110111007000,116.049523,39.707685,12920124.618880603,4797090.390598791
13,星城街道_110111007000,116.050171,39.707351,12920197.218349745,4797041.167102848
14,星城街道_110111007000,116.049604,39.707246,12920133.679627521,4797026.991718923
15,星城街道_110111007000,116.049569,39.70724,12920129.735298537,4797026.160535483
16,星城街道_110111007000,116.049606,39.707135,12920133.881915992,4797010.992037662
17,星城街道_110111007000,116.050167,39.707258,12920196.754763525,4797027.760433196
18,星城街道_110111007000,116.049637,39.707048,12920137.332443941,4796998.377715973
19,星城街道_110111007000,116.050213,39.707175,12920201.935462428,4797015.700295707
20,星城街道_110111007000,116.049652,39.707052,12920139.031684106,4796998.934840212
21,星城街道_110111007000,116.049637,39.707048,12920137.332443941,4796998.377715973
22,星城街道_110111007000,116.050265,39.707102,12920207.723988052,4797005.115317738
23,星城街道_110111007000,116.049704,39.706979,12920144.819515735,4796988.313432382
24,星城街道_110111007000,116.049694,39.706895,12920143.689471466,4796976.20896024
25,星城街道_110111007000,116.049694,39.706895,12920143.689471466,4796976.20896024
26,星城街道_110111007000,116.050256,39.707017,12920206.715063775,4796992.8918232955
27,星城街道_110111007000,116.049694,39.706895,12920143.689471466,4796976.20896024
28,星城街道_110111007000,116.049758,39.706722,12920150.86400804,4796951.170681473
29,星城街道_110111007000,116.04993,39.708474,12920170.32049296,4797203.524517018
30,星城街道_110111007000,116.049916,39.706387,12920168.55192205,4796902.63809023
31,星城街道_110111007000,116.051026,39.706647,12920293.00911481,4796938.172685505
32,星城街道_110111007000,116.050468,39.706516,12920230.427854754,4796920.2688462045
33,星城街道_110111007000,116.05026,39.705425,12920207.000574257,4796763.314031647
34,星城街道_110111007000,116.050075,39.705851,12920186.314429292,4796825.083280089
35,星城街道_110111007000,116.049928,39.706286,12920169.87793912,4796888.026863169
36,星城街道_110111007000,116.04993,39.708474,12920170.32049296,4797203.524517018
37,星城街道_110111007000,116.05026,39.705425,12920207.000574257,4796763.314031647
38,星城街道_110111007000,116.050478,39.708494,12920231.762365224,4797205.47953377
39,星城街道_110111007000,116.051017,39.708663,12920292.224009028,4797228.898594821
40,星城街道_110111007000,116.050478,39.708494,12920231.762365224,4797205.47953377
41,星城街道_110111007000,116.050614,39.708056,12920246.953252738,4797142.078552687
42,星城街道_110111007000,116.050742,39.707617,12920261.265095994,4797078.575355411
43,星城街道_110111007000,116.050643,39.705247,12920249.91991727,4796737.002355932
44,星城街道_110111007000,116.051221,39.705298,12920314.741724785,4796743.318454296
45,星城街道_110111007000,116.051796,39.705372,12920379.178372111,4796752.938111189
46,星城街道_110111007000,116.052371,39.705448,12920443.68296576,4796762.803649537
47,星城街道_110111007000,116.052888,39.705648,12920501.678251667,4796790.645423914
48,星城街道_110111007000,116.050809,39.707403,12920268.740485769,4797047.580291666
49,星城街道_110111007000,116.050834,39.707315,12920271.554504497,4797034.856903668
50,星城街道_110111007000,116.05086,39.707227,12920274.459572373,4797022.092708183
51,星城街道_110111007000,116.050886,39.707139,12920277.36470546,4797009.367592129
52,星城街道_110111007000,116.050911,39.707051,12920280.14849866,4796996.644677246
53,星城街道_110111007000,116.050963,39.706876,12920285.959040245,4796971.311627142
54,星城街道_110111007000,116.051026,39.706647,12920293.00911481,4796938.172685505
55,星城街道_110111007000,116.051077,39.706593,12920298.709385443,4796930.323514684
56,星城街道_110111007000,116.051524,39.706421,12920348.828276753,4796904.709090457
57,星城街道_110111007000,116.051481,39.709204,12920344.291158887,4797306.074043553
58,星城街道_110111007000,116.05128,39.708781,12920321.701855885,4797245.443223891
59,星城街道_110111007000,116.051254,39.708729,12920318.78353746,4797237.988167308
60,星城街道_110111007000,116.051749,39.708491,12920374.238370704,4797202.760350179
61,星城街道_110111007000,116.052253,39.708265,12920430.731765596,4797169.252872878
62,星城街道_110111007000,116.052754,39.708035,12920486.89626073,4797135.145632361
63,星城街道_110111007000,116.0513,39.710481,12920324.144470012,4797490.556415784
64,星城街道_110111007000,116.05182,39.710682,12920382.465259025,4797518.595481435
65,星城街道_110111007000,116.052383,39.710797,12920445.579102494,4797534.120681339
66,星城街道_110111007000,116.052964,39.710817,12920510.754124299,4797535.8907860005
67,星城街道_110111007000,116.053538,39.710742,12920575.106442507,4797523.9628649885
68,星城街道_110111007000,116.051481,39.709204,12920344.291158887,4797306.074043553
69,星城街道_110111007000,116.051413,39.709652,12920336.687040528,4797370.83090307
70,星城街道_110111007000,116.051346,39.710099,12920329.235127889,4797435.350519258
71,星城街道_110111007000,116.051481,39.709204,12920344.291158887,4797306.074043553
72,星城街道_110111007000,116.052024,39.709368,12920405.18961185,4797328.735844159
73,星城街道_110111007000,116.051524,39.706421,12920348.828276753,4796904.709090457
74,星城街道_110111007000,116.052099,39.706493,12920413.268802991,4796914.001931292
