﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,月坛街道_110102007000,116.328742,39.916787,12951215.707192706,4827190.551772751
1,月坛街道_110102007000,116.32861,39.916697,12951200.951763775,4827177.5881968085
2,月坛街道_110102007000,116.328547,39.916252,12951193.932783542,4827113.327754259
3,月坛街道_110102007000,116.328541,39.915801,12951193.297746262,4827048.125031385
4,月坛街道_110102007000,116.328548,39.915351,12951194.115534721,4826983.070534975
5,月坛街道_110102007000,116.328737,39.914928,12951215.259361992,4826921.847129224
6,月坛街道_110102007000,116.329077,39.914562,12951253.275334725,4826868.801649523
7,月坛街道_110102007000,116.330291,39.916745,12951388.775020896,4827183.980974006
8,月坛街道_110102007000,116.329731,39.916867,12951326.240228627,4827201.7657625675
9,月坛街道_110102007000,116.329147,39.91686,12951260.980510352,4827200.944164416
10,月坛街道_110102007000,116.328887,39.911825,12951232.230498902,4826473.286996589
11,月坛街道_110102007000,116.328864,39.911375,12951229.698120533,4826408.221173242
12,月坛街道_110102007000,116.328952,39.910774,12951239.550455686,4826321.361268498
13,月坛街道_110102007000,116.328887,39.911825,12951232.230498902,4826473.286996589
14,月坛街道_110102007000,116.328886,39.912276,12951232.071614614,4826538.487660898
15,月坛街道_110102007000,116.329003,39.912715,12951245.101660969,4826601.884437118
16,月坛街道_110102007000,116.328887,39.911825,12951232.230498902,4826473.286996589
17,月坛街道_110102007000,116.329472,39.911816,12951297.587543568,4826471.77426042
18,月坛街道_110102007000,116.328952,39.910774,12951239.550455686,4826321.361268498
19,月坛街道_110102007000,116.32916,39.910529,12951262.830457972,4826285.861351347
20,月坛街道_110102007000,116.329102,39.91008,12951256.3684807,4826220.9765310865
21,月坛街道_110102007000,116.329113,39.909066,12951257.702271849,4826074.42565
22,月坛街道_110102007000,116.329024,39.909511,12951247.710244833,4826138.777909292
23,月坛街道_110102007000,116.329077,39.904305,12951254.065829545,4825386.390823602
24,月坛街道_110102007000,116.329068,39.904753,12951253.020786775,4825451.15403514
25,月坛街道_110102007000,116.329094,39.903651,12951256.040351048,4825291.910222847
26,月坛街道_110102007000,116.329075,39.904101,12951253.875611765,4825356.914339729
27,月坛街道_110102007000,116.329103,39.905541,12951256.870868756,4825565.006557478
28,月坛街道_110102007000,116.32909,39.905091,12951255.465651413,4825499.982266194
29,月坛街道_110102007000,116.329654,39.906129,12951318.382647805,4825649.771407129
30,月坛街道_110102007000,116.329306,39.905768,12951279.53000702,4825597.765838729
31,月坛街道_110102007000,116.329113,39.909066,12951257.702271849,4826074.42565
32,月坛街道_110102007000,116.329284,39.908636,12951276.826536272,4826012.218687729
33,月坛街道_110102007000,116.329261,39.913183,12951273.916750511,4826669.388418559
34,月坛街道_110102007000,116.330575,39.910615,12951420.901123602,4826297.904149842
35,月坛街道_110102007000,116.330005,39.910516,12951357.239770671,4826283.717922477
36,月坛街道_110102007000,116.329421,39.910523,12951291.984748155,4826284.874327533
37,月坛街道_110102007000,116.329299,39.908282,12951278.523788223,4825961.049807102
38,月坛街道_110102007000,116.329305,39.907001,12951279.284420295,4825775.934519691
39,月坛街道_110102007000,116.329373,39.907446,12951286.86133169,4825840.182793124
40,月坛街道_110102007000,116.329267,39.907886,12951274.963275576,4825903.834589924
41,月坛街道_110102007000,116.329305,39.907001,12951279.284420295,4825775.934519691
42,月坛街道_110102007000,116.329234,39.914429,12951270.826595603,4826849.527186018
43,月坛街道_110102007000,116.329333,39.914873,12951281.86270396,4826913.6500145905
44,月坛街道_110102007000,116.329234,39.914429,12951270.826595603,4826849.527186018
45,月坛街道_110102007000,116.329375,39.908378,12951287.042789083,4825974.919311644
46,月坛街道_110102007000,116.329261,39.913183,12951273.916750511,4826669.388418559
47,月坛街道_110102007000,116.32927,39.913633,12951274.87930057,4826734.467444648
48,月坛街道_110102007000,116.329278,39.914084,12951275.751883848,4826799.665416231
49,月坛街道_110102007000,116.329261,39.913183,12951273.916750511,4826669.388418559
50,月坛街道_110102007000,116.329766,39.912955,12951330.36341721,4826636.309460644
51,月坛街道_110102007000,116.33027,39.912727,12951386.68022596,4826603.226660818
52,月坛街道_110102007000,116.329654,39.906129,12951318.382647805,4825649.771407129
53,月坛街道_110102007000,116.329369,39.906523,12951286.499689799,4825706.8221484525
54,月坛街道_110102007000,116.329282,39.914378,12951276.213604474,4826842.164718449
55,月坛街道_110102007000,116.329754,39.914645,12951328.932843838,4826880.582166246
56,月坛街道_110102007000,116.331085,39.908479,12951478.017065736,4825989.118565644
