﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,望京街道_110105026000,116.436871,39.986154,12963261.138488647,4837252.809686912
1,望京街道_110105026000,116.436466,39.985833,12963215.918422135,4837207.238435168
2,望京街道_110105026000,116.436202,39.985432,12963186.443767702,4837149.840899776
3,望京街道_110105026000,116.43594,39.98503,12963157.148737822,4837092.249344724
4,望京街道_110105026000,116.438266,39.987718,12963416.858758032,4837476.069865755
5,望京街道_110105026000,116.437752,39.987505,12963359.49003702,4837446.366088038
6,望京街道_110105026000,116.437371,39.987168,12963316.98105424,4837398.437840132
7,望京街道_110105026000,116.437105,39.986767,12963287.272188105,4837340.984935212
8,望京街道_110105026000,116.436897,39.986348,12963264.054231605,4837280.828025961
9,望京街道_110105026000,116.438748,39.985667,12963470.617186045,4837178.186318134
10,望京街道_110105026000,116.438166,39.985684,12963405.67232335,4837181.92230826
11,望京街道_110105026000,116.437632,39.985865,12963346.0615092,4837209.270043069
12,望京街道_110105026000,116.437108,39.986066,12963287.566594832,4837239.528844078
13,望京街道_110105026000,116.43843,39.988107,12963435.182644233,4837532.0171016995
14,望京街道_110105026000,116.43855,39.987195,12963448.554567512,4837399.794586153
15,望京街道_110105026000,116.43834,39.987613,12963425.1396417,4837460.7338322215
16,望京街道_110105026000,116.438702,39.988633,12963465.547143908,4837607.590538069
17,望京街道_110105026000,116.438469,39.988221,12963439.551078664,4837548.4322714545
18,望京街道_110105026000,116.43855,39.987195,12963448.554567512,4837399.794586153
19,望京街道_110105026000,116.438658,39.986754,12963460.592498813,4837335.713487296
20,望京街道_110105026000,116.438739,39.986308,12963469.626078136,4837270.977089343
21,望京街道_110105026000,116.438702,39.988633,12963465.547143908,4837607.590538069
22,望京街道_110105026000,116.438924,39.98905,12963490.327598015,4837667.4808477145
23,望京街道_110105026000,116.439146,39.989467,12963515.07544205,4837727.376422553
24,望京街道_110105026000,116.439372,39.989882,12963540.306249764,4837786.9941114
25,望京街道_110105026000,116.439708,39.990248,12963577.786692644,4837839.275813146
26,望京街道_110105026000,116.438748,39.985667,12963470.617186045,4837178.186318134
27,望京街道_110105026000,116.438748,39.985667,12963470.617186045,4837178.186318134
28,望京街道_110105026000,116.439171,39.98536,12963517.775608499,4837132.9211434005
29,望京街道_110105026000,116.438818,39.985826,12963478.415114764,4837201.06283564
30,望京街道_110105026000,116.441147,39.984804,12963738.172844213,4837048.549544136
31,望京街道_110105026000,116.440567,39.984851,12963673.50884799,4837056.419130036
32,望京街道_110105026000,116.44004,39.985042,12963614.721092956,4837085.080151448
33,望京街道_110105026000,116.44124,39.992746,12963748.656514877,4838197.834463752
34,望京街道_110105026000,116.440921,39.99237,12963713.105675297,4838144.018232718
35,望京街道_110105026000,116.440646,39.991973,12963682.432784762,4838087.116329329
36,望京街道_110105026000,116.440379,39.991572,12963652.666549994,4838029.580343036
37,望京街道_110105026000,116.44012,39.991169,12963623.776786925,4837971.7633055085
38,望京街道_110105026000,116.439852,39.990769,12963593.88352512,4837914.361583043
39,望京街道_110105026000,116.43972,39.990333,12963579.12019973,4837851.543145191
40,望京街道_110105026000,116.443242,39.990049,12963971.807594022,4837803.99208056
41,望京街道_110105026000,116.442657,39.990058,12963906.602672594,4837806.275744902
42,望京街道_110105026000,116.442071,39.990062,12963841.296452267,4837807.893387644
43,望京街道_110105026000,116.441486,39.990074,12963776.070874723,4837810.647754726
44,望京街道_110105026000,116.440901,39.990088,12963710.86561468,4837813.792782816
45,望京街道_110105026000,116.440318,39.990115,12963645.832435537,4837818.8171115685
46,望京街道_110105026000,116.439758,39.990245,12963583.366514076,4837838.755259101
47,望京街道_110105026000,116.441162,39.984798,12963739.839991307,4837047.661533857
48,望京街道_110105026000,116.441162,39.984798,12963739.839991307,4837047.661533857
49,望京街道_110105026000,116.441531,39.984447,12963780.966117512,4836996.148818367
50,望京街道_110105026000,116.441988,39.984171,12963831.909271397,4836955.351972409
51,望京街道_110105026000,116.441608,39.993302,12963789.685202021,4838277.653019971
52,望京街道_110105026000,116.441343,39.9929,12963760.111204121,4838219.969082182
53,望京街道_110105026000,116.442092,39.994054,12963843.613166364,4838385.616408952
54,望京街道_110105026000,116.441826,39.993653,12963813.983977761,4838328.076175599
55,望京街道_110105026000,116.442092,39.994054,12963843.613166364,4838385.616408952
56,望京街道_110105026000,116.44227,39.994483,12963863.480239911,4838447.417632864
57,望京街道_110105026000,116.445232,39.982196,12964193.254158935,4836664.3549189465
58,望京街道_110105026000,116.444713,39.982398,12964135.483053895,4836694.294039831
59,望京街道_110105026000,116.444268,39.982691,12964085.91437722,4836737.403808934
60,望京街道_110105026000,116.443823,39.982984,12964036.36916729,4836780.497933473
61,望京街道_110105026000,116.443378,39.983277,12963986.78693265,4836823.61606538
62,望京街道_110105026000,116.442933,39.983569,12963937.228312926,4836866.600104922
63,望京街道_110105026000,116.442484,39.983858,12963887.208510585,4836909.220517137
64,望京街道_110105026000,116.443004,39.995066,12963945.245872729,4838530.52251846
65,望京街道_110105026000,116.442548,39.994784,12963894.410593085,4838490.46699525
66,望京街道_110105026000,116.443004,39.995066,12963945.245872729,4838530.52251846
67,望京街道_110105026000,116.443032,39.995515,12963948.380174737,4838595.457977273
68,望京街道_110105026000,116.443239,39.995934,12963971.420370588,4838655.7860645065
69,望京街道_110105026000,116.443474,39.996347,12963997.579002792,4838715.138791639
70,望京街道_110105026000,116.44372,39.996755,12964024.97723866,4838773.8157563545
71,望京街道_110105026000,116.444084,39.997105,12964065.521533323,4838823.906431345
72,望京街道_110105026000,116.443147,39.995011,12963961.184933156,4838522.312431071
73,望京街道_110105026000,116.443147,39.995011,12963961.184933156,4838522.312431071
74,望京街道_110105026000,116.443723,39.994943,12964025.353401087,4838511.555244599
