﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,朝阳门街道_110101007000,116.411202,39.920548,12960385.792075643,4827826.73574685
1,朝阳门街道_110101007000,116.411754,39.920696,12960447.485488659,4827846.902365825
2,朝阳门街道_110101007000,116.411234,39.917562,12960389.50088194,4827394.996712336
3,朝阳门街道_110101007000,116.411805,39.917659,12960453.320030637,4827407.7865235815
4,朝阳门街道_110101007000,116.412707,39.918091,12960554.19043285,4827468.170693479
5,朝阳门街道_110101007000,116.412142,39.918207,12960490.98529834,4827486.231215552
6,朝阳门街道_110101007000,116.411588,39.918352,12960429.029604413,4827508.3995758975
7,朝阳门街道_110101007000,116.411355,39.92189,12960402.88275821,4828020.420671746
8,朝阳门街道_110101007000,116.411341,39.92234,12960401.288037624,4828085.513277159
9,朝阳门街道_110101007000,116.411355,39.92189,12960402.88275821,4828020.420671746
10,朝阳门街道_110101007000,116.411429,39.921445,12960411.12476948,4827955.909546645
11,朝阳门街道_110101007000,116.412902,39.919331,12960575.918741254,4827646.985348974
12,朝阳门街道_110101007000,116.412324,39.919262,12960511.294968251,4827638.338349391
13,朝阳门街道_110101007000,116.411749,39.919181,12960446.982234584,4827627.894888795
14,朝阳门街道_110101007000,116.411708,39.922921,12960442.300839277,4828168.703107726
15,朝阳门街道_110101007000,116.411472,39.91641,12960416.158943625,4827227.923700557
16,朝阳门街道_110101007000,116.411563,39.916852,12960426.297351873,4827291.646016224
17,朝阳门街道_110101007000,116.411822,39.917254,12960455.226473704,4827349.2061316045
18,朝阳门街道_110101007000,116.412155,39.917624,12960492.476452762,4827401.93404031
19,朝阳门街道_110101007000,116.411472,39.91641,12960416.158943625,4827227.923700557
20,朝阳门街道_110101007000,116.411614,39.915975,12960432.030524988,4827164.767896131
21,朝阳门街道_110101007000,116.411806,39.920708,12960453.312356835,4827848.516374182
22,朝阳门街道_110101007000,116.411708,39.922921,12960442.300839277,4828168.703107726
23,朝阳门街道_110101007000,116.412292,39.922942,12960507.618332988,4828170.462743267
24,朝阳门街道_110101007000,116.412877,39.922946,12960573.034486,4828169.723107079
25,朝阳门街道_110101007000,116.41346,39.922908,12960638.21585406,4828162.883908848
26,朝阳门街道_110101007000,116.411806,39.920708,12960453.312356835,4827848.516374182
27,朝阳门街道_110101007000,116.41228,39.920444,12960506.319825992,4827809.295673375
28,朝阳门街道_110101007000,116.412717,39.920145,12960555.205465276,4827765.119865915
29,朝阳门街道_110101007000,116.412707,39.918091,12960554.19043285,4827468.170693479
30,朝阳门街道_110101007000,116.412298,39.917768,12960508.464198003,4827422.405672607
31,朝阳门街道_110101007000,116.413207,39.918359,12960610.093758138,4827505.798112844
32,朝阳门街道_110101007000,116.412728,39.9181,12960556.527349746,4827469.41847662
33,朝阳门街道_110101007000,116.412854,39.920047,12960570.509901091,4827750.620323112
34,朝阳门街道_110101007000,116.413257,39.920374,12960615.576301446,4827796.973134614
35,朝阳门街道_110101007000,116.412854,39.920047,12960570.509901091,4827750.620323112
36,朝阳门街道_110101007000,116.41288,39.919714,12960573.440423807,4827702.405841071
37,朝阳门街道_110101007000,116.413463,39.919748,12960638.679593097,4827705.997170667
38,朝阳门街道_110101007000,116.414046,39.919782,12960703.864428926,4827709.526390357
39,朝阳门街道_110101007000,116.41288,39.919714,12960573.440423807,4827702.405841071
40,朝阳门街道_110101007000,116.413207,39.918359,12960610.093758138,4827505.798112844
41,朝阳门街道_110101007000,116.413071,39.918797,12960594.829511654,4827569.434309773
42,朝阳门街道_110101007000,116.412931,39.919234,12960579.171998294,4827632.920993744
43,朝阳门街道_110101007000,116.413207,39.918359,12960610.093758138,4827505.798112844
44,朝阳门街道_110101007000,116.413251,39.918344,12960614.98241556,4827503.503782371
45,朝阳门街道_110101007000,116.413319,39.917897,12960622.628370915,4827438.726611407
46,朝阳门街道_110101007000,116.413405,39.917451,12960632.279075455,4827374.0662790695
47,朝阳门街道_110101007000,116.413508,39.917008,12960643.782671714,4827309.800012623
48,朝阳门街道_110101007000,116.413971,39.918186,12960695.539005768,4827478.962650769
49,朝阳门街道_110101007000,116.413408,39.918309,12960632.56255831,4827498.090331964
50,朝阳门街道_110101007000,116.413412,39.920498,12960632.905922217,4827814.544813286
51,朝阳门街道_110101007000,116.413943,39.920686,12960692.314508349,4827840.469817954
52,朝阳门街道_110101007000,116.413412,39.920498,12960632.905922217,4827814.544813286
53,朝阳门街道_110101007000,116.413409,39.920948,12960632.552010927,4827879.61161566
54,朝阳门街道_110101007000,116.413406,39.921399,12960632.229492392,4827944.835582513
55,朝阳门街道_110101007000,116.413427,39.921848,12960634.579827424,4828009.6926357215
56,朝阳门街道_110101007000,116.413651,39.922261,12960659.611981818,4828068.834228096
57,朝阳门街道_110101007000,116.413965,39.922641,12960694.72744469,4828123.059591764
58,朝阳门街道_110101007000,116.413541,39.923947,12960647.262837267,4828312.911301744
59,朝阳门街道_110101007000,116.413652,39.923508,12960659.692723555,4828249.161079043
60,朝阳门街道_110101007000,116.413833,39.923079,12960679.926601361,4828186.702159365
61,朝阳门街道_110101007000,116.414089,39.922788,12960708.56804498,4828144.0306724515
62,朝阳门街道_110101007000,116.413971,39.918186,12960695.539005768,4827478.962650769
63,朝阳门街道_110101007000,116.414398,39.918494,12960743.28377003,4827522.480634509
64,朝阳门街道_110101007000,116.414824,39.918802,12960790.91067523,4827565.9897148525
65,朝阳门街道_110101007000,116.415271,39.919091,12960840.910798626,4827606.692379193
66,朝阳门街道_110101007000,116.413971,39.918186,12960695.539005768,4827478.962650769
