﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,木林镇_110113112000,116.70978,40.254475,12993624.197036596,4876137.600587431
1,木林镇_110113112000,116.709322,40.254198,12993573.368097011,4876096.399396356
2,木林镇_110113112000,116.70898,40.253832,12993535.409965169,4876042.513308542
3,木林镇_110113112000,116.708639,40.253466,12993497.568835754,4875988.641007281
4,木林镇_110113112000,116.7116,40.256435,12993826.076085744,4876426.459079029
5,木林镇_110113112000,116.711144,40.256154,12993775.508542847,4876384.594736506
6,木林镇_110113112000,116.710796,40.255791,12993736.905159391,4876331.031191758
7,木林镇_110113112000,116.710452,40.255426,12993698.749769105,4876277.2504936755
8,木林镇_110113112000,116.710108,40.25506,12993660.591518296,4876223.323172307
9,木林镇_110113112000,116.709835,40.254665,12993630.278077839,4876165.369688811
10,木林镇_110113112000,116.70978,40.254475,12993624.197036596,4876137.600587431
11,木林镇_110113112000,116.710281,40.25424,12993679.854011305,4876104.595004577
12,木林镇_110113112000,116.710811,40.254047,12993738.715760492,4876077.7008868875
13,木林镇_110113112000,116.711367,40.2539,12993800.450407043,4876057.624467238
14,木林镇_110113112000,116.711923,40.253757,12993862.17760212,4876038.165576685
15,木林镇_110113112000,116.712479,40.253612,12993923.898276158,4876018.416947832
16,木林镇_110113112000,116.713023,40.253443,12993984.263334095,4875995.197993303
17,木林镇_110113112000,116.713569,40.253276,12994044.862540476,4875972.242818685
18,木林镇_110113112000,116.714116,40.25311,12994105.575997787,4875949.508748372
19,木林镇_110113112000,116.714662,40.252945,12994166.16377494,4875926.9109465275
20,木林镇_110113112000,116.715209,40.252779,12994226.866560495,4875904.217021361
21,木林镇_110113112000,116.715755,40.252614,12994287.444245279,4875881.6571630025
22,木林镇_110113112000,116.716302,40.252448,12994348.107492074,4875858.959031381
23,木林镇_110113112000,116.7116,40.256435,12993826.076085744,4876426.459079029
24,木林镇_110113112000,116.711795,40.256857,12993847.691993184,4876488.228542825
25,木林镇_110113112000,116.71213,40.257227,12993884.844537115,4876542.779206881
26,木林镇_110113112000,116.712469,40.257594,12993922.415495714,4876596.91416221
27,木林镇_110113112000,116.712808,40.257962,12993960.0139232,4876651.216699448
28,木林镇_110113112000,116.713146,40.258329,12993997.459912622,4876705.367709831
29,木林镇_110113112000,116.713343,40.25875,12994019.279588573,4876767.009346711
30,木林镇_110113112000,116.713341,40.259199,12994019.019949557,4876832.220319402
31,木林镇_110113112000,116.718744,40.254314,12994618.667027825,4876136.633378628
32,木林镇_110113112000,116.718184,40.254451,12994556.58255793,4876155.018793089
33,木林镇_110113112000,116.717621,40.254578,12994494.165535428,4876171.951774743
34,木林镇_110113112000,116.717062,40.254718,12994432.16359837,4876190.76053689
35,木林镇_110113112000,116.716503,40.254858,12994370.157553788,4876209.624096473
36,木林镇_110113112000,116.715945,40.254998,12994308.2672374,4876228.467486029
37,木林镇_110113112000,116.715386,40.255138,12994246.25210401,4876247.365371812
38,木林镇_110113112000,116.714829,40.255281,12994184.471859558,4876266.720765877
39,木林镇_110113112000,116.714276,40.255434,12994123.13574158,4876287.524087342
40,木林镇_110113112000,116.713734,40.255608,12994062.993139422,4876311.485889753
41,木林镇_110113112000,116.713194,40.255785,12994003.054974567,4876335.827565769
42,木林镇_110113112000,116.712658,40.255969,12993943.560796019,4876361.303351709
43,木林镇_110113112000,116.712133,40.25617,12993885.260555813,4876389.228752502
44,木林镇_110113112000,116.711639,40.256413,12993830.435004469,4876423.351175801
45,木林镇_110113112000,116.713332,40.25925,12994018.023176568,4876839.608206143
46,木林镇_110113112000,116.71276,40.259152,12993954.566255365,4876823.978561656
47,木林镇_110113112000,116.717056,40.26297,12994430.721723104,4877389.686904082
48,木林镇_110113112000,116.71663,40.262662,12994383.504052201,4877343.819865532
49,木林镇_110113112000,116.716283,40.262298,12994345.056446318,4877289.999523997
50,木林镇_110113112000,116.715936,40.261934,12994306.607244456,4877236.186107031
51,木林镇_110113112000,116.715589,40.261571,12994268.186234618,4877182.577578536
52,木林镇_110113112000,116.715243,40.261207,12994229.82365395,4877128.780775848
53,木林镇_110113112000,116.714894,40.260845,12994191.15870859,4877075.30049435
54,木林镇_110113112000,116.714545,40.260482,12994152.461911455,4877021.630638059
55,木林镇_110113112000,116.714195,40.260121,12994113.672692154,4876968.321917499
56,木林镇_110113112000,116.71384,40.259762,12994074.310514204,4876915.246445737
57,木林镇_110113112000,116.713484,40.259403,12994034.885922411,4876862.218349541
58,木林镇_110113112000,116.713539,40.249434,12994041.88941701,4875414.0110920565
59,木林镇_110113112000,116.713937,40.249765,12994086.035912938,4875463.114009595
60,木林镇_110113112000,116.714409,40.250032,12994138.353723668,4875503.062569045
61,木林镇_110113112000,116.713539,40.249434,12994041.88941701,4875414.0110920565
62,木林镇_110113112000,116.713603,40.248987,12994049.050646272,4875349.225094496
63,木林镇_110113112000,116.716512,40.24766,12994371.785943922,4875163.925533001
64,木林镇_110113112000,116.716124,40.247998,12994328.733705558,4875211.985272994
65,木林镇_110113112000,116.715638,40.248246,12994274.81858993,4875246.77413117
66,木林镇_110113112000,116.715068,40.24835,12994211.574936999,4875260.414458989
67,木林镇_110113112000,116.714492,40.248441,12994147.69651568,4875272.13113809
68,木林镇_110113112000,116.713917,40.248532,12994083.90230792,4875283.950500565
69,木林镇_110113112000,116.716957,40.2474,12994421.162697347,4875127.363582545
70,木林镇_110113112000,116.71646,40.247159,12994366.067619093,4875090.984920454
71,木林镇_110113112000,116.715953,40.246933,12994309.856629316,4875056.840850722
72,木林镇_110113112000,116.716665,40.2514,12994388.443639863,4875707.646054961
73,木林镇_110113112000,116.716078,40.251379,12994323.329376932,4875703.047197757
74,木林镇_110113112000,116.716512,40.24766,12994371.785943922,4875163.925533001
75,木林镇_110113112000,116.715938,40.247565,12994308.148066057,4875148.6077369815
76,木林镇_110113112000,116.715991,40.24581,12994314.158332791,4874893.77644882
