﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,来广营地区_110105032000,116.402078,40.046196,12959368.066270057,4846026.4641417395
1,来广营地区_110105032000,116.401494,40.046161,12959302.883794298,4846022.028227106
2,来广营地区_110105032000,116.400909,40.046143,12959237.591497628,4846020.0253609335
3,来广营地区_110105032000,116.402649,40.043389,12959431.808227494,4845619.259847362
4,来广营地区_110105032000,116.402156,40.043145,12959376.76491408,4845584.472142129
5,来广营地区_110105032000,116.402061,40.048725,12959366.17187827,4846392.864682387
6,来广营地区_110105032000,116.402047,40.048275,12959364.628063925,4846327.68839407
7,来广营地区_110105032000,116.402061,40.048725,12959366.17187827,4846392.864682387
8,来广营地区_110105032000,116.401984,40.049171,12959357.573849464,4846457.553726619
9,来广营地区_110105032000,116.401912,40.049618,12959349.582702212,4846522.394188839
10,来广营地区_110105032000,116.40184,40.050065,12959341.532325493,4846587.235540579
11,来广营地区_110105032000,116.401768,40.050512,12959333.513547538,4846652.076885044
12,来广营地区_110105032000,116.401696,40.050959,12959325.496089667,4846716.918518378
13,来广营地区_110105032000,116.401762,40.051351,12959332.858572755,4846773.634912625
14,来广营地区_110105032000,116.402275,40.051568,12959390.116915645,4846804.503607666
15,来广营地区_110105032000,116.402761,40.051819,12959444.386699585,4846840.284539991
16,来广营地区_110105032000,116.403248,40.052071,12959498.755445357,4846876.192750978
17,来广营地区_110105032000,116.403499,40.052409,12959526.780276295,4846924.839911384
18,来广营地区_110105032000,116.40345,40.052856,12959521.368523771,4846989.670879302
19,来广营地区_110105032000,116.403403,40.053304,12959516.1094491,4847054.657960275
20,来广营地区_110105032000,116.403359,40.053753,12959511.215074098,4847119.7987526255
21,来广营地区_110105032000,116.403319,40.05419,12959506.775832994,4847183.166425183
22,来广营地区_110105032000,116.4039,40.054252,12959571.632136995,4847191.367089109
23,来广营地区_110105032000,116.40448,40.054313,12959636.438496059,4847199.4103099555
24,来广营地区_110105032000,116.405055,40.05436,12959700.618469331,4847205.33940216
25,来广营地区_110105032000,116.405635,40.054418,12959765.415039849,4847212.872877809
26,来广营地区_110105032000,116.406218,40.054467,12959830.554794075,4847219.066658422
27,来广营地区_110105032000,116.406802,40.054503,12959895.794955367,4847223.25648939
28,来广营地区_110105032000,116.407388,40.054521,12959961.286803668,4847224.890501724
29,来广营地区_110105032000,116.407974,40.054538,12960026.757788843,4847226.2925177375
30,来广营地区_110105032000,116.408559,40.054556,12960092.116729962,4847227.81880052
31,来广营地区_110105032000,116.409145,40.054576,12960157.636344574,4847229.544478525
32,来广营地区_110105032000,116.409527,40.054835,12960200.358640013,4847266.341899055
33,来广营地区_110105032000,116.409945,40.054972,12960247.08539765,4847285.367967495
34,来广营地区_110105032000,116.410508,40.055018,12960310.01656542,4847290.877558859
35,来广营地区_110105032000,116.411018,40.055239,12960367.043906653,4847321.8206276335
36,来广营地区_110105032000,116.411524,40.055468,12960423.652813278,4847353.928853014
37,来广营地区_110105032000,116.412029,40.055696,12960480.115787309,4847385.822532095
38,来广营地区_110105032000,116.412533,40.055926,12960536.49343545,4847418.012352313
39,来广营地区_110105032000,116.413037,40.056157,12960592.876566363,4847450.340134031
40,来广营地区_110105032000,116.413541,40.056386,12960649.264834581,4847482.334991146
41,来广营地区_110105032000,116.414047,40.056613,12960705.870591726,4847514.07192417
42,来广营地区_110105032000,116.414554,40.05684,12960762.572253076,4847545.711316486
43,来广营地区_110105032000,116.415061,40.057056,12960819.308406908,4847575.800865776
44,来广营地区_110105032000,116.415614,40.057202,12960881.178202586,4847595.583967828
45,来广营地区_110105032000,116.416142,40.05739,12960940.260462398,4847621.463898799
46,来广营地区_110105032000,116.41664,40.057628,12960995.97777083,4847654.675180275
47,来广营地区_110105032000,116.417141,40.057862,12961052.062992439,4847687.315805382
48,来广营地区_110105032000,116.417666,40.05806,12961110.79261654,4847714.6575708175
49,来广营地区_110105032000,116.418201,40.05824,12961170.679056862,4847739.327766454
50,来广营地区_110105032000,116.418743,40.058409,12961231.357970718,4847762.357063243
51,来广营地区_110105032000,116.419298,40.058551,12961293.466334917,4847781.490857697
52,来广营地区_110105032000,116.41985,40.058701,12961355.213218566,4847801.723971664
53,来广营地区_110105032000,116.420408,40.058839,12961417.66066454,4847820.242086704
54,来广营地区_110105032000,116.420951,40.059009,12961478.410384111,4847843.352415793
55,来广营地区_110105032000,116.421494,40.059179,12961539.192221014,4847866.495503262
56,来广营地区_110105032000,116.422037,40.059348,12961599.975422561,4847889.515970253
57,来广营地区_110105032000,116.42258,40.059518,12961660.699003339,4847912.6522592725
