﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,檀营地区_110118003000,116.858676,40.399219,13010171.956236381,4897249.65441402
1,檀营地区_110118003000,116.85818,40.398978,13010117.082794819,4897213.698948968
2,檀营地区_110118003000,116.85761,40.398881,13010054.03335036,4897198.582592092
3,檀营地区_110118003000,116.857021,40.398883,13009988.882877922,4897197.8126771115
4,檀营地区_110118003000,116.856431,40.398885,13009923.620310424,4897196.97043386
5,檀营地区_110118003000,116.855842,40.398888,13009858.455583772,4897196.29796866
6,檀营地区_110118003000,116.855253,40.39889,13009793.358445141,4897195.44054981
7,檀营地区_110118003000,116.857837,40.38771,13010079.8628904,4895572.282610726
8,檀营地区_110118003000,116.857271,40.387595,13010017.244863885,4895554.5151467305
9,檀营地区_110118003000,116.856682,40.387593,13009952.09930531,4895553.09579139
10,檀营地区_110118003000,116.857093,40.394805,13009997.050372032,4896604.040631395
11,檀营地区_110118003000,116.85764,40.39464,13010057.585891597,4896580.989288071
12,檀营地区_110118003000,116.858188,40.394475,13010118.218918027,4896557.951764356
13,檀营地区_110118003000,116.857864,40.389913,13010082.657449843,4895893.100406645
14,檀营地区_110118003000,116.857862,40.389463,13010082.489001213,4895827.552698878
15,檀营地区_110118003000,116.857858,40.389014,13010082.080605168,4895762.198793107
16,檀营地区_110118003000,116.857855,40.388564,13010081.793148194,4895696.65034374
17,檀营地区_110118003000,116.857852,40.388114,13010081.476206804,4895631.102050216
18,檀营地区_110118003000,116.857837,40.38771,13010079.8628904,4895572.282610726
19,檀营地区_110118003000,116.858362,40.387507,13010137.951433366,4895543.627268366
20,檀营地区_110118003000,116.858114,40.401538,13010109.686046274,4897586.451831036
21,檀营地区_110118003000,116.858426,40.401163,13010144.207607992,4897532.397709141
22,檀营地区_110118003000,116.858894,40.393014,13010196.397230674,4896346.392053139
23,檀营地区_110118003000,116.858329,40.392889,13010133.91351116,4896327.259580674
24,檀营地区_110118003000,116.858549,40.394447,13010158.168006273,4896554.508463946
25,檀营地区_110118003000,116.858676,40.399219,13010171.956236381,4897249.65441402
26,檀营地区_110118003000,116.858277,40.399551,13010127.78261977,4897297.3417172115
27,檀营地区_110118003000,116.858387,40.387497,13010140.717760826,4895542.215079782
28,檀营地区_110118003000,116.858976,40.387488,13010205.91905456,4895541.883856525
29,檀营地区_110118003000,116.858549,40.394447,13010158.168006273,4896554.508463946
30,檀营地区_110118003000,116.859133,40.394492,13010222.76614476,4896562.015911798
31,檀营地区_110118003000,116.858676,40.399219,13010171.956236381,4897249.65441402
32,檀营地区_110118003000,116.859265,40.399214,13010237.131115893,4897249.937583079
33,檀营地区_110118003000,116.859126,40.392981,13010222.103272462,4896341.972919003
34,檀营地区_110118003000,116.859126,40.392981,13010222.103272462,4896341.972919003
35,檀营地区_110118003000,116.859127,40.392758,13010222.211754005,4896309.515691913
36,檀营地区_110118003000,116.858538,40.392779,13010157.037465852,4896311.554205302
37,檀营地区_110118003000,116.858194,40.392991,13010118.966742853,4896341.882107812
38,檀营地区_110118003000,116.858232,40.39344,13010123.138485277,4896407.30920813
39,檀营地区_110118003000,116.858225,40.393865,13010122.323458029,4896469.173638289
40,檀营地区_110118003000,116.85766,40.393995,13010059.798849732,4896487.1236204365
41,檀营地区_110118003000,116.857103,40.39414,13009998.182401087,4896507.193654037
42,檀营地区_110118003000,116.85656,40.394315,13009938.103330746,4896531.688364057
43,檀营地区_110118003000,116.856288,40.394579,13009908.038004689,4896569.653241133
44,檀营地区_110118003000,116.855836,40.394771,13009858.001825118,4896596.677558667
45,檀营地区_110118003000,116.855269,40.394893,13009795.328908075,4896613.362566429
46,檀营地区_110118003000,116.855517,40.39512,13009822.708119242,4896646.922784564
47,檀营地区_110118003000,116.85599,40.39495,13009875.052606331,4896623.074823639
48,檀营地区_110118003000,116.855798,40.395209,13009853.793905666,4896660.411077935
49,檀营地区_110118003000,116.856322,40.395105,13009911.75469394,4896646.296128626
50,檀营地区_110118003000,116.856769,40.394912,13009961.194646833,4896619.004788578
51,檀营地区_110118003000,116.857091,40.395138,13009996.81557946,4896652.530203643
52,檀营地区_110118003000,116.857559,40.395136,13010048.563511383,4896653.091481491
53,檀营地区_110118003000,116.857989,40.395177,13010096.135871325,4896659.836934504
54,檀营地区_110118003000,116.8578,40.395486,13010075.195599472,4896704.479147088
55,檀营地区_110118003000,116.857263,40.395672,13010015.799057512,4896730.600897991
56,檀营地区_110118003000,116.856723,40.395851,13009956.049387334,4896755.702931511
57,檀营地区_110118003000,116.856187,40.396039,13009896.756582314,4896782.052366904
58,檀营地区_110118003000,116.855653,40.396228,13009837.710531378,4896808.501269783
59,檀营地区_110118003000,116.855119,40.396418,13009778.640530957,4896835.163854019
60,檀营地区_110118003000,116.854584,40.396608,13009719.486426435,4896861.72384339
61,檀营地区_110118003000,116.854062,40.396816,13009661.778414773,4896890.93897189
62,檀营地区_110118003000,116.853544,40.39703,13009604.49568472,4896921.052367964
63,檀营地区_110118003000,116.853033,40.397225,13009547.999849832,4896948.360795229
64,檀营地区_110118003000,116.85253,40.397459,13009492.43696275,4896981.320460906
65,檀营地区_110118003000,116.852032,40.397699,13009437.388369132,4897015.224178461
66,檀营地区_110118003000,116.851539,40.397945,13009382.913861234,4897049.956049815
67,檀营地区_110118003000,116.851176,40.398291,13009342.786517207,4897099.531415029
68,檀营地区_110118003000,116.850905,40.39869,13009312.834817482,4897157.031881536
69,檀营地区_110118003000,116.850722,40.399117,13009292.579098778,4897218.81727874
70,檀营地区_110118003000,116.850616,40.399559,13009280.84889925,4897282.9678372005
71,檀营地区_110118003000,116.850989,40.399828,13009322.05019595,4897322.961281859
72,檀营地区_110118003000,116.851558,40.399944,13009384.906059237,4897341.155666306
73,檀营地区_110118003000,116.85213,40.400043,13009448.127735322,4897356.81285519
74,檀营地区_110118003000,116.852717,40.400078,13009512.978956368,4897363.204799046
75,檀营地区_110118003000,116.853304,40.400091,13009577.836880326,4897366.33687227
76,檀营地区_110118003000,116.853872,40.400195,13009640.624181213,4897382.67357722
77,檀营地区_110118003000,116.854408,40.400382,13009699.869454555,4897411.040273024
78,檀营地区_110118003000,116.854926,40.400595,13009757.13679188,4897443.098283251
79,檀营地区_110118003000,116.855373,40.400887,13009806.565902272,4897486.51287661
80,檀营地区_110118003000,116.855768,40.40122,13009850.22984641,4897535.802335252
81,檀营地区_110118003000,116.855986,40.401637,13009874.306099119,4897596.942845873
82,檀营地区_110118003000,116.856414,40.40194,13009921.64325739,4897641.899896375
83,檀营地区_110118003000,116.856883,40.402206,13009973.49358906,4897681.555051924
84,檀营地区_110118003000,116.857449,40.402323,13010036.083208822,4897699.62516567
85,檀营地区_110118003000,116.858035,40.402278,13010100.940698,4897694.126030607
86,檀营地区_110118003000,116.858619,40.402221,13010165.566689754,4897686.81311149
87,檀营地区_110118003000,116.859201,40.402154,13010229.961287944,4897678.041202667
88,檀营地区_110118003000,116.859755,40.402264,13010291.261134138,4897694.9774076175
89,檀营地区_110118003000,116.860331,40.402336,13010355.036675857,4897706.3519106135
90,檀营地区_110118003000,116.860918,40.402375,13010420.025757868,4897712.930461767
91,檀营地区_110118003000,116.861496,40.402453,13010484.000520533,4897725.105087758
92,檀营地区_110118003000,116.862079,40.402516,13010548.617426805,4897735.079229999
93,檀营地区_110118003000,116.862653,40.402616,13010612.190053592,4897750.411991426
94,檀营地区_110118003000,116.863053,40.402935,13010656.474638993,4897797.371957424
95,檀营地区_110118003000,116.863486,40.403235,13010704.437225021,4897841.5949816145
96,檀营地区_110118003000,116.863933,40.40352,13010753.971915446,4897883.682084872
97,檀营地区_110118003000,116.864209,40.403916,13010784.574518437,4897941.639869667
98,檀营地区_110118003000,116.864353,40.40435,13010800.518017838,4898005.028544114
99,檀营地区_110118003000,116.864402,40.404799,13010805.955941066,4898070.506391468
100,檀营地区_110118003000,116.86432,40.405242,13010796.854348488,4898134.9469653405
101,檀营地区_110118003000,116.864154,40.405668,13010778.452381033,4898196.788979837
102,檀营地区_110118003000,116.863685,40.405932,13010726.492941815,4898234.713974054
103,檀营地区_110118003000,116.863315,40.406261,13010685.494673004,4898282.194935843
104,檀营地区_110118003000,116.86323,40.406704,13010676.068563282,4898346.623602924
105,檀营地区_110118003000,116.863232,40.407154,13010676.274123965,4898412.203867367
106,檀营地区_110118003000,116.86356,40.407175,13010712.630769214,4898415.628239773
107,檀营地区_110118003000,116.864067,40.406945,13010768.800394474,4898382.73682866
108,檀营地区_110118003000,116.864578,40.406721,13010825.46019141,4898350.689127251
109,檀营地区_110118003000,116.865098,40.40651,13010883.122279953,4898320.4769689
110,檀营地区_110118003000,116.865636,40.406327,13010942.750695856,4898294.320161037
111,檀营地区_110118003000,116.866179,40.406152,13011002.991272647,4898269.317819046
112,檀营地区_110118003000,116.866708,40.405953,13011061.64572276,4898240.7872315915
113,檀营地区_110118003000,116.867233,40.405749,13011119.888235245,4898211.466516784
114,檀营地区_110118003000,116.867704,40.40549,13011172.174680334,4898174.084072464
115,檀营地区_110118003000,116.86809,40.40515,13011214.976975257,4898124.752849142
116,檀营地区_110118003000,116.868461,40.404801,13011256.187778521,4898074.16685859
117,檀营地区_110118003000,116.868765,40.404417,13011289.928801777,4898018.379453274
118,檀营地区_110118003000,116.869123,40.404059,13011329.703014709,4897966.448739727
119,檀营地区_110118003000,116.869426,40.403674,13011363.332232181,4897910.476865694
120,檀营地区_110118003000,116.869733,40.40329,13011397.41784161,4897854.732658257
121,檀营地区_110118003000,116.870055,40.402913,13011433.196300732,4897799.932644986
122,檀营地区_110118003000,116.870391,40.402543,13011470.517279597,4897746.153048871
123,檀营地区_110118003000,116.870802,40.402227,13011516.196870273,4897700.213195111
124,檀营地区_110118003000,116.87127,40.401953,13011568.187041728,4897660.434068228
125,檀营地区_110118003000,116.871855,40.401936,13011633.211183839,4897658.065749098
126,檀营地区_110118003000,116.872438,40.401985,13011698.003839618,4897665.247488544
127,檀营地区_110118003000,116.872945,40.401888,13011754.36225488,4897651.121038604
128,檀营地区_110118003000,116.872954,40.401438,13011755.376833493,4897585.595441866
129,檀营地区_110118003000,116.872963,40.400988,13011756.392496219,4897520.07076417
130,檀营地区_110118003000,116.872422,40.400895,13011696.238797432,4897506.503205268
131,檀营地区_110118003000,116.871839,40.400829,13011631.44754413,4897496.832090275
132,檀营地区_110118003000,116.871256,40.400763,13011566.668779619,4897487.113821322
133,檀营地区_110118003000,116.870673,40.400697,13011501.872290356,4897477.348458809
134,檀营地区_110118003000,116.870174,40.400581,13011446.470018698,4897460.27483427
135,檀营地区_110118003000,116.870231,40.400133,13011452.824996127,4897395.057166326
136,檀营地区_110118003000,116.870289,40.399685,13011459.271627046,4897329.800885068
137,檀营地区_110118003000,116.870347,40.399236,13011465.74961273,4897264.426701425
138,檀营地区_110118003000,116.870396,40.39879,13011471.203057917,4897199.522265832
139,檀营地区_110118003000,116.870097,40.398525,13011437.981376905,4897160.81987787
140,檀营地区_110118003000,116.870087,40.398074,13011436.891772268,4897095.096864689
141,檀营地区_110118003000,116.87043,40.397864,13011475.027098332,4897064.628514445
142,檀营地区_110118003000,116.870596,40.397475,13011493.4804766,4897008.036569778
143,檀营地区_110118003000,116.870672,40.39703,13011501.954579454,4896943.265013957
144,檀营地区_110118003000,116.870702,40.396598,13011505.270746456,4896880.367946315
145,檀营地区_110118003000,116.871031,40.396447,13011541.842497073,4896858.475257665
146,檀营地区_110118003000,116.871613,40.396504,13011606.525151918,4896866.867489838
147,檀营地区_110118003000,116.872118,40.396448,13011662.626694111,4896858.764299396
148,檀营地区_110118003000,116.872152,40.395998,13011666.459852202,4896793.296659084
149,檀营地区_110118003000,116.872203,40.39555,13011672.165003365,4896728.031412336
150,檀营地区_110118003000,116.872533,40.39528,13011708.824504057,4896688.734802284
151,檀营地区_110118003000,116.873121,40.395312,13011774.20490009,4896693.412399621
152,檀营地区_110118003000,116.873705,40.395356,13011839.174489299,4896699.73965837
153,檀营地区_110118003000,116.874076,40.395161,13011880.406924367,4896671.312639934
154,檀营地区_110118003000,116.873593,40.39491,13011826.736823494,4896634.812437866
155,檀营地区_110118003000,116.873064,40.39472,13011767.908792863,4896607.159142268
156,檀营地区_110118003000,116.872576,40.394485,13011713.68246792,4896572.959525784
157,檀营地区_110118003000,116.872056,40.394276,13011655.902096072,4896542.509283977
158,檀营地区_110118003000,116.871592,40.394,13011604.322598169,4896502.207857748
159,檀营地区_110118003000,116.871119,40.393733,13011551.81532215,4896463.2555859545
160,檀营地区_110118003000,116.870666,40.39345,13011501.489596779,4896421.952033878
161,檀营地区_110118003000,116.87039,40.393094,13011470.842492865,4896369.970881389
162,檀营地区_110118003000,116.870867,40.392849,13011523.860782137,4896334.45839915
163,檀营地区_110118003000,116.871424,40.392741,13011585.746677445,4896318.845559821
164,檀营地区_110118003000,116.871989,40.392712,13011648.542716034,4896314.722444517
165,檀营地区_110118003000,116.872406,40.392494,13011694.916796222,4896283.000851428
166,檀营地区_110118003000,116.872442,40.392045,13011698.938750453,4896217.618382399
167,檀营地区_110118003000,116.872485,40.391595,13011703.746307429,4896152.119551308
168,檀营地区_110118003000,116.872534,40.391147,13011709.218511133,4896086.898860897
169,檀营地区_110118003000,116.872534,40.390696,13011709.258812046,4896021.194893744
170,檀营地区_110118003000,116.87285,40.390415,13011744.4190902,4895980.306700696
171,檀营地区_110118003000,116.873437,40.390449,13011809.684822204,4895985.234026851
172,檀营地区_110118003000,116.873657,40.390146,13011834.168949768,4895941.103957139
173,檀营地区_110118003000,116.873463,40.389797,13011812.643239107,4895890.275197368
174,檀营地区_110118003000,116.872875,40.389823,13011747.250667823,4895894.115460303
175,檀营地区_110118003000,116.872754,40.389494,13011733.818541327,4895846.20085818
176,檀营地区_110118003000,116.872655,40.389069,13011722.84131939,4895784.311516196
177,檀营地区_110118003000,116.872163,40.388822,13011668.175596172,4895748.311289074
178,檀营地区_110118003000,116.871642,40.388612,13011610.28671136,4895717.677319243
179,檀营地区_110118003000,116.871148,40.388379,13011555.396866959,4895683.660546091
180,檀营地区_110118003000,116.870973,40.387955,13011535.979736365,4895621.877001994
181,檀营地区_110118003000,116.87089,40.387509,13011526.792709686,4895556.932241456
182,檀营地区_110118003000,116.87083,40.387062,13011520.170647,4895491.839491261
183,檀营地区_110118003000,116.870716,40.386621,13011507.57588694,4895427.591103945
184,檀营地区_110118003000,116.870691,40.386172,13011504.846572299,4895362.198575811
185,檀营地区_110118003000,116.870761,40.385732,13011512.644300614,4895298.19231033
186,檀营地区_110118003000,116.871289,40.385612,13011571.303300485,4895280.842312887
187,檀营地区_110118003000,116.871873,40.385669,13011636.200576752,4895289.251618182
188,檀营地区_110118003000,116.872443,40.385773,13011699.536073053,4895304.401211654
189,檀营地区_110118003000,116.872992,40.385918,13011760.584996335,4895325.543305332
190,檀营地区_110118003000,116.873293,40.385625,13011794.064786905,4895282.900855936
191,檀营地区_110118003000,116.873344,40.385176,13011799.787466943,4895217.486608298
192,檀营地区_110118003000,116.87305,40.384932,13011767.117658433,4895182.00016868
193,檀营地区_110118003000,116.873155,40.384488,13011778.817311157,4895117.345296744
194,檀营地区_110118003000,116.87326,40.384045,13011790.547773961,4895052.847416293
195,檀营地区_110118003000,116.872692,40.383952,13011727.40562213,4895039.303249947
196,檀营地区_110118003000,116.872118,40.383849,13011663.582320672,4895024.251774811
197,檀营地区_110118003000,116.871534,40.383798,13011598.679319436,4895016.770613509
198,檀营地区_110118003000,116.870945,40.383786,13011533.271815855,4895014.885772445
199,檀营地区_110118003000,116.870356,40.383789,13011467.845151976,4895015.163849461
200,檀营地区_110118003000,116.859127,40.392758,13010222.211754005,4896309.515691913
201,檀营地区_110118003000,116.859122,40.392307,13010221.708204761,4896243.8393521365
202,檀营地区_110118003000,116.859148,40.391916,13010224.597423332,4896186.947808307
203,檀营地区_110118003000,116.859493,40.392269,13010262.749484187,4896238.920238877
204,檀营地区_110118003000,116.859453,40.392718,13010258.292351719,4896304.198022571
205,檀营地区_110118003000,116.859126,40.392981,13010222.103272462,4896341.972919003
206,檀营地区_110118003000,116.86135,40.384203,13010469.017243726,4895067.293432035
207,檀营地区_110118003000,116.861041,40.38394,13010434.815543072,4895028.604532977
208,檀营地区_110118003000,116.860452,40.383945,13010369.611803526,4895028.428914605
209,檀营地区_110118003000,116.860269,40.383629,13010349.376793088,4894982.155315069
210,檀营地区_110118003000,116.859945,40.383395,13010313.527852982,4894947.589159745
211,檀营地区_110118003000,116.859726,40.383682,13010289.261946801,4894989.042357742
212,檀营地区_110118003000,116.859696,40.384132,13010285.906560091,4895054.484191429
213,檀营地区_110118003000,116.859666,40.384582,13010282.521421064,4895119.965503356
214,檀营地区_110118003000,116.859637,40.385032,13010279.287015572,4895185.410313917
215,檀营地区_110118003000,116.859419,40.385331,13010255.142724808,4895228.597129011
216,檀营地区_110118003000,116.85883,40.385334,13010189.93521572,4895228.085373074
217,檀营地区_110118003000,116.858753,40.385752,13010181.414702792,4895288.778848599
218,檀营地区_110118003000,116.858711,40.386202,13010176.709033124,4895354.236643596
219,檀营地区_110118003000,116.858523,40.386518,13010155.875511743,4895399.910191025
220,檀营地区_110118003000,116.858151,40.386683,13010114.679656347,4895423.307517549
221,檀营地区_110118003000,116.85815,40.387133,13010114.544124402,4895488.845557092
222,檀营地区_110118003000,116.858043,40.387501,13010102.665320316,4895542.211549807
223,檀营地区_110118003000,116.857454,40.387508,13010037.508039063,4895542.175471957
224,檀营地区_110118003000,116.856865,40.387514,13009972.359156486,4895541.950102895
225,檀营地区_110118003000,116.856276,40.38752,13009907.218234211,4895541.734003693
226,檀营地区_110118003000,116.855687,40.387523,13009842.085310725,4895541.0150836855
227,檀营地区_110118003000,116.855098,40.387526,13009776.959717521,4895540.307818067
228,檀营地区_110118003000,116.854508,40.38753,13009711.72093735,4895539.689933228
229,檀营地区_110118003000,116.854354,40.387863,13009694.688739542,4895587.863351198
230,檀营地区_110118003000,116.854354,40.388314,13009694.644670626,4895653.523160184
231,檀营地区_110118003000,116.854371,40.388764,13009696.493388232,4895719.064822836
232,檀营地区_110118003000,116.854418,40.389202,13009701.647525098,4895782.977532785
233,檀营地区_110118003000,116.854785,40.389389,13009742.207195122,4895810.934861907
234,檀营地区_110118003000,116.854828,40.389838,13009746.911007341,4895876.377838333
235,檀营地区_110118003000,116.854871,40.390287,13009751.645525007,4895941.822012977
236,檀营地区_110118003000,116.854886,40.390737,13009753.256811695,4896007.400797054
237,檀营地区_110118003000,116.855213,40.390929,13009789.404694952,4896036.007896609
238,檀营地区_110118003000,116.855512,40.391287,13009822.446119266,4896088.750191101
239,檀营地区_110118003000,116.855633,40.391728,13009835.77566932,4896153.219603853
240,檀营地区_110118003000,116.855753,40.392169,13009849.01612665,4896217.647330905
241,檀营地区_110118003000,116.856273,40.392149,13009906.519901045,4896215.767741276
242,檀营地区_110118003000,116.856851,40.392063,13009970.46552455,4896204.312692151
243,檀营地区_110118003000,116.857427,40.391968,13010034.149166247,4896191.520552638
244,檀营地区_110118003000,116.858,40.391864,13010097.57102048,4896177.390631767
245,檀营地区_110118003000,116.858573,40.391759,13010160.971041486,4896163.111072279
246,檀营地区_110118003000,116.859085,40.391859,13010217.627661847,4896178.537499626
247,檀营地区_110118003000,116.859458,40.389944,13010259.04664854,4895900.304825125
248,檀营地区_110118003000,116.859268,40.390367,13010237.99249282,4895961.549766242
249,檀营地区_110118003000,116.859226,40.390816,13010233.292001652,4896026.89833303
250,檀营地区_110118003000,116.859195,40.391265,13010229.854938231,4896092.229289629
251,檀营地区_110118003000,116.859164,40.391714,13010226.388541184,4896157.560401302
252,檀营地区_110118003000,116.859562,40.394122,13010270.26668421,4896508.867992664
253,檀营地区_110118003000,116.859361,40.399213,13010247.774026759,4897249.91850288
254,檀营地区_110118003000,116.859744,40.399555,13010290.149457479,4897300.383475705
255,檀营地区_110118003000,116.859361,40.399213,13010247.774026759,4897249.91850288
256,檀营地区_110118003000,116.859851,40.398965,13010301.997650513,4897214.59598812
257,檀营地区_110118003000,116.860422,40.398871,13010365.211205415,4897201.823521815
258,檀营地区_110118003000,116.859439,40.393098,13010256.69780227,4896359.533592777
259,檀营地区_110118003000,116.859473,40.393547,13010260.450028786,4896424.949270991
260,檀营地区_110118003000,116.859554,40.393993,13010269.37469643,4896490.016908526
261,檀营地区_110118003000,116.859439,40.393098,13010256.69780227,4896359.533592777
262,檀营地区_110118003000,116.85946,40.387509,13010259.490813242,4895545.787012938
263,檀营地区_110118003000,116.859466,40.387959,13010260.107832683,4895611.2994090775
264,檀营地区_110118003000,116.859435,40.388408,13010256.636552619,4895676.626028635
265,檀营地区_110118003000,116.859405,40.388858,13010253.286014132,4895742.113181787
266,檀营地区_110118003000,116.859374,40.389308,13010249.815850778,4895807.559457229
267,檀营地区_110118003000,116.859387,40.389757,13010251.216913091,4895872.969299648
268,檀营地区_110118003000,116.85957,40.38744,13010271.64438083,4895535.880899206
269,檀营地区_110118003000,116.862822,40.390022,13010631.561371358,4895916.555037181
270,檀营地区_110118003000,116.862235,40.38999,13010566.540890627,4895911.129268121
271,檀营地区_110118003000,116.861646,40.389989,13010501.287275732,4895910.161997569
272,檀营地区_110118003000,116.861057,40.389989,13010436.073858263,4895909.31445436
273,檀营地区_110118003000,116.860469,40.389988,13010370.960728643,4895908.272673805
274,檀营地区_110118003000,116.85988,40.389983,13010305.76740872,4895906.6794678755
275,檀营地区_110118003000,116.85957,40.38744,13010271.64438083,4895535.880899206
276,檀营地区_110118003000,116.859552,40.38699,13010269.705015792,4895470.347463851
277,檀营地区_110118003000,116.859853,40.385268,13010303.196269795,4895220.110244526
278,檀营地区_110118003000,116.859678,40.385696,13010283.758027133,4895282.133000917
279,檀营地区_110118003000,116.859649,40.386146,13010280.524551954,4895347.6188555425
280,檀营地区_110118003000,116.859614,40.386595,13010276.600110326,4895412.93593998
281,檀营地区_110118003000,116.863066,40.387572,13010658.78955467,4895560.138033097
282,檀营地区_110118003000,116.862492,40.38748,13010595.215166723,4895545.983761533
283,檀营地区_110118003000,116.861903,40.387473,13010529.957579024,4895544.204524604
284,檀营地区_110118003000,116.861314,40.387469,13010464.710043423,4895542.7810579715
285,檀营地区_110118003000,116.860725,40.387465,13010399.502666548,4895541.319904932
286,檀营地区_110118003000,116.860137,40.38746,13010334.42548,4895539.70505043
287,檀营地区_110118003000,116.859853,40.385268,13010303.196269795,4895220.110244526
288,檀营地区_110118003000,116.859725,40.384833,13010289.049680438,4895156.591934032
289,檀营地区_110118003000,116.859853,40.385268,13010303.196269795,4895220.110244526
290,檀营地区_110118003000,116.860442,40.385273,13010368.389073404,4895221.783965886
291,檀营地区_110118003000,116.860062,40.393037,13010325.678202292,4896351.6191806225
292,檀营地区_110118003000,116.860814,40.399792,13010408.589674389,4897336.543999031
293,檀营地区_110118003000,116.860231,40.399846,13010344.049191117,4897343.51355143
294,檀营地区_110118003000,116.860062,40.393037,13010325.678202292,4896351.6191806225
295,檀营地区_110118003000,116.860648,40.393001,13010390.547018649,4896347.2729186155
296,檀营地区_110118003000,116.861237,40.392997,13010455.783850295,4896347.5943989195
297,檀营地区_110118003000,116.861826,40.392992,13010521.000762647,4896347.679974785
298,檀营地区_110118003000,116.860665,40.39887,13010392.127199475,4897202.046138815
299,檀营地区_110118003000,116.860783,40.39887,13010405.17978026,4897202.208080586
300,檀营地区_110118003000,116.860814,40.399792,13010408.589674389,4897336.543999031
301,檀营地区_110118003000,116.860901,40.398869,13010418.262892358,4897202.211009676
302,檀营地区_110118003000,116.860924,40.399776,13010420.771340886,4897334.360530205
303,檀营地区_110118003000,116.861887,40.399879,13010527.401144726,4897350.705675693
304,檀营地区_110118003000,116.861303,40.39982,13010462.728042398,4897341.311317729
305,檀营地区_110118003000,116.861017,40.385232,13010432.062473003,4895216.646617143
306,檀营地区_110118003000,116.861137,40.398868,13010444.400161838,4897202.409354146
307,檀营地区_110118003000,116.861137,40.398868,13010444.400161838,4897202.409354146
308,檀营地区_110118003000,116.861723,40.398892,13010509.282642297,4897206.761946352
309,檀营地区_110118003000,116.861352,40.384266,13010469.251177186,4895076.49572079
310,檀营地区_110118003000,116.86127,40.384709,13010460.090201339,4895140.870181007
311,檀营地区_110118003000,116.861187,40.385153,13010450.869494084,4895205.401498205
312,檀营地区_110118003000,116.861374,40.384221,13010471.69243874,4895069.978185006
313,檀营地区_110118003000,116.861352,40.384266,13010469.251177186,4895076.49572079
314,檀营地区_110118003000,116.861815,40.384137,13010520.494258916,4895058.3714489695
315,檀营地区_110118003000,116.861629,40.384401,13010499.88952769,4895096.52737597
316,檀营地区_110118003000,116.861352,40.384266,13010469.251177186,4895076.49572079
317,檀营地区_110118003000,116.861815,40.384137,13010520.494258916,4895058.3714489695
318,檀营地区_110118003000,116.867726,40.383882,13011175.846209552,4895027.377063951
319,檀营地区_110118003000,116.867337,40.383637,13011132.69023224,4894991.461161331
320,檀营地区_110118003000,116.867283,40.38401,13011126.684267918,4895045.695812292
