﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,永乐店镇_110112117000,116.720435,39.633843,12994799.018819867,4786389.848803813
1,永乐店镇_110112117000,116.719855,39.633828,12994734.730447087,4786386.119751374
2,永乐店镇_110112117000,116.720435,39.633843,12994799.018819867,4786389.848803813
3,永乐店镇_110112117000,116.720596,39.634272,12994816.86358022,4786452.089697466
4,永乐店镇_110112117000,116.720592,39.634723,12994816.398823768,4786516.986092925
5,永乐店镇_110112117000,116.720586,39.635173,12994815.722879551,4786581.799382694
6,永乐店镇_110112117000,116.72058,39.635623,12994815.075850744,4786646.574263403
7,永乐店镇_110112117000,116.720574,39.636073,12994814.367699686,4786711.3476782255
8,永乐店镇_110112117000,116.720568,39.636523,12994813.688462447,4786776.160799306
9,永乐店镇_110112117000,116.720562,39.636973,12994813.008159783,4786840.934819671
10,永乐店镇_110112117000,116.720786,39.625898,12994837.872794246,4785246.750529126
11,永乐店镇_110112117000,116.720648,39.626331,12994822.573208237,4785308.721608092
12,永乐店镇_110112117000,116.720646,39.626782,12994822.369024111,4785373.703224346
13,永乐店镇_110112117000,116.720643,39.627232,12994822.043606345,4785438.48666182
14,永乐店镇_110112117000,116.72064,39.627682,12994821.717020256,4785503.230957911
15,永乐店镇_110112117000,116.720638,39.628132,12994821.509319527,4785568.056095028
16,永乐店镇_110112117000,116.720635,39.628583,12994821.180398477,4785632.995485538
17,永乐店镇_110112117000,116.720632,39.629033,12994820.850302637,4785697.778570243
18,永乐店镇_110112117000,116.72063,39.629483,12994820.6390856,4785762.6034404
19,永乐店镇_110112117000,116.720627,39.629933,12994820.30664879,4785827.3863474745
20,永乐店镇_110112117000,116.720624,39.630384,12994820.003048712,4785892.287033419
21,永乐店镇_110112117000,116.720622,39.630834,12994819.758309297,4785957.110934013
22,永乐店镇_110112117000,116.720619,39.631284,12994819.422370609,4786021.893579387
23,永乐店镇_110112117000,116.720616,39.631734,12994819.085271176,4786086.67614005
24,永乐店镇_110112117000,116.720613,39.632185,12994818.746999156,4786151.5757789705
25,永乐店镇_110112117000,116.720611,39.632635,12994818.527632874,4786216.400049025
26,永乐店镇_110112117000,116.720608,39.633085,12994818.217086913,4786281.183071515
