﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,汤河口镇_110116107000,116.517571,40.860183,12972203.089261277,4964677.574718904
1,汤河口镇_110116107000,116.516979,40.860171,12972137.367289735,4964676.339013199
2,汤河口镇_110116107000,116.516387,40.860145,12972071.659713907,4964672.987342541
3,汤河口镇_110116107000,116.517571,40.860183,12972203.089261277,4964677.574718904
4,汤河口镇_110116107000,116.518428,40.859651,12972298.30899732,4964598.677540685
5,汤河口镇_110116107000,116.518026,40.859883,12972253.67805956,4964633.113167613
6,汤河口镇_110116107000,116.519788,40.859129,12972449.493375856,4964520.56533224
7,汤河口镇_110116107000,116.520186,40.858796,12972493.767451594,4964471.20654144
8,汤河口镇_110116107000,116.520518,40.858424,12972530.697385494,4964416.2009784365
9,汤河口镇_110116107000,116.520787,40.858025,12972560.64269993,4964357.303985257
10,汤河口镇_110116107000,116.520923,40.857735,12972575.777602261,4964314.590075776
11,汤河口镇_110116107000,116.520917,40.85743,12972575.145389939,4964269.823675242
12,汤河口镇_110116107000,116.521181,40.857027,12972604.549906954,4964210.361713093
13,汤河口镇_110116107000,116.523679,40.852479,12972882.838527095,4963539.318453908
14,汤河口镇_110116107000,116.523419,40.852075,12972853.922551202,4963480.491161985
15,汤河口镇_110116107000,116.523398,40.85204,12972851.59388607,4963475.388804699
16,汤河口镇_110116107000,116.523433,40.851591,12972855.517534714,4963409.502943053
17,汤河口镇_110116107000,116.523454,40.851406,12972857.868950374,4963382.320634555
18,汤河口镇_110116107000,116.524012,40.851257,12972919.984234624,4963359.483744075
19,汤河口镇_110116107000,116.524584,40.85114,12972983.651467022,4963341.321061888
20,汤河口镇_110116107000,116.525152,40.851009,12973046.90618277,4963321.018034066
21,汤河口镇_110116107000,116.525698,40.850837,12973107.719912237,4963294.747652892
22,汤河口镇_110116107000,116.526266,40.850744,12973170.95974553,4963279.978244659
23,汤河口镇_110116107000,116.526858,40.850729,12973236.899589686,4963276.583010544
24,汤河口镇_110116107000,116.525836,40.836216,12973123.960220732,4961149.8419432305
25,汤河口镇_110116107000,116.525455,40.835872,12973081.572677577,4961100.13317517
26,汤河口镇_110116107000,116.525037,40.835555,12973035.036235465,4961054.398382992
27,汤河口镇_110116107000,116.525836,40.836216,12973123.960220732,4961149.8419432305
28,汤河口镇_110116107000,116.52635,40.83644,12973181.2108329,4961181.707338101
29,汤河口镇_110116107000,116.525773,40.874133,12973114.026054624,4966712.446932029
30,汤河口镇_110116107000,116.525782,40.874582,12973114.992818693,4966778.382749264
31,汤河口镇_110116107000,116.525949,40.875014,12973133.572381975,4966841.407311549
32,汤河口镇_110116107000,116.526121,40.875444,12973152.699349998,4966904.183048483
33,汤河口镇_110116107000,116.525773,40.874133,12973114.026054624,4966712.446932029
34,汤河口镇_110116107000,116.526297,40.873922,12973172.393207604,4966680.473941944
35,汤河口镇_110116107000,116.527352,40.878898,12973289.644701472,4967408.580053273
36,汤河口镇_110116107000,116.527135,40.878479,12973265.500875005,4967347.528663203
37,汤河口镇_110116107000,116.526867,40.878081,12973235.658049373,4967289.701448016
38,汤河口镇_110116107000,116.52651,40.877723,12973195.902237374,4967237.90048758
39,汤河口镇_110116107000,116.525984,40.877516,12973137.347899526,4967208.550794624
40,汤河口镇_110116107000,116.526979,40.836887,12973251.2533889,4961245.99152321
41,汤河口镇_110116107000,116.526568,40.836563,12973205.488070032,4961199.283346619
42,汤河口镇_110116107000,116.527623,40.876701,12973319.945759775,4967085.566662062
43,汤河口镇_110116107000,116.527383,40.87629,12973293.226738505,4967025.7590316925
44,汤河口镇_110116107000,116.527064,40.875937,12973257.713165788,4966974.632433239
45,汤河口镇_110116107000,116.52652,40.875756,12973197.119031735,4966949.165081772
46,汤河口镇_110116107000,116.526332,40.873907,12973176.304937804,4966678.189878232
47,汤河口镇_110116107000,116.526366,40.873459,12973180.098607399,4966612.385745861
48,汤河口镇_110116107000,116.527149,40.872192,12973267.42607927,4966424.858891522
49,汤河口镇_110116107000,116.526871,40.872589,12973236.406193959,4966483.717476015
50,汤河口镇_110116107000,116.526598,40.872989,12973205.964966416,4966542.957526707
51,汤河口镇_110116107000,116.527021,40.837334,12973255.931443874,4961311.480423062
52,汤河口镇_110116107000,116.527323,40.837726,12973289.537939303,4961368.335910608
53,汤河口镇_110116107000,116.527149,40.872192,12973267.42607927,4966424.858891522
54,汤河口镇_110116107000,116.527609,40.871916,12973318.664685922,4966383.37561427
55,汤河口镇_110116107000,116.527582,40.87057,12973315.748913633,4966185.9092734195
56,汤河口镇_110116107000,116.527584,40.87023,12973315.991674483,4966135.991604874
57,汤河口镇_110116107000,116.527582,40.87057,12973315.748913633,4966185.9092734195
58,汤河口镇_110116107000,116.528014,40.870878,12973363.849281365,4966230.1665168
59,汤河口镇_110116107000,116.527584,40.87023,12973315.991674483,4966135.991604874
60,汤河口镇_110116107000,116.527643,40.869785,12973322.612605937,4966070.582494985
61,汤河口镇_110116107000,116.527584,40.87023,12973315.991674483,4966135.991604874
62,汤河口镇_110116107000,116.52765,40.870228,12973323.330429941,4966135.597726295
63,汤河口镇_110116107000,116.528157,40.870461,12973379.80865417,4966168.659134559
64,汤河口镇_110116107000,116.528105,40.869246,12973374.126949962,4965990.49576801
65,汤河口镇_110116107000,116.527896,40.871792,12973350.63857752,4966364.572585081
66,汤河口镇_110116107000,116.528184,40.871399,12973382.759177497,4966306.263933293
67,汤河口镇_110116107000,116.52852,40.868553,12973420.445653824,4965887.884968012
68,汤河口镇_110116107000,116.528283,40.868965,12973393.988550652,4965948.890648607
69,汤河口镇_110116107000,116.528361,40.849584,12973404.436344387,4963105.413923883
70,汤河口镇_110116107000,116.528921,40.849437,12973466.874778291,4963082.585612185
71,汤河口镇_110116107000,116.528522,40.867963,12973420.684444962,4965801.302135808
72,汤河口镇_110116107000,116.52854,40.868412,12973422.643029615,4965867.128357438
73,汤河口镇_110116107000,116.528522,40.867963,12973420.684444962,4965801.302135808
74,汤河口镇_110116107000,116.529078,40.867806,12973482.6712011,4965777.034275315
75,汤河口镇_110116107000,116.529526,40.867544,12973532.63179766,4965737.55607041
76,汤河口镇_110116107000,116.529832,40.867158,12973566.771808015,4965680.2055653725
77,汤河口镇_110116107000,116.530138,40.866773,12973600.914458938,4965622.966062812
78,汤河口镇_110116107000,116.530554,40.866456,12973647.34271668,4965575.475859044
79,汤河口镇_110116107000,116.530261,40.857928,12973615.455835793,4964325.02071615
80,汤河口镇_110116107000,116.530514,40.858328,12973643.601762272,4964383.118229481
81,汤河口镇_110116107000,116.530822,40.858713,12973677.941735994,4964438.829323035
82,汤河口镇_110116107000,116.531131,40.859097,12973712.344756639,4964494.411871966
83,汤河口镇_110116107000,116.53144,40.859482,12973746.78027821,4964550.10515991
84,汤河口镇_110116107000,116.531568,40.839095,12973762.6708058,4961559.276331049
85,汤河口镇_110116107000,116.531006,40.838957,12973699.97529752,4961540.4617757145
86,汤河口镇_110116107000,116.530818,40.866277,12973676.766584821,4965548.5679319035
87,汤河口镇_110116107000,116.531027,40.865859,12973700.11641356,4965486.732317269
88,汤河口镇_110116107000,116.531117,40.865417,12973710.176988635,4965421.643780068
89,汤河口镇_110116107000,116.530969,40.855665,12973694.634288099,4963991.324407272
90,汤河口镇_110116107000,116.531012,40.856111,12973699.350259138,4964056.642562727
91,汤河口镇_110116107000,116.531071,40.856559,12973705.917168975,4964122.244394374
92,汤河口镇_110116107000,116.531767,40.854524,12973783.685902137,4963821.969161035
