﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,河北镇_110111107000,115.90381,39.789888,12903864.372358488,4808909.966165533
1,河北镇_110111107000,115.904226,39.790204,12903910.490754694,4808956.107898119
2,河北镇_110111107000,115.904503,39.791415,12903941.119715123,4809131.204383279
3,河北镇_110111107000,115.904094,39.791155,12903895.774130266,4809093.146351392
4,河北镇_110111107000,115.904232,39.790718,12903911.106168631,4809030.277682416
5,河北镇_110111107000,115.906575,39.7906,12904171.159475831,4809015.990816261
6,河北镇_110111107000,115.906133,39.790894,12904122.061835527,4809057.957383964
7,河北镇_110111107000,115.905609,39.79108,12904063.885238554,4809084.23151691
8,河北镇_110111107000,115.905081,39.791264,12904005.266326824,4809110.114599406
9,河北镇_110111107000,115.904534,39.791411,12903944.58239391,4809130.656662068
10,河北镇_110111107000,115.904962,39.793274,12903991.906839974,4809400.019740989
11,河北镇_110111107000,115.905253,39.793664,12904024.186012605,4809456.608132882
12,河北镇_110111107000,115.905129,39.794879,12904010.360866914,4809631.768357193
13,河北镇_110111107000,115.905431,39.794496,12904043.876245495,4809576.8940939065
14,河北镇_110111107000,115.905472,39.79442,12904048.429474287,4809565.942793589
15,河北镇_110111107000,115.905358,39.79398,12904035.815208582,4809502.327415448
16,河北镇_110111107000,115.906575,39.7906,12904171.159475831,4809015.990816261
17,河北镇_110111107000,115.906911,39.790655,12904208.451698951,4809024.265950505
18,河北镇_110111107000,115.907472,39.79053,12904270.774191096,4809006.783425155
19,河北镇_110111107000,115.907601,39.769295,12904287.043629475,4805943.682901936
20,河北镇_110111107000,115.908184,39.769297,12904351.809270537,4805944.444151881
21,河北镇_110111107000,115.908032,39.790191,12904333.006606977,4808958.381423541
22,河北镇_110111107000,115.907598,39.790492,12904284.759968309,4809001.415505634
23,河北镇_110111107000,115.908486,39.781973,12904384.152428443,4807773.161217774
24,河北镇_110111107000,115.907966,39.782178,12904326.380337538,4807802.291517349
25,河北镇_110111107000,115.9084,39.789617,12904373.930744343,4808875.902581633
26,河北镇_110111107000,115.908093,39.78999,12904339.806516165,4808929.431831996
27,河北镇_110111107000,115.908273,39.788631,12904359.888297625,4808733.510925733
28,河北镇_110111107000,115.908585,39.789011,12904394.515789011,4808788.615853725
29,河北镇_110111107000,115.908496,39.789565,12904384.606217317,4808868.461987602
30,河北镇_110111107000,115.908496,39.789565,12904384.606217317,4808868.461987602
31,河北镇_110111107000,115.908697,39.789473,12904406.921647973,4808855.34458919
32,河北镇_110111107000,115.908697,39.789473,12904406.921647973,4808855.34458919
33,河北镇_110111107000,115.908907,39.782986,12904430.85781703,4807919.615731858
34,河北镇_110111107000,115.909364,39.783266,12904481.629315332,4807960.343749889
35,河北镇_110111107000,115.909423,39.777544,12904488.710522212,4807134.982738944
36,河北镇_110111107000,115.90965,39.777959,12904513.902989894,4807194.9861742295
37,河北镇_110111107000,115.909563,39.772894,12904504.742385665,4806464.312784028
38,河北镇_110111107000,115.910115,39.773031,12904566.0655849,4806484.428651362
39,河北镇_110111107000,115.910837,39.78951,12904644.814749224,4808862.041941315
40,河北镇_110111107000,115.910254,39.789515,12904579.99400004,4808862.464739207
41,河北镇_110111107000,115.910586,39.780141,12904617.7701569,4807510.267802043
42,河北镇_110111107000,115.910526,39.779693,12904611.153580235,4807445.6397213405
43,河北镇_110111107000,115.910586,39.780141,12904617.7701569,4807510.267802043
44,河北镇_110111107000,115.91082,39.780553,12904643.726498181,4807569.849729702
