﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,清华园街道_110108014000,116.309379,39.998607,12949051.013576046,4839058.194496717
1,清华园街道_110108014000,116.309964,39.998606,12949116.692473989,4839056.753172027
2,清华园街道_110108014000,116.31055,39.99861,12949182.42793341,4839055.9927985445
3,清华园街道_110108014000,116.309424,40.003395,12949055.832348356,4839751.134952377
4,清华园街道_110108014000,116.310008,40.003423,12949121.3569011,4839753.859610516
5,清华园街道_110108014000,116.310363,39.997683,12949161.48626233,4838922.268886024
6,清华园街道_110108014000,116.309781,39.997732,12949096.172147354,4838930.68028316
7,清华园街道_110108014000,116.310363,39.997683,12949161.48626233,4838922.268886024
8,清华园街道_110108014000,116.309875,39.997435,12949106.728056133,4838887.453535354
9,清华园街道_110108014000,116.309842,40.000369,12949102.888264637,4839312.211377073
10,清华园街道_110108014000,116.310215,40.000023,12949144.77024244,4839261.256140784
11,清华园街道_110108014000,116.310672,39.999742,12949196.09291022,4839219.559468634
12,清华园街道_110108014000,116.310203,39.997106,12949143.561408881,4838839.124026132
13,清华园街道_110108014000,116.310481,39.997501,12949174.739340164,4838895.669983902
14,清华园街道_110108014000,116.310363,39.997683,12949161.48626233,4838922.268886024
15,清华园街道_110108014000,116.310749,40.003705,12949204.506075524,4839792.995017638
16,清华园街道_110108014000,116.31113,39.998039,12949247.521351654,4838972.071483014
17,清华园街道_110108014000,116.310683,39.997749,12949197.387457317,4838931.090202032
18,清华园街道_110108014000,116.310608,40.000303,12949188.85942096,4839300.908583664
19,清华园街道_110108014000,116.310761,39.999868,12949206.04841475,4839237.6341520315
20,清华园街道_110108014000,116.31071,39.999721,12949200.346734291,4839216.4423086615
21,清华园街道_110108014000,116.31071,39.999721,12949200.346734291,4839216.4423086615
22,清华园街道_110108014000,116.310793,39.998612,12949209.705043634,4839055.781316692
23,清华园街道_110108014000,116.310776,39.999062,12949207.766375102,4839120.955890758
24,清华园街道_110108014000,116.310742,39.999511,12949203.943496736,4839186.015068025
25,清华园街道_110108014000,116.310793,39.998612,12949209.705043634,4839055.781316692
26,清华园街道_110108014000,116.311035,39.998201,12949236.881993081,4838995.743203474
27,清华园街道_110108014000,116.312024,40.000825,12949347.738426996,4839373.403845205
28,清华园街道_110108014000,116.311614,40.000503,12949301.716372438,4839327.679741611
29,清华园街道_110108014000,116.311203,40.000183,12949255.630527904,4839282.240995483
30,清华园街道_110108014000,116.310821,39.999842,12949212.79327753,4839233.716204595
31,清华园街道_110108014000,116.310739,40.004113,12949203.350107854,4839852.067087628
32,清华园街道_110108014000,116.311144,40.004438,12949248.764465105,4839898.217498231
33,清华园街道_110108014000,116.310749,40.003705,12949204.506075524,4839792.995017638
34,清华园街道_110108014000,116.310749,40.003705,12949204.506075524,4839792.995017638
35,清华园街道_110108014000,116.311002,40.003577,12949232.886089372,4839773.916966563
36,清华园街道_110108014000,116.311574,40.003479,12949297.072468305,4839758.458188508
37,清华园街道_110108014000,116.31113,39.998039,12949247.521351654,4838972.071483014
38,清华园街道_110108014000,116.311703,39.997947,12949311.825329473,4838957.517050184
39,清华园街道_110108014000,116.312287,39.997926,12949377.335618734,4838953.2409253605
40,清华园街道_110108014000,116.311793,40.004533,12949321.590328382,4839910.568086581
41,清华园街道_110108014000,116.312039,40.001304,12949349.37703707,4839442.700989141
42,清华园街道_110108014000,116.311607,40.001608,12949300.914236838,4839487.601368539
43,清华园街道_110108014000,116.312272,40.004275,12949375.336331723,4839872.193906077
44,清华园街道_110108014000,116.312024,40.000825,12949347.738426996,4839373.403845205
45,清华园街道_110108014000,116.312035,40.001088,12949348.935946621,4839411.420604099
46,清华园街道_110108014000,116.312039,40.0013,12949349.377311295,4839442.112089815
47,清华园街道_110108014000,116.312039,40.001304,12949349.37703707,4839442.700989141
48,清华园街道_110108014000,116.312324,40.001696,12949381.35999538,4839498.824129
49,清华园街道_110108014000,116.312483,40.00213,12949399.156051228,4839561.299366371
50,清华园街道_110108014000,116.312096,40.003411,12949355.663697625,4839747.495035789
51,清华园街道_110108014000,116.31236,40.002763,12949385.292403052,4839653.148080182
52,清华园街道_110108014000,116.312188,40.003193,12949365.975700045,4839715.748348458
53,清华园街道_110108014000,116.312272,40.004275,12949375.336331723,4839872.193906077
54,清华园街道_110108014000,116.312259,40.003825,12949373.914233781,4839807.092556267
55,清华园街道_110108014000,116.312272,40.004275,12949375.336331723,4839872.193906077
56,清华园街道_110108014000,116.31284,40.004381,12949439.070577497,4839886.348176172
57,清华园街道_110108014000,116.313424,40.004408,12949504.597301431,4839889.021595818
58,清华园街道_110108014000,116.31399,40.004516,12949568.046896327,4839903.459366735
59,清华园街道_110108014000,116.314545,40.00466,12949630.303554896,4839923.204194417
60,清华园街道_110108014000,116.313019,39.998,12949459.476509273,4838962.415469058
61,清华园街道_110108014000,116.312438,39.997943,12949394.311012924,4838955.391355202
62,清华园街道_110108014000,116.31234,39.997928,12949383.31825948,4838953.387941532
63,清华园街道_110108014000,116.312473,39.99749,12949398.251188276,4838889.743778523
64,清华园街道_110108014000,116.31236,40.002763,12949385.292403052,4839653.148080182
65,清华园街道_110108014000,116.312535,40.002336,12949404.972051928,4839590.973738642
66,清华园街道_110108014000,116.312554,40.00231,12949407.130071113,4839587.158983285
67,清华园街道_110108014000,116.313136,40.002356,12949472.385160362,4839592.614940336
68,清华园街道_110108014000,116.312811,40.010403,12949435.334549699,4840757.961919843
69,清华园街道_110108014000,116.313394,40.010444,12949500.73820561,4840762.67837231
70,清华园街道_110108014000,116.313976,40.010494,12949566.043875508,4840768.754146188
71,清华园街道_110108014000,116.312995,39.997394,12949456.80413498,4838874.726107243
72,清华园街道_110108014000,116.313013,39.997844,12949458.816408211,4838939.854996853
73,清华园街道_110108014000,116.313599,39.998088,12949524.543586195,4838973.9386836095
74,清华园街道_110108014000,116.314047,40.009528,12949574.06363486,4840628.822838424
75,清华园街道_110108014000,116.313467,40.009463,12949509.002959294,4840620.579887715
76,清华园街道_110108014000,116.312921,40.011494,12949447.583530953,4840915.650354096
77,清华园街道_110108014000,116.313473,40.011348,12949509.513234653,4840893.392074046
78,清华园街道_110108014000,116.313859,39.998543,12949553.667697577,4839039.217624865
79,清华园街道_110108014000,116.313388,39.99881,12949500.851401564,4839078.859804442
80,清华园街道_110108014000,116.313127,40.006871,12949471.077129943,4840246.120410929
81,清华园街道_110108014000,116.313665,40.006694,12949531.45722412,4840219.387222129
82,清华园街道_110108014000,116.313854,40.006647,12949552.654479759,4840212.199067632
83,清华园街道_110108014000,116.313382,40.006381,12949499.724458303,4840174.659133043
84,清华园街道_110108014000,116.313335,39.999406,12949494.896381063,4839165.2369211055
85,清华园街道_110108014000,116.313871,39.999226,12949555.026198221,4839138.084810392
