﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,渤海镇_110116108000,116.376969,40.423828,12956580.753488079,4900877.391988133
1,渤海镇_110116108000,116.377536,40.423707,12956643.613250287,4900860.989122255
2,渤海镇_110116108000,116.377484,40.431411,12956638.69920901,4901983.923858139
3,渤海镇_110116108000,116.377013,40.431681,12956586.466165852,4902022.266643932
4,渤海镇_110116108000,116.377484,40.431411,12956638.69920901,4901983.923858139
5,渤海镇_110116108000,116.378037,40.431564,12956700.028343568,4902007.431411331
6,渤海镇_110116108000,116.378599,40.431617,12956762.407080477,4902016.300525838
7,渤海镇_110116108000,116.379422,40.424648,12956852.970772691,4901002.017735634
8,渤海镇_110116108000,116.378953,40.424376,12956800.904969117,4900961.43216158
9,渤海镇_110116108000,116.379007,40.431527,12956807.67249426,4902004.019710621
10,渤海镇_110116108000,116.379573,40.43165,12956870.463698246,4902023.04057494
11,渤海镇_110116108000,116.380154,40.43172,12956934.942330388,4902034.3457705965
12,渤海镇_110116108000,116.379422,40.424648,12956852.970772691,4901002.017735634
13,渤海镇_110116108000,116.37998,40.42479,12956914.895395452,4901023.764498155
14,渤海镇_110116108000,116.380659,40.418011,12956989.708882425,4900036.932089219
15,渤海镇_110116108000,116.38009,40.417897,12956926.516360953,4900019.28004217
16,渤海镇_110116108000,116.381289,40.426826,12957060.371064458,4901322.94295475
17,渤海镇_110116108000,116.381102,40.4264,12957039.577208057,4901260.50021732
18,渤海镇_110116108000,116.380869,40.425987,12957013.672777683,4901199.875335594
19,渤海镇_110116108000,116.380704,40.425555,12956995.318176415,4901136.592553652
20,渤海镇_110116108000,116.380454,40.425148,12956967.523461718,4901076.838950978
21,渤海镇_110116108000,116.380048,40.424822,12956922.446051193,4901028.547766936
22,渤海镇_110116108000,116.380659,40.418011,12956989.708882425,4900036.932089219
23,渤海镇_110116108000,116.381221,40.417881,12957052.085881498,4900019.009539501
24,渤海镇_110116108000,116.381776,40.41773,12957113.688966567,4899997.958582556
25,渤海镇_110116108000,116.382324,40.417565,12957174.518387977,4899974.807312531
26,渤海镇_110116108000,116.383377,40.427863,12957292.311648967,4901477.499081331
27,渤海镇_110116108000,116.382982,40.427529,12957248.428788297,4901428.168475854
28,渤海镇_110116108000,116.382463,40.427322,12957190.780729448,4901397.17644121
29,渤海镇_110116108000,116.38194,40.427117,12957132.690009046,4901366.463242121
30,渤海镇_110116108000,116.381433,40.426888,12957076.380391803,4901332.18692866
31,渤海镇_110116108000,116.384953,40.431679,12957467.813414441,4902035.998774249
32,渤海镇_110116108000,116.384384,40.431792,12957404.623259785,4902051.714912091
33,渤海镇_110116108000,116.383814,40.431906,12957341.32343631,4902067.547849813
34,渤海镇_110116108000,116.383245,40.432021,12957278.154586641,4902083.46148809
35,渤海镇_110116108000,116.382677,40.43214,12957215.086715013,4902099.930746667
36,渤海镇_110116108000,116.382097,40.432206,12957150.699519586,4902108.635011508
37,渤海镇_110116108000,116.381509,40.432228,12957085.415476589,4902110.843758624
38,渤海镇_110116108000,116.383377,40.427863,12957292.311648967,4901477.499081331
39,渤海镇_110116108000,116.383965,40.427878,12957357.63355164,4901480.498350119
40,渤海镇_110116108000,116.384467,40.417848,12957412.527852558,4900019.2339934455
41,渤海镇_110116108000,116.384028,40.417549,12957363.709779168,4899975.049337198
42,渤海镇_110116108000,116.385251,40.417945,12957499.647296047,4900034.393539851
43,渤海镇_110116108000,116.384668,40.417884,12957434.870970847,4900024.736551026
44,渤海镇_110116108000,116.384416,40.427883,12957407.76081523,4901481.863157406
45,渤海镇_110116108000,116.385477,40.42693,12957525.535423297,4901344.285457957
46,渤海镇_110116108000,116.385057,40.427245,12957478.884475883,4901389.700724196
47,渤海镇_110116108000,116.384584,40.427513,12957426.363958996,4901428.151493219
48,渤海镇_110116108000,116.385527,40.431764,12957531.60693752,4902049.067722618
49,渤海镇_110116108000,116.385287,40.429998,12957504.714478577,4901791.321124064
50,渤海镇_110116108000,116.385314,40.430446,12957507.800862266,4901856.698948952
51,渤海镇_110116108000,116.385679,40.430786,12957548.403866345,4901906.677781183
52,渤海镇_110116108000,116.385916,40.431182,12957574.769490825,4901964.689036808
53,渤海镇_110116108000,116.386707,40.426458,12957662.16314228,4901276.893990448
54,渤海镇_110116108000,116.386154,40.426611,12957600.718591057,4901298.601635926
55,渤海镇_110116108000,116.385652,40.426845,12957544.954250894,4901332.144797924
56,渤海镇_110116108000,116.385893,40.431621,12957572.254060682,4902028.669034371
57,渤海镇_110116108000,116.386511,40.432062,12957641.013369074,4902093.659711168
58,渤海镇_110116108000,116.38608,40.431755,12957593.082449114,4902048.4341497645
59,渤海镇_110116108000,116.38594,40.431502,12957577.483028406,4902011.363657973
60,渤海镇_110116108000,116.38714,40.417748,12957709.543891627,4900007.825562566
