﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,温泉地区_110108026000,116.133961,40.02742,12929530.831537893,4843282.826063843
1,温泉地区_110108026000,116.133406,40.02756,12929469.489985008,4843301.900573358
2,温泉地区_110108026000,116.132718,40.066251,12929393.728891192,4848905.2241710145
3,温泉地区_110108026000,116.135021,40.064025,12929647.960745841,4848587.397723062
4,温泉地区_110108026000,116.134462,40.064156,12929586.182002053,4848605.229914775
5,温泉地区_110108026000,116.133992,40.06442,12929534.301475456,4848642.545521836
6,温泉地区_110108026000,116.133669,40.064795,12929498.652053682,4848696.222809
7,温泉地区_110108026000,116.133384,40.065188,12929467.18097031,4848752.614799882
8,温泉地区_110108026000,116.133103,40.065583,12929436.192533119,4848809.247942591
9,温泉地区_110108026000,116.132829,40.065981,12929405.957035238,4848866.364249417
10,温泉地区_110108026000,116.134292,40.066758,12929567.689970247,4848982.048782772
11,温泉地区_110108026000,116.133708,40.066734,12929503.173579553,4848977.385149293
12,温泉地区_110108026000,116.133125,40.066695,12929438.75215781,4848970.498143747
13,温泉地区_110108026000,116.134188,40.037068,12929555.263921753,4844680.24244862
14,温泉地区_110108026000,116.1337,40.036832,12929501.367048694,4844645.079449393
15,温泉地区_110108026000,116.133961,40.02742,12929530.831537893,4843282.826063843
16,温泉地区_110108026000,116.13553,40.027451,12929704.181998368,4843290.452110681
17,温泉地区_110108026000,116.13495,40.027514,12929640.097421799,4843298.422572181
18,温泉地区_110108026000,116.134374,40.02746,12929576.481752291,4843289.45039165
19,温泉地区_110108026000,116.134748,40.06682,12929618.068058252,4848991.988546446
20,温泉地区_110108026000,116.134292,40.066758,12929567.689970247,4848982.048782772
21,温泉地区_110108026000,116.134299,40.066307,12929568.400886655,4848916.71902011
22,温泉地区_110108026000,116.134748,40.06682,12929618.068058252,4848991.988546446
23,温泉地区_110108026000,116.134748,40.06682,12929618.068058252,4848991.988546446
24,温泉地区_110108026000,116.134755,40.066369,12929618.778920012,4848926.619128959
25,温泉地区_110108026000,116.134767,40.065919,12929620.091328146,4848861.380412339
26,温泉地区_110108026000,116.134774,40.065831,12929620.834701875,4848848.656889225
27,温泉地区_110108026000,116.134854,40.065118,12929629.605565855,4848745.4712118795
28,温泉地区_110108026000,116.135402,40.06496,12929690.12423333,4848723.665587138
29,温泉地区_110108026000,116.135798,40.064484,12929733.85822827,4848655.437293307
30,温泉地区_110108026000,116.135333,40.064209,12929682.432319397,4848614.692181176
31,温泉地区_110108026000,116.135021,40.064025,12929647.960745841,4848587.397723062
32,温泉地区_110108026000,116.135062,40.063577,12929652.431598864,4848522.539720091
33,温泉地区_110108026000,116.135308,40.063175,12929679.587795058,4848464.772520668
34,温泉地区_110108026000,116.135685,40.062831,12929721.231166005,4848415.655431556
35,温泉地区_110108026000,116.134986,40.06695,12929644.394037815,4849011.306151483
36,温泉地区_110108026000,116.135152,40.06567,12929662.60605616,4848826.053432572
37,温泉地区_110108026000,116.135256,40.066113,12929674.120030735,4848890.482942253
38,温泉地区_110108026000,116.135258,40.065614,12929674.317291694,4848818.184761742
39,温泉地区_110108026000,116.135202,40.066956,12929668.246636061,4849012.563573414
40,温泉地区_110108026000,116.135213,40.066287,12929669.388759838,4848915.631033388
41,温泉地区_110108026000,116.135206,40.066737,12929668.677607639,4848980.843289877
42,温泉地区_110108026000,116.135258,40.065614,12929674.317291694,4848818.184761742
43,温泉地区_110108026000,116.135362,40.066057,12929685.831382388,4848882.574000553
44,温泉地区_110108026000,116.135258,40.065614,12929674.317291694,4848818.184761742
45,温泉地区_110108026000,116.135713,40.06533,12929724.554482495,4848777.881491768
46,温泉地区_110108026000,116.13532,40.066956,12929681.284593545,4849012.819528117
47,温泉地区_110108026000,116.135331,40.066236,12929682.42227047,4848908.495321816
48,温泉地区_110108026000,116.135324,40.066686,12929681.711022267,4848973.707558322
49,温泉地区_110108026000,116.135437,40.066957,12929694.20274544,4849013.189995566
50,温泉地区_110108026000,116.136017,40.066908,12929758.31227927,4849007.192514544
51,温泉地区_110108026000,116.13656,40.066741,12929818.301928591,4848984.026676376
52,温泉地区_110108026000,116.135448,40.066228,12929695.339639941,4848907.528912802
53,温泉地区_110108026000,116.135441,40.066678,12929694.628361342,4848972.741199873
54,温泉地区_110108026000,116.135798,40.064484,12929733.85822827,4848655.437293307
55,温泉地区_110108026000,116.135798,40.064484,12929733.85822827,4848655.437293307
56,温泉地区_110108026000,116.136058,40.064198,12929762.55839218,4848614.470684035
57,温泉地区_110108026000,116.135938,40.063757,12929749.243308732,4848550.331156484
58,温泉地区_110108026000,116.135948,40.06485,12929750.472989036,4848708.791657596
59,温泉地区_110108026000,116.136058,40.064198,12929762.55839218,4848614.470684035
60,温泉地区_110108026000,116.136436,40.063854,12929804.296607044,4848565.33071171
61,温泉地区_110108026000,116.136126,40.065074,12929770.141557729,4848741.56219588
62,温泉地区_110108026000,116.136485,40.065252,12929809.849205786,4848768.062493686
63,温泉地区_110108026000,116.136666,40.06568,12929829.898260899,4848830.437073327
64,温泉地区_110108026000,116.136735,40.066127,12929837.56957222,4848895.332894512
65,温泉地区_110108026000,116.136743,40.066577,12929838.510716429,4848960.61568744
66,温泉地区_110108026000,116.136496,40.065248,12929811.050809449,4848767.495251012
67,温泉地区_110108026000,116.136496,40.065248,12929811.050809449,4848767.495251012
68,温泉地区_110108026000,116.13693,40.064945,12929859.015359938,4848724.390792883
69,温泉地区_110108026000,116.137354,40.064634,12929905.841935104,4848680.070069184
70,温泉地区_110108026000,116.137768,40.064316,12929951.56053738,4848634.730969996
71,温泉地区_110108026000,116.136496,40.065248,12929811.050809449,4848767.495251012
72,温泉地区_110108026000,116.137076,40.065182,12929875.172928363,4848758.969485362
73,温泉地区_110108026000,116.140288,40.066989,12930230.497067977,4849026.260894565
74,温泉地区_110108026000,116.139702,40.06699,12930165.690741947,4849025.479724382
75,温泉地区_110108026000,116.139116,40.066986,12930100.893312214,4849023.99503143
76,温泉地区_110108026000,116.13853,40.066981,12930036.074748924,4849022.279101011
77,温泉地区_110108026000,116.137944,40.066976,12929971.295057159,4849020.569865233
78,温泉地区_110108026000,116.13737,40.066891,12929907.839027371,4849007.214402903
79,温泉地区_110108026000,116.136839,40.066702,12929849.129654113,4848978.897629861
80,温泉地区_110108026000,116.137906,40.028731,12929966.697258398,4843480.1305111945
81,温泉地区_110108026000,116.137399,40.028511,12929910.663484946,4843447.362753627
82,温泉地区_110108026000,116.138064,40.065162,12929984.393011432,4848757.851874398
83,温泉地区_110108026000,116.137479,40.06513,12929919.708013225,4848752.187148786
84,温泉地区_110108026000,116.137423,40.065127,12929913.54656276,4848751.683428628
85,温泉地区_110108026000,116.138003,40.065066,12929977.651879005,4848743.8559085075
86,温泉地区_110108026000,116.138943,40.061721,12930081.258362899,4848260.614586607
87,温泉地区_110108026000,116.138389,40.06186,12930020.02980114,4848279.825003747
88,温泉地区_110108026000,116.13784,40.062013,12929959.351144316,4848301.059905482
