﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,滨河街道_110117001000,117.089562,40.142734,13035941.437121458,4859994.522638644
1,滨河街道_110117001000,117.089574,40.142284,13035942.806486234,4859929.2920170715
2,滨河街道_110117001000,117.089585,40.141834,13035944.056011144,4859864.059178476
3,滨河街道_110117001000,117.089596,40.141384,13035945.30573691,4859798.826858545
4,滨河街道_110117001000,117.089608,40.140934,13035946.675675023,4859733.6371270735
5,滨河街道_110117001000,117.089774,40.140498,13035965.124164699,4859670.804633758
6,滨河街道_110117001000,117.089629,40.140065,13035949.112478046,4859607.61854019
7,滨河街道_110117001000,117.089639,40.139615,13035950.272677477,4859542.386082244
8,滨河街道_110117001000,117.08965,40.139165,13035951.492977124,4859477.155455123
9,滨河街道_110117001000,117.089736,40.138722,13035961.087391365,4859413.139176901
10,滨河街道_110117001000,117.089774,40.140498,13035965.124164699,4859670.804633758
11,滨河街道_110117001000,117.09036,40.140493,13036030.054972976,4859671.568816568
12,滨河街道_110117001000,117.090947,40.140502,13036095.078782411,4859674.363447629
13,滨河街道_110117001000,117.091533,40.14051,13036159.987444969,4859677.01897157
14,滨河街道_110117001000,117.09212,40.140519,13036225.021323014,4859679.775359184
15,滨河街道_110117001000,117.092706,40.140522,13036289.941340419,4859681.603292827
16,滨河街道_110117001000,117.089829,40.138565,13035971.400760587,4859390.638287324
17,滨河街道_110117001000,117.089688,40.13813,13035955.809618138,4859327.188700121
18,滨河街道_110117001000,117.089697,40.137681,13035956.87976483,4859262.074068663
19,滨河街道_110117001000,117.089713,40.137231,13035958.700384589,4859196.858968359
20,滨河街道_110117001000,117.089729,40.136781,13035960.490908634,4859131.643569776
21,滨河街道_110117001000,117.089746,40.136331,13035962.40139716,4859066.431284639
22,滨河街道_110117001000,117.089762,40.135882,13035964.221581502,4859001.3746406585
23,滨河街道_110117001000,117.089855,40.13544,13035974.565892521,4858937.53520766
24,滨河街道_110117001000,117.093237,40.138605,13036348.952409327,4859404.8634750815
25,滨河街道_110117001000,117.092651,40.138609,13036284.026301783,4859404.039198397
26,滨河街道_110117001000,117.092064,40.138597,13036218.98772005,4859400.86927953
27,滨河街道_110117001000,117.091478,40.138585,13036154.074770806,4859397.680969998
28,滨河街道_110117001000,117.090892,40.138573,13036089.16698628,4859394.473042363
29,滨河街道_110117001000,117.090306,40.138562,13036024.263890032,4859391.404192124
30,滨河街道_110117001000,117.089893,40.135362,13035978.776916612,4858926.302872518
31,滨河街道_110117001000,117.090465,40.135283,13036042.185650727,4858916.330607336
32,滨河街道_110117001000,117.091052,40.135288,13036107.210829478,4858918.492514276
33,滨河街道_110117001000,117.091639,40.135294,13036172.240784226,4858920.832385153
34,滨河街道_110117001000,117.092226,40.1353,13036237.245992716,4858923.151547118
35,滨河街道_110117001000,117.092812,40.135298,13036302.197655108,4858924.268056834
36,滨河街道_110117001000,117.093807,40.132828,13036412.68083946,4858568.453123326
37,滨河街道_110117001000,117.09328,40.132632,13036354.286651881,4858538.800814678
38,滨河街道_110117001000,117.092701,40.132583,13036290.116393771,4858530.285200129
39,滨河街道_110117001000,117.092123,40.132662,13036226.088507729,4858540.394374124
40,滨河街道_110117001000,117.091546,40.13274,13036162.156253772,4858550.2490338385
41,滨河街道_110117001000,117.090968,40.132818,13036098.108921744,4858560.12118507
42,滨河街道_110117001000,117.091185,40.144011,13036121.118622363,4860183.896422642
43,滨河街道_110117001000,117.09177,40.144047,13036185.90635548,4860190.514802196
44,滨河街道_110117001000,117.10967,40.13052,13038173.234521553,4858257.072702044
45,滨河街道_110117001000,117.109692,40.13007,13038175.722692236,4858191.872643318
46,滨河街道_110117001000,117.109124,40.130049,13038112.574197615,4858188.526991454
47,滨河街道_110117001000,117.108538,40.130042,13038047.44598069,4858187.170550367
48,滨河街道_110117001000,117.107951,40.130035,13037982.20936357,4858185.8062310275
49,滨河街道_110117001000,117.107364,40.130028,13037916.984916445,4858184.356416099
50,滨河街道_110117001000,117.106777,40.130022,13037851.742255466,4858183.017956272
51,滨河街道_110117001000,117.10619,40.130015,13037786.541767776,4858181.43782749
52,滨河街道_110117001000,117.105604,40.130008,13037721.47350159,4858179.8534728205
53,滨河街道_110117001000,117.105257,40.129822,13037682.968225967,4858152.49551656
54,滨河街道_110117001000,117.10467,40.12982,13037617.76722257,4858151.587118186
55,滨河街道_110117001000,117.104083,40.129819,13037552.607635532,4858150.714531562
56,滨河街道_110117001000,117.103497,40.129818,13037487.549477693,4858149.8792118095
57,滨河街道_110117001000,117.102912,40.129817,13037422.59262326,4858148.924721975
58,滨河街道_110117001000,117.102325,40.129815,13037357.465992166,4858147.848404245
59,滨河街道_110117001000,117.101738,40.129813,13037292.319905754,4858146.652795657
60,滨河街道_110117001000,117.101151,40.129811,13037227.214245819,4858145.457536366
61,滨河街道_110117001000,117.100565,40.12981,13037162.178767832,4858144.381995169
62,滨河街道_110117001000,117.099978,40.129808,13037097.063049894,4858143.1101867305
63,滨河街道_110117001000,117.099391,40.129806,13037031.957014073,4858141.762349613
64,滨河街道_110117001000,117.098805,40.129824,13036966.978622166,4858143.330642397
65,滨河街道_110117001000,117.098218,40.129846,13036901.858644431,4858145.412401503
66,滨河街道_110117001000,117.097632,40.129868,13036836.897820104,4858147.4631268615
67,滨河街道_110117001000,117.097046,40.129891,13036771.945431693,4858149.638704043
68,滨河街道_110117001000,117.097019,40.130326,13036768.896650787,4858212.631989934
69,滨河街道_110117001000,117.097014,40.130776,13036768.31026597,4858277.872968973
