﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,潘家园街道_110105018000,116.438339,39.873484,12963423.289565697,4820956.161658332
1,潘家园街道_110105018000,116.43804,39.873099,12963389.930604208,4820901.20316671
2,潘家园街道_110105018000,116.437919,39.87266,12963376.441255746,4820837.987989645
3,潘家园街道_110105018000,116.43783,39.872215,12963366.530466665,4820773.927460532
4,潘家园街道_110105018000,116.437874,39.871769,12963371.423397282,4820709.411782149
5,潘家园街道_110105018000,116.439155,39.875148,12963514.322329924,4821194.875216207
6,潘家园街道_110105018000,116.438684,39.874885,12963461.768938592,4821157.850653968
7,潘家园街道_110105018000,116.438412,39.874497,12963431.41873926,4821102.361023351
8,潘家园街道_110105018000,116.438322,39.874047,12963421.42276319,4821037.514426769
9,潘家园街道_110105018000,116.438454,39.873749,12963436.143757978,4820994.231770554
10,潘家园街道_110105018000,116.439805,39.876587,12963586.805063317,4821401.456565805
11,潘家园街道_110105018000,116.439609,39.876163,12963564.959156346,4821340.588481234
12,潘家园街道_110105018000,116.439396,39.875743,12963541.200507035,4821280.303825503
13,潘家园街道_110105018000,116.439198,39.875321,12963519.13817236,4821219.760733875
14,潘家园街道_110105018000,116.439155,39.875148,12963514.322329924,4821194.875216207
15,潘家园街道_110105018000,116.444705,39.874854,12964133.029254118,4821142.486492265
16,潘家园街道_110105018000,116.44412,39.874856,12964067.85150052,4821143.685704226
17,潘家园街道_110105018000,116.443536,39.87485,12964002.814629897,4821143.748569147
18,潘家园街道_110105018000,116.442952,39.874844,12963937.736833388,4821143.812935265
19,潘家园街道_110105018000,116.442368,39.874838,12963872.64858015,4821143.956082404
20,潘家园街道_110105018000,116.441783,39.874832,12963807.428852022,4821144.139717772
21,潘家园街道_110105018000,116.441199,39.874825,12963742.29005409,4821144.164194325
22,潘家园街道_110105018000,116.440615,39.874819,12963677.202042539,4821144.420856148
23,潘家园街道_110105018000,116.440031,39.874812,12963612.07420751,4821144.518217852
24,潘家园街道_110105018000,116.439481,39.874949,12963550.692482753,4821165.439724897
25,潘家园街道_110105018000,116.439715,39.877729,12963576.743819019,4821566.64696871
26,潘家园街道_110105018000,116.440185,39.877997,12963629.128520004,4821604.427984146
27,潘家园街道_110105018000,116.439805,39.876587,12963586.805063317,4821401.456565805
28,潘家园街道_110105018000,116.439656,39.87702,12963570.167373857,4821464.30797489
29,潘家园街道_110105018000,116.439678,39.87747,12963572.602172546,4821529.286058574
30,潘家园街道_110105018000,116.440301,39.878064,12963642.072096502,4821613.869340136
31,潘家园街道_110105018000,116.440885,39.878061,12963707.195975179,4821612.338520608
32,潘家园街道_110105018000,116.441469,39.878057,12963772.340567432,4821610.647951929
33,潘家园街道_110105018000,116.442053,39.878053,12963837.444942854,4821608.99534808
34,潘家园街道_110105018000,116.444686,39.87013,12964130.95168814,4820460.038345874
35,潘家园街道_110105018000,116.44469,39.87058,12964131.40161802,4820525.051637922
36,潘家园街道_110105018000,116.444695,39.87103,12964131.941241268,4820590.024665657
37,潘家园街道_110105018000,116.444699,39.87148,12964132.388847036,4820655.037789499
38,潘家园街道_110105018000,116.444703,39.87193,12964132.83529579,4820720.050831358
39,潘家园街道_110105018000,116.444707,39.87238,12964133.250307513,4820785.064122152
40,潘家园街道_110105018000,116.444711,39.87283,12964133.724740569,4820850.076677192
41,潘家园街道_110105018000,116.444716,39.87328,12964134.288884778,4820915.088171173
42,潘家园街道_110105018000,116.44472,39.87373,12964134.700471576,4820980.101236465
43,潘家园街道_110105018000,116.444722,39.87418,12964134.929224113,4821045.116202747
44,潘家园街道_110105018000,116.444713,39.87463,12964133.915198363,4821110.144573618
45,潘家园街道_110105018000,116.444713,39.874861,12964133.937539611,4821143.495584856
46,潘家园街道_110105018000,116.444713,39.874861,12964133.937539611,4821143.495584856
47,潘家园街道_110105018000,116.444735,39.875311,12964136.374244828,4821208.486414812
48,潘家园街道_110105018000,116.444731,39.875761,12964135.902561259,4821273.508708209
49,潘家园街道_110105018000,116.444732,39.876211,12964136.005177263,4821338.563904025
50,潘家园街道_110105018000,116.444734,39.876661,12964136.19757812,4821403.578875524
51,潘家园街道_110105018000,116.444787,39.877107,12964142.082500076,4821467.905246408
52,潘家园街道_110105018000,116.444713,39.874861,12964133.937539611,4821143.495584856
53,潘家园街道_110105018000,116.445298,39.874862,12964199.043411199,4821142.809762502
54,潘家园街道_110105018000,116.445881,39.874867,12964263.956301035,4821142.716811334
55,潘家园街道_110105018000,116.446465,39.874869,12964328.979061259,4821142.273699503
56,潘家园街道_110105018000,116.447049,39.874875,12964393.990199545,4821142.422800397
57,潘家园街道_110105018000,116.44761,39.874761,12964456.391707882,4821125.274118357
58,潘家园街道_110105018000,116.444725,39.87856,12964135.134214398,4821677.923414681
59,潘家园街道_110105018000,116.444729,39.878109,12964135.582248539,4821612.784130666
60,潘家园街道_110105018000,116.444753,39.87766,12964138.30047806,4821547.855381212
61,潘家园街道_110105018000,116.446799,39.877338,12964366.074429609,4821498.584980633
62,潘家园街道_110105018000,116.446225,39.877268,12964302.18151188,4821489.195347254
63,潘家园街道_110105018000,116.445645,39.877318,12964237.605709078,4821497.215521975
64,潘家园街道_110105018000,116.445062,39.877332,12964172.717712669,4821500.029482694
65,潘家园街道_110105018000,116.446423,39.871962,12964324.335565183,4820722.307121096
66,潘家园街道_110105018000,116.447008,39.871962,12964389.468778115,4820721.589867032
67,潘家园街道_110105018000,116.447592,39.871969,12964454.438908879,4820721.9369151145
68,潘家园街道_110105018000,116.446909,39.877924,12964378.302647963,4821583.133073076
