﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,潞城镇_110112119000,116.682574,39.916995,12990582.857893402,4827204.228704894
1,潞城镇_110112119000,116.683074,39.917222,12990638.87287426,4827236.430082337
2,潞城镇_110112119000,116.683622,39.917378,12990700.24716241,4827258.360536941
3,潞城镇_110112119000,116.68468,39.914188,12990818.907092823,4826796.133952643
4,潞城镇_110112119000,116.684276,39.914511,12990773.662045047,4826843.228504511
5,潞城镇_110112119000,116.68468,39.914188,12990818.907092823,4826796.133952643
6,潞城镇_110112119000,116.684991,39.914103,12990853.71139533,4826783.557620502
7,潞城镇_110112119000,116.685104,39.914115,12990866.368949475,4826785.18579115
8,潞城镇_110112119000,116.685633,39.914306,12990925.58321006,4826812.289995956
9,潞城镇_110112119000,116.686156,39.914508,12990984.09117218,4826841.083073326
10,潞城镇_110112119000,116.686692,39.914688,12991044.074915286,4826866.682924019
11,潞城镇_110112119000,116.68723,39.914865,12991104.230805181,4826891.88728355
12,潞城镇_110112119000,116.68777,39.915037,12991164.649551403,4826916.421740684
13,潞城镇_110112119000,116.688323,39.915184,12991226.451723695,4826937.377866338
14,潞城镇_110112119000,116.688841,39.91539,12991284.397570755,4826966.86846611
15,潞城镇_110112119000,116.689272,39.915694,12991332.558477763,4827010.645961707
16,潞城镇_110112119000,116.687589,39.917747,12991144.256063333,4827308.254744682
17,潞城镇_110112119000,116.687017,39.917661,12991080.255238717,4827296.191796691
18,潞城镇_110112119000,116.686437,39.917608,12991015.363348968,4827288.963454124
19,潞城镇_110112119000,116.685854,39.917568,12990950.126257246,4827283.6246453
20,潞城镇_110112119000,116.686207,39.920662,12990989.499722484,4827730.634541892
21,潞城镇_110112119000,116.686792,39.920659,12991054.974606194,4827729.762868929
22,潞城镇_110112119000,116.687376,39.920642,12991120.287129318,4827726.897584178
23,潞城镇_110112119000,116.687929,39.920502,12991182.174497377,4827706.337729495
24,潞城镇_110112119000,116.688419,39.920256,12991236.97732116,4827670.494473809
25,潞城镇_110112119000,116.686564,39.922475,12991029.4145476,4827992.468638523
26,潞城镇_110112119000,116.687148,39.92247,12991094.761306692,4827991.350462708
27,潞城镇_110112119000,116.687726,39.92242,12991159.432252614,4827983.7717668
28,潞城镇_110112119000,116.687192,39.924094,12991099.64354534,4828226.113399466
29,潞城镇_110112119000,116.687406,39.923677,12991123.593194997,4828165.675714829
30,潞城镇_110112119000,116.687416,39.923664,12991124.713265471,4828163.784151429
31,潞城镇_110112119000,116.687988,39.923586,12991188.683445754,4828152.191120612
32,潞城镇_110112119000,116.688572,39.923564,12991254.001858875,4828148.711550118
33,潞城镇_110112119000,116.689156,39.92355,12991319.308017043,4828146.375793138
34,潞城镇_110112119000,116.689741,39.923556,12991384.6921556,4828147.027066922
35,潞城镇_110112119000,116.690325,39.923582,12991449.97273876,4828150.627523054
36,潞城镇_110112119000,116.690909,39.923591,12991515.211297648,4828151.803987306
37,潞城镇_110112119000,116.691493,39.923608,12991580.467479397,4828154.2038640445
38,潞城镇_110112119000,116.692077,39.923629,12991645.711123265,4828157.199997273
39,潞城镇_110112119000,116.692662,39.92365,12991711.032929776,4828160.243333979
40,潞城镇_110112119000,116.693246,39.923671,12991776.251582535,4828163.334370444
41,潞城镇_110112119000,116.69383,39.923691,12991841.42753488,4828166.35531788
42,潞城镇_110112119000,116.694414,39.923712,12991906.621134793,4828169.54149427
43,潞城镇_110112119000,116.694999,39.923733,12991971.892766448,4828172.775373859
44,潞城镇_110112119000,116.695583,39.923732,12992037.061929192,4828172.879959737
45,潞城镇_110112119000,116.696167,39.923732,12992102.188390458,4828173.1887801085
46,潞城镇_110112119000,116.696752,39.923731,12992167.423127536,4828173.349167114
47,潞城镇_110112119000,116.697336,39.92373,12992232.52474876,4828173.63473209
48,潞城镇_110112119000,116.69792,39.923729,12992297.644202337,4828173.928057643
49,潞城镇_110112119000,116.698502,39.923694,12992362.48098684,4828169.324808998
50,潞城镇_110112119000,116.699086,39.923671,12992427.576665277,4828166.534045797
51,潞城镇_110112119000,116.69967,39.923649,12992492.630087005,4828163.906653597
52,潞城镇_110112119000,116.687561,39.918946,12991141.040349165,4827481.601039061
53,潞城镇_110112119000,116.688145,39.918967,12991206.365675109,4827484.284532492
