﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,潭柘寺镇_110109101000,115.949667,39.911136,12908990.754970558,4826373.213492355
1,潭柘寺镇_110109101000,115.949449,39.911554,12908966.263234342,4826434.101522999
2,潭柘寺镇_110109101000,115.955312,39.902613,12909624.898697892,4825129.831561894
3,潭柘寺镇_110109101000,115.955434,39.902173,12909638.60575717,4825066.026035391
4,潭柘寺镇_110109101000,115.956245,39.904388,12909729.362816265,4825384.650556293
5,潭柘寺镇_110109101000,115.956348,39.903946,12909740.972596195,4825320.577795268
6,潭柘寺镇_110109101000,115.957839,39.899843,12909908.552786974,4824725.144132883
7,潭柘寺镇_110109101000,115.958359,39.899638,12909966.88412364,4824694.6926858425
8,潭柘寺镇_110109101000,115.96108,39.897097,12910272.09257736,4824323.575798621
9,潭柘寺镇_110109101000,115.960952,39.897536,12910257.704766242,4824387.165602951
10,潭柘寺镇_110109101000,115.962203,39.896093,12910398.025552941,4824177.124246176
11,潭柘寺镇_110109101000,115.961641,39.896216,12910335.05964148,4824195.559313912
12,潭柘寺镇_110109101000,115.962114,39.8945,12910388.196129344,4823947.038261168
13,潭柘寺镇_110109101000,115.962369,39.894905,12910416.731941588,4824005.282751349
14,潭柘寺镇_110109101000,115.963222,39.893599,12910512.383936502,4823815.6366248615
15,潭柘寺镇_110109101000,115.962645,39.893526,12910447.759411482,4823805.731100142
16,潭柘寺镇_110109101000,115.964217,39.894128,12910623.750788525,4823891.109887225
17,潭柘寺镇_110109101000,115.964702,39.893876,12910678.084134277,4823854.243927336
18,潭柘寺镇_110109101000,115.964289,39.891806,12910632.02056683,4823555.528992034
19,潭柘寺镇_110109101000,115.964857,39.891701,12910695.63420373,4823539.848132527
20,潭柘寺镇_110109101000,115.965269,39.891453,12910741.780139213,4823503.693605398
21,潭柘寺镇_110109101000,115.965269,39.891453,12910741.780139213,4823503.693605398
22,潭柘寺镇_110109101000,115.965583,39.891073,12910776.973164566,4823448.544040855
23,潭柘寺镇_110109101000,115.965771,39.890648,12910798.05852141,4823386.999661767
24,潭柘寺镇_110109101000,115.96586,39.890465,12910808.037571164,4823360.486968815
25,潭柘寺镇_110109101000,115.966432,39.890379,12910872.043271994,4823347.696320159
26,潭柘寺镇_110109101000,115.967011,39.890319,12910936.852504546,4823338.624654057
27,潭柘寺镇_110109101000,115.96759,39.890261,12911001.619690955,4823329.988577037
28,潭柘寺镇_110109101000,115.968583,39.889863,12911112.724886447,4823272.051740971
29,潭柘寺镇_110109101000,115.968146,39.89016,12911063.838184502,4823315.1045069555
30,潭柘寺镇_110109101000,115.968583,39.889863,12911112.724886447,4823272.051740971
31,潭柘寺镇_110109101000,115.969157,39.889779,12911176.918331949,4823259.737465964
32,潭柘寺镇_110109101000,115.971503,39.888015,12911439.30028327,4823004.6054113265
33,潭柘寺镇_110109101000,115.971152,39.888375,12911400.036487456,4823056.622193364
34,潭柘寺镇_110109101000,115.970799,39.888734,12911360.586552976,4823108.499923208
35,潭柘寺镇_110109101000,115.970432,39.889084,12911319.530276146,4823159.108406793
36,潭柘寺镇_110109101000,115.970045,39.889421,12911276.232599886,4823207.825726519
37,潭柘寺镇_110109101000,115.969839,39.918474,12911250.823863478,4827406.368207726
38,潭柘寺镇_110109101000,115.969356,39.918726,12911196.800102953,4827442.929780679
39,潭柘寺镇_110109101000,115.970275,39.919483,12911299.509668928,4827552.205113345
40,潭柘寺镇_110109101000,115.970855,39.919421,12911364.328406107,4827543.189209931
41,潭柘寺镇_110109101000,115.971432,39.919487,12911428.82609405,4827552.690182773
42,潭柘寺镇_110109101000,115.972004,39.919577,12911492.736291198,4827565.767660865
43,潭柘寺镇_110109101000,115.971727,39.870276,12911465.072267238,4820441.694976835
44,潭柘寺镇_110109101000,115.971626,39.870719,12911453.796102569,4820505.686875262
45,潭柘寺镇_110109101000,115.971677,39.871166,12911459.472363763,4820570.296863119
46,潭柘寺镇_110109101000,115.972556,39.874482,12911557.660471445,4821049.495389535
47,潭柘寺镇_110109101000,115.972466,39.874038,12911547.583161058,4820985.318984269
48,潭柘寺镇_110109101000,115.972369,39.873594,12911536.779332772,4820921.145061891
49,潭柘寺镇_110109101000,115.972252,39.873153,12911523.707892459,4820857.447416819
50,潭柘寺镇_110109101000,115.972138,39.872712,12911510.967234626,4820793.7116481755
51,潭柘寺镇_110109101000,115.971955,39.872287,12911490.519317811,4820732.269476094
52,潭柘寺镇_110109101000,115.971765,39.871865,12911469.313609188,4820671.304192731
53,潭柘寺镇_110109101000,115.971713,39.871417,12911463.48821844,4820606.537378672
54,潭柘寺镇_110109101000,115.971503,39.888015,12911439.30028327,4823004.6054113265
55,潭柘寺镇_110109101000,115.972097,39.887162,12911505.73894986,4822881.4072675
56,潭柘寺镇_110109101000,115.971702,39.887493,12911461.590762725,4822929.215226753
57,潭柘寺镇_110109101000,115.972097,39.887162,12911505.73894986,4822881.4072675
58,潭柘寺镇_110109101000,115.972236,39.884623,12911521.456159096,4822514.625040771
59,潭柘寺镇_110109101000,115.972375,39.884191,12911537.020629767,4822452.201715219
60,潭柘寺镇_110109101000,115.972909,39.885673,12911596.565373037,4822666.438363261
61,潭柘寺镇_110109101000,115.972638,39.886058,12911566.262756657,4822722.016214485
62,潭柘寺镇_110109101000,115.972462,39.886487,12911546.55782166,4822783.9329426335
63,潭柘寺镇_110109101000,115.97199,39.918165,12911491.212085512,4827361.6650348455
64,潭柘寺镇_110109101000,115.97195,39.918116,12911486.773020037,4827354.539245696
65,潭柘寺镇_110109101000,115.972151,39.917693,12911509.249039955,4827293.432566032
66,潭柘寺镇_110109101000,115.97199,39.918165,12911491.212085512,4827361.6650348455
67,潭柘寺镇_110109101000,115.972038,39.918614,12911496.565036755,4827426.549582319
68,潭柘寺镇_110109101000,115.972093,39.919062,12911502.704551863,4827491.355082284
69,潭柘寺镇_110109101000,115.972039,39.919508,12911496.668016715,4827555.797811922
70,潭柘寺镇_110109101000,115.972019,39.91958,12911494.398068896,4827566.195018962
71,潭柘寺镇_110109101000,115.972287,39.91998,12911524.32153925,4827624.087398966
72,潭柘寺镇_110109101000,115.972197,39.917597,12911514.391461372,4827279.579358772
73,潭柘寺镇_110109101000,115.972775,39.917563,12911578.956940787,4827274.7955965
74,潭柘寺镇_110109101000,115.973264,39.920374,12911633.47902892,4827681.260331566
75,潭柘寺镇_110109101000,115.972751,39.920159,12911576.186574686,4827650.0730602
76,潭柘寺镇_110109101000,115.97346,39.878317,12911658.511899434,4821603.8060386
77,潭柘寺镇_110109101000,115.973237,39.877901,12911633.615071159,4821543.6674515195
78,潭柘寺镇_110109101000,115.97346,39.878317,12911658.511899434,4821603.8060386
79,潭柘寺镇_110109101000,115.973451,39.878767,12911657.491285978,4821668.823703462
80,潭柘寺镇_110109101000,115.973281,39.879196,12911638.499742929,4821730.758614389
81,潭柘寺镇_110109101000,115.974274,39.920139,12911746.254914787,4827647.666370897
82,潭柘寺镇_110109101000,115.973713,39.920265,12911683.619875532,4827665.662951513
83,潭柘寺镇_110109101000,115.974274,39.920139,12911746.254914787,4827647.666370897
84,潭柘寺镇_110109101000,115.974817,39.920305,12911806.871926839,4827671.945997665
85,潭柘寺镇_110109101000,115.975082,39.871891,12911839.752221601,4820676.074794531
86,潭柘寺镇_110109101000,115.975327,39.872297,12911867.092658183,4820734.903617223
87,潭柘寺镇_110109101000,115.975374,39.917549,12911869.145127,4827273.81979786
88,潭柘寺镇_110109101000,115.975947,39.917483,12911933.13212381,4827264.6622103965
89,潭柘寺镇_110109101000,115.97645,39.917255,12911989.272366654,4827232.037517058
90,潭柘寺镇_110109101000,115.976423,39.873263,12911989.385226991,4820875.223590759
