﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,熊儿寨乡_110117214000,117.097554,40.277202,13036827.761170365,4879541.322832095
1,熊儿寨乡_110117214000,117.098125,40.277304,13036891.058232896,4879557.257784701
2,熊儿寨乡_110117214000,117.098697,40.277408,13036954.453802127,4879573.438455698
3,熊儿寨乡_110117214000,117.09927,40.27751,13037018.008540213,4879589.312803703
4,熊儿寨乡_110117214000,117.099842,40.277611,13037081.452034384,4879605.033071668
5,熊儿寨乡_110117214000,117.100415,40.277714,13037144.994869456,4879620.9565404095
6,熊儿寨乡_110117214000,117.100987,40.277818,13037208.456844965,4879637.040117646
7,熊儿寨乡_110117214000,117.101566,40.277876,13037272.68335059,4879646.395917426
8,熊儿寨乡_110117214000,117.101816,40.277762,13037300.430881532,4879630.184171505
9,熊儿寨乡_110117214000,117.1028,40.27813,13037409.616003966,4879685.087544775
10,熊儿寨乡_110117214000,117.10227,40.277936,13037350.8222828,4879656.175056049
11,熊儿寨乡_110117214000,117.102311,40.276953,13037355.395936761,4879513.3289076
12,熊儿寨乡_110117214000,117.102058,40.27736,13037327.29507832,4879572.086501058
13,熊儿寨乡_110117214000,117.102311,40.276953,13037355.395936761,4879513.3289076
14,熊儿寨乡_110117214000,117.102761,40.276664,13037405.371520275,4879471.954850012
15,熊儿寨乡_110117214000,117.103296,40.276488,13037464.737863965,4879447.11049775
16,熊儿寨乡_110117214000,117.1028,40.27813,13037409.616003966,4879685.087544775
17,熊儿寨乡_110117214000,117.103368,40.278248,13037472.637223069,4879703.018759245
18,熊儿寨乡_110117214000,117.103935,40.278366,13037535.578480607,4879720.909941872
19,熊儿寨乡_110117214000,117.104492,40.278509,13037597.444845552,4879742.337379057
20,熊儿寨乡_110117214000,117.106005,40.276324,13037765.548837475,4879426.349265722
21,熊儿寨乡_110117214000,117.105431,40.276319,13037701.779230561,4879425.076906616
22,熊儿寨乡_110117214000,117.104846,40.276369,13037636.842657916,4879431.6737309275
23,熊儿寨乡_110117214000,117.10426,40.276399,13037571.768198363,4879435.387427784
24,熊儿寨乡_110117214000,117.103672,40.2764,13037506.496198883,4879434.759062358
25,熊儿寨乡_110117214000,117.105676,40.268387,13037729.54185733,4878272.477123329
26,熊儿寨乡_110117214000,117.10602,40.26875,13037767.734420324,4878325.606211257
27,熊儿寨乡_110117214000,117.106565,40.267851,13037828.348548073,4878195.4447563905
28,熊儿寨乡_110117214000,117.106103,40.268129,13037777.012669768,4878235.394890634
29,熊儿寨乡_110117214000,117.112043,40.280494,13038436.551147778,4880035.795272197
30,熊儿寨乡_110117214000,117.111461,40.280554,13038371.809962146,4880044.45202601
31,熊儿寨乡_110117214000,117.110879,40.280615,13038307.081180511,4880053.17992032
32,熊儿寨乡_110117214000,117.110297,40.280646,13038242.335969977,4880057.484415116
33,熊儿寨乡_110117214000,117.109725,40.280547,13038178.755034728,4880042.862254132
34,熊儿寨乡_110117214000,117.109226,40.28031,13038123.274102278,4880008.130654028
35,熊儿寨乡_110117214000,117.108725,40.280075,13038067.591256661,4879973.71886181
36,熊儿寨乡_110117214000,117.108215,40.279851,13038010.922317894,4879940.843808045
37,熊儿寨乡_110117214000,117.107685,40.279656,13037952.030984083,4879912.097125501
38,熊儿寨乡_110117214000,117.107156,40.279461,13037893.27026178,4879883.392822514
39,熊儿寨乡_110117214000,117.106652,40.279233,13037837.26319863,4879849.785890975
40,熊儿寨乡_110117214000,117.107454,40.277573,13037926.466256425,4879609.175882391
41,熊儿寨乡_110117214000,117.107151,40.277947,13037892.780378493,4879663.284953941
42,熊儿寨乡_110117214000,117.106905,40.278356,13037865.424467359,4879722.519220144
43,熊儿寨乡_110117214000,117.106659,40.278765,13037838.071478585,4879781.785656031
44,熊儿寨乡_110117214000,117.106566,40.267851,13037828.438940015,4878195.445520166
45,熊儿寨乡_110117214000,117.107149,40.26791,13037893.219986552,4878204.522948707
46,熊儿寨乡_110117214000,117.107139,40.276372,13037891.522202015,4879434.350678949
47,熊儿寨乡_110117214000,117.107713,40.276276,13037955.3022138,4879420.829607117
48,熊儿寨乡_110117214000,117.107339,40.244162,13037916.393673565,4874754.3267063005
49,熊儿寨乡_110117214000,117.107739,40.244491,13037960.823201116,4874802.404082123
50,熊儿寨乡_110117214000,117.107725,40.276274,13037956.628568692,4879420.563037584
51,熊儿寨乡_110117214000,117.108816,40.276487,13038077.865282629,4879452.206003825
52,熊儿寨乡_110117214000,117.108245,40.276377,13038014.408040447,4879435.893623232
53,熊儿寨乡_110117214000,117.107804,40.276282,13037965.399368845,4879421.7677861955
54,熊儿寨乡_110117214000,117.108363,40.276141,13038027.537745109,4879401.680791124
55,熊儿寨乡_110117214000,117.108136,40.245549,13038004.864621622,4874956.366564438
56,熊儿寨乡_110117214000,117.10792,40.245964,13037980.833550168,4875016.528175427
57,熊儿寨乡_110117214000,117.10938,40.264711,13038141.442132792,4877741.102136966
58,熊儿寨乡_110117214000,117.108794,40.264746,13038076.304108817,4877745.873350044
59,熊儿寨乡_110117214000,117.109041,40.242572,13038105.653639304,4874524.473152048
60,熊儿寨乡_110117214000,117.10848,40.242439,13038043.309930725,4874504.844337214
61,熊儿寨乡_110117214000,117.108716,40.265814,13038067.5096116,4877901.01946212
62,熊儿寨乡_110117214000,117.108521,40.266239,13038045.788124701,4877962.685709996
63,熊儿寨乡_110117214000,117.108844,40.276023,13038081.001794724,4879384.813878607
64,熊儿寨乡_110117214000,117.108788,40.275575,13038074.821189092,4879319.616217449
65,熊儿寨乡_110117214000,117.108672,40.275134,13038061.94754382,4879255.443973728
66,熊儿寨乡_110117214000,117.108623,40.274914,13038056.50614247,4879223.442255994
67,熊儿寨乡_110117214000,117.108839,40.274495,13038080.537331073,4879162.71914436
68,熊儿寨乡_110117214000,117.109071,40.274082,13038106.349647025,4879102.788445029
69,熊儿寨乡_110117214000,117.109303,40.273668,13038132.16467659,4879042.732844572
70,熊儿寨乡_110117214000,117.109476,40.273238,13038151.439147139,4878980.312938025
71,熊儿寨乡_110117214000,117.10964,40.272806,13038169.690126926,4878917.64832002
72,熊儿寨乡_110117214000,117.109803,40.272373,13038187.82229687,4878854.743702056
73,熊儿寨乡_110117214000,117.109973,40.271942,13038206.770351201,4878792.194430288
74,熊儿寨乡_110117214000,117.110169,40.271518,13038228.615428727,4878730.63910597
75,熊儿寨乡_110117214000,117.110366,40.271094,13038250.5530594,4878669.0795016
76,熊儿寨乡_110117214000,117.110563,40.270671,13038272.462447,4878607.712176659
77,熊儿寨乡_110117214000,117.110666,40.270229,13038283.96668886,4878543.506434696
78,熊儿寨乡_110117214000,117.10883,40.276456,13038079.405069482,4879447.720791506
79,熊儿寨乡_110117214000,117.10883,40.276456,13038079.405069482,4879447.720791506
80,熊儿寨乡_110117214000,117.10988,40.269755,13038196.587708423,4878474.3054161435
81,熊儿寨乡_110117214000,117.110378,40.269993,13038251.948813403,4878509.099656897
82,熊儿寨乡_110117214000,117.113877,40.266828,13038641.486731512,4878049.506281562
83,熊儿寨乡_110117214000,117.113627,40.267233,13038613.631104982,4878108.3593975585
84,熊儿寨乡_110117214000,117.113276,40.267594,13038574.519056784,4878160.897119799
85,熊儿寨乡_110117214000,117.112925,40.267955,13038535.442114832,4878213.378637064
86,熊儿寨乡_110117214000,117.112574,40.268316,13038496.339874458,4878265.843347806
87,熊儿寨乡_110117214000,117.112223,40.268677,13038457.242567569,4878318.251860839
88,熊儿寨乡_110117214000,117.111871,40.269038,13038418.08978561,4878370.682906956
89,熊儿寨乡_110117214000,117.111509,40.269392,13038377.765627509,4878422.069597521
90,熊儿寨乡_110117214000,117.111157,40.269752,13038338.622950545,4878474.308919571
91,熊儿寨乡_110117214000,117.110756,40.270076,13038293.967101209,4878521.310574034
92,熊儿寨乡_110117214000,117.11116,40.260183,13038339.79282061,4877083.850121941
93,熊儿寨乡_110117214000,117.111622,40.260451,13038391.155598644,4877122.874915244
94,熊儿寨乡_110117214000,117.111857,40.26662,13038416.72652945,4878019.280290595
95,熊儿寨乡_110117214000,117.112344,40.266367,13038470.903226232,4877982.599362961
96,熊儿寨乡_110117214000,117.112418,40.262758,13038479.46300907,4877458.188643345
97,熊儿寨乡_110117214000,117.112369,40.263206,13038474.01125416,4877523.244614194
98,熊儿寨乡_110117214000,117.112699,40.266201,13038510.43721272,4877958.484978936
99,熊儿寨乡_110117214000,117.113251,40.266354,13038571.865031932,4877980.707391074
100,熊儿寨乡_110117214000,117.113609,40.264379,13038611.870443296,4877693.643690106
101,熊儿寨乡_110117214000,117.113172,40.264678,13038563.221051862,4877737.15005549
102,熊儿寨乡_110117214000,117.113298,40.266366,13038577.057581509,4877982.442399206
103,熊儿寨乡_110117214000,117.113735,40.266666,13038625.67738109,4878025.985509063
104,熊儿寨乡_110117214000,117.114252,40.264097,13038683.45079328,4877652.611978893
105,熊儿寨乡_110117214000,117.113742,40.26432,13038626.674797708,4877685.087071131
106,熊儿寨乡_110117214000,117.113877,40.266828,13038641.486731512,4878049.506281562
107,熊儿寨乡_110117214000,117.115,40.266074,13038766.593750464,4877939.664958049
108,熊儿寨乡_110117214000,117.114564,40.266376,13038717.983120378,4877983.691290901
109,熊儿寨乡_110117214000,117.1141,40.266651,13038666.331763739,4878023.752883991
110,熊儿寨乡_110117214000,117.114115,40.251998,13038669.361548826,4875894.723039791
111,熊儿寨乡_110117214000,117.114687,40.25201,13038733.037788752,4875896.338742801
112,熊儿寨乡_110117214000,117.114241,40.280928,13038681.171705553,4880098.764058476
113,熊儿寨乡_110117214000,117.114276,40.281374,13038685.049577018,4880163.617100697
114,熊儿寨乡_110117214000,117.11448,40.281795,13038707.748812972,4880224.780908809
115,熊儿寨乡_110117214000,117.114826,40.282155,13038746.253177602,4880277.002349316
116,熊儿寨乡_110117214000,117.114433,40.280836,13038702.532005243,4880085.334283948
117,熊儿寨乡_110117214000,117.1159,40.263736,13038866.980526162,4877599.5797969205
118,熊儿寨乡_110117214000,117.11539,40.263956,13038810.173824746,4877631.777757431
119,熊儿寨乡_110117214000,117.114828,40.264082,13038747.586009698,4877650.235793407
120,熊儿寨乡_110117214000,117.11425,40.243218,13038685.062065551,4874619.178353552
121,熊儿寨乡_110117214000,117.114829,40.243286,13038749.492397942,4874628.937838435
122,熊儿寨乡_110117214000,117.114382,40.283473,13038696.78688806,4880468.700823808
123,熊儿寨乡_110117214000,117.114382,40.283473,13038696.78688806,4880468.700823808
124,熊儿寨乡_110117214000,117.114631,40.283069,13038724.500468988,4880409.952274891
125,熊儿寨乡_110117214000,117.114951,40.282691,13038760.16231284,4880354.887166464
126,熊儿寨乡_110117214000,117.114394,40.283592,13038698.142769465,4880486.048290344
127,熊儿寨乡_110117214000,117.114834,40.283885,13038747.134769266,4880528.51950809
128,熊儿寨乡_110117214000,117.115359,40.284088,13038805.564277302,4880557.890059502
129,熊儿寨乡_110117214000,117.115851,40.284331,13038860.376487898,4880592.951081689
130,熊儿寨乡_110117214000,117.115507,40.280977,13038822.10993983,4880105.523746887
131,熊儿寨乡_110117214000,117.114946,40.280843,13038759.629451482,4880086.22852015
132,熊儿寨乡_110117214000,117.115691,40.297867,13038842.947929371,4882561.469554866
133,熊儿寨乡_110117214000,117.115111,40.297922,13038778.345634744,4882569.717620872
134,熊儿寨乡_110117214000,117.115,40.266074,13038766.593750464,4877939.664958049
135,熊儿寨乡_110117214000,117.115398,40.265743,13038810.92364824,4877891.406224059
136,熊儿寨乡_110117214000,117.115728,40.265377,13038847.677679624,4877838.103612688
137,熊儿寨乡_110117214000,117.115988,40.264974,13038876.702545054,4877779.451840154
138,熊儿寨乡_110117214000,117.116388,40.264646,13038921.25879767,4877731.611780596
139,熊儿寨乡_110117214000,117.116711,40.264275,13038957.27031273,4877677.480111138
140,熊儿寨乡_110117214000,117.115154,40.282492,13038782.769235596,4880325.900060792
141,熊儿寨乡_110117214000,117.115742,40.282506,13038848.251185741,4880327.704457862
142,熊儿寨乡_110117214000,117.116575,40.242228,13038944.040405275,4874474.484386119
143,熊儿寨乡_110117214000,117.116184,40.241892,13038900.477004822,4874425.86819202
144,熊儿寨乡_110117214000,117.115838,40.241532,13038861.96735156,4874373.748464304
145,熊儿寨乡_110117214000,117.115625,40.241122,13038838.272220364,4874314.283420078
146,熊儿寨乡_110117214000,117.1159,40.263736,13038866.980526162,4877599.5797969205
147,熊儿寨乡_110117214000,117.115782,40.263295,13038853.881148126,4877535.541347774
148,熊儿寨乡_110117214000,117.1159,40.263736,13038866.980526162,4877599.5797969205
149,熊儿寨乡_110117214000,117.116449,40.263898,13038928.139079876,4877622.856312621
150,熊儿寨乡_110117214000,117.116218,40.284575,13038901.233306883,4880628.3048701715
151,熊儿寨乡_110117214000,117.11637,40.285009,13038918.150605768,4880691.334162233
152,熊儿寨乡_110117214000,117.116517,40.285445,13038934.525664877,4880754.639288173
153,熊儿寨乡_110117214000,117.116737,40.285857,13038959.034955557,4880814.3993948
154,熊儿寨乡_110117214000,117.117112,40.286204,13039000.811302569,4880864.651030423
155,熊儿寨乡_110117214000,117.117581,40.286466,13039053.057012908,4880902.408607004
156,熊儿寨乡_110117214000,117.116785,40.26406,13038965.546098633,4877646.194347797
157,熊儿寨乡_110117214000,117.116785,40.26406,13038965.546098633,4877646.194347797
158,熊儿寨乡_110117214000,117.116785,40.26406,13038965.546098633,4877646.194347797
159,熊儿寨乡_110117214000,117.117352,40.263942,13039028.71747659,4877628.684811193
160,熊儿寨乡_110117214000,117.117925,40.26384,13039092.564063521,4877613.492115686
161,熊儿寨乡_110117214000,117.117725,40.28079,13039069.184287213,4880077.094540561
162,熊儿寨乡_110117214000,117.117185,40.280968,13039009.003294785,4880103.340210356
163,熊儿寨乡_110117214000,117.117645,40.286499,13039060.193103017,4880907.142742619
164,熊儿寨乡_110117214000,117.118231,40.286527,13039125.48639594,4880910.83695799
165,熊儿寨乡_110117214000,117.118818,40.286553,13039190.912980553,4880914.0895159375
166,熊儿寨乡_110117214000,117.119401,40.286603,13039255.8976296,4880920.848173399
167,熊儿寨乡_110117214000,117.119982,40.286671,13039320.682173435,4880930.126522465
168,熊儿寨乡_110117214000,117.12055,40.286779,13039383.994916975,4880945.2884944575
169,熊儿寨乡_110117214000,117.121105,40.286927,13039445.895589344,4880966.139848571
170,熊儿寨乡_110117214000,117.121681,40.287016,13039510.138744729,4880978.371007862
171,熊儿寨乡_110117214000,117.122258,40.287105,13039574.51417255,4880990.558779261
172,熊儿寨乡_110117214000,117.122831,40.287203,13039638.446225464,4881004.050831444
173,熊儿寨乡_110117214000,117.123404,40.287304,13039702.388968782,4881017.89681386
174,熊儿寨乡_110117214000,117.117949,40.263836,13039095.25604737,4877612.925262438
175,熊儿寨乡_110117214000,117.117993,40.252244,13039101.235914161,4875928.644295617
176,熊儿寨乡_110117214000,117.11857,40.252324,13039165.530122165,4875939.800986746
177,熊儿寨乡_110117214000,117.119092,40.252511,13039223.683353793,4875966.520009699
178,熊儿寨乡_110117214000,117.119568,40.252775,13039276.754588041,4876004.431623755
179,熊儿寨乡_110117214000,117.118913,40.263622,13039202.686918853,4877581.045436668
180,熊儿寨乡_110117214000,117.118349,40.263748,13039139.815676792,4877599.77668184
181,熊儿寨乡_110117214000,117.118221,40.283002,13039124.384340925,4880398.314632041
182,熊儿寨乡_110117214000,117.118662,40.283295,13039173.55752504,4880440.552077498
183,熊儿寨乡_110117214000,117.119113,40.283583,13039223.827377424,4880482.006859937
184,熊儿寨乡_110117214000,117.119572,40.283862,13039274.982587727,4880522.126960314
185,熊儿寨乡_110117214000,117.120079,40.28409,13039331.503411362,4880554.802216321
186,熊儿寨乡_110117214000,117.120654,40.28415,13039395.604658615,4880562.89065424
187,熊儿寨乡_110117214000,117.118362,40.242551,13039143.10275154,4874520.209368113
188,熊儿寨乡_110117214000,117.118284,40.242997,13039134.388625717,4874585.075678547
189,熊儿寨乡_110117214000,117.119573,40.279554,13039275.180386748,4879895.859663108
190,熊儿寨乡_110117214000,117.119173,40.279884,13039230.59646595,4879944.207272942
191,熊儿寨乡_110117214000,117.118772,40.280213,13039185.897768531,4879992.416553216
192,熊儿寨乡_110117214000,117.119227,40.255384,13039238.502217922,4876383.807833064
193,熊儿寨乡_110117214000,117.118903,40.255009,13039202.42055995,4876329.604463561
194,熊儿寨乡_110117214000,117.119363,40.264306,13039252.80580592,4877680.001013595
195,熊儿寨乡_110117214000,117.119073,40.263917,13039220.50461965,4877623.720251058
196,熊儿寨乡_110117214000,117.119518,40.262963,13039270.225815702,4877484.681428564
197,熊儿寨乡_110117214000,117.119176,40.263328,13039232.063971728,4877538.043515585
198,熊儿寨乡_110117214000,117.119227,40.255384,13039238.502217922,4876383.807833064
199,熊儿寨乡_110117214000,117.119774,40.255219,13039299.458794227,4876359.314558638
200,熊儿寨乡_110117214000,117.119377,40.245246,13039256.05882829,4874910.810327466
201,熊儿寨乡_110117214000,117.119377,40.245246,13039256.05882829,4874910.810327466
202,熊儿寨乡_110117214000,117.119516,40.244811,13039271.58694579,4874847.496720347
203,熊儿寨乡_110117214000,117.119431,40.245535,13039262.0551853,4874952.766869458
204,熊儿寨乡_110117214000,117.119477,40.245981,13039267.160201352,4875017.503197983
205,熊儿寨乡_110117214000,117.119599,40.246416,13039280.707568165,4875080.560011222
206,熊儿寨乡_110117214000,117.119792,40.246838,13039302.21430561,4875141.701035757
207,熊儿寨乡_110117214000,117.12002,40.24725,13039327.596257936,4875201.308658881
208,熊儿寨乡_110117214000,117.12032,40.260103,13039359.900079023,4877068.300113549
209,熊儿寨乡_110117214000,117.119953,40.260454,13039318.945134036,4877119.708417157
210,熊儿寨乡_110117214000,117.119583,40.260804,13039277.662236938,4877170.904781561
