﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,王辛庄镇_110117110000,117.021502,40.230229,13028349.382272473,4872669.830492666
1,王辛庄镇_110117110000,117.022068,40.230347,13028413.073599815,4872685.695153973
2,王辛庄镇_110117110000,117.022635,40.230465,13028476.856981263,4872701.553940186
3,王辛庄镇_110117110000,117.023201,40.230583,13028540.549734278,4872717.41253135
4,王辛庄镇_110117110000,117.023771,40.23069,13028604.668237388,4872731.644540807
5,王辛庄镇_110117110000,117.022505,40.2163,13028461.610531962,4870644.053747023
6,王辛庄镇_110117110000,117.023019,40.216484,13028519.482010597,4870669.627137001
7,王辛庄镇_110117110000,117.023536,40.216696,13028577.65933628,4870699.250465498
8,王辛庄镇_110117110000,117.024042,40.216925,13028634.591642318,4870731.346199511
9,王辛庄镇_110117110000,117.024185,40.230723,13028651.253366148,4872735.498832559
10,王辛庄镇_110117110000,117.024303,40.23116,13028664.527369812,4872798.7356017195
11,王辛庄镇_110117110000,117.024261,40.231609,13028659.779760784,4872864.056407899
12,王辛庄镇_110117110000,117.024218,40.232058,13028654.970227733,4872929.339191528
13,王辛庄镇_110117110000,117.024176,40.232507,13028650.250707554,4872994.659135123
14,王辛庄镇_110117110000,117.024133,40.232956,13028645.378102643,4873059.9826322
15,王辛庄镇_110117110000,117.024185,40.230723,13028651.253366148,4872735.498832559
16,王辛庄镇_110117110000,117.024395,40.230306,13028674.86957919,4872674.456415606
17,王辛庄镇_110117110000,117.024448,40.229858,13028680.829349818,4872609.224659606
18,王辛庄镇_110117110000,117.02451,40.229411,13028687.790766189,4872544.1659648055
19,王辛庄镇_110117110000,117.024541,40.228961,13028691.286766276,4872478.716875247
20,王辛庄镇_110117110000,117.024573,40.228511,13028694.87276005,4872413.265536728
21,王辛庄镇_110117110000,117.024624,40.228063,13028700.584766665,4872348.078694827
22,王辛庄镇_110117110000,117.024675,40.227615,13028706.325996784,4872282.85166434
23,王辛庄镇_110117110000,117.024723,40.227166,13028711.701400535,4872217.554446029
24,王辛庄镇_110117110000,117.024769,40.226718,13028716.893320484,4872152.37970477
25,王辛庄镇_110117110000,117.024814,40.226269,13028721.932127597,4872087.050910294
26,王辛庄镇_110117110000,117.024865,40.225735,13028727.667285133,4872009.333466256
27,王辛庄镇_110117110000,117.025601,40.218495,13028810.085474735,4870955.862964388
28,王辛庄镇_110117110000,117.025456,40.218928,13028793.791165905,4871019.134969246
29,王辛庄镇_110117110000,117.02541,40.219377,13028788.648931561,4871084.467264316
30,王辛庄镇_110117110000,117.025372,40.219826,13028784.417290166,4871149.777928387
31,王辛庄镇_110117110000,117.025349,40.220276,13028781.85597552,4871215.20651797
32,王辛庄镇_110117110000,117.025306,40.220725,13028777.044862084,4871280.5308532035
33,王辛庄镇_110117110000,117.02527,40.221174,13028773.022759074,4871345.836411756
34,王辛庄镇_110117110000,117.025234,40.221623,13028768.999576239,4871411.14194115
35,王辛庄镇_110117110000,117.025207,40.222073,13028766.008519417,4871476.541101565
36,王辛庄镇_110117110000,117.025171,40.222522,13028761.952768058,4871541.886677414
37,王辛庄镇_110117110000,117.025131,40.222971,13028757.470468072,4871607.2029166
38,王辛庄镇_110117110000,117.02509,40.223421,13028752.865531469,4871672.679606192
39,王辛庄镇_110117110000,117.025047,40.223869,13028748.077076985,4871737.845371498
40,王辛庄镇_110117110000,117.024995,40.224318,13028742.223943027,4871803.193976532
41,王辛庄镇_110117110000,117.024947,40.224766,13028736.855851585,4871868.373373169
42,王辛庄镇_110117110000,117.024909,40.225215,13028732.580611024,4871933.684309273
