﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,甘家口街道_110108004000,116.291372,39.920317,12947025.960284593,4827770.885112022
1,甘家口街道_110108004000,116.291891,39.920523,12947084.099471815,4827799.670065662
2,甘家口街道_110108004000,116.292151,39.921969,12947113.205845742,4828008.254848185
3,甘家口街道_110108004000,116.291754,39.922299,12947068.698897576,4828056.754997846
4,甘家口街道_110108004000,116.291477,39.922694,12947037.668156007,4828114.363686041
5,甘家口街道_110108004000,116.291752,39.919028,12947068.604710476,4827583.812477522
6,甘家口街道_110108004000,116.292007,39.919433,12947097.14313287,4827641.893819568
7,甘家口街道_110108004000,116.291752,39.919028,12947068.604710476,4827583.812477522
8,甘家口街道_110108004000,116.291887,39.918593,12947083.74301394,4827520.7043571
9,甘家口街道_110108004000,116.292146,39.918193,12947112.812078213,4827462.3473195955
10,甘家口街道_110108004000,116.292535,39.917863,12947156.418665476,4827413.897725252
11,甘家口街道_110108004000,116.293002,39.917593,12947208.737586528,4827373.930147027
12,甘家口街道_110108004000,116.292399,39.919842,12947141.07263693,4827700.2606020775
13,甘家口街道_110108004000,116.292151,39.921969,12947113.205845742,4828008.254848185
14,甘家口街道_110108004000,116.292254,39.921886,12947124.773338802,4827996.031151757
15,甘家口街道_110108004000,116.292227,39.921436,12947121.756146831,4827931.028138177
16,甘家口街道_110108004000,116.292217,39.920986,12947120.621908262,4827865.989671372
17,甘家口街道_110108004000,116.292399,39.919842,12947141.07263693,4827700.2606020775
18,甘家口街道_110108004000,116.292338,39.920289,12947134.221417835,4827764.980977943
19,甘家口街道_110108004000,116.292254,39.921886,12947124.773338802,4827996.031151757
20,甘家口街道_110108004000,116.292648,39.922219,12947168.895135807,4828043.410069407
21,甘家口街道_110108004000,116.292399,39.919842,12947141.07263693,4827700.2606020775
22,甘家口街道_110108004000,116.292777,39.919499,12947183.464989176,4827649.942507765
23,甘家口街道_110108004000,116.293682,39.922562,12947284.818837905,4828090.904767056
24,甘家口街道_110108004000,116.293113,39.922471,12947221.0075468,4828078.931593758
25,甘家口街道_110108004000,116.292999,39.919275,12947208.338409003,4827617.09908901
26,甘家口街道_110108004000,116.293483,39.919029,12947262.601464078,4827580.525267984
27,甘家口街道_110108004000,116.294019,39.918849,12947322.695149826,4827553.38365661
28,甘家口街道_110108004000,116.294555,39.918669,12947382.824567307,4827526.260996597
29,甘家口街道_110108004000,116.295091,39.918489,12947442.928759512,4827499.081094605
30,甘家口街道_110108004000,116.295626,39.918309,12947502.916316416,4827471.9253499685
31,甘家口街道_110108004000,116.29311,39.917531,12947220.853867125,4827364.748966028
32,甘家口街道_110108004000,116.293587,39.917366,12947274.355994105,4827339.952101048
33,甘家口街道_110108004000,116.29416,39.917277,12947338.575791761,4827325.859029031
34,甘家口街道_110108004000,116.294735,39.917198,12947403.074155694,4827313.228040685
35,甘家口街道_110108004000,116.293682,39.922562,12947284.818837905,4828090.904767056
