﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,石城镇_110118116000,116.673481,40.553962,12989573.296849191,4919767.643950415
1,石城镇_110118116000,116.673456,40.554412,12989570.551337894,4919833.409672461
2,石城镇_110118116000,116.67333,40.554843,12989556.446685122,4919896.64273443
3,石城镇_110118116000,116.677599,40.552226,12990035.21664401,4919506.092465807
4,石城镇_110118116000,116.677135,40.552504,12989983.204534464,4919547.51952271
5,石城镇_110118116000,116.6766,40.552695,12989923.226800496,4919576.402675096
6,石城镇_110118116000,116.676065,40.552885,12989863.212133026,4919605.19243667
7,石城镇_110118116000,116.67553,40.553076,12989803.19125806,4919634.085368677
8,石城镇_110118116000,116.674997,40.553269,12989743.377103219,4919663.313924548
9,石城镇_110118116000,116.67449,40.5535,12989686.50636158,4919698.0888233865
10,石城镇_110118116000,116.673983,40.553731,12989629.630651921,4919732.8431982
11,石城镇_110118116000,116.673617,40.560265,12989589.352083199,4920688.1384976385
12,石城镇_110118116000,116.674198,40.560209,12989654.569332976,4920678.784173389
13,石城镇_110118116000,116.678056,40.551525,12990086.421522364,4919402.916070162
14,石城镇_110118116000,116.677793,40.551928,12990056.971654164,4919462.253921461
15,石城镇_110118116000,116.679403,40.55677,12990238.113387011,4920166.90798604
16,石城镇_110118116000,116.679967,40.556637,12990301.333776308,4920146.629488758
17,石城镇_110118116000,116.682561,40.548904,12990591.138142219,4919013.396164908
18,石城镇_110118116000,116.682996,40.548601,12990639.837908994,4918968.635187491
19,石城镇_110118116000,116.683534,40.548462,12990700.09105683,4918947.711562494
20,石城镇_110118116000,116.684989,40.54876,12990863.055613803,4918989.732989241
21,石城镇_110118116000,116.684453,40.548574,12990803.008833667,4918963.115992837
22,石城镇_110118116000,116.685705,40.553513,12990943.754468504,4919683.388226562
23,石城镇_110118116000,116.68628,40.553412,12991008.079236627,4919668.149648888
24,石城镇_110118116000,116.687749,40.549393,12991171.981864797,4919080.096522852
25,石城镇_110118116000,116.687355,40.549059,12991127.859275283,4919031.53530638
26,石城镇_110118116000,116.688391,40.550811,12991243.950496783,4919286.85659249
27,石城镇_110118116000,116.688591,40.551234,12991266.349659704,4919348.566596258
28,石城镇_110118116000,116.697742,40.554965,12992288.498634668,4919894.902856684
29,石城镇_110118116000,116.697155,40.555008,12992223.051063387,4919900.792057106
30,石城镇_110118116000,116.696723,40.626927,12992175.441054614,4930409.23760147
31,石城镇_110118116000,116.697254,40.627124,12992234.638648868,4930438.392211517
32,石城镇_110118116000,116.69792,40.536312,12992306.534008723,4917170.765865236
33,石城镇_110118116000,116.69851,40.536296,12992372.270710256,4917168.901806311
34,石城镇_110118116000,116.698105,40.62733,12992329.50096374,4930469.19296505
35,石城镇_110118116000,116.698035,40.631408,12992321.372826824,4931065.214315563
36,石城镇_110118116000,116.698603,40.631284,12992384.675656475,4931047.572283375
37,石城镇_110118116000,116.699172,40.631163,12992448.057019927,4931030.410915489
38,石城镇_110118116000,116.699623,40.627336,12992498.63140859,4930471.467613643
39,石城镇_110118116000,116.699041,40.627259,12992433.77007099,4930459.617315709
40,石城镇_110118116000,116.698458,40.627286,12992368.82590645,4930463.068188976
41,石城镇_110118116000,116.698527,40.536296,12992374.170271683,4917168.912712387
42,石城镇_110118116000,116.699079,40.536453,12992435.681078626,4917192.366967231
43,石城镇_110118116000,116.700103,40.536121,12992549.721696172,4917144.913528075
44,石城镇_110118116000,116.699584,40.536336,12992491.954577338,4917175.802410642
45,石城镇_110118116000,116.699506,40.560332,12992485.701937912,4920680.587520779
46,石城镇_110118116000,116.699768,40.560735,12992514.952764474,4920739.735561485
47,石城镇_110118116000,116.699989,40.561151,12992539.621607633,4920800.759825115
48,石城镇_110118116000,116.699653,40.631188,12992501.648709262,4931034.543133363
49,石城镇_110118116000,116.700486,40.627712,12992594.700109856,4930527.358797016
50,石城镇_110118116000,116.699986,40.627474,12992539.03419251,4930492.051750321
51,石城镇_110118116000,116.700376,40.631092,12992582.213187434,4931021.284332327
52,石城镇_110118116000,116.699796,40.631168,12992517.56424198,4931031.765421779
53,石城镇_110118116000,116.700888,40.554999,12992638.957244106,4919902.998146586
54,石城镇_110118116000,116.701431,40.555173,12992699.439817773,4919929.08452109
55,石城镇_110118116000,116.701959,40.555366,12992758.22767009,4919957.965184063
56,石城镇_110118116000,116.701787,40.625853,12992739.703106241,4930257.265388835
57,石城镇_110118116000,116.701428,40.62621,12992699.72517345,4930308.952112727
58,石城镇_110118116000,116.701069,40.626567,12992659.712928133,4930360.695354379
59,石城镇_110118116000,116.702805,40.536119,12992850.537231648,4917148.055762806
60,石城镇_110118116000,116.702233,40.536018,12992786.872269643,4917132.502443906
61,石城镇_110118116000,116.701657,40.535923,12992722.744718567,4917117.857552544
62,石城镇_110118116000,116.701453,40.6247,12992702.651844094,4930088.317823053
63,石城镇_110118116000,116.701709,40.625104,12992731.10542195,4930147.663992167
64,石城镇_110118116000,116.70186,40.625335,12992747.888652619,4930181.62487328
65,石城镇_110118116000,116.701795,40.625782,12992740.613996759,4930246.853236036
66,石城镇_110118116000,116.704163,40.624641,12993004.189346448,4930083.545353687
67,石城镇_110118116000,116.703573,40.624644,12992938.567814901,4930083.072145736
68,石城镇_110118116000,116.704005,40.564527,12992987.037646053,4921299.335399048
69,石城镇_110118116000,116.704256,40.564934,12993015.012683604,4921359.216630043
70,石城镇_110118116000,116.704957,40.556294,12993091.898041025,4920098.069155334
71,石城镇_110118116000,116.704367,40.556323,12993026.264174622,4920101.342781862
72,石城镇_110118116000,116.704399,40.565094,12993030.92101443,4921382.82663989
73,石城镇_110118116000,116.704967,40.565212,12993094.102114018,4921400.992333196
74,石城镇_110118116000,116.705853,40.556799,12993191.577069743,4920173.379319062
75,石城镇_110118116000,116.70538,40.556529,12993138.92540505,4920133.119367788
76,石城镇_110118116000,116.705007,40.631745,12993097.466265602,4931123.333271466
77,石城镇_110118116000,116.705209,40.632168,12993119.908501389,4931185.5348617695
78,石城镇_110118116000,116.7053,40.565226,12993131.115398373,4921403.62694902
79,石城镇_110118116000,116.70573,40.564919,12993178.89277235,4921359.524083877
80,石城镇_110118116000,116.705187,40.621022,12993118.394198755,4929556.354652595
81,石城镇_110118116000,116.705613,40.621334,12993165.719338963,4929602.684353952
82,石城镇_110118116000,116.705756,40.537388,12993178.817475973,4917338.089179203
83,石城镇_110118116000,116.706321,40.537517,12993241.638192188,4917357.951918631
84,石城镇_110118116000,116.706886,40.537647,12993304.449560435,4917377.969270261
