﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,石楼镇_110111104000,115.935325,39.630876,12907381.14195742,4785970.822215931
1,石楼镇_110111104000,115.935903,39.630818,12907445.916484486,4785961.2112742765
2,石楼镇_110111104000,115.936482,39.630817,12907510.847283507,4785959.779319369
3,石楼镇_110111104000,115.936581,39.635098,12907521.925720226,4786576.040962354
4,石楼镇_110111104000,115.936546,39.634648,12907517.99260534,4786511.297398056
5,石楼镇_110111104000,115.93651,39.634199,12907513.967234531,4786446.7509342525
6,石楼镇_110111104000,115.936538,39.63375,12907517.108344562,4786382.04947358
7,石楼镇_110111104000,115.936636,39.633308,12907528.084007526,4786318.154601833
8,石楼镇_110111104000,115.936783,39.632872,12907544.58627468,4786255.037323427
9,石楼镇_110111104000,115.936792,39.632422,12907545.628474202,4786190.224586334
10,石楼镇_110111104000,115.9368,39.631972,12907546.48729084,4786125.415723171
11,石楼镇_110111104000,115.936758,39.631523,12907541.786839658,4786060.8447229415
12,石楼镇_110111104000,115.9367,39.631076,12907535.293295017,4785996.585802551
13,石楼镇_110111104000,115.936581,39.630836,12907521.962933198,4785962.311878829
14,石楼镇_110111104000,115.936928,39.630474,12907560.842679866,4785909.408482021
15,石楼镇_110111104000,115.938331,39.630441,12907718.185594363,4785901.519541465
16,石楼镇_110111104000,115.937783,39.630295,12907656.735312086,4785881.720287062
17,石楼镇_110111104000,115.937203,39.630266,12907591.703497315,4785878.857589208
18,石楼镇_110111104000,115.938037,39.628535,12907685.20227131,4785627.70462198
19,石楼镇_110111104000,115.937838,39.628116,12907662.904735828,4785567.821971542
20,石楼镇_110111104000,115.937828,39.628012,12907661.749924984,4785552.889747818
21,石楼镇_110111104000,115.93784,39.627953,12907663.11650047,4785544.345581463
22,石楼镇_110111104000,115.938373,39.627779,12907722.896466985,4785518.096948111
23,石楼镇_110111104000,115.938951,39.627729,12907787.6927338,4785509.571530279
24,石楼镇_110111104000,115.939531,39.627682,12907852.765647922,4785501.457303708
25,石楼镇_110111104000,115.94011,39.627635,12907917.719905652,4785493.3349374365
26,石楼镇_110111104000,115.940689,39.627588,12907982.646280728,4785485.242810136
27,石楼镇_110111104000,115.941261,39.627651,12908046.846444814,4785492.976463241
28,石楼镇_110111104000,115.938037,39.628535,12907685.20227131,4785627.70462198
29,石楼镇_110111104000,115.938504,39.628801,12907737.603118531,4785664.963338469
