﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,礼贤镇_110115106000,116.318859,39.552769,12950104.716538887,4774705.431694277
1,礼贤镇_110115106000,116.318859,39.552769,12950104.716538887,4774705.431694277
2,礼贤镇_110115106000,116.319004,39.552335,12950121.009403128,4774642.760160146
3,礼贤镇_110115106000,116.318963,39.551889,12950116.436825521,4774578.680837216
4,礼贤镇_110115106000,116.318946,39.550652,12950114.633959245,4774400.83538739
5,礼贤镇_110115106000,116.318927,39.5511,12950112.47112732,4774465.297347257
6,礼贤镇_110115106000,116.318904,39.551549,12950109.853934543,4774529.923637833
7,礼贤镇_110115106000,116.319735,39.550112,12950203.086979182,4774321.946870925
8,礼贤镇_110115106000,116.319303,39.550412,12950154.62900952,4774365.741941783
9,礼贤镇_110115106000,116.319001,39.553122,12950120.611336883,4774755.946768001
10,礼贤镇_110115106000,116.319317,39.556829,12950155.796658566,4775288.619847787
11,礼贤镇_110115106000,116.319144,39.556402,12950136.44482637,4775227.464532471
12,礼贤镇_110115106000,116.319135,39.555953,12950135.474174008,4775162.928112629
13,礼贤镇_110115106000,116.319126,39.555503,12950134.474199101,4775098.198001167
14,礼贤镇_110115106000,116.319118,39.555053,12950133.596419627,4775033.505724506
15,礼贤镇_110115106000,116.319109,39.554603,12950132.62855366,4774968.776759243
16,礼贤镇_110115106000,116.3191,39.554153,12950131.631200783,4774904.088106934
17,礼贤镇_110115106000,116.319092,39.553703,12950130.756028648,4774839.359255781
18,礼贤镇_110115106000,116.319025,39.553256,12950123.26962497,4774775.169368785
19,礼贤镇_110115106000,116.319001,39.553122,12950120.611336883,4774755.946768001
20,礼贤镇_110115106000,116.319582,39.553113,12950185.725678056,4774753.7543957615
21,礼贤镇_110115106000,116.320164,39.553099,12950250.922396552,4774750.892692455
22,礼贤镇_110115106000,116.320745,39.553083,12950316.019081654,4774747.755500403
23,礼贤镇_110115106000,116.321326,39.55307,12950381.07574052,4774745.083747006
24,礼贤镇_110115106000,116.319176,39.549808,12950140.460191507,4774279.124854004
25,礼贤镇_110115106000,116.319658,39.550058,12950194.449344587,4774314.284927392
26,礼贤镇_110115106000,116.319317,39.556829,12950155.796658566,4775288.619847787
27,礼贤镇_110115106000,116.319171,39.557261,12950139.39218618,4775350.945608271
28,礼贤镇_110115106000,116.31919,39.557711,12950141.548315711,4775415.660135368
29,礼贤镇_110115106000,116.31921,39.55816,12950143.735792518,4775480.258036787
30,礼贤镇_110115106000,116.319283,39.558606,12950151.899070675,4775544.252158371
31,礼贤镇_110115106000,116.319375,39.559051,12950162.216464978,4775608.134685829
32,礼贤镇_110115106000,116.319478,39.559494,12950173.71748216,4775671.687759676
33,礼贤镇_110115106000,116.31958,39.559937,12950185.128248055,4775735.244205779
34,礼贤镇_110115106000,116.319799,39.560348,12950209.6717718,4775794.029669858
35,礼贤镇_110115106000,116.319317,39.556829,12950155.796658566,4775288.619847787
36,礼贤镇_110115106000,116.319899,39.55682,12950220.997011535,4775286.444319549
37,礼贤镇_110115106000,116.320481,39.556807,12950286.218801212,4775283.717978355
38,礼贤镇_110115106000,116.321062,39.556795,12950351.279547336,4775281.185587856
39,礼贤镇_110115106000,116.321644,39.556783,12950416.482267164,4775278.648498664
40,礼贤镇_110115106000,116.322226,39.55677,12950481.644864393,4775276.032292391
41,礼贤镇_110115106000,116.322807,39.556758,12950546.676107427,4775273.611968914
42,礼贤镇_110115106000,116.323389,39.556745,12950611.848646177,4775271.072707932
43,礼贤镇_110115106000,116.323971,39.556733,12950676.980319941,4775268.729724541
44,礼贤镇_110115106000,116.324553,39.556721,12950742.131575884,4775266.466005405
45,礼贤镇_110115106000,116.325134,39.556708,12950807.120636525,4775264.050166815
46,礼贤镇_110115106000,116.325716,39.556696,12950872.25000663,4775261.830650363
47,礼贤镇_110115106000,116.326298,39.556683,12950937.337964315,4775259.497984297
48,礼贤镇_110115106000,116.326879,39.556669,12951002.293578748,4775257.053453929
49,礼贤镇_110115106000,116.327461,39.556654,12951067.389094537,4775254.534229412
50,礼贤镇_110115106000,116.328042,39.55664,12951132.35190607,4775252.177083143
51,礼贤镇_110115106000,116.328624,39.556625,12951197.393807791,4775249.746824637
52,礼贤镇_110115106000,116.329206,39.55661,12951262.423859311,4775247.361589762
53,礼贤镇_110115106000,116.329787,39.556596,12951327.35117951,4775245.17822634
54,礼贤镇_110115106000,116.330369,39.556583,12951392.387375552,4775243.1569464
55,礼贤镇_110115106000,116.330951,39.556575,12951457.38088933,4775241.92292197
56,礼贤镇_110115106000,116.331532,39.556575,12951522.271055186,4775241.866558031
57,礼贤镇_110115106000,116.320211,39.550096,12950256.395920394,4774318.926759716
58,礼贤镇_110115106000,116.31987,39.560418,12950217.613370886,4775803.9685062235
59,礼贤镇_110115106000,116.319772,39.560858,12950206.616198948,4775867.416306097
60,礼贤镇_110115106000,116.319843,39.561305,12950214.57225993,4775931.618200473
61,礼贤镇_110115106000,116.319914,39.561752,12950222.498931507,4775995.821977086
62,礼贤镇_110115106000,116.319981,39.562199,12950229.971705526,4776060.034292351
63,礼贤镇_110115106000,116.320015,39.562648,12950233.806689357,4776124.577939251
64,礼贤镇_110115106000,116.320047,39.563097,12950237.369856419,4776189.08786516
65,礼贤镇_110115106000,116.320158,39.563537,12950249.788333021,4776252.212655547
66,礼贤镇_110115106000,116.31987,39.560418,12950217.613370886,4775803.9685062235
67,礼贤镇_110115106000,116.320448,39.560373,12950282.35179014,4775796.683482059
68,礼贤镇_110115106000,116.321028,39.560401,12950347.320100483,4775799.884595011
69,礼贤镇_110115106000,116.321609,39.560429,12950412.400089243,4775803.159298554
