﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,穆家峪镇_110118106000,116.860321,40.425226,13010354.856186965,4901041.767675478
1,穆家峪镇_110118106000,116.860173,40.424791,13010338.401434315,4900978.105816833
2,穆家峪镇_110118106000,116.861532,40.426079,13010489.00962904,4901167.886987197
3,穆家峪镇_110118106000,116.862121,40.426089,13010554.231840538,4901170.16605629
4,穆家峪镇_110118106000,116.862709,40.426097,13010619.40409281,4901172.088724899
5,穆家峪镇_110118106000,116.863298,40.426105,13010684.647174578,4901174.011547447
6,穆家峪镇_110118106000,116.863887,40.426112,13010749.931111997,4901175.73559427
7,穆家峪镇_110118106000,116.864475,40.426119,13010815.07558184,4901177.416065749
8,穆家峪镇_110118106000,116.865064,40.426127,13010880.381882692,4901179.174377303
9,穆家峪镇_110118106000,116.865653,40.426134,13010945.699552707,4901180.7708369
10,穆家峪镇_110118106000,116.866241,40.426142,13011010.908416836,4901182.440813673
11,穆家峪镇_110118106000,116.86683,40.426149,13011076.24944992,4901183.948903022
12,穆家峪镇_110118106000,116.863625,40.421519,13010720.469399655,4900505.935028177
13,穆家峪镇_110118106000,116.863998,40.421172,13010761.773852035,4900455.773005814
14,穆家峪镇_110118106000,116.864272,40.38051,13010793.087110344,4894533.433146277
15,穆家峪镇_110118106000,116.864859,40.380538,13010858.175266061,4894538.123725245
16,穆家峪镇_110118106000,116.865447,40.380566,13010923.334940486,4894542.772215459
17,穆家峪镇_110118106000,116.866034,40.380594,13010988.41573951,4894547.376366705
18,穆家峪镇_110118106000,116.866622,40.380622,13011053.65878269,4894551.937927148
19,穆家峪镇_110118106000,116.867209,40.38065,13011118.762964701,4894556.4929610435
20,穆家峪镇_110118106000,116.867782,40.38074,13011182.335293582,4894569.991860987
21,穆家峪镇_110118106000,116.865808,40.4245,13010962.73016691,4900942.714474585
22,穆家峪镇_110118106000,116.865338,40.424766,13010910.651248248,4900981.072900378
23,穆家峪镇_110118106000,116.865765,40.422398,13010957.78178015,4900636.268134983
24,穆家峪镇_110118106000,116.865476,40.422788,13010925.736160584,4900692.854921205
25,穆家峪镇_110118106000,116.867344,40.426157,13011133.25578712,4901185.541332188
26,穆家峪镇_110118106000,116.867854,40.42593,13011189.829115368,4901152.78570847
27,穆家峪镇_110118106000,116.867648,40.420577,13011166.494616127,4900372.42786222
28,穆家峪镇_110118106000,116.868137,40.420326,13011220.756429989,4900336.122671815
29,穆家峪镇_110118106000,116.868599,40.420054,13011272.01128033,4900296.762106067
30,穆家峪镇_110118106000,116.86897,40.419704,13011313.19991647,4900245.9287575465
31,穆家峪镇_110118106000,116.870584,40.383658,13011493.165507255,4894996.167834318
32,穆家峪镇_110118106000,116.870018,40.383771,13011430.2982275,4895012.418561003
