﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,羊坊店街道_110108003000,116.288913,39.891683,12946752.784730583,4823637.099887877
1,羊坊店街道_110108003000,116.289482,39.891581,12946816.525322866,4823621.403117266
2,羊坊店街道_110108003000,116.289006,39.888589,12946763.46557897,4823189.901574485
3,羊坊店街道_110108003000,116.288971,39.889038,12946759.50972008,4823254.829389918
4,羊坊店街道_110108003000,116.288971,39.889488,12946759.465990275,4823319.848674551
5,羊坊店街道_110108003000,116.289006,39.888589,12946763.46557897,4823189.901574485
6,羊坊店街道_110108003000,116.289082,39.886695,12946772.10312904,4822916.124480077
7,羊坊店街道_110108003000,116.289082,39.887145,12946772.092954164,4822981.142450402
8,羊坊店街道_110108003000,116.289106,39.887595,12946774.751374304,4823046.115644234
9,羊坊店街道_110108003000,116.289169,39.885892,12946781.940816697,4822799.953741336
10,羊坊店街道_110108003000,116.28916,39.88634,12946780.900758065,4822864.675380187
11,羊坊店街道_110108003000,116.28971,39.890509,12946842.14681315,4823466.114011372
12,羊坊店街道_110108003000,116.289129,39.890462,12946777.083497263,4823460.32909903
13,羊坊店街道_110108003000,116.289086,39.8899,12946772.316579795,4823379.204292276
14,羊坊店街道_110108003000,116.28944,39.890258,12946811.92711674,4823430.343381448
15,羊坊店街道_110108003000,116.289111,39.887713,12946775.286457725,4823063.154754639
16,羊坊店街道_110108003000,116.289152,39.888159,12946779.825081198,4823127.547658044
17,羊坊店街道_110108003000,116.289215,39.888339,12946786.906088907,4823153.411734843
18,羊坊店街道_110108003000,116.289798,39.88836,12946852.1857196,4823155.4649260575
19,羊坊店街道_110108003000,116.290383,39.888359,12946917.718579076,4823154.268268074
20,羊坊店街道_110108003000,116.290967,39.888362,12946983.137845045,4823153.630775651
21,羊坊店街道_110108003000,116.291551,39.888366,12947048.56485514,4823153.120338468
22,羊坊店街道_110108003000,116.292136,39.888369,12947114.151272824,4823152.421644971
23,羊坊店街道_110108003000,116.292719,39.888388,12947179.470249692,4823154.013092913
24,羊坊店街道_110108003000,116.289332,39.895315,12946799.384363445,4824161.183486143
25,羊坊店街道_110108003000,116.289898,39.89542,12946862.745036397,4824175.374648163
26,羊坊店街道_110108003000,116.290482,39.895422,12946928.157689538,4824174.605778247
27,羊坊店街道_110108003000,116.291066,39.895446,12946993.60636012,4824177.019616666
