﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,老山街道_110107002000,116.205405,39.90939,12937480.217635049,4826115.514464639
1,老山街道_110107002000,116.205299,39.908949,12937468.45000206,4826051.890804246
2,老山街道_110107002000,116.205296,39.908499,12937468.159781497,4825986.856620161
3,老山街道_110107002000,116.205298,39.908074,12937468.412751826,4825925.424117757
4,老山街道_110107002000,116.205391,39.907632,12937478.81159158,4825861.4185451595
5,老山街道_110107002000,116.205396,39.907182,12937479.401083654,4825796.377349035
6,老山街道_110107002000,116.205496,39.906741,12937490.58772361,4825732.562257541
7,老山街道_110107002000,116.205405,39.90939,12937480.217635049,4826115.514464639
8,老山街道_110107002000,116.20599,39.909395,12937545.372424778,4826115.421200984
9,老山街道_110107002000,116.206574,39.909414,12937610.39340299,4826117.449887598
10,老山街道_110107002000,116.207157,39.909438,12937675.281347621,4826120.267921282
11,老山街道_110107002000,116.207741,39.909461,12937740.309089117,4826122.971843994
12,老山街道_110107002000,116.208324,39.909484,12937805.17382144,4826125.6821170105
13,老山街道_110107002000,116.208907,39.909507,12937870.026696157,4826128.476339676
14,老山街道_110107002000,116.20949,39.909544,12937934.89656745,4826133.354123843
15,老山街道_110107002000,116.205405,39.90939,12937480.217635049,4826115.514464639
16,老山街道_110107002000,116.205294,39.90983,12937467.822791822,4826179.229470971
17,老山街道_110107002000,116.205287,39.91028,12937466.994474664,4826244.2772906665
18,老山街道_110107002000,116.205285,39.91073,12937466.742145032,4826309.319906866
19,老山街道_110107002000,116.205285,39.91118,12937466.73276756,4826374.32155577
20,老山街道_110107002000,116.205286,39.91163,12937466.814892026,4826439.401424639
21,老山街道_110107002000,116.205315,39.91208,12937470.0166442,4826504.371523024
22,老山街道_110107002000,116.205353,39.912529,12937474.218416207,4826569.214634031
23,老山街道_110107002000,116.205394,39.912978,12937478.723680727,4826634.094815213
24,老山街道_110107002000,116.205813,39.915501,12937525.2511407,4826998.189754392
25,老山街道_110107002000,116.205781,39.915052,12937521.710559169,4826933.332693036
26,老山街道_110107002000,116.205748,39.914602,12937518.049776675,4826868.360139938
27,老山街道_110107002000,116.205715,39.914152,12937514.389840513,4826803.349330198
28,老山街道_110107002000,116.205669,39.913704,12937509.337812537,4826738.666888066
29,老山街道_110107002000,116.205463,39.913285,12937486.389958402,4826678.360131998
30,老山街道_110107002000,116.205666,39.906493,12937509.536249727,4825696.465155835
31,老山街道_110107002000,116.205666,39.906493,12937509.536249727,4825696.465155835
32,老山街道_110107002000,116.206246,39.906453,12937574.115273578,4825689.967375875
33,老山街道_110107002000,116.206831,39.90646,12937639.253353206,4825690.288997436
34,老山街道_110107002000,116.207384,39.906466,12937700.80914429,4825690.525946558
35,老山街道_110107002000,116.207591,39.906373,12937723.84655177,4825676.861006337
36,老山街道_110107002000,116.208158,39.906263,12937786.972888125,4825660.363516775
37,老山街道_110107002000,116.208226,39.906253,12937794.537287805,4825658.860263394
38,老山街道_110107002000,116.20881,39.906255,12937859.545354517,4825658.588083694
39,老山街道_110107002000,116.209394,39.906258,12937924.51109366,4825658.51815592
40,老山街道_110107002000,116.20996,39.906356,12937987.459508786,4825672.262986466
41,老山街道_110107002000,116.209142,39.913368,12937895.916299162,4826686.331331397
42,老山街道_110107002000,116.209142,39.913368,12937895.916299162,4826686.331331397
43,老山街道_110107002000,116.209382,39.912957,12937922.623834748,4826626.701513053
44,老山街道_110107002000,116.20948,39.912515,12937933.577176543,4826562.773428594
45,老山街道_110107002000,116.209924,39.913805,12937982.85447734,4826748.869695902
46,老山街道_110107002000,116.209483,39.913513,12937933.85965958,4826707.014478874
47,老山街道_110107002000,116.2093,39.910843,12937913.66975476,4826321.259825134
48,老山街道_110107002000,116.209426,39.911282,12937927.663696583,4826384.57606559
