﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,胜利街道_110113001000,116.639295,40.117076,12985734.541543126,4856256.727518928
1,胜利街道_110113001000,116.639822,40.117271,12985793.401002526,4856284.730538867
2,胜利街道_110113001000,116.640375,40.117422,12985855.237507677,4856306.302375843
3,胜利街道_110113001000,116.639662,40.116378,12985775.531262573,4856155.340115368
4,胜利街道_110113001000,116.640113,40.116664,12985825.952659091,4856196.594624789
5,胜利街道_110113001000,116.640482,40.117014,12985867.209021494,4856247.097056099
6,胜利街道_110113001000,116.640188,40.12196,12985834.12129528,4856964.450651405
7,胜利街道_110113001000,116.639781,40.121638,12985788.639889142,4856917.975135795
8,胜利街道_110113001000,116.63955,40.121228,12985762.862561638,4856858.644575104
9,胜利街道_110113001000,116.639581,40.120781,12985766.340480391,4856793.844995788
10,胜利街道_110113001000,116.639804,40.120394,12985791.26277368,4856737.590071575
11,胜利街道_110113001000,116.639476,40.120022,12985754.65079169,4856683.838356237
12,胜利街道_110113001000,116.639357,40.119584,12985741.336900046,4856620.367951134
13,胜利街道_110113001000,116.639335,40.119135,12985738.912617963,4856555.292550193
14,胜利街道_110113001000,116.639444,40.118696,12985751.127489904,4856491.577618409
15,胜利街道_110113001000,116.639762,40.118319,12985786.662858043,4856436.748370642
16,胜利街道_110113001000,116.640165,40.117993,12985831.729266511,4856389.229567026
17,胜利街道_110113001000,116.640354,40.120377,12985852.744069202,4856734.781317775
18,胜利街道_110113001000,116.64021,40.122081,12985836.593892878,4856981.97336874
19,胜利街道_110113001000,116.640188,40.12196,12985834.12129528,4856964.450651405
20,胜利街道_110113001000,116.640596,40.121637,12985879.774208339,4856917.337098341
21,胜利街道_110113001000,116.641088,40.121391,12985934.779187955,4856881.331706084
22,胜利街道_110113001000,116.641556,40.121121,12985987.160334125,4856841.818199163
23,胜利街道_110113001000,116.641933,40.120777,12986029.320876885,4856791.6366600245
24,胜利街道_110113001000,116.64021,40.122081,12985836.593892878,4856981.97336874
25,胜利街道_110113001000,116.640209,40.12253,12985836.440785244,4857047.065482541
26,胜利街道_110113001000,116.640381,40.122959,12985855.65343145,4857109.179488954
27,胜利街道_110113001000,116.640245,40.117938,12985840.688183555,4856381.218161142
28,胜利街道_110113001000,116.640558,40.118319,12985875.67830656,4856436.2864876455
29,胜利街道_110113001000,116.640416,40.117432,12985859.806128845,4856307.76184143
30,胜利街道_110113001000,116.640261,40.117866,12985842.477005027,4856370.782296535
31,胜利街道_110113001000,116.640354,40.120377,12985852.744069202,4856734.781317775
32,胜利街道_110113001000,116.640348,40.119927,12985852.106067773,4856669.537943199
33,胜利街道_110113001000,116.641886,40.120193,12986024.090210604,4856707.008925851
34,胜利街道_110113001000,116.641309,40.120275,12985959.548959475,4856719.354592576
35,胜利街道_110113001000,116.640732,40.120357,12985895.01910273,4856731.656979956
36,胜利街道_110113001000,116.640645,40.117201,12985885.417268695,4856274.09135293
37,胜利街道_110113001000,116.640512,40.123318,12985870.272089,4857161.139181042
38,胜利街道_110113001000,116.640426,40.13613,12985859.598103952,4859018.989361153
39,胜利街道_110113001000,116.640426,40.13613,12985859.598103952,4859018.989361153
40,胜利街道_110113001000,116.640481,40.135682,12985865.789710475,4858954.002354151
41,胜利街道_110113001000,116.640643,40.135249,12985883.932670375,4858891.084059583
42,胜利街道_110113001000,116.640818,40.134819,12985903.558870256,4858828.622504432
43,胜利街道_110113001000,116.640994,40.13439,12985923.276583556,4858766.313789868
44,胜利街道_110113001000,116.640876,40.124199,12985910.905829068,4857288.674591693
45,胜利街道_110113001000,116.640622,40.123794,12985882.521333752,4857230.106038669
46,胜利街道_110113001000,116.640514,40.123353,12985870.481254468,4857166.211107691
47,胜利街道_110113001000,116.640447,40.136154,12985861.92544243,4859022.472030375
48,胜利街道_110113001000,116.641007,40.136283,12985924.554026593,4859040.767811336
49,胜利街道_110113001000,116.640581,40.126074,12985877.79456968,4857560.712750602
50,胜利街道_110113001000,116.640454,40.126511,12985863.56435191,4857624.185092651
51,胜利街道_110113001000,116.640478,40.126961,12985866.217456395,4857689.413479801
52,胜利街道_110113001000,116.640507,40.127411,12985869.444863386,4857754.598098339
53,胜利街道_110113001000,116.640536,40.127861,12985872.611068191,4857819.861878106
54,胜利街道_110113001000,116.640564,40.128311,12985875.746426903,4857885.086605325
55,胜利街道_110113001000,116.640581,40.126074,12985877.79456968,4857560.712750602
56,胜利街道_110113001000,116.640393,40.125649,12985856.800422382,4857499.206508888
57,胜利街道_110113001000,116.640352,40.1252,12985852.238878978,4857434.150047793
58,胜利街道_110113001000,116.640447,40.12476,12985862.89612553,4857370.274775303
59,胜利街道_110113001000,116.640717,40.124362,12985893.128562717,4857312.417485561
60,胜利街道_110113001000,116.642749,40.126015,12986120.269120248,4857550.430226982
61,胜利街道_110113001000,116.642164,40.126053,12986054.834830552,4857556.476856901
62,胜利街道_110113001000,116.641578,40.126056,12985989.294029271,4857557.367997481
63,胜利街道_110113001000,116.640992,40.126058,12985923.734727671,4857558.136350139
64,胜利街道_110113001000,116.640645,40.117201,12985885.417268695,4856274.09135293
65,胜利街道_110113001000,116.641211,40.117084,12985948.735032827,4856256.732445177
