﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,良乡地区_110111008000,116.114622,39.68677,12927388.704547696,4794025.20908265
1,良乡地区_110111008000,116.115204,39.686751,12927453.057019077,4794023.7632713625
2,良乡地区_110111008000,116.115786,39.686742,12927517.374065122,4794023.822127426
3,良乡地区_110111008000,116.116369,39.686737,12927581.80621601,4794024.449580908
4,良乡地区_110111008000,116.116951,39.686734,12927646.143660035,4794025.405228079
5,良乡地区_110111008000,116.115802,39.683094,12927519.162504433,4793498.184571228
6,良乡地区_110111008000,116.116384,39.683121,12927583.473579574,4793503.421480578
7,良乡地区_110111008000,116.116966,39.6831,12927647.811583905,4793501.759069274
8,良乡地区_110111008000,116.117379,39.687912,12927693.417054137,4794196.137851067
9,良乡地区_110111008000,116.117209,39.687485,12927674.65681746,4794134.194072019
10,良乡地区_110111008000,116.117177,39.687036,12927671.117906962,4794069.426517854
11,良乡地区_110111008000,116.117271,39.684548,12927681.485108707,4793711.133501285
12,良乡地区_110111008000,116.117216,39.684997,12927675.441190388,4793775.681468855
13,良乡地区_110111008000,116.117169,39.685445,12927670.20894524,4793840.131375595
14,良乡地区_110111008000,116.117165,39.685895,12927669.78105696,4793905.002370221
15,良乡地区_110111008000,116.117156,39.686345,12927668.783943586,4793969.8224642975
16,良乡地区_110111008000,116.117087,39.683094,12927661.201084815,4793501.1588411145
17,良乡地区_110111008000,116.117204,39.683181,12927674.107172504,4793513.992555633
18,良乡地区_110111008000,116.117196,39.683631,12927673.223237438,4793578.809697839
19,良乡地区_110111008000,116.117204,39.683181,12927674.107172504,4793513.992555633
20,良乡地区_110111008000,116.117785,39.683153,12927738.319428863,4793511.3336185
21,良乡地区_110111008000,116.118368,39.683171,12927802.736633876,4793515.337499903
22,良乡地区_110111008000,116.117224,39.68388,12927676.308422787,4793614.756351517
23,良乡地区_110111008000,116.117233,39.684032,12927677.295050016,4793636.664695412
24,良乡地区_110111008000,116.117235,39.684122,12927677.532877944,4793649.645491032
25,良乡地区_110111008000,116.117238,39.684212,12927677.860811828,4793662.628340926
26,良乡地区_110111008000,116.117238,39.684212,12927677.860811828,4793662.628340926
27,良乡地区_110111008000,116.117297,39.679728,12927684.483159851,4793016.702474914
28,良乡地区_110111008000,116.11744,39.680165,12927700.252450092,4793079.971754809
29,良乡地区_110111008000,116.117583,39.680601,12927716.05255043,4793143.126227056
30,良乡地区_110111008000,116.117316,39.679698,12927686.586047655,4793012.41201429
31,良乡地区_110111008000,116.11724,39.684302,12927678.068717299,4793675.569456351
32,良乡地区_110111008000,116.117316,39.679698,12927686.586047655,4793012.41201429
33,良乡地区_110111008000,116.117271,39.684548,12927681.485108707,4793711.133501285
34,良乡地区_110111008000,116.117854,39.684544,12927745.906247884,4793711.959277887
35,良乡地区_110111008000,116.118436,39.684523,12927810.234022077,4793710.2957826685
36,良乡地区_110111008000,116.117379,39.687912,12927693.417054137,4794196.137851067
37,良乡地区_110111008000,116.117228,39.688344,12927676.754805401,4794258.070014994
38,良乡地区_110111008000,116.117236,39.688794,12927677.62529679,4794322.936887183
39,良乡地区_110111008000,116.117246,39.689244,12927678.767137947,4794387.810758005
40,良乡地区_110111008000,116.117255,39.689694,12927679.760046411,4794452.682214678
41,良乡地区_110111008000,116.117265,39.690144,12927680.8742018,4794517.5573090045
42,良乡地区_110111008000,116.117274,39.690594,12927681.869441815,4794582.43065921
43,良乡地区_110111008000,116.11743,39.679611,12927699.16867053,4793000.111517733
44,良乡地区_110111008000,116.11747,39.679603,12927703.611949503,4792999.078154335
45,良乡地区_110111008000,116.117625,39.680037,12927720.701630825,4793061.987293677
46,良乡地区_110111008000,116.11747,39.679603,12927703.611949503,4792999.078154335
47,良乡地区_110111008000,116.117379,39.687912,12927693.417054137,4794196.137851067
48,良乡地区_110111008000,116.117961,39.687891,12927757.747374464,4794194.501808811
49,良乡地区_110111008000,116.118543,39.687877,12927822.044006312,4794193.895172151
50,良乡地区_110111008000,116.117582,39.679578,12927715.981133971,4792995.7614601385
51,良乡地区_110111008000,116.117737,39.680013,12927733.100540508,4793058.789213747
52,良乡地区_110111008000,116.117582,39.679578,12927715.981133971,4792995.7614601385
53,良乡地区_110111008000,116.117588,39.680617,12927716.622194806,4793145.444701404
54,良乡地区_110111008000,116.117694,39.679554,12927728.380169852,4792992.524143601
55,良乡地区_110111008000,116.117849,39.679988,12927745.46934676,4793055.434678948
56,良乡地区_110111008000,116.11843,39.6795,12927809.700750459,4792986.516636432
57,良乡地区_110111008000,116.11785,39.679521,12927745.612443076,4792988.185334652
58,良乡地区_110111008000,116.117907,39.680597,12927751.864907067,4793143.310176677
59,良乡地区_110111008000,116.118788,39.683882,12927849.151092328,4793618.795266646
60,良乡地区_110111008000,116.118205,39.683869,12927784.706165496,4793615.484668009
61,良乡地区_110111008000,116.117907,39.680597,12927751.864907067,4793143.310176677
62,良乡地区_110111008000,116.118489,39.680608,12927816.161390794,4793146.336903947
63,良乡地区_110111008000,116.118785,39.683972,12927848.818507886,4793631.763045036
64,良乡地区_110111008000,116.118203,39.683959,12927784.493627347,4793628.455237453
65,良乡地区_110111008000,116.118784,39.684062,12927848.69607859,4793644.735685653
66,良乡地区_110111008000,116.118201,39.684049,12927784.281127546,4793641.464926748
67,良乡地区_110111008000,116.118788,39.684152,12927849.143999504,4793657.682377064
68,良乡地区_110111008000,116.118205,39.684139,12927784.699042147,4793654.4499221705
69,良乡地区_110111008000,116.118799,39.684242,12927850.342349939,4793670.685423207
70,良乡地区_110111008000,116.118216,39.684229,12927785.927473217,4793667.414327213
71,良乡地区_110111008000,116.118202,39.66437,12927785.52198531,4790806.516943249
72,良乡地区_110111008000,116.118538,39.664737,12927822.61431828,4790860.215060871
73,良乡地区_110111008000,116.118874,39.665105,12927859.705710921,4790914.034923205
74,良乡地区_110111008000,116.119135,39.665505,12927888.508964324,4790972.238267889
75,良乡地区_110111008000,116.119465,39.665875,12927924.908582797,4791026.362241861
76,良乡地区_110111008000,116.11843,39.6795,12927809.700750459,4792986.516636432
77,良乡地区_110111008000,116.11859,39.679932,12927827.359010942,4793049.171102915
78,良乡地区_110111008000,116.118628,39.680382,12927831.540010585,4793114.097432398
79,良乡地区_110111008000,116.11843,39.6795,12927809.700750459,4792986.516636432
80,良乡地区_110111008000,116.118897,39.679231,12927861.282071233,4792948.934420536
81,良乡地区_110111008000,116.118412,39.683172,12927807.569299173,4793515.565084966
82,良乡地区_110111008000,116.118803,39.683506,12927850.782504873,4793564.625589403
83,良乡地区_110111008000,116.119254,39.681739,12927900.637664964,4793311.122288529
