﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,苏家坨地区_110108029000,116.043845,40.085908,12919495.81307836,4851769.513969007
1,苏家坨地区_110108029000,116.043954,40.08635,12919508.066637516,4851833.475200664
2,苏家坨地区_110108029000,116.04424,40.085267,12919539.9486899,4851676.195954435
3,苏家坨地区_110108029000,116.04398,40.08567,12919510.875444237,4851734.879099343
4,苏家坨地区_110108029000,116.044138,40.084843,12919528.482737625,4851614.825110562
5,苏家坨地区_110108029000,116.044917,40.083066,12919615.49783296,4851356.307333026
6,苏家坨地区_110108029000,116.044656,40.083469,12919586.299434762,4851415.050817276
7,苏家坨地区_110108029000,116.044415,40.083877,12919559.375834282,4851474.465955672
8,苏家坨地区_110108029000,116.044288,40.084317,12919545.212318357,4851538.396756293
9,苏家坨地区_110108029000,116.044162,40.084757,12919531.139870487,4851602.324804981
10,苏家坨地区_110108029000,116.046449,40.090188,12919787.881127898,4852387.091066485
11,苏家坨地区_110108029000,116.045957,40.089943,12919732.748875638,4852352.171692537
12,苏家坨地区_110108029000,116.05021,40.095351,12920209.847132267,4853129.970140093
13,苏家坨地区_110108029000,116.050646,40.095649,12920258.751896812,4853172.4263132
14,苏家坨地区_110108029000,116.051925,40.074365,12920399.749100039,4850084.093779394
15,苏家坨地区_110108029000,116.051541,40.074704,12920356.716358984,4850133.95484503
16,苏家坨地区_110108029000,116.051231,40.090269,12920323.809566129,4852391.2685585385
17,苏家坨地区_110108029000,116.051812,40.090212,12920388.967163537,4852381.968700134
18,苏家坨地区_110108029000,116.05371,40.077326,12920600.280841038,4850509.8966250215
19,苏家坨地区_110108029000,116.053949,40.077737,12920627.136598954,4850569.003875366
20,苏家坨地区_110108029000,116.054189,40.078148,12920654.11489206,4850628.105109048
21,苏家坨地区_110108029000,116.054158,40.078494,12920650.691395625,4850678.357557923
22,苏家坨地区_110108029000,116.054168,40.078942,12920651.833799705,4850743.2634097
23,苏家坨地区_110108029000,116.054293,40.078304,12920665.79224941,4850650.5149285775
24,苏家坨地区_110108029000,116.056049,40.078461,12920862.784287458,4850669.564083734
25,苏家坨地区_110108029000,116.055475,40.078369,12920798.386095084,4850657.465620096
26,苏家坨地区_110108029000,116.054894,40.078311,12920733.207122065,4850650.280612775
27,苏家坨地区_110108029000,116.054309,40.078303,12920667.583712982,4850650.359667087
28,苏家坨地区_110108029000,116.055299,40.081973,12920779.100950988,4851180.353455286
29,苏家坨地区_110108029000,116.054802,40.081735,12920723.31806449,4851146.888854978
30,苏家坨地区_110108029000,116.055143,40.090427,12920762.580772454,4852406.521698847
31,苏家坨地区_110108029000,116.054653,40.090674,12920707.606103912,4852443.31893015
32,苏家坨地区_110108029000,116.055847,40.082812,12920840.662367564,4851300.8324561
33,苏家坨地区_110108029000,116.056251,40.083135,12920886.013335232,4851346.766718566
34,苏家坨地区_110108029000,116.055865,40.085353,12920842.96543838,4851669.225661913
35,苏家坨地区_110108029000,116.056049,40.078461,12920862.784287458,4850669.564083734
36,苏家坨地区_110108029000,116.056632,40.078485,12920928.212487508,4850671.790366581
37,苏家坨地区_110108029000,116.055977,40.098879,12920856.860915624,4853630.27494959
38,苏家坨地区_110108029000,116.055848,40.09844,12920842.379594054,4853566.910422599
39,苏家坨地区_110108029000,116.056195,40.080009,12920879.356046794,4850893.6858046
40,苏家坨地区_110108029000,116.056251,40.079563,12920885.563993277,4850828.895098203
41,苏家坨地区_110108029000,116.05651,40.079162,12920914.587920798,4850770.172548046
42,苏家坨地区_110108029000,116.056789,40.078768,12920945.830944816,4850712.459800282
43,苏家坨地区_110108029000,116.0562,40.080011,12920879.902976336,4850893.94917386
44,苏家坨地区_110108029000,116.056465,40.080413,12920909.68318177,4850951.660947327
45,苏家坨地区_110108029000,116.056723,40.080817,12920938.67470662,4851009.662129461
46,苏家坨地区_110108029000,116.057068,40.079936,12920977.277166903,4850881.18776567
47,苏家坨地区_110108029000,116.056485,40.079987,12920911.884173531,4850889.867343354
48,苏家坨地区_110108029000,116.05642,40.083221,12920904.975893421,4851358.858752964
49,苏家坨地区_110108029000,116.056848,40.078608,12920952.435221748,4850689.110758096
50,苏家坨地区_110108029000,116.056848,40.078608,12920952.435221748,4850689.110758096
51,苏家坨地区_110108029000,116.057435,40.083439,12921018.879149994,4851388.233953477
52,苏家坨地区_110108029000,116.056916,40.083233,12920960.654951524,4851359.559649468
53,苏家坨地区_110108029000,116.057813,40.07803,12921060.606339084,4850603.128335399
54,苏家坨地区_110108029000,116.057363,40.078318,12921010.17975804,4850645.905423179
55,苏家坨地区_110108029000,116.057435,40.083439,12921018.879149994,4851388.233953477
56,苏家坨地区_110108029000,116.057737,40.083824,12921052.82223434,4851443.361129044
57,苏家坨地区_110108029000,116.05831,40.091352,12921117.931005962,4852533.64121881
58,苏家坨地区_110108029000,116.058104,40.091773,12921094.878179574,4852595.12730764
59,苏家坨地区_110108029000,116.057812,40.092155,12921062.16135975,4852651.204869663
60,苏家坨地区_110108029000,116.057813,40.07803,12921060.606339084,4850603.128335399
61,苏家坨地区_110108029000,116.058362,40.078189,12921122.233984893,4850624.939282526
62,苏家坨地区_110108029000,116.059151,40.081287,12921211.16682342,4851072.311391645
63,苏家坨地区_110108029000,116.058586,40.08117,12921147.747116178,4851056.652349264
64,苏家坨地区_110108029000,116.058409,40.099679,12921129.747953223,4853740.825369925
65,苏家坨地区_110108029000,116.058974,40.099798,12921193.129592795,4853756.804364278
66,苏家坨地区_110108029000,116.059505,40.099986,12921252.74978952,4853782.810245903
67,苏家坨地区_110108029000,116.059151,40.081287,12921211.16682342,4851072.311391645
68,苏家坨地区_110108029000,116.060479,40.081253,12921360.135625042,4851064.267924421
69,苏家坨地区_110108029000,116.059901,40.081184,12921295.317541372,4851055.624724302
70,苏家坨地区_110108029000,116.060032,40.095529,12921311.522153556,4853135.306504682
71,苏家坨地区_110108029000,116.060342,40.095147,12921346.285726773,4853079.159726755
72,苏家坨地区_110108029000,116.060897,40.085726,12921407.587333044,4851711.827121561
73,苏家坨地区_110108029000,116.060397,40.085492,12921351.471650857,4851679.074109625
74,苏家坨地区_110108029000,116.060479,40.081253,12921360.135625042,4851064.267924421
75,苏家坨地区_110108029000,116.060693,40.081672,12921384.216096291,4851124.509706815
76,苏家坨地区_110108029000,116.060895,40.082095,12921406.929750862,4851185.372639586
77,苏家坨地区_110108029000,116.061202,40.082461,12921441.427120848,4851237.700339366
