﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,西罗园街道_110106003000,116.349798,39.851419,12953563.046224685,4817765.766142152
1,西罗园街道_110106003000,116.349273,39.851226,12953504.71466449,4817736.686405121
2,西罗园街道_110106003000,116.3534,39.852531,12953962.936033431,4817934.90948774
3,西罗园街道_110106003000,116.352915,39.852283,12953909.088541768,4817897.88167172
4,西罗园街道_110106003000,116.352366,39.852131,12953848.18449327,4817874.567251709
5,西罗园街道_110106003000,116.351816,39.851978,12953787.12381568,4817851.1167703755
6,西罗园街道_110106003000,116.351266,39.851826,12953726.0566475,4817827.8869603155
7,西罗园街道_110106003000,116.350716,39.851674,12953665.012647592,4817804.6441931445
8,西罗园街道_110106003000,116.350167,39.851522,12953604.021654828,4817781.4291103985
9,西罗园街道_110106003000,116.3534,39.852531,12953962.936033431,4817934.90948774
10,西罗园街道_110106003000,116.356098,39.853072,12954262.255910154,4818020.068381739
11,西罗园街道_110106003000,116.355547,39.852921,12954201.142952897,4817996.788966464
12,西罗园街道_110106003000,116.354996,39.852771,12954140.025330285,4817973.684003136
13,西罗园街道_110106003000,116.354445,39.852621,12954078.902666122,4817950.59782064
14,西罗园街道_110106003000,116.353888,39.852487,12954017.085205432,4817929.79034776
15,西罗园街道_110106003000,116.35706,39.853514,12954368.959410138,4818086.551145584
16,西罗园街道_110106003000,116.35662,39.85322,12954320.151836222,4818042.861963576
17,西罗园街道_110106003000,116.35706,39.853514,12954368.959410138,4818086.551145584
18,西罗园街道_110106003000,116.357608,39.853669,12954429.760830162,4818110.415271028
19,西罗园街道_110106003000,116.358156,39.853825,12954490.528705966,4818134.448801676
20,西罗园街道_110106003000,116.358695,39.853999,12954550.304138318,4818161.058398352
21,西罗园街道_110106003000,116.358706,39.854003,12954551.505062765,4818161.673915014
22,西罗园街道_110106003000,116.359272,39.85411,12954614.273843804,4818178.76187109
23,西罗园街道_110106003000,116.359823,39.85426,12954675.36232231,4818201.974253232
24,西罗园街道_110106003000,116.362136,39.854726,12954931.74939487,4818275.824829237
25,西罗园街道_110106003000,116.361603,39.854544,12954872.67705956,4818248.046006852
26,西罗园街道_110106003000,116.361051,39.854398,12954811.475298988,4818225.355599196
27,西罗园街道_110106003000,116.360469,39.854375,12954746.949832791,4818220.386313304
28,西罗园街道_110106003000,116.362136,39.854726,12954931.74939487,4818275.824829237
29,西罗园街道_110106003000,116.362686,39.854879,12954992.709155018,4818299.497743861
30,西罗园街道_110106003000,116.365641,39.85555,12955320.213709606,4818404.854324709
31,西罗园街道_110106003000,116.365073,39.855446,12955257.276972983,4818388.229101033
32,西罗园街道_110106003000,116.364509,39.855329,12955194.760161288,4818369.690483743
33,西罗园街道_110106003000,116.363949,39.855199,12955132.69294434,4818349.318926151
34,西罗园街道_110106003000,116.363395,39.855058,12955071.285134863,4818327.355896389
35,西罗园街道_110106003000,116.366239,39.855604,12955386.479204902,4818414.342677942
36,西罗园街道_110106003000,116.365662,39.855548,12955322.554319277,4818404.635581608
37,西罗园街道_110106003000,116.366239,39.855604,12955386.479204902,4818414.342677942
38,西罗园街道_110106003000,116.36628,39.85562,12955391.011855038,4818416.762291288
39,西罗园街道_110106003000,116.366854,39.855699,12955454.639885832,4818429.787322288
40,西罗园街道_110106003000,116.367006,39.85574,12955471.47899235,4818436.140998108
41,西罗园街道_110106003000,116.367536,39.857512,12955530.35672772,4818693.682666
42,西罗园街道_110106003000,116.367189,39.857149,12955491.889150895,4818640.2630988015
43,西罗园街道_110106003000,116.367538,39.855801,12955530.456346655,4818446.461006272
44,西罗园街道_110106003000,116.368769,39.855867,12955666.872657131,4818459.4294352755
45,西罗园街道_110106003000,116.368197,39.855783,12955603.476621745,4818445.694915125
