﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,观音寺街道_110115009000,116.335784,39.771851,12952002.204459716,4806258.550930807
1,观音寺街道_110115009000,116.335797,39.772301,12952003.606478946,4806323.460138754
2,观音寺街道_110115009000,116.335823,39.772751,12952006.456670932,4806388.373132821
3,观音寺街道_110115009000,116.335854,39.7732,12952009.879949672,4806453.170530096
4,观音寺街道_110115009000,116.336179,39.774629,12952045.999656236,4806659.490418386
5,观音寺街道_110115009000,116.335997,39.774205,12952025.736936027,4806598.2049100185
6,观音寺街道_110115009000,116.335923,39.773758,12952017.516157253,4806533.6677518
7,观音寺街道_110115009000,116.336179,39.774629,12952045.999656236,4806659.490418386
8,观音寺街道_110115009000,116.336755,39.774676,12952110.20046576,4806666.6224583015
9,观音寺街道_110115009000,116.337336,39.774644,12952174.940712705,4806662.4170996295
10,观音寺街道_110115009000,116.337243,39.761594,12952165.61083108,4804780.068593598
11,观音寺街道_110115009000,116.33781,39.761687,12952228.762880666,4804793.890327546
12,观音寺街道_110115009000,116.338394,39.761684,12952293.839851387,4804793.9564706255
13,观音寺街道_110115009000,116.337243,39.761594,12952165.61083108,4804780.068593598
14,观音寺街道_110115009000,116.337161,39.761152,12952156.500836171,4804716.262694269
15,观音寺街道_110115009000,116.337208,39.760704,12952161.748795753,4804651.694384847
16,观音寺街道_110115009000,116.337254,39.760255,12952166.905315269,4804586.969517612
17,观音寺街道_110115009000,116.337348,39.759906,12952177.393713372,4804536.6645039385
18,观音寺街道_110115009000,116.337645,39.758524,12952210.560807686,4804337.566708729
19,观音寺街道_110115009000,116.337571,39.758968,12952202.272224281,4804401.570559151
20,观音寺街道_110115009000,116.337506,39.759415,12952195.0379745,4804465.971098308
21,观音寺街道_110115009000,116.337392,39.759855,12952182.283230672,4804529.369933763
22,观音寺街道_110115009000,116.338665,39.744966,12952324.236139359,4802382.879131695
23,观音寺街道_110115009000,116.339234,39.745063,12952387.609309945,4802397.437417545
24,观音寺街道_110115009000,116.339148,39.745723,12952378.065783719,4802492.560936497
25,观音寺街道_110115009000,116.338801,39.746085,12952339.422248136,4802544.429975604
26,观音寺街道_110115009000,116.339006,39.744603,12952362.185632534,4802330.881854608
27,观音寺街道_110115009000,116.339285,39.744999,12952393.305368222,4802388.281234889
28,观音寺街道_110115009000,116.339064,39.74246,12952368.573572837,4802021.811395751
29,观音寺街道_110115009000,116.338889,39.742888,12952349.11285696,4802083.3863485865
30,观音寺街道_110115009000,116.3389,39.743338,12952350.333195824,4802148.2990487
31,观音寺街道_110115009000,116.338914,39.743787,12952351.914163262,4802213.096568729
32,观音寺街道_110115009000,116.338903,39.744237,12952350.72037199,4802277.99420182
33,观音寺街道_110115009000,116.339064,39.74246,12952368.573572837,4802021.811395751
34,观音寺街道_110115009000,116.339646,39.742487,12952433.414613815,4802026.316663302
35,观音寺街道_110115009000,116.340228,39.742506,12952498.213404266,4802029.692841748
36,观音寺街道_110115009000,116.34081,39.742538,12952562.970826237,4802034.991028288
37,观音寺街道_110115009000,116.339177,39.741173,12952381.094316104,4801836.291908262
38,观音寺街道_110115009000,116.338979,39.741594,12952359.07445236,4801896.831054354
39,观音寺街道_110115009000,116.338946,39.742043,12952355.41395576,4801961.556963557
40,观音寺街道_110115009000,116.339177,39.741173,12952381.094316104,4801836.291908262
41,观音寺街道_110115009000,116.339758,39.741214,12952445.783140756,4801842.800103695
42,观音寺街道_110115009000,116.34034,39.741249,12952510.610632978,4801848.493326138
43,观音寺街道_110115009000,116.340916,39.74131,12952574.734549424,4801857.9807385085
44,观音寺街道_110115009000,116.339307,39.738921,12952395.42476685,4801511.5852126125
45,观音寺街道_110115009000,116.339136,39.739348,12952376.395549705,4801573.001102523
46,观音寺街道_110115009000,116.339104,39.739797,12952372.861140981,4801637.727323767
47,观音寺街道_110115009000,116.339072,39.740247,12952369.355854152,4801702.610331931
48,观音寺街道_110115009000,116.339043,39.740696,12952366.15089668,4801767.338856097
49,观音寺街道_110115009000,116.33916,39.741136,12952379.193538949,4801830.919660202
50,观音寺街道_110115009000,116.339148,39.745723,12952378.065783719,4802492.560936497
51,观音寺街道_110115009000,116.339307,39.738921,12952395.42476685,4801511.5852126125
52,观音寺街道_110115009000,116.339889,39.738957,12952460.2317513,4801517.400058875
53,观音寺街道_110115009000,116.340472,39.738957,12952525.14555383,4801518.057080134
54,观音寺街道_110115009000,116.341055,39.738958,12952590.077845452,4801518.876047438
55,观音寺街道_110115009000,116.341631,39.739028,12952654.158859259,4801529.7073923
56,观音寺街道_110115009000,116.339444,39.737346,12952410.58604657,4801284.576883432
57,观音寺街道_110115009000,116.339266,39.737771,12952390.777093437,4801345.710654289
58,观音寺街道_110115009000,116.339221,39.73822,12952385.799388545,4801410.387759158
59,观音寺街道_110115009000,116.339224,39.738669,12952386.156424602,4801475.178287236
60,观音寺街道_110115009000,116.339341,39.745078,12952399.516813809,4802399.70749794
61,观音寺街道_110115009000,116.339595,39.721353,12952425.736801239,4798977.882729502
62,观音寺街道_110115009000,116.33966,39.721799,12952432.989450255,4799042.286033644
63,观音寺街道_110115009000,116.339769,39.722241,12952445.184392387,4799106.178100842
