﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,金融街街道_110102011000,116.35017,39.922281,12953602.054514736,4828006.173847627
1,金融街街道_110102011000,116.350513,39.921918,12953640.175652068,4827954.470955445
2,金融街街道_110102011000,116.350373,39.908091,12953625.401855087,4825955.471414165
3,金融街街道_110102011000,116.350949,39.908016,12953689.358613372,4825945.946715397
4,金融街街道_110102011000,116.351529,39.907959,12953753.7266744,4825939.085378499
5,金融街街道_110102011000,116.351925,39.90699,12953797.777896682,4825799.940823068
6,金融街街道_110102011000,116.351341,39.907012,12953732.937446378,4825801.79503839
7,金融街街道_110102011000,116.350757,39.907044,12953668.118497726,4825805.050671466
8,金融街街道_110102011000,116.350503,39.90973,12953639.702446595,4826192.640188607
9,金融街街道_110102011000,116.351053,39.909577,12953700.749558793,4826171.776363948
10,金融街街道_110102011000,116.350536,39.908386,12953643.465156937,4825998.493211535
11,金融街街道_110102011000,116.35112,39.908409,12953708.281702708,4826003.106032977
12,金融街街道_110102011000,116.350466,39.920938,12953634.956109958,4827812.644615465
13,金融街街道_110102011000,116.350521,39.921384,12953641.068132324,4827877.268121076
14,金融街街道_110102011000,116.350466,39.920938,12953634.956109958,4827812.644615465
15,金融街街道_110102011000,116.350352,39.920497,12953622.32329075,4827748.648727826
16,金融街街道_110102011000,116.350399,39.920051,12953627.543255193,4827684.312097083
17,金融街街道_110102011000,116.350652,39.919647,12953655.661852362,4827626.43535399
18,金融街街道_110102011000,116.350659,39.921812,12953656.377656836,4827939.4735127
19,金融街街道_110102011000,116.350524,39.921398,12953641.398134362,4827879.313454402
20,金融街街道_110102011000,116.35107,39.921237,12953702.016721943,4827857.298488485
21,金融街街道_110102011000,116.350791,39.904799,12953672.073976418,4825480.695458707
22,金融街街道_110102011000,116.35078,39.905249,12953670.825192237,4825545.666568408
23,金融街街道_110102011000,116.350903,39.905687,12953684.422869405,4825609.267291999
24,金融街街道_110102011000,116.351154,39.906094,12953712.266917309,4825668.628918985
25,金融街街道_110102011000,116.351489,39.906463,12953749.428144258,4825722.763936569
26,金融街街道_110102011000,116.351882,39.906795,12953792.990326397,4825771.701094979
27,金融街街道_110102011000,116.350791,39.904799,12953672.073976418,4825480.695458707
28,金融街街道_110102011000,116.350828,39.904351,12953676.237859285,4825416.014179006
29,金融街街道_110102011000,116.350729,39.919566,12953664.200438064,4827614.945963311
30,金融街街道_110102011000,116.350674,39.919119,12953658.123028748,4827550.168751338
31,金融街街道_110102011000,116.350679,39.919029,12953658.698754169,4827537.160179278
32,金融街街道_110102011000,116.350683,39.918939,12953659.12426352,4827524.148874796
33,金融街街道_110102011000,116.351268,39.918951,12953724.06049696,4827527.243317978
34,金融街街道_110102011000,116.350683,39.918939,12953659.12426352,4827524.148874796
35,金融街街道_110102011000,116.350687,39.918849,12953659.579864739,4827511.138161171
36,金融街街道_110102011000,116.351272,39.918861,12953724.516024135,4827514.272017008
37,金融街街道_110102011000,116.350687,39.918849,12953659.579864739,4827511.138161171
38,金融街街道_110102011000,116.350659,39.921812,12953656.377656836,4827939.4735127
39,金融街街道_110102011000,116.350691,39.918759,12953660.035491653,4827498.166698182
40,金融街街道_110102011000,116.351276,39.918771,12953724.941558614,4827501.260970928
41,金融街街道_110102011000,116.350695,39.918669,12953660.491173511,4827485.156058134
42,金融街街道_110102011000,116.350695,39.918669,12953660.491173511,4827485.156058134
43,金融街街道_110102011000,116.35128,39.918681,12953725.39718111,4827488.250529446
44,金融街街道_110102011000,116.350695,39.918669,12953660.491173511,4827485.156058134
45,金融街街道_110102011000,116.350699,39.918579,12953660.916844383,4827472.144900436
46,金融街街道_110102011000,116.351284,39.918591,12953725.852843855,4827475.240124678
47,金融街街道_110102011000,116.351176,39.91753,12953713.925054418,4827321.612870041
48,金融街街道_110102011000,116.350886,39.91792,12953681.71927387,4827377.319953581
49,金融街街道_110102011000,116.350722,39.918352,12953663.48385906,4827439.370412824
50,金融街街道_110102011000,116.350729,39.919566,12953664.200438064,4827614.945963311
51,金融街街道_110102011000,116.35128,39.919716,12953725.373290688,4827637.892864279
52,金融街街道_110102011000,116.351858,39.919785,12953789.517792754,4827649.237028201
53,金融街街道_110102011000,116.351002,39.903946,12953695.57260803,4825357.888134004
54,金融街街道_110102011000,116.35099,39.903496,12953694.298219126,4825292.832563962
55,金融街街道_110102011000,116.350999,39.903046,12953695.337929834,4825227.820770692
56,金融街街道_110102011000,116.35106,39.902303,12953702.178955082,4825120.583728081
57,金融街街道_110102011000,116.351016,39.902752,12953697.262600474,4825185.365268452
58,金融街街道_110102011000,116.352728,39.904174,12953887.110382175,4825394.988944277
59,金融街街道_110102011000,116.352144,39.904156,12953822.314060058,4825390.9260787135
60,金融街街道_110102011000,116.351572,39.904073,12953758.869450571,4825377.586836015
61,金融街街道_110102011000,116.35106,39.901256,12953702.262553932,4824969.320267266
62,金融街街道_110102011000,116.351406,39.900196,12953740.809833921,4824816.942679629
63,金融街街道_110102011000,116.351231,39.900624,12953721.292195499,4824878.387090889
64,金融街街道_110102011000,116.3511,39.901063,12953706.76091482,4824941.495910577
65,金融街街道_110102011000,116.35106,39.901256,12953702.262553932,4824969.320267266
66,金融街街道_110102011000,116.350928,39.901692,12953687.581055371,4825031.997709647
67,金融街街道_110102011000,116.351013,39.902136,12953696.968438517,4825096.379297404
68,金融街街道_110102011000,116.35106,39.901256,12953702.262553932,4824969.320267266
69,金融街街道_110102011000,116.351644,39.901232,12953767.107060453,4824967.217363683
70,金融街街道_110102011000,116.35106,39.902303,12953702.178955082,4825120.583728081
71,金融街街道_110102011000,116.350994,39.910438,12953694.150446387,4826296.088815671
72,金融街街道_110102011000,116.351133,39.910875,12953709.526673762,4826359.575918571
73,金融街街道_110102011000,116.351389,39.911278,12953737.94658676,4826418.450868508
74,金融街街道_110102011000,116.351733,39.911642,12953776.073551027,4826471.8727361215
75,金融街街道_110102011000,116.350994,39.910438,12953694.150446387,4826296.088815671
76,金融街街道_110102011000,116.351065,39.909991,12953702.093804723,4826231.62766194
77,金融街街道_110102011000,116.351072,39.902265,12953703.505214753,4825115.120804781
78,金融街街道_110102011000,116.351652,39.902208,12953767.872355018,4825108.266312242
79,金融街街道_110102011000,116.35223,39.90214,12953832.053148247,4825099.789761181
80,金融街街道_110102011000,116.351269,39.909304,12953724.783539174,4826132.828167878
81,金融街街道_110102011000,116.351017,39.921943,12953696.12922428,4827959.231918899
82,金融街街道_110102011000,116.351598,39.921975,12953760.579731526,4827965.236240903
83,金融街街道_110102011000,116.351117,39.915274,12953707.462574143,4826995.370333649
84,金融街街道_110102011000,116.351648,39.915462,12953766.401503813,4827023.818541317
85,金融街街道_110102011000,116.35218,39.915649,12953825.454698717,4827052.096512396
86,金融街街道_110102011000,116.351176,39.91753,12953713.925054418,4827321.612870041
87,金融街街道_110102011000,116.35092,39.917126,12953685.523480982,4827262.6153832795
88,金融街街道_110102011000,116.350797,39.916687,12953671.908509701,4827198.878367184
89,金融街街道_110102011000,116.350796,39.916237,12953671.787685886,4827133.863571896
90,金融街街道_110102011000,116.350857,39.91579,12953678.609253107,4827069.370483314
91,金融街街道_110102011000,116.351054,39.915367,12953700.484698312,4827008.649366441
92,金融街街道_110102011000,116.351117,39.915274,12953707.462574143,4826995.370333649
93,金融街街道_110102011000,116.351128,39.914824,12953708.726880915,4826930.344872288
94,金融街街道_110102011000,116.351149,39.914374,12953711.073785765,4826865.379784721
95,金融街街道_110102011000,116.351256,39.913931,12953723.006343681,4826801.576439334
96,金融街街道_110102011000,116.351477,39.913515,12953747.526939003,4826741.934943175
97,金融街街道_110102011000,116.351176,39.91753,12953713.925054418,4827321.612870041
98,金融街街道_110102011000,116.352788,39.90977,12953893.28291209,4826203.851380079
99,金融街街道_110102011000,116.352214,39.9097,12953829.60343173,4826192.3191164415
100,金融街街道_110102011000,116.351698,39.909489,12953772.3598007,4826160.589596507
101,金融街街道_110102011000,116.351464,39.908412,12953746.471823527,4826004.377003086
102,金融街街道_110102011000,116.351312,39.908846,12953729.574105801,4826066.7425991
103,金融街街道_110102011000,116.351269,39.909294,12953724.784475956,4826131.377634363
104,金融街街道_110102011000,116.351406,39.900196,12953740.809833921,4824816.942679629
105,金融街街道_110102011000,116.351705,39.899811,12953774.022868006,4824762.035328509
106,金融街街道_110102011000,116.351464,39.908412,12953746.471823527,4826004.377003086
107,金融街街道_110102011000,116.351717,39.908005,12953774.603891969,4825946.149873913
108,金融街街道_110102011000,116.351489,39.913496,12953748.880493538,4826739.255367457
109,金融街街道_110102011000,116.352008,39.913705,12953806.460102655,4826770.7113352865
110,金融街街道_110102011000,116.352519,39.913924,12953863.162244588,4826803.583401056
111,金融街街道_110102011000,116.353084,39.914021,12953925.845942343,4826819.031129398
112,金融街街道_110102011000,116.353668,39.914048,12953990.631210877,4826824.351565993
113,金融街街道_110102011000,116.351976,39.911852,12953803.035380404,4826502.779005808
114,金融街街道_110102011000,116.351724,39.912258,12953775.06016945,4826560.852372943
115,金融街街道_110102011000,116.351558,39.912689,12953756.606802164,4826622.7595528355
116,金融街街道_110102011000,116.351496,39.913137,12953749.660032092,4826687.397966659
117,金融街街道_110102011000,116.351553,39.917539,12953755.750040764,4827323.81784671
118,金融街街道_110102011000,116.351945,39.917872,12953799.265124472,4827372.887640941
119,金融街街道_110102011000,116.352236,39.918262,12953831.508569976,4827429.983768538
120,金融街街道_110102011000,116.351553,39.917539,12953755.750040764,4827323.81784671
121,金融街街道_110102011000,116.35201,39.917259,12953806.482433576,4827284.407135896
122,金融街街道_110102011000,116.352133,39.899531,12953821.553008368,4824722.583724123
123,金融街街道_110102011000,116.351825,39.907855,12953786.576263884,4825924.740605956
124,金融街街道_110102011000,116.353849,39.922162,12954010.350127604,4827997.788413037
125,金融街街道_110102011000,116.353276,39.922237,12953946.793635974,4828007.191007944
126,金融街街道_110102011000,116.352692,39.922227,12953881.972270897,4828004.277888864
127,金融街街道_110102011000,116.35212,39.922149,12953818.528443206,4827991.652561799
128,金融街街道_110102011000,116.352003,39.921214,12953805.556386454,4827856.177739361
129,金融街街道_110102011000,116.351873,39.921649,12953791.11783735,4827918.723640061
130,金融街街道_110102011000,116.351825,39.907855,12953786.576263884,4825924.740605956
131,金融街街道_110102011000,116.351825,39.907855,12953786.576263884,4825924.740605956
132,金融街街道_110102011000,116.351925,39.90699,12953797.777896682,4825799.940823068
133,金融街街道_110102011000,116.351925,39.90699,12953797.777896682,4825799.940823068
134,金融街街道_110102011000,116.351969,39.906863,12953802.65765584,4825781.688958554
135,金融街街道_110102011000,116.35248,39.906644,12953859.399048936,4825751.322010322
136,金融街街道_110102011000,116.352329,39.901248,12953843.115311822,4824971.163287609
137,金融街街道_110102011000,116.353508,39.911689,12953973.041287,4826483.001465588
138,金融街街道_110102011000,116.352925,39.911726,12953908.339157268,4826486.864137981
139,金融街街道_110102011000,116.352346,39.911785,12953844.109052727,4826494.0158684105
140,金融街街道_110102011000,116.354429,39.899832,12954076.259232977,4824771.814677641
141,金融街街道_110102011000,116.353858,39.899744,12954012.931287492,4824757.636330349
142,金融街街道_110102011000,116.353274,39.89974,12953948.116394747,4824755.562223429
143,金融街街道_110102011000,116.352691,39.899719,12953883.446959818,4824751.124994394
