﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,长子营镇_110115111000,116.555362,39.651419,12976402.278691852,4788883.215966192
1,长子营镇_110115111000,116.554859,39.651196,12976346.142890422,4788852.304297814
2,长子营镇_110115111000,116.554297,39.65108,12976283.40317392,4788837.049659401
3,长子营镇_110115111000,116.553734,39.650965,12976220.53613692,4788821.93659481
4,长子营镇_110115111000,116.553181,39.65083,12976158.789144551,4788803.891711586
5,长子营镇_110115111000,116.552662,39.650626,12976100.839919215,4788775.904295499
6,长子营镇_110115111000,116.552517,39.650562,12976084.660211535,4788767.071490789
7,长子营镇_110115111000,116.552614,39.650121,12976095.545343606,4788703.337784757
8,长子营镇_110115111000,116.555362,39.651419,12976402.278691852,4788883.215966192
9,长子营镇_110115111000,116.55524,39.651859,12976388.604359504,4788946.87029902
10,长子营镇_110115111000,116.55513,39.652301,12976376.295140404,4789010.7723008655
11,长子营镇_110115111000,116.55502,39.652743,12976363.985298801,4789074.675444132
12,长子营镇_110115111000,116.55491,39.653185,12976351.674832946,4789138.618786981
13,长子营镇_110115111000,116.5548,39.653627,12976339.333469192,4789202.524829846
14,长子营镇_110115111000,116.55469,39.654069,12976327.021920865,4789266.431417133
15,长子营镇_110115111000,116.55458,39.654511,12976314.679470628,4789330.378825663
16,长子营镇_110115111000,116.55447,39.654953,12976302.366920773,4789394.287724706
17,长子营镇_110115111000,116.554354,39.655394,12976289.355725193,4789458.094794083
18,长子营镇_110115111000,116.554228,39.655833,12976275.251335075,4789521.612950182
19,长子营镇_110115111000,116.554131,39.656277,12976264.364175702,4789585.808773991
20,长子营镇_110115111000,116.554034,39.65672,12976253.476806061,4789649.849361008
21,长子营镇_110115111000,116.553926,39.657163,12976241.405023027,4789713.915295314
22,长子营镇_110115111000,116.553816,39.657605,12976229.090118986,4789777.8702154
23,长子营镇_110115111000,116.55371,39.658047,12976217.200005071,4789841.817516226
24,长子营镇_110115111000,116.553613,39.658491,12976206.311455552,4789905.979494383
25,长子营镇_110115111000,116.555362,39.651419,12976402.278691852,4788883.215966192
