﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,长沟镇_110111108000,115.813433,39.605901,12893829.158594096,4782391.347838886
1,长沟镇_110111108000,115.813943,39.606119,12893886.104568042,4782421.445002
2,长沟镇_110111108000,115.814304,39.610667,12893926.894042125,4783075.444205698
3,长沟镇_110111108000,115.813729,39.610605,12893862.705495158,4783067.961683028
4,长沟镇_110111108000,115.815887,39.603939,12894102.834674435,4782102.506636725
5,长沟镇_110111108000,115.815343,39.603786,12894042.08226684,4782081.886616141
6,长沟镇_110111108000,115.816404,39.602573,12894160.39141931,4781904.442327572
7,长沟镇_110111108000,115.816876,39.602309,12894213.058281576,4781865.144329955
8,长沟镇_110111108000,115.81726,39.605781,12894256.344445271,4782364.080941946
9,长沟镇_110111108000,115.817822,39.605896,12894319.111311086,4782379.096953366
10,长沟镇_110111108000,115.820585,39.610397,12894628.146023009,4783019.506258522
11,长沟镇_110111108000,115.820118,39.610664,12894576.003830617,4783059.251573821
12,长沟镇_110111108000,115.819667,39.610949,12894525.687447473,4783101.605207891
13,长沟镇_110111108000,115.819954,39.606082,12894557.210086914,4782399.929976663
14,长沟镇_110111108000,115.820245,39.606468,12894589.757979495,4782454.680289754
15,长沟镇_110111108000,115.819954,39.606082,12894557.210086914,4782399.929976663
16,长沟镇_110111108000,115.820481,39.605668,12894616.0173293,4782338.828132363
17,长沟镇_110111108000,115.820039,39.605953,12894566.67588897,4782381.123545921
18,长沟镇_110111108000,115.820656,39.607985,12894635.817397418,4782671.974917303
19,长沟镇_110111108000,115.820096,39.607871,12894573.249087151,4782657.126751468
20,长沟镇_110111108000,115.821426,39.595239,12894720.254110636,4780834.491731688
21,长沟镇_110111108000,115.820875,39.595093,12894658.711772155,4780814.984962601
22,长沟镇_110111108000,115.820585,39.610397,12894628.146023009,4783019.506258522
23,长沟镇_110111108000,115.820867,39.610003,12894659.617044494,4782961.994592253
24,长沟镇_110111108000,115.820656,39.607985,12894635.817397418,4782671.974917303
25,长沟镇_110111108000,115.821742,39.598682,12894755.998350149,4781329.283316062
26,长沟镇_110111108000,115.821163,39.598704,12894691.343878562,4781334.101264158
27,长沟镇_110111108000,115.821916,39.60844,12894776.598971631,4782733.897900761
28,长沟镇_110111108000,115.821481,39.608141,12894727.985499429,4782692.066445149
29,长沟镇_110111108000,115.820993,39.607902,12894673.453821704,4782659.038678322
30,长沟镇_110111108000,115.821426,39.595239,12894720.254110636,4780834.491731688
31,长沟镇_110111108000,115.821991,39.595343,12894783.403666103,4780847.825140162
32,长沟镇_110111108000,115.821208,39.611221,12894697.82761684,4783136.391123213
33,长沟镇_110111108000,115.821789,39.61124,12894762.699172553,4783137.503423795
34,长沟镇_110111108000,115.821742,39.598682,12894755.998350149,4781329.283316062
35,长沟镇_110111108000,115.821769,39.598688,12894759.007054081,4781330.072561165
36,长沟镇_110111108000,115.822591,39.597727,12894850.693183908,4781189.347799909
37,长沟镇_110111108000,115.822295,39.59811,12894817.706996823,4781245.333868149
38,长沟镇_110111108000,115.822067,39.598525,12894792.260017494,4781305.75188998
39,长沟镇_110111108000,115.822389,39.595356,12894827.827445699,4780848.548293691
40,长沟镇_110111108000,115.822819,39.595441,12894875.875314547,4780859.533092839
41,长沟镇_110111108000,115.822368,39.602021,12894826.340767408,4781808.296783362
42,长沟镇_110111108000,115.822929,39.601904,12894888.951582793,4781789.809590711
43,长沟镇_110111108000,115.822591,39.597727,12894850.693183908,4781189.347799909
44,长沟镇_110111108000,115.823159,39.59781,12894914.146533033,4781199.660134858
45,长沟镇_110111108000,115.823698,39.59798,12894974.389084311,4781222.580952519
46,长沟镇_110111108000,115.822819,39.595441,12894875.875314547,4780859.533092839
47,长沟镇_110111108000,115.823121,39.595827,12894909.675226545,4780914.232665356
48,长沟镇_110111108000,115.82329,39.596062,12894928.570105938,4780947.568887546
49,长沟镇_110111108000,115.823718,39.597986,12894976.607883025,4781223.388203369
50,长沟镇_110111108000,115.824288,39.597894,12895040.255256021,4781208.506218282
51,长沟镇_110111108000,115.823833,39.596201,12894989.204194432,4780966.067090067
52,长沟镇_110111108000,115.824047,39.596619,12895013.16326858,4781025.643292751
53,长沟镇_110111108000,115.823833,39.596201,12894989.204194432,4780966.067090067
54,长沟镇_110111108000,115.824344,39.595988,12895046.27517317,4780933.923305696
55,长沟镇_110111108000,115.824841,39.596993,12895101.899153588,4781077.185327256
56,长沟镇_110111108000,115.824322,39.59679,12895043.901660357,4781049.448074072
57,长沟镇_110111108000,115.824201,39.610944,12895032.067917783,4783087.905214799
58,长沟镇_110111108000,115.824624,39.610635,12895079.25922227,4783042.201260406
59,长沟镇_110111108000,115.825052,39.61033,12895127.058020514,4782997.030831273
60,长沟镇_110111108000,115.824587,39.597854,12895073.644373246,4781201.868467545
61,长沟镇_110111108000,115.824745,39.597421,12895091.220202422,4781139.094648593
62,长沟镇_110111108000,115.824799,39.595933,12895097.10383907,4780924.691777649
