﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,阎村镇_110111101000,116.019569,39.730676,12916782.783311922,4800398.184234549
1,阎村镇_110111101000,116.019065,39.730901,12916726.756582186,4800429.506798047
2,阎村镇_110111101000,116.019569,39.730676,12916782.783311922,4800398.184234549
3,阎村镇_110111101000,116.019806,39.731086,12916809.16149228,4800457.838032922
4,阎村镇_110111101000,116.019917,39.731528,12916821.589595495,4800521.844307978
5,阎村镇_110111101000,116.019972,39.731976,12916827.732582867,4800586.572340244
6,阎村镇_110111101000,116.020036,39.732423,12916834.897329904,4800651.198806319
7,阎村镇_110111101000,116.020117,39.732869,12916843.955984902,4800715.697985851
8,阎村镇_110111101000,116.020216,39.733313,12916854.998828402,4800779.992586263
9,阎村镇_110111101000,116.020396,39.733739,12916875.03232882,4800841.803086194
10,阎村镇_110111101000,116.020375,39.72735,12916872.056303892,4799920.219470043
11,阎村镇_110111101000,116.020217,39.727783,12916854.53501274,4799982.31010012
12,阎村镇_110111101000,116.020098,39.728224,12916841.345289957,4800045.639629337
13,阎村镇_110111101000,116.019983,39.728665,12916828.60654167,4800109.014065313
14,阎村镇_110111101000,116.019868,39.729107,12916815.867701476,4800172.543784788
15,阎村镇_110111101000,116.019777,39.729552,12916805.775153898,4800236.505641598
16,阎村镇_110111101000,116.019688,39.729997,12916795.922785081,4800300.470635932
17,阎村镇_110111101000,116.019608,39.730443,12916787.092522245,4800364.686118922
18,阎村镇_110111101000,116.020375,39.72735,12916872.056303892,4799920.219470043
19,阎村镇_110111101000,116.020796,39.727039,12916918.8558477,4799876.211486519
20,阎村镇_110111101000,116.021238,39.726745,12916967.978249723,4799834.682876535
21,阎村镇_110111101000,116.020528,39.723802,12916888.654228002,4799408.723727309
22,阎村镇_110111101000,116.020971,39.723511,12916937.92217202,4799367.680747991
23,阎村镇_110111101000,116.021473,39.723284,12916993.730718652,4799335.981691055
24,阎村镇_110111101000,116.020568,39.721927,12916892.874127744,4799138.386594049
25,阎村镇_110111101000,116.020656,39.722369,12916902.727302521,4799202.340619947
26,阎村镇_110111101000,116.020952,39.722755,12916935.70549876,4799258.618677417
27,阎村镇_110111101000,116.021357,39.723078,12916980.802696189,4799306.025586373
28,阎村镇_110111101000,116.020568,39.721927,12916892.874127744,4799138.386594049
29,阎村镇_110111101000,116.02057,39.721837,12916893.10496985,4799125.402216802
30,阎村镇_110111101000,116.020633,39.721443,12916900.070173705,4799068.705329047
31,阎村镇_110111101000,116.021157,39.721257,12916958.344507586,4799042.968611455
32,阎村镇_110111101000,116.021738,39.721259,12917022.935274772,4799044.439671674
33,阎村镇_110111101000,116.022313,39.721335,12917086.942216828,4799056.505747524
34,阎村镇_110111101000,116.020651,39.734042,12916903.448244989,4800886.01404392
35,阎村镇_110111101000,116.020765,39.734484,12916916.174677767,4800950.015455869
36,阎村镇_110111101000,116.020956,39.73491,12916937.47225716,4801011.873388598
37,阎村镇_110111101000,116.02115,39.735334,12916959.070755472,4801073.418804831
38,阎村镇_110111101000,116.021359,39.735755,12916982.354014425,4801134.59316185
39,阎村镇_110111101000,116.021573,39.736174,12917006.179108743,4801195.418299005
40,阎村镇_110111101000,116.021793,39.736591,12917030.696645446,4801256.0524157705
41,阎村镇_110111101000,116.02203,39.737002,12917057.10996926,4801315.768158709
42,阎村镇_110111101000,116.020651,39.734042,12916903.448244989,4800886.01404392
43,阎村镇_110111101000,116.021212,39.721789,12916964.50907352,4799119.811713682
44,阎村镇_110111101000,116.021788,39.72186,12917028.596774017,4799131.208742922
45,阎村镇_110111101000,116.022364,39.721931,12917092.694280928,4799142.568675034
46,阎村镇_110111101000,116.021222,39.721882,12916965.632216917,4799133.246225135
47,阎村镇_110111101000,116.021798,39.721953,12917029.750165833,4799144.643049061
48,阎村镇_110111101000,116.022374,39.722024,12917093.817751225,4799156.001922409
49,阎村镇_110111101000,116.021294,39.721982,12916973.675134964,4799147.837179835
50,阎村镇_110111101000,116.02187,39.722053,12917037.734120527,4799159.22857226
51,阎村镇_110111101000,116.022446,39.722124,12917101.832996354,4799170.544065149
52,阎村镇_110111101000,116.021716,39.726843,12917021.177146679,4799849.799649227
53,阎村镇_110111101000,116.02153,39.727271,12917000.551119637,4799911.164787437
54,阎村镇_110111101000,116.02153,39.726588,12917000.482802492,4799812.654508516
55,阎村镇_110111101000,116.022428,39.725286,12917100.212788278,4799626.59454274
56,阎村镇_110111101000,116.022059,39.725634,12917059.205339598,4799676.07781791
57,阎村镇_110111101000,116.021766,39.726023,12917026.66017916,4799731.65003936
58,阎村镇_110111101000,116.02157,39.726446,12917004.890940357,4799792.256314322
59,阎村镇_110111101000,116.021639,39.723239,12917012.198061267,4799329.827906099
60,阎村镇_110111101000,116.021639,39.723239,12917012.198061267,4799329.827906099
61,阎村镇_110111101000,116.021759,39.72368,12917025.603286587,4799393.626658688
62,阎村镇_110111101000,116.021892,39.724119,12917040.452704793,4799457.248490326
63,阎村镇_110111101000,116.022027,39.724557,12917055.512814706,4799520.6758872755
64,阎村镇_110111101000,116.022227,39.72498,12917077.823291626,4799582.0871139215
65,阎村镇_110111101000,116.021639,39.723239,12917012.198061267,4799329.827906099
66,阎村镇_110111101000,116.022033,39.722989,12917056.008269584,4799294.524345806
67,阎村镇_110111101000,116.022537,39.723216,12917112.121838298,4799328.218625934
68,阎村镇_110111101000,116.022033,39.722989,12917056.008269584,4799294.524345806
69,阎村镇_110111101000,116.022305,39.722591,12917086.235874854,4799237.661946134
