﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,阳坊镇_110114104000,116.073386,40.130191,12922808.974971415,4858129.82586982
1,阳坊镇_110114104000,116.07371,40.129817,12922845.295804443,4858074.883139119
2,阳坊镇_110114104000,116.078466,40.121284,12923378.453410473,4856828.322800141
3,阳坊镇_110114104000,116.077884,40.121336,12923313.289232466,4856836.911532523
4,阳坊镇_110114104000,116.078694,40.12896,12923403.416403655,4857940.932020124
5,阳坊镇_110114104000,116.07861,40.129403,12923393.970524948,4858005.316232857
6,阳坊镇_110114104000,116.079845,40.127315,12923532.31199639,4857700.468579398
7,阳坊镇_110114104000,116.079295,40.127161,12923470.795474492,4857679.028585946
8,阳坊镇_110114104000,116.080743,40.118975,12923633.238129715,4856489.747141775
9,阳坊镇_110114104000,116.080222,40.118769,12923575.007539144,4856460.732949214
10,阳坊镇_110114104000,116.079845,40.127315,12923532.31199639,4857700.468579398
11,阳坊镇_110114104000,116.080425,40.127264,12923597.17396218,4857692.155945036
12,阳坊镇_110114104000,116.08065,40.128449,12923622.258289445,4857863.612527888
13,阳坊镇_110114104000,116.08026,40.128782,12923578.59770799,4857912.489399092
14,阳坊镇_110114104000,116.080743,40.118975,12923633.238129715,4856489.747141775
15,阳坊镇_110114104000,116.080842,40.119419,12923644.277883599,4856554.005834311
16,阳坊镇_110114104000,116.08091,40.130566,12923651.155290639,4858170.19876321
17,阳坊镇_110114104000,116.081445,40.130748,12923710.945050618,4858195.769488907
18,阳坊镇_110114104000,116.081209,40.120762,12923685.27052891,4856748.169474285
19,阳坊镇_110114104000,116.081054,40.121195,12923667.902440611,4856811.189567905
20,阳坊镇_110114104000,116.081059,40.135527,12923667.33777194,4858889.336202917
21,阳坊镇_110114104000,116.08138,40.13515,12923703.29945956,4858834.148637392
22,阳坊镇_110114104000,116.081935,40.127429,12923766.00343542,4857713.799899433
23,阳坊镇_110114104000,116.082519,40.127466,12923831.276502341,4857718.357742779
24,阳坊镇_110114104000,116.083098,40.127405,12923895.972441109,4857708.724649865
25,阳坊镇_110114104000,116.082606,40.129237,12923840.836221322,4857975.059413045
26,阳坊镇_110114104000,116.082995,40.128901,12923884.349140026,4857925.814476027
27,阳坊镇_110114104000,116.083388,40.128567,12923928.28094,4857876.8969516875
28,阳坊镇_110114104000,116.083783,40.128235,12923972.419426242,4857828.231410444
29,阳坊镇_110114104000,116.083455,40.120671,12923936.283123864,4856731.875137091
30,阳坊镇_110114104000,116.083992,40.12049,12923996.30345908,4856704.976185715
31,阳坊镇_110114104000,116.083682,40.127442,12923961.224424355,4857713.40118581
32,阳坊镇_110114104000,116.083992,40.127825,12923995.811850874,4857768.572094893
33,阳坊镇_110114104000,116.085215,40.124116,12924132.654957348,4857229.377917759
34,阳坊镇_110114104000,116.085731,40.123902,12924190.288300076,4857197.819658716
35,阳坊镇_110114104000,116.085741,40.128966,12924191.023107765,4857932.101468226
36,阳坊镇_110114104000,116.085435,40.12935,12924156.835140744,4857988.08561801
37,阳坊镇_110114104000,116.085212,40.129755,12924131.90707856,4858047.015933696
38,阳坊镇_110114104000,116.084986,40.142928,12924105.45646817,4859957.5074669635
39,阳坊镇_110114104000,116.085414,40.14323,12924153.234845031,4860000.884135982
40,阳坊镇_110114104000,116.085741,40.128966,12924191.023107765,4857932.101468226
41,阳坊镇_110114104000,116.085536,40.128544,12924168.175492942,4857871.084557544
42,阳坊镇_110114104000,116.085677,40.122415,12924184.346125187,4856982.272235564
43,阳坊镇_110114104000,116.086011,40.122052,12924221.638562758,4856929.2984653255
44,阳坊镇_110114104000,116.086541,40.126338,12924280.533155767,4857550.298989792
45,阳坊镇_110114104000,116.085977,40.12645,12924217.562911779,4857567.065665237
46,阳坊镇_110114104000,116.085579,40.143328,12924171.632440459,4860014.94389331
47,阳坊镇_110114104000,116.085727,40.143416,12924188.153231226,4860027.530174163
48,阳坊镇_110114104000,116.166227,40.166451,12933110.471730966,4863444.854464091
49,阳坊镇_110114104000,116.166714,40.166199,12933164.739485856,4863407.375020879
50,阳坊镇_110114104000,116.167201,40.165947,12933219.014357988,4863369.870414971
51,阳坊镇_110114104000,116.167717,40.165744,12933276.509779962,4863339.375613273
52,阳坊镇_110114104000,116.168304,40.165751,12933341.955133995,4863339.190345859
53,阳坊镇_110114104000,116.168522,40.165474,12933366.284581924,4863298.523605317
54,阳坊镇_110114104000,116.168467,40.165026,12933360.13639833,4863233.600067798
55,阳坊镇_110114104000,116.168421,40.164576,12933355.020692455,4863168.384708428
56,阳坊镇_110114104000,116.168386,40.164128,12933351.149640484,4863103.464581632
57,阳坊镇_110114104000,116.168582,40.163709,12933372.96860773,4863042.254882467
58,阳坊镇_110114104000,116.168858,40.163311,12933403.76738388,4862983.92223264
59,阳坊镇_110114104000,116.169224,40.162965,12933444.577915724,4862932.929322453
60,阳坊镇_110114104000,116.16959,40.162613,12933485.392692732,4862881.058352565
61,阳坊镇_110114104000,116.169924,40.162243,12933522.662306232,4862826.601431126
62,阳坊镇_110114104000,116.170297,40.161895,12933564.273506217,4862775.244783777
63,阳坊镇_110114104000,116.170664,40.161545,12933605.221136475,4862723.6523354575
64,阳坊镇_110114104000,116.170985,40.161168,12933641.045039592,4862668.168916954
65,阳坊镇_110114104000,116.171293,40.160791,12933675.415280545,4862612.744053869
66,阳坊镇_110114104000,116.171626,40.160426,12933712.580087982,4862559.0297717685
67,阳坊镇_110114104000,116.171492,40.160031,12933697.636004502,4862502.012702149
68,阳坊镇_110114104000,116.170988,40.1598,12933641.411422344,4862469.69382428
69,阳坊镇_110114104000,116.170462,40.159605,12933582.763569769,4862442.592251795
70,阳坊镇_110114104000,116.169937,40.159505,12933524.17818615,4862429.317953519
71,阳坊镇_110114104000,116.169492,40.159795,12933474.559600044,4862472.375827007
72,阳坊镇_110114104000,116.169162,40.160165,12933437.743777512,4862526.767963955
73,阳坊镇_110114104000,116.168813,40.160506,12933398.809452787,4862577.014273101
74,阳坊镇_110114104000,116.168248,40.160609,12933335.807972696,4862593.167868769
75,阳坊镇_110114104000,116.167684,40.16072,12933272.935971873,4862610.428946116
76,阳坊镇_110114104000,116.167134,40.160811,12933211.61993579,4862624.721448619
77,阳坊镇_110114104000,116.16658,40.160939,12933149.886368865,4862644.340740779
78,阳坊镇_110114104000,116.166022,40.161078,12933087.706522033,4862665.547027945
79,阳坊镇_110114104000,116.165442,40.161098,12933023.086064465,4862669.514364682
80,阳坊镇_110114104000,116.164994,40.160834,12932973.154570146,4862632.006771573
81,阳坊镇_110114104000,116.164478,40.16064,12932915.712143164,4862604.764545791
82,阳坊镇_110114104000,116.164218,40.160242,12932886.765713291,4862547.430715022
