﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,雁翅镇_110109105000,115.728352,40.043562,12884393.276686665,4845520.5096842535
1,雁翅镇_110109105000,115.728057,40.043177,12884360.374380704,4845464.941867134
2,雁翅镇_110109105000,115.738548,40.040419,12885528.963071175,4845065.877667675
3,雁翅镇_110109105000,115.738063,40.040659,12885475.039223041,4845100.3028796585
4,雁翅镇_110109105000,115.737634,40.040965,12885427.287069313,4845144.335841701
5,雁翅镇_110109105000,115.741295,40.042901,12885834.094012216,4845427.807750365
6,雁翅镇_110109105000,115.743269,40.044618,12886053.225688903,4845678.835974053
7,雁翅镇_110109105000,115.74291,40.04497,12886013.384516427,4845729.350935869
8,雁翅镇_110109105000,115.744984,40.0444,12886243.518937146,4845649.662951304
9,雁翅镇_110109105000,115.744527,40.044677,12886192.803885214,4845689.121358245
10,雁翅镇_110109105000,115.745744,40.041326,12886327.840433236,4845205.594809675
11,雁翅镇_110109105000,115.746179,40.041025,12886376.07817026,4845162.671532467
12,雁翅镇_110109105000,115.748567,40.041067,12886640.751707604,4845172.95479406
13,雁翅镇_110109105000,115.748266,40.040681,12886607.395924231,4845116.460810967
14,雁翅镇_110109105000,115.749069,40.041235,12886696.360660553,4845198.211397896
15,雁翅镇_110109105000,115.749069,40.041235,12886696.360660553,4845198.211397896
16,雁翅镇_110109105000,115.749653,40.041217,12886761.048427448,4845196.740672871
17,雁翅镇_110109105000,115.749597,40.043418,12886754.806683896,4845515.410157852
18,雁翅镇_110109105000,115.749347,40.043823,12886727.081148298,4845573.585220014
19,雁翅镇_110109105000,115.7512,40.039718,12886932.41437062,4844982.773228463
20,雁翅镇_110109105000,115.751779,40.039772,12886996.528684162,4844991.77321847
21,雁翅镇_110109105000,115.751687,40.051975,12886986.26566019,4846759.244341646
22,雁翅镇_110109105000,115.751379,40.052354,12886952.20190042,4846813.495884171
23,雁翅镇_110109105000,115.749719,40.152419,12886770.533175178,4861318.478189714
24,雁翅镇_110109105000,115.750302,40.152468,12886835.085520875,4861326.757520108
25,雁翅镇_110109105000,115.752092,40.040077,12887031.123064771,4845036.599790578
26,雁翅镇_110109105000,115.751847,40.040481,12887004.005482938,4845094.6476174565
27,雁翅镇_110109105000,115.751909,40.03981,12887010.887523264,4844997.550426243
28,雁翅镇_110109105000,115.753976,40.038863,12887239.701269977,4844865.003576962
29,雁翅镇_110109105000,115.7543,40.038493,12887275.549054122,4844812.129210455
30,雁翅镇_110109105000,115.752867,40.152363,12887119.044705743,4861316.930236928
31,雁翅镇_110109105000,115.752293,40.15229,12887055.518939165,4861305.083084474
32,雁翅镇_110109105000,115.755427,40.036741,12887400.301121837,4844561.059235063
33,雁翅镇_110109105000,115.7554,40.038169,12887397.24085181,4844767.812485274
34,雁翅镇_110109105000,115.755518,40.037728,12887410.327930462,4844704.18249537
35,雁翅镇_110109105000,115.755656,40.059574,12887425.867780017,4847869.29929064
36,雁翅镇_110109105000,115.755491,40.059142,12887407.617696576,4847806.324779003
37,雁翅镇_110109105000,115.755656,40.059574,12887425.867780017,4847869.29929064
38,雁翅镇_110109105000,115.756187,40.059764,12887484.604718849,4847898.098212636
39,雁翅镇_110109105000,115.75631,40.032021,12887498.262619806,4843879.708834178
40,雁翅镇_110109105000,115.756868,40.031886,12887559.967119826,4843861.4766411595
41,雁翅镇_110109105000,115.756403,40.05985,12887508.537334677,4847911.086195619
42,雁翅镇_110109105000,115.756614,40.060269,12887531.859429553,4847972.2957268935
43,雁翅镇_110109105000,115.757417,40.036232,12887620.423057377,4844492.146091699
44,雁翅镇_110109105000,115.757552,40.036669,12887635.312994001,4844555.763027012
45,雁翅镇_110109105000,115.757722,40.037101,12887654.076124629,4844618.762110125
46,雁翅镇_110109105000,115.758515,40.037299,12887741.740244837,4844649.395134619
47,雁翅镇_110109105000,115.757935,40.037351,12887677.623670798,4844655.435089776
48,雁翅镇_110109105000,115.7561,40.139173,12887477.871149693,4859411.367930701
49,雁翅镇_110109105000,115.756676,40.139104,12887541.553641941,4859402.70511248
50,雁翅镇_110109105000,115.759373,40.036326,12887836.646429537,4844510.642084759
51,雁翅镇_110109105000,115.759785,40.036007,12887882.196575854,4844465.467537877
52,雁翅镇_110109105000,115.758303,40.128289,12887722.430806985,4857838.464952987
