﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,青龙桥街道_110108013000,116.234459,40.016429,12940706.260524888,4841619.824822527
1,青龙桥街道_110108013000,116.234972,40.016644,12940762.962911066,4841652.1211817
2,青龙桥街道_110108013000,116.235032,40.016678,12940769.595449008,4841657.170576953
3,青龙桥街道_110108013000,116.235353,40.017054,12940805.07674281,4841712.311803948
4,青龙桥街道_110108013000,116.235659,40.017437,12940838.874093244,4841768.483192771
5,青龙桥街道_110108013000,116.235965,40.017821,12940872.66985232,4841824.778110575
6,青龙桥街道_110108013000,116.238123,40.00351,12941112.46303806,4839758.579436208
7,青龙桥街道_110108013000,116.237625,40.003274,12941057.399033522,4839723.212714222
8,青龙桥街道_110108013000,116.237085,40.0031,12940997.73415751,4839696.705719549
9,青龙桥街道_110108013000,116.236547,40.002924,12940938.245659215,4839669.98132294
10,青龙桥街道_110108013000,116.236284,40.002772,12940909.195158517,4839647.315662972
11,青龙桥街道_110108013000,116.236368,40.002329,12940918.47437867,4839583.40756702
12,青龙桥街道_110108013000,116.236544,40.0019,12940937.959213441,4839521.727603968
13,青龙桥街道_110108013000,116.236719,40.001471,12940957.352737466,4839460.047279599
14,青龙桥街道_110108013000,116.237225,40.017587,12941011.996592613,4841793.898221317
15,青龙桥街道_110108013000,116.237799,40.017677,12941075.445868222,4841808.325511725
16,青龙桥街道_110108013000,116.240305,40.004965,12941353.59811996,4839974.598235012
17,青龙桥街道_110108013000,116.239803,40.004734,12941298.095150402,4839939.928019887
18,青龙桥街道_110108013000,116.239323,40.00448,12941245.082986547,4839901.9467450455
19,青龙桥街道_110108013000,116.238857,40.004208,12941193.570705058,4839861.416550084
20,青龙桥街道_110108013000,116.238489,40.003858,12941152.89781637,4839809.874810658
21,青龙桥街道_110108013000,116.238975,40.011313,12941206.064849276,4840890.076080501
22,青龙桥街道_110108013000,116.239516,40.011483,12941265.834647117,4840915.9999517435
23,青龙桥街道_110108013000,116.24006,40.011649,12941325.99243583,4840941.431896815
24,青龙桥街道_110108013000,116.240643,40.011661,12941390.425334122,4840944.671807059
25,青龙桥街道_110108013000,116.238996,40.014964,12941208.02177673,4841418.599543548
26,青龙桥街道_110108013000,116.23952,40.014764,12941265.99954129,4841390.966774189
