﻿ID,Area,Longitude,Latitude,mc_x,mc_y
0,韩村河镇_110111115000,115.770875,39.65421,12889104.554679409,4789348.101710584
1,韩村河镇_110111115000,115.770742,39.654643,12889089.82730825,4789410.149695127
2,韩村河镇_110111115000,115.770722,39.655093,12889087.557069708,4789474.894624578
3,韩村河镇_110111115000,115.771008,39.657982,12889118.8841488,4789891.5877791885
4,韩村河镇_110111115000,115.771008,39.657982,12889118.8841488,4789891.5877791885
5,韩村河镇_110111115000,115.771058,39.657533,12889124.487871366,4789827.069771627
6,韩村河镇_110111115000,115.771212,39.657101,12889141.528598383,4789765.224443901
7,韩村河镇_110111115000,115.771512,39.656716,12889174.717563894,4789710.448160655
8,韩村河镇_110111115000,115.771404,39.658085,12889162.64710185,4789907.349742824
9,韩村河镇_110111115000,115.77164,39.658494,12889188.693432406,4789966.816613588
10,韩村河镇_110111115000,115.771608,39.649762,12889185.957644222,4788709.2925871685
11,韩村河镇_110111115000,115.771586,39.650211,12889183.511277068,4788773.8755308045
12,韩村河镇_110111115000,115.774871,39.647794,12889546.83359048,4788433.028952016
13,韩村河镇_110111115000,115.774476,39.648123,12889503.155927774,4788479.5707929265
14,韩村河镇_110111115000,115.774941,39.650243,12889554.378510956,4788785.80361811
15,韩村河镇_110111115000,115.775283,39.650605,12889592.164698003,4788838.644849286
16,韩村河镇_110111115000,115.77566,39.650946,12889633.830850024,4788888.505535611
17,韩村河镇_110111115000,115.775713,39.647109,12889639.998378716,4788336.077146816
18,韩村河镇_110111115000,115.775866,39.646675,12889656.952850332,4788273.914876385
19,韩村河镇_110111115000,115.776458,39.652183,12889721.951986989,4789068.190033622
20,韩村河镇_110111115000,115.775968,39.652426,12889667.750293493,4789102.241258677
21,韩村河镇_110111115000,115.776462,39.682952,12889720.091445679,4793500.094682633
22,韩村河镇_110111115000,115.775886,39.683008,12889656.388738079,4793507.021641119
23,韩村河镇_110111115000,115.776796,39.654866,12889759.079775924,4789455.221161725
24,韩村河镇_110111115000,115.776834,39.655314,12889763.23844629,4789519.780342637
25,韩村河镇_110111115000,115.779179,39.657312,12890022.461348733,4789811.673796642
26,韩村河镇_110111115000,115.779001,39.656884,12890002.814812016,4789749.756210196
27,韩村河镇_110111115000,115.778904,39.656443,12889992.099750992,4789686.070940221
28,韩村河镇_110111115000,115.779179,39.657312,12890022.461348733,4789811.673796642
29,韩村河镇_110111115000,115.779562,39.657647,12890064.791089626,4789860.557776547
30,韩村河镇_110111115000,115.780241,39.647405,12890140.850403843,4788386.770255709
31,韩村河镇_110111115000,115.780788,39.647559,12890201.381383205,4788409.792495232
32,韩村河镇_110111115000,115.780123,39.670887,12890125.693266569,4791768.3152805995
33,韩村河镇_110111115000,115.782093,39.645658,12890345.984187089,4788137.928112842
34,韩村河镇_110111115000,115.781573,39.645459,12890288.414047431,4788108.581188181
35,韩村河镇_110111115000,115.782192,39.649053,12890356.687653737,4788626.916031308
36,韩村河镇_110111115000,115.781751,39.648759,12890307.852358125,4788583.988400411
37,韩村河镇_110111115000,115.782589,39.666273,12890399.055385938,4791107.255854892
38,韩村河镇_110111115000,115.782117,39.666537,12890346.759666953,4791144.645289928
39,韩村河镇_110111115000,115.782059,39.669531,12890340.08753984,4791575.8743204875
40,韩村河镇_110111115000,115.782231,39.669101,12890359.144845389,4791514.134244887
41,韩村河镇_110111115000,115.782517,39.660692,12890391.587312745,4790303.386460189
42,韩村河镇_110111115000,115.783071,39.660826,12890452.906248018,4790323.394231167
43,韩村河镇_110111115000,115.782794,39.679027,12890420.858476128,4792944.759057725
44,韩村河镇_110111115000,115.783314,39.679228,12890478.423465688,4792974.363241479
45,韩村河镇_110111115000,115.784848,39.65287,12890650.480242483,4789179.669851959
46,韩村河镇_110111115000,115.784275,39.652816,12890587.014006263,4789171.277451396
47,韩村河镇_110111115000,115.783744,39.65263,12890528.207843767,4789143.920019537
48,韩村河镇_110111115000,115.783722,39.652622,12890525.77033605,4789142.758395971
49,韩村河镇_110111115000,115.784149,39.643084,12890573.820795508,4787769.774129808
50,韩村河镇_110111115000,115.784376,39.643499,12890598.928953743,4787829.77175968
51,韩村河镇_110111115000,115.784689,39.642629,12890633.680712543,4787704.83195785
52,韩村河镇_110111115000,115.784265,39.64293,12890586.687962247,4787747.777243828
53,韩村河镇_110111115000,115.784059,39.64891,12890563.443432074,4788608.614267928
54,韩村河镇_110111115000,115.784584,39.649105,12890621.563111525,4788637.232148078
55,韩村河镇_110111115000,115.784463,39.662689,12890606.921388395,4790593.292403479
56,韩村河镇_110111115000,115.784082,39.662348,12890564.717580432,4790543.754221472
57,韩村河镇_110111115000,115.784407,39.643555,12890602.357001523,4787837.894245016
58,韩村河镇_110111115000,115.784983,39.643604,12890666.188938664,4787845.538900206
59,韩村河镇_110111115000,115.78446,39.691723,12890605.313135633,4794776.236578714
60,韩村河镇_110111115000,115.784121,39.691357,12890567.733262822,4794723.11596455
61,韩村河镇_110111115000,115.78509,39.652888,12890677.279416792,4789182.530444025
62,韩村河镇_110111115000,115.7855,39.653597,12890722.680229882,4789284.96813784
63,韩村河镇_110111115000,115.784978,39.653797,12890664.806089198,4789313.31505902
64,韩村河镇_110111115000,115.785594,39.658748,12890732.56888926,4790026.839225894
65,韩村河镇_110111115000,115.785128,39.658482,12890680.977671685,4789988.117989381
66,韩村河镇_110111115000,115.7855,39.653597,12890722.680229882,4789284.96813784
67,韩村河镇_110111115000,115.785271,39.653183,12890697.33530739,4789225.152050118
68,韩村河镇_110111115000,115.785171,39.655861,12890685.994356927,4789610.678171035
69,韩村河镇_110111115000,115.785727,39.655728,12890747.629941521,4789592.079900366
70,韩村河镇_110111115000,115.786185,39.655455,12890798.385758428,4789553.190367877
71,韩村河镇_110111115000,115.7855,39.653597,12890722.680229882,4789284.96813784
